id,state,title,summary,edition_uri,edition_title,arlima_uri
GdA,incomplete,Le dit de Guillaume d’Engleterre,An alexandrine reworking of the epic tale of Guillaume d’Angleterre.,,,https://www.arlima.net/eh/guillaume_dengleterre_dit.html
TMTV1,incomplete,Le dit des trois mors et III vis,A discussion between three living and three dead men on the importance of living a good life.,,,https://www.arlima.net/qt/trois_morts_et_trois_vifs/fr_version_4.html
Respon,incomplete,Un dist que on clamme respon,"A girl is saved from rape, and a canon from death, by their devotion to Mary.",,,https://www.arlima.net/il/jean_de_saint-quentin/le_dist_que_on_clamme_respon.html
Mesdisans1,incomplete,La chace des mesdisans (copy A),"The hunt for an allegorical boar, representing a ‘mesdisant’. One of two copies in the manuscript.",,,https://www.arlima.net/qt/raimon_vidal.html
LandeDoree,incomplete,La lande dorée,"The author‑narrator tells of discovering a beautiful lady in a forest idyll, who agrees to be his lover if he completes a certain task. The text ends here.",,,https://www.arlima.net/uz/vicomte_d_aunoy.html
Repentance,incomplete,La repentance Rutebeuf,"Rutebeuf, apparently close to death, expresses regret for his life choices.",,,https://www.arlima.net/qt/rutebeuf/la_mort_rustebeuf.html
VinIaue,incomplete,La desputoisson du vin et de l’iaue,"A debate in which wines of different types plead their case before the God of Love, before water wins the day.",,,https://www.arlima.net/ad/desputoisson_du_vin_et_de_liaue.html
PasSaladin,incomplete,Le pas Salhadin,A narrative poem describing key events from the Third Crusade.,,,https://www.arlima.net/mp/pas_saladin.html
Erberie,incomplete,L’erberie,A herb seller sells his saucy wares.,,,https://www.arlima.net/qt/rutebeuf/l_erberie.html
CharlotBarbier,incomplete,Le dit de Charlot et du barbier,A debate between a Christian and a Jew.,,,https://www.arlima.net/qt/rutebeuf/charlot_le_juif.html
Chanoinnes,incomplete,Le dit des trois chanoinnes,Three canons choose a life of penitence and help a sinning knight achieve redemption.,,,https://www.arlima.net/il/jean_de_saint-quentin/le_dist_des_trois_chanoinnes.html
Oiselet,incomplete,Le lai de l’oiselet,An anti‑vilain tale in which a rural idyll is ruined by a peasant’s wicked ways.,,,https://www.arlima.net/mp/oiselet_lay_de_l.html
OeilRutebeuf,incomplete,La complainte Rutebeuf,Rutebeuf laments his lot.,,,https://www.arlima.net/qt/rutebeuf/la_complainte_rutebeuf.html
Traverses,incomplete,Le dit des traverces,"Nonsense poetry in the first person, with reference to locations and religious figures.",,,https://www.arlima.net/qt/traverses_dit_des.html
