line_no,text,lg,l_id,folio,col,speaker
1,Pour ce que je voy grant partie,1,l-84r-2-1,84r,2,
2,Du monde qui met s’estudie,1,l-84r-2-2,84r,2,
3,"A li un l’autre decevoir,",1,l-84r-2-3,84r,2,
4,Veil dire un dit qui tout est voir ;,1,l-84r-2-4,84r,2,
5,"N’en puis mes se j’en sui haïs,",1,l-84r-2-5,84r,2,
6,Mes je tiens ceus pour foux naïs,1,l-84r-2-6,84r,2,
7,Qui tant se fient estre fors,1,l-84r-2-7,84r,2,
8,Et en la force de leur corps,1,l-84r-2-8,84r,2,
9,Que il ne leur chaille de l’ame.,1,l-84r-2-9,84r,2,
10,Dïex ! il n’est si belle dame,1,l-84r-2-10,84r,2,
11,Ne si fort homme tant soit fier,1,l-84r-2-11,84r,2,
12,Que mort ne face trebuchier.,1,l-84r-2-12,84r,2,
13,Personne qui a a mourir,1,l-84r-2-13,84r,2,
14,Ne se devroit ja orgueillir.,1,l-84r-2-14,84r,2,
15,Des estas du monde veil dire,1,l-84r-2-15,84r,2,
16,"Par amours ; n’en aiés pas ire,",1,l-84r-2-16,84r,2,
17,Car partout a trop a reprendre.,1,l-84r-2-17,84r,2,
18,Aucuns aimment miex a entendre,1,l-84r-2-18,84r,2,
19,Une foulour quant on l’a dit,1,l-84r-2-19,84r,2,
20,Que chose donc vïent profit ;,1,l-84r-2-20,84r,2,
21,Mes pour ce ne lairoi je mie,1,l-84r-2-21,84r,2,
22,Que pure verité ne die :,1,l-84r-2-22,84r,2,
23,Diex gart qui l’orra sanz noisier.,1,l-84r-2-23,84r,2,
24,"Saint Pol si le veut tesmonier,",1,l-84v-1-1,84v,1,
25,Car celui doit bien jeüner,1,l-84v-1-2,84v,1,
26,Qui a point ne veult laborer ;,1,l-84v-1-3,84v,1,
27,C’est un certain enseignement.,1,l-84v-1-4,84v,1,
28,Or entendés bien sainement :,1,l-84v-1-5,84v,1,
29,"Il sunt deux paire de labeurs,",1,l-84v-1-6,84v,1,
30,"Li un d’aquerre bonnes meurs,",1,l-84v-1-7,84v,1,
31,L’autre est ouvrer de ses mains :,1,l-84v-1-8,84v,1,
32,Ces deux ouvrages sunt certains.,1,l-84v-1-9,84v,1,
33,"Personne qui set son mestier,",1,l-84v-1-10,84v,1,
34,"Dont elle puet pain gaaignier,",1,l-84v-1-11,84v,1,
35,Doit loer Dieu parfetement,1,l-84v-1-12,84v,1,
36,Et conforter la povre gent,1,l-84v-1-13,84v,1,
37,De ses biens que Diex li envoie.,1,l-84v-1-14,84v,1,
38,Diverse gens vont par la voie :,1,l-84v-1-15,84v,1,
39,L’un demande pour Dieu sa vie,1,l-84v-1-16,84v,1,
40,"Et l’autre la boe nestie,",1,l-84v-1-17,84v,1,
41,Le tiers si fait vessiaus d’argent.,1,l-84v-1-18,84v,1,
42,"Li un achete et l’autre vent,",1,l-84v-1-19,84v,1,
43,Les autres servent d’autre guise,1,l-84v-1-20,84v,1,
44,Qui ne se mevent de l’eglise.,1,l-84v-1-21,84v,1,
45,"Les marcheans, les laboureurs,",1,l-84v-1-22,84v,1,
46,Les soustiennent de leur labeurs ;,1,l-84v-1-23,84v,1,
47,Noble [chose] est que de donner,1,l-84v-1-24,84v,1,
48,Et chetive de demander :,1,l-84v-1-25,84v,1,
49,Celui qui donne se franchist,1,l-84v-1-26,84v,1,
50,"Et celui qui prent s’aservist,",1,l-84v-1-27,84v,1,
51,Mes chascun ne puet pas avoir,1,l-84v-1-28,84v,1,
52,Grasce d’amasser grant avoir ;,1,l-84v-1-29,84v,1,
53,Ceus qui sunt riches saches sunt,1,l-84v-1-30,84v,1,
54,Quant a la povre gent bien font ;,1,l-84v-1-31,84v,1,
55,Mes par le monde queurt un vice,1,l-84v-1-32,84v,1,
56,Qui est apellés avarice,1,l-84v-1-33,84v,1,
57,Qui pluseurs gens en enfer meine.,1,l-84v-1-34,84v,1,
58,Il a sept jours en la semeine,1,l-84v-1-35,84v,1,
59,De quoy veil un petit parler :,1,l-84v-1-36,84v,1,
60,Vous les oiés souvent noumer.,1,l-84v-1-37,84v,1,
61,Les nons qu’il ont leur sunt venus,1,l-84v-1-38,84v,1,
62,"Des sept planetes de lassus,",1,l-84v-2-1,84v,2,
63,Ausiques a il sept estas,1,l-84v-2-2,84v,2,
64,De gens au monde ca jus bas,1,l-84v-2-3,84v,2,
65,Que comparer veil par mon cours,1,l-84v-2-4,84v,2,
66,Aus sept planetes et aus jours.,1,l-84v-2-5,84v,2,
67,Le diemenche est jour de repos ;,1,l-84v-2-6,84v,2,
68,Et pour tant bien comparer l’os,1,l-84v-2-7,84v,2,
69,"Au souleil, c’est le non de Dieu ;",1,l-84v-2-8,84v,2,
70,Aler doivent de bon cuer pieu,1,l-84v-2-9,84v,2,
71,Au moustier chascun et chascune.,1,l-84v-2-10,84v,2,
72,Le lundi est dit de la lune ;,1,l-84v-2-11,84v,2,
73,"De Mars pren selonc le mardi,",1,l-84v-2-12,84v,2,
74,De Mercure le merquedi ;,1,l-84v-2-13,84v,2,
75,"Le jeudi de Jupiter jus,",1,l-84v-2-14,84v,2,
76,Et le vendredi de Venus ;,1,l-84v-2-15,84v,2,
77,De Saturnus le samedi.,1,l-84v-2-16,84v,2,
78,Or entendés je vous em pri.,1,l-84v-2-17,84v,2,
79,Le diemenche est un digne jour ;,1,l-84v-2-18,84v,2,
80,Si com le souleil rent luour,1,l-84v-2-19,84v,2,
81,"Plus qu’autres planetes ne font,",1,l-84v-2-20,84v,2,
82,Ausi ceus qui bonne foy ont,1,l-84v-2-21,84v,2,
83,Vont devotement au mostier,1,l-84v-2-22,84v,2,
84,"Au diemenche, de cuer entier,",1,l-84v-2-23,84v,2,
85,La messe oïr et le sermon.,1,l-84v-2-24,84v,2,
86,"Voir, ce n’est mie sans raison",1,l-84v-2-25,84v,2,
87,Se nostre Seingneur se courouce,1,l-84v-2-26,84v,2,
88,"Quant les gloutons, plains de reprouce,",1,l-84v-2-27,84v,2,
89,"Vont en la taverne ou il boivent,",1,l-84v-2-28,84v,2,
90,"Quant oïr le servise doivent,",1,l-84v-2-29,84v,2,
91,Et font traire du plus fort vin.,1,l-84v-2-30,84v,2,
92,La bonne viande bien matin,1,l-84v-2-31,84v,2,
93,"Vont acheter, il le couvient,",1,l-84v-2-32,84v,2,
94,Et se par avanture avient,1,l-84v-2-33,84v,2,
95,"Que li uns d’eus vaist au mostier,",1,l-84v-2-34,84v,2,
96,L’autre le vendra sachier,1,l-84v-2-35,84v,2,
97,"Par la corne du chaperon,",1,l-84v-2-36,84v,2,
98,"Et li dit : “Vien t’en, si beron ;",1,l-84v-2-37,84v,2,
99,Ne te chaut d’arester plus ci.,1,l-84v-2-38,84v,2,
100,Il m’ennuie je le t’afi”,1,l-85r-1-1,85r,1,
101,Vrais Diex ! il ne leur desplaist mie,1,l-85r-1-2,85r,1,
102,D’estre du main jusqu’a complie,1,l-85r-1-3,85r,1,
103,En la meson du tavernier ;,1,l-85r-1-4,85r,1,
104,Ne font fors crier et noisier.,1,l-85r-1-5,85r,1,
105,La sunt aesés sus le coute ;,1,l-85r-1-6,85r,1,
106,Souvent faut que l’oste les boute,1,l-85r-1-7,85r,1,
107,"Hors de l’ostel, tant i sunt tart.",1,l-85r-1-8,85r,1,
108,Le vin qu’em le foie leur art !,1,l-85r-1-9,85r,1,
109,"Et quant ce vient a l’endemain,",1,l-85r-1-10,85r,1,
110,La teste leur deust et la main,1,l-85r-1-11,85r,1,
111,"Leur tremble, lors vont par effors",1,l-85r-1-12,85r,1,
112,Au poil du chien qui les a mors.,1,l-85r-1-13,85r,1,
113,"La recoumencent le trumel,",1,l-85r-1-14,85r,1,
114,Et quant reviennent a l’ostel,1,l-85r-1-15,85r,1,
115,"Il batent fames et enfans,",1,l-85r-1-16,85r,1,
116,Ainssi gascent les mescheans,1,l-85r-1-17,85r,1,
117,"En un jour, par leur lecherie,",1,l-85r-1-18,85r,1,
118,De quoy leur fame et leur mesnie,1,l-85r-1-19,85r,1,
119,Vesquisent bien une semainne.,1,l-85r-1-20,85r,1,
120,Voire on fet plus d’evre vilainne,1,l-85r-1-21,85r,1,
121,Au dimenche qu’[a ]autre jour ;,1,l-85r-1-22,85r,1,
122,Mes certes c’est trop grant folor.,1,l-85r-1-23,85r,1,
123,Du premier vous lairai ester ;,1,l-85r-1-24,85r,1,
124,De secont estat veil parler.,1,l-85r-1-25,85r,1,
125,"Car par le lundi entendon,",1,l-85r-1-26,85r,1,
126,Qui de la lune prent son non.,1,l-85r-1-27,85r,1,
127,"La lune est froide, fresche et tendre :",1,l-85r-1-28,85r,1,
128,Par cela nous poons entendre,1,l-85r-1-29,85r,1,
129,L’estat de gent religieuse,1,l-85r-1-30,85r,1,
130,Qui doit estre douce et piteuse.,1,l-85r-1-31,85r,1,
131,Aussi coume la lune rent,1,l-85r-1-32,85r,1,
132,"Eaue quant est plainne sovent,",1,l-85r-1-33,85r,1,
133,Doivent gent d’ordre grant plenté,1,l-85r-1-34,85r,1,
134,Euvre fere d’umilité ;,1,l-85r-1-35,85r,1,
135,Mes le deable les tarie,1,l-85r-1-36,85r,1,
136,"De bouter en ipocrisie,",1,l-85r-1-37,85r,1,
137,En vainne gloire bien souvent.,1,l-85r-1-38,85r,1,
138,Ceulz qui pour le los de la gent,1,l-85r-2-1,85r,2,
139,"Font en cest monde penitance,",1,l-85r-2-2,85r,2,
140,L’evangile dit sans doutance,1,l-85r-2-3,85r,2,
141,Que il ont ja eu le lourier.,1,l-85r-2-4,85r,2,
142,Nus ne se doit pour bons jugier :,1,l-85r-2-5,85r,2,
143,Jhesucrist dist que cil sera,1,l-85r-2-6,85r,2,
144,Essauciés qui s’abaisera.,1,l-85r-2-7,85r,2,
145,Cil est sage qui poi se prise :,1,l-85r-2-8,85r,2,
146,Du tiers estat dirai la guise.,1,l-85r-2-9,85r,2,
147,Mardi vient de Mars par droiture ;,1,l-85r-2-10,85r,2,
148,"Mars, senefie l’escripture,",1,l-85r-2-11,85r,2,
149,"Diex de bataille, pour tant di",1,l-85r-2-12,85r,2,
150,Que puis comparer au mardi,1,l-85r-2-13,85r,2,
151,L’estat de chascun chevalier,1,l-85r-2-14,85r,2,
152,Qui pour la foy Dieu essaucier,1,l-85r-2-15,85r,2,
153,Se doivent combatre a effors ;,1,l-85r-2-16,85r,2,
154,"Le droit doivent sevrer des tors,",1,l-85r-2-17,85r,2,
155,Et jugier loyaument tourjours.,1,l-85r-2-18,85r,2,
156,"Mais maintenant en pluseurs cours,",1,l-85r-2-19,85r,2,
157,Ne veut on povres gens oïr,1,l-85r-2-20,85r,2,
158,Aus avocas covient blancher,1,l-85r-2-21,85r,2,
159,"Les mains d’argent, non pas de chaus.",1,l-85r-2-22,85r,2,
160,Les chevaliers si sunt trop chaus,1,l-85r-2-23,85r,2,
161,D’aler tournoier et jouster ;,1,l-85r-2-24,85r,2,
162,Mes miex leur vousist conquester,1,l-85r-2-25,85r,2,
163,Le saint sepulcre ou Diex fu mis.,1,l-85r-2-26,85r,2,
164,Les Sarrazins ont ja occis,1,l-85r-2-27,85r,2,
165,En Garnade moult de no gent.,1,l-85r-2-28,85r,2,
166,Nous voion tuit coumunalment,1,l-85r-2-29,85r,2,
167,Que l’un crestïen l’autre occist :,1,l-85r-2-30,85r,2,
168,Le grant menjue le petit.,1,l-85r-2-31,85r,2,
169,Les laboureurs sunt trop folés :,1,l-85r-2-32,85r,2,
170,"Fain et avoine, vin et blés,",1,l-85r-2-33,85r,2,
171,Prent on seur eus soir et matin ;,1,l-85r-2-34,85r,2,
172,"Voir ce n’est mie larrecin,",1,l-85r-2-35,85r,2,
173,Mes c’est toute qui poi mains vaut.,1,l-85r-2-36,85r,2,
174,Du merquedi parler me faut,1,l-85r-2-37,85r,2,
175,Qui sus la planete Mercure,1,l-85r-2-38,85r,2,
176,"Prent son non, ce dit l’escripture.",1,l-85v-1-1,85v,1,
177,"Pour ce, selonc m’entencïon,",1,l-85v-1-2,85v,1,
178,Des marcheans vous parleron.,1,l-85v-1-3,85v,1,
179,On doit en tous [les ]lieus amer,1,l-85v-1-4,85v,1,
180,Les marcheans et honnourer,1,l-85v-1-5,85v,1,
181,Qui veulent ouvrer loyaument ;,1,l-85v-1-6,85v,1,
182,Mes on m’a dit n’a pas graument,1,l-85v-1-7,85v,1,
183,"Que qui loyauté veult tenir,",1,l-85v-1-8,85v,1,
184,Qu’a grant painne se puet chevir :,1,l-85v-1-9,85v,1,
185,"Il faut mentir et parjurer,",1,l-85v-1-10,85v,1,
186,Et le plus biau dehors moustrer,1,l-85v-1-11,85v,1,
187,Qui veult avoir s’achevisance.,1,l-85v-1-12,85v,1,
188,"Bonne gent, c’est grant mescheance",1,l-85v-1-13,85v,1,
189,Quant on met Diex en nonchaloir,1,l-85v-1-14,85v,1,
190,Pour amasser trop grant avoir.,1,l-85v-1-15,85v,1,
191,L’en souloit croire un marcheant,1,l-85v-1-16,85v,1,
192,"Par son dit, mes d’ore en avant",1,l-85v-1-17,85v,1,
193,"On voit tant de fauses mesures,",1,l-85v-1-18,85v,1,
194,"De termoiemens et d’usures,",1,l-85v-1-19,85v,1,
195,C’om ne se set en qui fier.,1,l-85v-1-20,85v,1,
196,Se je vouloie deslier,1,l-85v-1-21,85v,1,
197,"Ma langue en disant verité,",1,l-85v-1-22,85v,1,
198,"Voir, on ne m’en saroit ja gré.",1,l-85v-1-23,85v,1,
