line_no,text,lg,l_id,folio,col,speaker
1,"Bonne gent, entendez par amours un biau dit.",1,l-226v-1-3,226v,1,lover
2,"Se je me porte cointe, n’en aiez pas despit,",1,l-226v-1-4,226v,1,lover
3,Car j’aimme par amours celle qui me belist !,1,l-226v-1-5,226v,1,lover
4,Volentiers l’atendroie toute nuit en mon lit.,1,l-226v-1-6,226v,1,lover
5,"Compains, n’as tu pas honte — maufeu tarde la main —",2,l-226v-1-7,226v,1,critic
6,Qui te vantes d’amer et au soir et au main !,2,l-226v-1-8,226v,1,critic
7,"Tu me fais grant despit, par le cors saint Germain ;",2,l-226v-1-9,226v,1,critic
8,Pour Dieu or regardez quel troncon de vilain !,2,l-226v-2-1,226v,2,critic
9,"Vilain chaitif dolent, tu n’es c’un sechellon.",3,l-226v-2-2,226v,2,lover
10,"S’une femme t’amoit, ce seroit foloison.",3,l-226v-2-3,226v,2,lover
11,"Mais je sui biaus et jones, si aimme Marion",3,l-226v-2-4,226v,2,lover
12,Qui garde les brebis. Ier le vi au buisson.,3,l-226v-2-5,226v,2,lover
13,"Amis tu n’as pas tort se tu aimes bregiere,",4,l-226v-2-6,226v,2,critic
14,Car bien sambles bergier au cors et a la chiere.,4,l-226v-2-7,226v,2,critic
15,Ne te faut que hoüte et une panetiere.,4,l-226v-2-8,226v,2,critic
16,Fui ! Va t’en loins de ci avant que je te fiere !,4,l-226v-2-9,226v,2,critic
17,"Me veus tu dont ferir ? Voir se ferus estoie,",5,l-226v-2-10,226v,2,lover
18,Pour l’amour de m’amie bien me revengeroie.,5,l-226v-2-11,226v,2,lover
19,"Au buisson le trouvai, delez une sausoie.",5,l-226v-2-12,226v,2,lover
20,"De son pain me donna, de quoi j’ai moult grant joie.",5,l-226v-2-13,226v,2,lover
21,"Male joie te puist le cuer el cors crever,",6,l-226v-2-14,226v,2,critic
22,Se me mens d’une chose que te veul demander :,6,l-226v-2-15,226v,2,critic
23,Comment l’acointas tu ne par confait parler ?,6,l-226v-2-16,226v,2,critic
24,Sez tu bien de certain qu’elle te veult amer ?,6,l-226v-2-17,226v,2,critic
25,"Ouïl, quar elle rit touz jourz quant vois vers li,",7,l-226v-2-18,226v,2,lover
26,Et si m’a demandé un chapelet joli.,7,l-226v-2-19,226v,2,lover
27,Je en avrai un biau pour mains d’un parisis.,7,l-227r-1-1,227r,1,lover
28,Porter le mi faudra ainz que face autre ami.,7,l-227r-1-2,227r,1,lover
29,Hastez vous biax amis et y alez courant !,8,l-227r-1-3,227r,1,critic
30,"Robinet va entour, je le vi ne sai quant.",8,l-227r-1-4,227r,1,critic
31,"Il la vouloit baisier, mais elle aloit grouçant.",8,l-227r-1-5,227r,1,critic
32,Elle est borgne et toullouque : de deux pars va clochant.,8,l-227r-1-6,227r,1,critic
33,"Tu dis voir, elle est borgne, mais ce fait mignotise.",9,l-227r-1-7,227r,1,lover
34,"Le clochier li siet bien, gentement se debrise.",9,l-227r-1-8,227r,1,lover
35,Se le me blasmes plus tu feras fole emprise ;,9,l-227r-1-9,227r,1,lover
36,Garde que ne mesprengnes car je l’aim moult et prise !,9,l-227r-1-10,227r,1,lover
37,"Compains, de tes amours t’envoit Diex pute joie.",10,l-227r-1-11,227r,1,critic
38,"Va t’ent de devant moi, je le te loeroie !",10,l-227r-1-12,227r,1,critic
39,A ces bonnes gens ci un dit dire cuidoie,10,l-227r-1-13,227r,1,critic
40,"Du pappe nostre pere, mais ta jengle m’anoie.",10,l-227r-1-14,227r,1,critic
41,Que ai je a faire du pappe ? Il ne li chaut de moi.,11,l-227r-1-15,227r,1,lover
42,"Se tu veulz estriver, bien parlerai a toi.",11,l-227r-1-16,227r,1,lover
43,"Trop me vas desprisant, du grief mal saint Eloy.",11,l-227r-1-17,227r,1,lover
44,Soit ton cors tourmentez se ne te tais tout quoi !,11,l-227r-1-18,227r,1,lover
45,Voir ne me terai je ja pour telle loberie.,12,l-227r-1-19,227r,1,critic
46,Tu es trop bien taillie pour avaler boullie.,12,l-227r-2-1,227r,2,critic
47,Il pert bien a tes joes — que ne t’esmaies mie —,12,l-227r-2-2,227r,2,critic
48,Comment le roy penra la terre de Surie.,12,l-227r-2-3,227r,2,critic
49,"Se je me soucioie, fol seroie prouvez.",13,l-227r-2-4,227r,2,lover
50,Mon souci n’i vaudroit la monte de deux dez.,13,l-227r-2-5,227r,2,lover
51,Que le feu saint Antoinne te puist mengier le nez !,13,l-227r-2-6,227r,2,lover
52,"Aussi est il trop lonc, bonne gent regardez !",13,l-227r-2-7,227r,2,lover
53,"Hé ! Chetif malostru, que regardera l’en ?",14,l-227r-2-8,227r,2,critic
54,Ton let musel boufi ? Diex te mete en mal an !,14,l-227r-2-9,227r,2,critic
55,"S’a moi estrive plus, ce ne sera pas sen,",14,l-227r-2-10,227r,2,critic
56,Mais sueffre toi tout quoi. Je le te lo : va t’en !,14,l-227r-2-11,227r,2,critic
57,"Vaten est en Berry assez pres de Crassai,",15,l-227r-2-12,227r,2,lover
58,A deux lïeues d’un bourc c’on apelle Massai.,15,l-227r-2-13,227r,2,lover
59,Or me di par amours se tu es cler ou lai.,15,l-227r-2-14,227r,2,lover
60,Je croi que du pays ou les gens dient “nai”.,15,l-227r-2-15,227r,2,lover
61,"Mescheant, que te chaut de quel pays je soie,",16,l-227r-2-16,227r,2,critic
62,Se les yex de ta teste touz deux crevez [t]’avoie ?,16,l-227r-2-17,227r,2,critic
63,Ja parmi ceste ville a aler n’en lairoie.,16,l-227r-2-18,227r,2,critic
64,Te portes tu si fier. Pour t’amie m’aroie ?,16,l-227r-2-19,227r,2,critic
65,"Ouïl, fier je m’en porte et je le doi bien faire,",17,l-227v-1-1,227v,1,lover
66,"Car elle est bele et douce, courtoise et debonnaire.",17,l-227v-1-2,227v,1,lover
67,"A couchier avec moi, je ne le puis atraire",17,l-227v-1-3,227v,1,lover
68,"Se ne l’espouse avant, dont j’ai au cuer contraire.",17,l-227v-1-4,227v,1,lover
69,"Compains, celle qui t’aimme n’a pas merde enhaïe.",18,l-227v-1-5,227v,1,critic
70,Ja femme de ton cors ne sera bien servie ;,18,l-227v-1-6,227v,1,critic
