line_no,text,lg,l_id,folio,col,speaker
1,A dame bele et bone et sage,1,l-153v-1-1,153v,1,
2,Noble de cuer et de lignage,1,l-153v-1-2,153v,1,
3,Cilz qui son dous non volt escrire,1,l-153v-1-3,153v,1,
4,Que par ce ne puist de mesdire,1,l-153v-1-4,153v,1,
5,Aus mesdisans ouvrir la voie,1,l-153v-1-5,153v,1,
6,En lieu de salu li envoie,1,l-153v-1-6,153v,1,
7,Son cuer et toute sa pensee,1,l-153v-1-7,153v,1,
8,Avec ceste oevre que rimee,1,l-153v-1-8,153v,1,
9,A pour li especiaument,1,l-153v-1-9,153v,1,
10,Mais comment que principaument,1,l-153v-1-10,153v,1,
11,L'ait por li faite et acomplie,1,l-153v-1-11,153v,1,
12,Toute voies ne l'ose mie,1,l-153v-1-12,153v,1,
13,Droitement a lui enuoier,1,l-153v-1-13,153v,1,
14,Car il ne veult pas auoier,1,l-153v-1-14,153v,1,
15,Les enuieus de mal penser,1,l-153v-1-15,153v,1,
16,Ains les en veult,1,l-153v-1-16,153v,1,
17,S'il puet tenser,1,l-153v-1-17,153v,1,
18,Et si ne scet aussi de voir,1,l-153v-1-18,153v,1,
19,S'ele le vouldroit recevoir,1,l-153v-1-19,153v,1,
20,Si l'enuoie en pluiseurs parties,1,l-153v-1-20,153v,1,
21,A des amis a ses amies,1,l-153v-1-21,153v,1,
22,Et a tous ceus generalment,1,l-153v-1-22,153v,1,
23,Qui aimment bien et loiaument,1,l-153v-1-23,153v,1,
24,Por ce par pluiseurs li enuoie,1,l-153v-1-24,153v,1,
25,Qu'il veult qu'en aucun lieu le voie,1,l-153v-1-25,153v,1,
26,Cele pour qui fu commencie,1,l-153v-2-1,153v,2,
27,Et moienne et parfornie,1,l-153v-2-2,153v,2,
28,Car quant la verra ou orra,1,l-153v-2-3,153v,2,
29,Apertement savoir porra,1,l-153v-2-4,153v,2,
30,Que por s'amor a esté faite,1,l-153v-2-5,153v,2,
31,Car de tel chose,1,l-153v-2-6,153v,2,
32,A dedens traite.,1,l-153v-2-7,153v,2,
33,Que vëoir porra clerement,1,l-153v-2-8,153v,2,
34,Que c'est fait por li pprement,1,l-153v-2-9,153v,2,
35,Ne nulz autres ne le savra,1,l-153v-2-10,153v,2,
36,Se par li n'est ne ja n'avra,1,l-153v-2-11,153v,2,
37,Pooir que il s'en apercoiue,1,l-153v-2-12,153v,2,
