line_no,text,lg,l_id,folio,col,speaker
1,BOnne gent entēdez Ꝑ amours . j . biau dit,1,l-226v-1-3,226v,1,
2,Se ie me poꝛte coīte N ē aiez pas deſpit,1,l-226v-1-4,226v,1,
3,Car i aīme par amours Celle qui me beliſt,1,l-226v-1-5,226v,1,
4,Volentiers l atendꝛoie Toute nuit en mon lit .,1,l-226v-1-6,226v,1,
5,COmpains n as tu pas hōte Mau feu tarde la main,2,l-226v-1-7,226v,1,
6,Qⁱ te vantes d amer ⁊ au ſoir ⁊ au main,2,l-226v-1-8,226v,1,
7,Tu me fais gñt deſpit Par le coꝛs .S՚. Germain,2,l-226v-1-9,226v,1,
8,P˞ dieu oꝛ regardez Quel troncon de vilain,2,l-226v-2-1,226v,2,
9,UIlain chaitif dolent Tu n es c un ſechellon,3,l-226v-2-2,226v,2,
10,S une femme t amoit Ce ſeroit foloiſon .,3,l-226v-2-3,226v,2,
11,Mais ie ſui biaus ⁊ iones Si aīme Marion .,3,l-226v-2-4,226v,2,
12,Qⁱ garde les bꝛebis Ier le ui au buiſſon,3,l-226v-2-5,226v,2,
13,AMis tu n as pas toꝛt Se tu aimes bꝛegiere,4,l-226v-2-6,226v,2,
14,Car bn̄ ſambles bergier Au coꝛs ⁊ a la chiere,4,l-226v-2-7,226v,2,
15,Ne te faut que houte ⁊ vne panetiere.,4,l-226v-2-8,226v,2,
16,Fui va t en loins de ci Avant que ie te fiere,4,l-226v-2-9,226v,2,
17,ME veus tu dont ferir Voir ſe ferus eſtoie,5,l-226v-2-10,226v,2,
18,Pour l amour de m amie Bn̄ me reuengeroie,5,l-226v-2-11,226v,2,
19,Au buiſſon le trouuei Delez vne ſauſoie,5,l-226v-2-12,226v,2,
20,De ſon pain me donna De quoi i ai ml՚t gñt ioie,5,l-226v-2-13,226v,2,
21,MAle ioie te puiſt Le cuer el coꝛs creuer,6,l-226v-2-14,226v,2,
22,Se me mens d une choſe Q՚ te veul demander,6,l-226v-2-15,226v,2,
23,Cōment l acointas tu Ne par confait parler,6,l-226v-2-16,226v,2,
24,Sez tu bien de certain Qu elle te veult amer,6,l-226v-2-17,226v,2,
25,OVil q̃r elle rit touz iourz quant vois uers li,7,l-226v-2-18,226v,2,
26,⁊ ſi m a demande . .I. chapelet joli,7,l-226v-2-19,226v,2,
27,Ie en aurai . j . biau Pour maīs d un pariſis,7,l-227r-1-1,227r,1,
28,Poꝛter le mi faudꝛa Ainz q՚ face autre ami,7,l-227r-1-2,227r,1,
29,HAſtez vous biax amis ⁊ y alez courant,8,l-227r-1-3,227r,1,
30,Robinet va entour Ie le vi ne ſai qñt,8,l-227r-1-4,227r,1,
31,Il la vouloit baiſier Mais elle aloit groucant,8,l-227r-1-5,227r,1,
32,Elle eſt boꝛgne ⁊ toullouq՚ De . ij . pars va clochant,8,l-227r-1-6,227r,1,
33,TV dis voir elle eſt boꝛgne Mais ce fait mignotiſe,9,l-227r-1-7,227r,1,
34,Le clochier li ſiet bn̄ Gentement ſe debꝛiſe,9,l-227r-1-8,227r,1,
35,Se le me blaſmes plus Tu feras fole empꝛiſe,9,l-227r-1-9,227r,1,
36,Garde que ne meſp՚ngnes Car ie l aim ml՚t ⁊ pꝛiſe,9,l-227r-1-10,227r,1,
37,COmpaīs de tes amours T en uoit diex pute ioie,10,l-227r-1-11,227r,1,
38,Va t ent de deuant moi Ie le te loeroie,10,l-227r-1-12,227r,1,
39,A ces bonnes gens ci .I. dit dire cuidoie,10,l-227r-1-13,227r,1,
40,Du pappe nr՚e pere Mais ta iengle m anoie,10,l-227r-1-14,227r,1,
41,Qve ai ie a faire du pappe Il ne li chaut de moi,11,l-227r-1-15,227r,1,
42,Se tu veulz eſtriuer Bn̄ parlerai a toi,11,l-227r-1-16,227r,1,
43,Trop me vas deſpꝛiſant Du grief mal .Saint. eloy,11,l-227r-1-17,227r,1,
44,Soit ton coꝛs tourm̄tez Se ne te tais tout quoi,11,l-227r-1-18,227r,1,
45,UOir ne me terai ie ia pour telle loberie,12,l-227r-1-19,227r,1,
46,Tu es trop bn̄ taillie Pour a valer boullie,12,l-227r-2-1,227r,2,
47,Il pert bn̄ a tes ioes Q՚ ne t eſmaies mie,12,l-227r-2-2,227r,2,
48,Cōment le roy penra La terre de ſurie,12,l-227r-2-3,227r,2,
49,SE ie me ſoucioie Fol ſeroie pꝛouuez,13,l-227r-2-4,227r,2,
50,Mō ſouci n i vaudꝛoit La monte de . ij . dez,13,l-227r-2-5,227r,2,
51,Q՚ le feu .S՚. antoinne Te puiſt meng՚ le nez,13,l-227r-2-6,227r,2,
52,Auſſi eſt il trop lonc Bonne gent regardez,13,l-227r-2-7,227r,2,
53,HE ; chetif maloſtru q՚ regardera l en,14,l-227r-2-8,227r,2,
54,Ton let muſel boufi Diex te mete en mal an,14,l-227r-2-9,227r,2,
55,S a moi eſtriue plus Ce ne ſera pas ſen .,14,l-227r-2-10,227r,2,
56,Mais ſueffre toi tout quoi Ie le te lo va t en .,14,l-227r-2-11,227r,2,
57,Uaten eſt en berry aſſez pꝛes de craſſai,15,l-227r-2-12,227r,2,
58,A . ij . lïeues d un bourc Ꝯ apelle maſſai,15,l-227r-2-13,227r,2,
59,Or me di par amours Se tu es cler ou lai,15,l-227r-2-14,227r,2,
60,Ie croi que du pays Ou les gens dient nai,15,l-227r-2-15,227r,2,
61,MEſcheant que te chaut De quel pays ie ſoie,16,l-227r-2-16,227r,2,
62,Se les yex de ta teſte Touz . ij . creuez t auoie,16,l-227r-2-17,227r,2,
63,Ia parmi ceſte ville A aler n en lairoie,16,l-227r-2-18,227r,2,
64,Te poꝛtes tu ſi fier Pour t amie m aroie,16,l-227r-2-19,227r,2,
65,Ovil fier ie m ē poꝛte ⁊ ie le doi bn̄ faire,17,l-227v-1-1,227v,1,
