line_no,text,lg,l_id,folio,col,speaker
1,POur ce que ie uoy grant partie,1,l-84r-2-1,84r,2,
2,Du monde qui moult ſ’eſtudie,1,l-84r-2-2,84r,2,
3,A li vn l’autre deceuoir,1,l-84r-2-3,84r,2,
4,Veil ie dire .i. dit qͥ eſt tout uoir,1,l-84r-2-4,84r,2,
5,N’en puis mes ſe i’en ſui hais,1,l-84r-2-5,84r,2,
6,Mes ie tiens ceus pour foux nais,1,l-84r-2-6,84r,2,
7,Qui tant ſe fient eſtre foꝛs,1,l-84r-2-7,84r,2,
8,⁊ en la foꝛce de leur coꝛps,1,l-84r-2-8,84r,2,
9,Q՚ il ne leur chaille de l’ame,1,l-84r-2-9,84r,2,
10,Diex il n’eſt ſi belle dame,1,l-84r-2-10,84r,2,
11,Ne ſi foꝛt hōme tant ſoit fier,1,l-84r-2-11,84r,2,
12,Q՚ moꝛt ne face trebuchier,1,l-84r-2-12,84r,2,
13,Ꝑſonne qui a a mourir,1,l-84r-2-13,84r,2,
14,Ne ſe deuroit ia oꝛgueillir,1,l-84r-2-14,84r,2,
15,De l’eſtat du monde veil dire,1,l-84r-2-15,84r,2,
16,Ꝑ amours n’en aies pas ire,1,l-84r-2-16,84r,2,
17,Car ꝑtout a trop a repꝛendꝛe,1,l-84r-2-17,84r,2,
18,Aucuns aīment miex a ētēdꝛe,1,l-84r-2-18,84r,2,
19,Vne foulour quant on l’a dit,1,l-84r-2-19,84r,2,
20,Q՚ choſe donc uient pꝛofit,1,l-84r-2-20,84r,2,
21,Mes pour ce ne lairoi ie mie,1,l-84r-2-21,84r,2,
22,Que pure uerite ne die,1,l-84r-2-22,84r,2,
23,Diex gart qͥ l’oꝛra ſanz noiſier,1,l-84r-2-23,84r,2,
24,Saint pol ſi le veut teſmonier,1,l-84v-1-1,84v,1,
25,Car celui doit bien ieuner,1,l-84v-1-2,84v,1,
26,Qui a point ne ueult laboꝛer,1,l-84v-1-3,84v,1,
27,C’eſt vn c՚tain enſeingnem̄t,1,l-84v-1-4,84v,1,
28,Oꝛ entendes bn̄ ſainement,1,l-84v-1-5,84v,1,
29,Il ſunt .ij. paire de labeurs,1,l-84v-1-6,84v,1,
30,Li vn d’aq՚rre bonnes meurs,1,l-84v-1-7,84v,1,
31,L’autre eſt ouurer de ſes mains,1,l-84v-1-8,84v,1,
32,Ces .ij. ouurages ſunt c՚tains,1,l-84v-1-9,84v,1,
33,Ꝑſonne qui ſoit ſon meſtier,1,l-84v-1-10,84v,1,
34,Dont elle puet pain gaaignier,1,l-84v-1-11,84v,1,
35,Doit loer dieu ꝑfetement,1,l-84v-1-12,84v,1,
36,⁊ confoꝛter la poure gent,1,l-84v-1-13,84v,1,
37,De ſes bn̄s que diex li enuoie,1,l-84v-1-14,84v,1,
38,Diu՚ſe gens vont ꝑ la uoie,1,l-84v-1-15,84v,1,
39,L’un demande pour dieu ſa uie,1,l-84v-1-16,84v,1,
40,Et l’autre la boe neſtie,1,l-84v-1-17,84v,1,
41,Le tiers ſi fait ueſſiaus d’argēt,1,l-84v-1-18,84v,1,
42,Li vn achete et l’autre vent,1,l-84v-1-19,84v,1,
43,Les autres ſeruent d’autre guiſe,1,l-84v-1-20,84v,1,
44,Qⁱ ne ſ’en meuent de l’egliſe,1,l-84v-1-21,84v,1,
45,Les marcheans les laboureurs,1,l-84v-1-22,84v,1,
46,Les ſouſtiennēt de leur labeurs,1,l-84v-1-23,84v,1,
47,Noble eſt que de donner,1,l-84v-1-24,84v,1,
48,⁊ chetiue de demander,1,l-84v-1-25,84v,1,
49,Celui qui donne ſe franchiſt,1,l-84v-1-26,84v,1,
50,Et celui qui pꝛent ſ’aſeruiſt,1,l-84v-1-27,84v,1,
51,Mes chaſcun ne puet pas auoir,1,l-84v-1-28,84v,1,
52,Graſce d’amaſſer grant auoir,1,l-84v-1-29,84v,1,
53,Ceus qui ſunt riches ſaches ſunt,1,l-84v-1-30,84v,1,
54,Qñt a la poure gent bien font,1,l-84v-1-31,84v,1,
55,Mes ꝑ le monde queurt .i. uice,1,l-84v-1-32,84v,1,
56,Qui eſt apelles auarice,1,l-84v-1-33,84v,1,
