line_no,text,lg,l_id,folio,col,speaker
1,N'eſt pas oiſeus qui fait bone oevre,1,l-184r-2-1,184r,2,
2,Li trouverres qui Sa bouche oevre,1,l-184r-2-2,184r,2,
3,Pour bone oevre conter et dire,1,l-184r-2-3,184r,2,
4,Mais qui bien treuve plains eſt d'ire,1,l-184r-2-4,184r,2,
5,Quant il n'a de matere point,1,l-184r-2-5,184r,2,
6,Jolivetez ſemont et point,1,l-184r-2-6,184r,2,
7,Mon cuer de dire aucun biau dit,1,l-184r-2-7,184r,2,
8,Mais n'ai de coy car tout eſt dit,1,l-184r-2-8,184r,2,
9,Foꝛs ce que de nouvel avient,1,l-184r-2-9,184r,2,
10,S'il ſcet aventure nouvele,1,l-184r-2-10,184r,2,
11,Qu'il face tant que la nouvele,1,l-184r-2-11,184r,2,
12,Qu'il face tant que partout aille,1,l-184r-2-12,184r,2,
13,Et que ſon gros francois détaille,1,l-184r-2-13,184r,2,
14,Poꝛ faire oevre plus deliaie,1,l-184r-2-14,184r,2,
15,Poꝛ ce ai ma lange liaie,1,l-184r-2-15,184r,2,
16,Qui que mentiegne a apenſé,1,l-184r-2-16,184r,2,
17,Poꝛ ce ay de nouvel penſé,1,l-184r-2-17,184r,2,
18,Car tel matiere ay poꝛpenſee,1,l-184r-2-18,184r,2,
19,Qui onques n'ot en ſa penſee,1,l-184r-2-19,184r,2,
20,Ne Sarrazins ne Creſtiens,1,l-184r-2-20,184r,2,
21,Poꝛ ce que moꝛs eſt /Creſtiens,1,l-184r-2-21,184r,2,
22,De /Troyes cil qui tant ot pꝛis,1,l-184r-2-22,184r,2,
23,De trouver ay hardement pris,1,l-184r-2-23,184r,2,
24,De mot a mot metre en eſcript,1,l-184r-2-24,184r,2,
25,Le toꝛnoiement /Antecriſt.,1,l-184v-1-1,184v,1,
26,Il avint aprés cele empriſe,2,l-184v-1-40,184v,1,
27,Que li francois oꝛent empriſe,2,l-184v-1-41,184v,1,
28,Conter /le conte de /Champaigne,2,l-184v-1-42,184v,1,
29,/Li rois Looys en /Bretaigne,2,l-184v-1-43,184v,1,
30,Mena ſon oſt ſans point d'aloingne,2,l-184v-1-44,184v,1,
