line_no,text,lg,l_id,folio,col,speaker
1,En lonneur de /la dꝛoiturieꝛe,1,l-52r-2-1,52r,2,
2,/Dame de paradis Poꝛtieꝛe,1,l-52r-2-2,52r,2,
3,/La haulte royne des ciex,1,l-52r-2-3,52r,2,
4,/De virginité clacelieꝛe,1,l-52r-2-4,52r,2,
5,Feꝛay .i. dit en mamanieꝛe,1,l-52r-2-5,52r,2,
6,En mon commancemen ſoit Diex,1,l-52r-2-6,52r,2,
7,Qui eſt vrais peres et vrai fiex,1,l-52r-2-7,52r,2,
8,Qu'il weille eſtre vers moi piex,1,l-52r-2-8,52r,2,
9,Combien qu'an pechié le requieꝛe,1,l-52r-2-9,52r,2,
10,Que pleſant puiſt eſtre atous ciex,1,l-52r-2-10,52r,2,
11,Qui loꝛront qu'il en vaillent miex,1,l-52r-2-11,52r,2,
12,Oꝛ weille il oir ma prieꝛe,1,l-52r-2-12,52r,2,
13,Aue. /dame dumilite,2,l-52r-2-24,52r,2,
14,/Fontaine de toute bonté,2,l-52r-2-25,52r,2,
15,[...],2,l-52r-2-26,52r,2,
16,De la ſouveꝛaine deyte,2,l-52r-2-27,52r,2,
17,Sans coꝛrompꝛe virginité,2,l-52r-2-28,52r,2,
18,Peus le fil Dieu conceuoir,2,l-52r-2-29,52r,2,
19,Grant pitié le fiſt eſmouuoir,2,l-52r-2-30,52r,2,
20,A ce qu'il enpꝛiſt le vouloir,2,l-52r-2-31,52r,2,
21,De pꝛendꝛe entoi humanite,2,l-52r-2-32,52r,2,
22,Et ille te fiſt a ſauoir,2,l-52r-2-33,52r,2,
23,Par /langre qui tendit le vouloir,2,l-52r-2-34,52r,2,
24,Autemple quant te dit ave,2,l-52r-2-35,52r,2,
25,/Maria. qui ton non ſavra,3,l-52v-1-1,52v,1,
26,Et doucement le loeꝛa,3,l-52v-1-2,52v,1,
27,/Meꝛe a/roy Jhesucriſt pitex,3,l-52v-1-3,52v,1,
28,Sanz faillir trouveꝛ ipoꝛra,3,l-52v-1-4,52v,1,
29,Amours ceꝛtes bien lendempta,3,l-52v-1-5,52v,1,
30,Quant en ton coꝛps fu ces oſtiex,3,l-52v-1-6,52v,1,
31,Par ce devint il hons charnieus,3,l-52v-1-7,52v,1,
32,Moult en fumes tous eureus,3,l-52v-1-8,52v,1,
33,Quar [de] moꝛt tous nous racheta,3,l-52v-1-9,52v,1,
34,Quant on perca ces mains declous,3,l-52v-1-10,52v,1,
35,En crois ou mourut en goiſſous,3,l-52v-1-11,52v,1,
36,Tout noiant tes iex /maria,3,l-52v-1-12,52v,1,
37,Gracia fu eſt et ſeꝛa,4,l-52v-1-13,52v,1,
