line_no,text,lg,l_id,folio,col,speaker
1,Gieffroy qui voit que la matire,1,l-143r-1-1,143r,1,
2,De ceſtui monde mal ſ'atire,1,l-143r-1-2,143r,1,
3,Faindꝛe veult matire nouele,1,l-143r-1-3,143r,1,
4,Selonc ce que Diex le reuele,1,l-143r-1-4,143r,1,
5,D'un ſaint que l'en doit aourer,1,l-143r-1-5,143r,1,
6,Deuotement et honoꝛer,1,l-143r-1-6,143r,1,
7,Car il eſt partout renommez,1,l-143r-1-7,143r,1,
8,Et cilz eſt /saint baccus nommez,1,l-143r-1-8,143r,1,
9,L'en fait feſte de pluiſeurs ſains,1,l-143r-1-9,143r,1,
10,Mais /saint baccys ſoit clers et ſains,1,l-143r-1-10,143r,1,
11,Fait et fait a de vertus maintes,1,l-143r-1-11,143r,1,
12,Et plus que ne fiſt sains ne ſaintes,1,l-143r-1-12,143r,1,
13,Et qui ſes poinnes conteroit,1,l-143r-1-13,143r,1,
14,Plus grant martyr le trouveroit,1,l-143r-1-14,143r,1,
15,Qu'enul ſaint dont l'en volt puis lire,1,l-143r-1-15,143r,1,
16,Et poꝛ ce a il quant au voir dire,1,l-143r-1-16,143r,1,
17,Plus grant loier en paradis,1,l-143r-1-17,143r,1,
18,Que ſaint nul qui la fuſt jadis,1,l-143r-1-18,143r,1,
19,Ne qui puiſt jamais auſſinc eſtre,1,l-143r-1-19,143r,1,
20,Et pour miex la choſe conneſtre,1,l-143r-1-20,143r,1,
21,Dire vous veil ſa ſainte vie,1,l-143r-1-21,143r,1,
22,Si que chaſcuns y eſtudie,1,l-143r-1-22,143r,1,
23,Ciſt /ſains baccus ſelonc l'yſtoire,2,l-143r-1-23,143r,1,
24,D'oultremer vint,2,l-143r-1-24,143r,1,
25,C'eſt choſe voire.,2,l-143r-1-25,143r,1,
26,D'un pays qui moult eſt loe,2,l-143r-1-26,143r,1,
27,Nez d'une fille qu'ot /Noue,2,l-143r-2-1,143r,2,
28,Qui vingne fu loꝛs apellee,2,l-143r-2-2,143r,2,
29,Dont le non et la renommee,2,l-143r-2-3,143r,2,
30,Eſt alee par tous pays.,2,l-143r-2-4,143r,2,
31,Si n'en eſt pas ſon filz hays.,2,l-143r-2-5,143r,2,
32,C'eſt /saint baccus que je vous nomme,2,l-143r-2-6,143r,2,
33,Mais l'en doit amer chaſcun home,2,l-143r-2-7,143r,2,
34,A saint baccus va l'en requerre,2,l-143r-2-8,143r,2,
35,Oultremer et partoute terre,2,l-143r-2-9,143r,2,
36,Sa ſaintee ſi deſclairie,2,l-143r-2-10,143r,2,
37,Car il fait miracles et ſignes,2,l-143r-2-11,143r,2,
38,Tel c'onques ſaint ne fiſt ſi dignes,2,l-143r-2-12,143r,2,
39,Les muez fait jangoillier,3,l-143r-2-13,143r,2,
40,Et les non veans rooillier,3,l-143r-2-14,143r,2,
41,Les coꝛrouciez fait eſioir,3,l-143r-2-15,143r,2,
42,Et les contrais coꝛre et foir,3,l-143r-2-16,143r,2,
43,Les deſconfoꝛtez il confoꝛte,3,l-143r-2-17,143r,2,
44,A ceus que comme moꝛt l'en poꝛte,3,l-143r-2-18,143r,2,
45,Fait il l'eſperit revenir,3,l-143r-2-19,143r,2,
46,Couleur et bon ſanc maintenir,3,l-143r-2-20,143r,2,
47,Et les malades ſeult aidier,3,l-143r-2-21,143r,2,
48,Et les aduocas fait plaidier,3,l-143r-2-22,143r,2,
49,Et ſi fait les couars hardis,3,l-143r-2-23,143r,2,
50,Et les pareceus et tardis,3,l-143r-2-24,143r,2,
51,Fait il aler iſnelement,3,l-143r-2-25,143r,2,
52,Et aguiſe l'entendement,3,l-143r-2-26,143r,2,
53,Et a ceulz qui li font outrage,3,l-143r-2-27,143r,2,
54,Le ſens oſte et parlerendage,3,l-143r-2-28,143r,2,
55,Com oiſel les fait puis les bat,3,l-143r-2-29,143r,2,
56,Si qu'a terre jus les abat,3,l-143r-2-30,143r,2,
57,Et les fait com demoniacles,3,l-143r-2-31,143r,2,
58,Ne ſont ce pas douteus miracles,3,l-143r-2-32,143r,2,
59,Seigniez vous et recommandez,3,l-143r-2-33,143r,2,
60,A Dieu et grace demandez,3,l-143r-2-34,143r,2,
61,A /saint baccus ſi qu'il la face,3,l-143r-2-35,143r,2,
62,Car il a ſi tres douce face,3,l-143r-2-36,143r,2,
63,Qu'il oint les coꝛps et aſſouage,3,l-143r-2-37,143r,2,
64,De toute doleur et malage.,3,l-143r-2-38,143r,2,
65,Mais li dyables enuieus,3,l-143v-1-1,143v,1,
66,Qui tous joꝛs eſt malicieus,3,l-143v-1-2,143v,1,
67,Par fauſſeté de mal eſtude,3,l-143v-1-3,143v,1,
68,/Sains bacus deſraciner cuide,3,l-143v-1-4,143v,1,
69,Et li metre a deſtruction,3,l-143v-1-5,143v,1,
70,Par fole conſpiration.,3,l-143v-1-6,143v,1,
71,Et ainſi ot en tel maniere,3,l-143v-1-7,143v,1,
