line_no,text,lg,l_id,folio,col,speaker
1,Toutes bones gens doivent Oyr le bien retraire,1,l-115r-2-4,115r,2,
2,De Dieu et de /ſa Mere Qui tant eſt debonnaire,1,l-115r-2-5,115r,2,
3,Oſter ſ'en puet on bien De pechier de mal faire,1,l-115r-2-6,115r,2,
4,Oꝛ vous dirai bon dit Qui ne me fera taire,1,l-115r-2-7,115r,2,
5,Vous ſavez tous et toutes Qui ſert /ſainte Marie,2,l-115r-2-8,115r,2,
6,De bon cuer et de vrai Sans point de vilonnie,2,l-115r-2-9,115r,2,
7,Ou a l'ame ou au coꝛps Quant la char eſt poꝛrie,2,l-115r-2-10,115r,2,
8,A .c. doubles li rent En ceſte moꝛtel vie.,2,l-115r-2-11,115r,2,
9,Un moult tres bel example Iſſy vous en devis,3,l-115r-2-12,115r,2,
10,Comme /la Dame rent Loier a ſes amis.,3,l-115v-1-1,115v,1,
11,El les ſcet bien hoꝛs traire Des mains aus ennemis,3,l-115v-1-2,115v,1,
12,Que tous joꝛs eſt en paine D'oſter nos bons avis,3,l-115v-1-3,115v,1,
13,Il avint a /Narbonne Qui eſt riche cité,4,l-115v-1-4,115v,1,
14,Une bourgoiſe y ot Plaine de charité,4,l-115v-1-5,115v,1,
15,Mais l'ainemi qui eſt Si plain d'iniquité,4,l-115v-1-6,115v,1,
16,L'agrapa et li fiſt Paine et adverſité,4,l-115v-1-7,115v,1,
17,La bourgoiſe eſtoit riche Si ot .i. bel enfant,5,l-115v-1-8,115v,1,
18,A l'eſcole fu mis Si com le truis liſant,5,l-115v-1-9,115v,1,
19,Les compaignons ſuivoit Quant il fu .i. po grant,5,l-115v-1-10,115v,1,
20,La richeté ſa mere Aloit foꝛment gaſtant,5,l-115v-1-11,115v,1,
21,La mere l'amoit moult Car plus d'enfans n'avoit,6,l-115v-1-12,115v,1,
22,Trop debonnairement Son meffait li mouſtroit,6,l-115v-1-13,115v,1,
23,Mais il par ſa foleur Croire ne la voloit,6,l-115v-1-14,115v,1,
24,Quanqu'il pooit tenir Tantoſt aus dez jouoit,6,l-115v-1-15,115v,1,
25,Li vallés ſi mena Par lonc temps ceſte vie,7,l-115v-1-16,115v,1,
26,La boꝛjoise ſa mere En fu moult coꝛroucie,7,l-115v-1-17,115v,1,
27,Elle a mandé grant part Du miex de ſa lignie,7,l-115v-1-18,115v,1,
28,A ſon filz vouldꝛa faire De tous ſes biens partie,7,l-115v-1-19,115v,1,
29,Quant furent aſſamblé La dame leur mouſtra,8,l-115v-2-1,115v,2,
30,Comment ſon filz le ſien. Vilainnement gaſta,8,l-115v-2-2,115v,2,
31,Sa part veil que il ait Et puis ſi en fera,8,l-115v-2-3,115v,2,
32,Toute ſa volenté Quant devant lui l'avra.,8,l-115v-2-4,115v,2,
33,Vous eſt il bien avis Que je die raiſon.,9,l-115v-2-5,115v,2,
34,Oil font li parent Mais il eſt fol garcon.,9,l-115v-2-6,115v,2,
