line_no,text,lg,l_id,folio,col,speaker
1,Pour donner [par ]exemple Proueſce et hardement,1,l-247r-1-1,247r,1,
2,Pecheeurs pechereſſes Qui pechent moꝛtelment,1,l-247r-1-2,247r,1,
3,Veul recoꝛder un dit A touz communement,1,l-247r-1-3,247r,1,
4,Ou chaſcun poꝛra prendꝛe Moult biau chaſtiement,1,l-247r-1-4,247r,1,
5,Pour lui hardiement Geter de ſes pechiez,2,l-247r-1-5,247r,1,
6,Qu'il ne ſoit des dëables U puis d'enfer ſachiez,2,l-247r-1-6,247r,1,
7,Regardons comment Diex Fu pour nous clofichiez,2,l-247r-1-7,247r,1,
8,Et par piez et par mains. En la croiz atachiez,2,l-247r-1-8,247r,1,
9,De tres parfaite amour loiaument nous ama,3,l-247r-1-9,247r,1,
10,Quant pour nous tel tourment Et tel moꝛt endura,3,l-247r-1-10,247r,1,
11,Pour nous bꝛiſa enfer Et hoꝛs nous en geta,3,l-247r-1-11,247r,1,
12,Paradiz et ſa gloire Tout nous abandona,3,l-247r-1-12,247r,1,
13,Dont quant il nous crea Et fiſt en ſa ſamblance,4,l-247r-2-1,247r,2,
14,Et pour nous fu clofis; Et ferus de la lance.,4,l-247r-2-2,247r,2,
15,Nous ne devons pas metre Tel oeuvre en oubliance,4,l-247r-2-3,247r,2,
16,Ainz devons vers li querre Et pais et acoꝛdance,4,l-247r-2-4,247r,2,
17,Car li anemis eſt Soutil de nous ſuſprendꝛe.,5,l-247r-2-5,247r,2,
18,Et en ſez laz nous fait Trebuchier et deſcendꝛe,5,l-247r-2-6,247r,2,
19,Nous nous poons moult bien Encontre li deffendꝛe,5,l-247r-2-7,247r,2,
20,Par confeſſion vraie Li poons granz coups rendꝛe,5,l-247r-2-8,247r,2,
21,Si toſt com le dëable A le pecheur feru.,6,l-247r-2-9,247r,2,
22,Du baſton de pechié; Et il l'a abatu,6,l-247r-2-10,247r,2,
23,Le pecheur doit pꝛendꝛe L'eſpee de vertu,6,l-247r-2-11,247r,2,
24,Ja puis par l'anemi Ne puet eſtre vaincu,6,l-247r-2-12,247r,2,
