line_no,text,lg,l_id,folio,col,speaker
1,L'eſcripture teſmoingne Et nous fait aſavoir,1,l-36v-1-7,36v,1,
2,Que chaſcuns et chaſcune Qui a ſens et ſavoir,1,l-36v-1-8,36v,1,
3,Doit en ſa plaine vie Faire ſi ſon devoir,1,l-36v-1-9,36v,1,
4,Par quoi il puiſt aler En paradis ſeoir,1,l-36v-1-10,36v,1,
5,Car nus ne ſet le jour Ne l'eure qu'il mourra,2,l-36v-1-11,36v,1,
6,Ne nus ne ſet quel part L'ame de lui ira,2,l-36v-1-12,36v,1,
7,Au deſtroit de la moꝛt Quant du coꝛps partira,2,l-36v-1-13,36v,1,
8,Dieus nous fiſt et deſfait Et tous nous deſfeꝛa,2,l-36v-1-14,36v,1,
9,Chaſcun i doit penſeꝛ Qui a entendement,3,l-36v-2-1,36v,2,
10,Qu'il nous convient paſſeꝛ Par la moꝛt qui tout pꝛent,3,l-36v-2-2,36v,2,
11,Car nus ne puet veꝛs Lui avoir deſfandement,3,l-36v-2-3,36v,2,
12,Pour ce doit on a l'ame Queꝛir ſon ſauvement,3,l-36v-2-4,36v,2,
13,Ainſi com firent ceuls Dont vous m'oꝛrez retraire,4,l-36v-2-5,36v,2,
14,Ou chaſcun pourra penre .I. moult bel eſſemplaire,4,l-36v-2-6,36v,2,
15,Je le recoꝛdeꝛai ſ'il ne Vous doit deſplaire,4,l-36v-2-7,36v,2,
16,Que Dieus nous doint ſ'amour Et ſa voulenté faire,4,l-36v-2-8,36v,2,
17,Trois moult nobles chanoines Furent au temps jadis,5,l-36v-2-9,36v,2,
18,Qui eſtoient moult riche Et enfoꝛcié d'amis,5,l-36v-2-10,36v,2,
19,Et s'eſtoient pꝛeudomme Et en fais et en dis,5,l-36v-2-11,36v,2,
20,De bonté de largeſce Avoient los et pꝛis,5,l-36v-2-12,36v,2,
21,Et tant que chevauchoient enſemble a .i. matin,6,l-36v-2-13,36v,2,
22,Par mi .i. cemetieꝛe Toꝛneꝛent leur chemin,6,l-36v-2-14,36v,2,
23,Pour les ames des coꝛps Prieꝛent de cueꝛ fin,6,l-36v-2-15,36v,2,
24,Au roi qui touz jours ieꝛt Et qui ja n'avra fin,6,l-36v-2-16,36v,2,
25,Li ainſné de ces trois Commanca a penſer,7,l-36v-2-17,36v,2,
26,Que parmi celle moꝛt Les convendꝛa paſſeꝛ,7,l-36v-2-18,36v,2,
27,En ſen ce pourpenſa Et pꝛiſt a ſoupirieꝛ,7,l-36v-2-19,36v,2,
28,Grant piece chevaucha C'onques ne pot parleꝛ,7,l-37r-1-1,37r,1,
29,Et li autre doi furent En itelle pensee,8,l-37r-1-2,37r,1,
30,L'un ne parla a l'autre De pꝛés d'une luee,8,l-37r-1-3,37r,1,
31,Li ainſnés a pꝛemieꝛs Sa raiſon deviſſee,8,l-37r-1-4,37r,1,
32,Loꝛs chevauchent enſemble S'ont leur raiſon contee,8,l-37r-1-5,37r,1,
33,Seigneurs par celle foi Que vous a Dieu devez,9,l-37r-1-6,37r,1,
34,Oꝛ me dites pourquoi Eſtez ſi tres penſez,9,l-37r-1-7,37r,1,
35,Voulentieꝛs diſt li uns Mes vous me redirés,9,l-37r-1-8,37r,1,
36,Par quel miracle Eſtez ci abomés,9,l-37r-1-9,37r,1,
37,Cil reſpont biau compains Ne vous mentirai mie,10,l-37r-1-10,37r,1,
38,Je penſe qu'il n'eſt nulz Qui ne peꝛde l'ame,10,l-37r-1-11,37r,1,
39,Tous nous convient mourir Comment que chaſcun die,10,l-37r-1-12,37r,1,
40,Il n'eſt nus que la moꝛt Ne face departie,10,l-37r-1-13,37r,1,
41,Li autre reſpondi conpains Vous dites voir,11,l-37r-1-14,37r,1,
42,Tous nous convient moꝛir Chaſcun le puet ſavoir,11,l-37r-1-15,37r,1,
43,Il n'eſt ſi grant richeſce Qui nous i puiſt valoir,11,l-37r-1-16,37r,1,
44,Chaſcun qui ſages eſt S'en puet apeꝛcevoir,11,l-37r-1-17,37r,1,
45,Les .iii. chanoines furent enſemble d'un acoꝛt,12,l-37r-1-18,37r,1,
46,Touz furent du courage De penſeꝛ a la moꝛt,12,l-37r-1-19,37r,1,
47,Seigneur dist li ainſnés Entendez mon recoꝛt,12,l-37r-2-1,37r,2,
48,Toute ma conſcience Me repꝛent et remoꝛt,12,l-37r-2-2,37r,2,
49,Je weil laiſſieꝛ richeſce Et penre povreté,13,l-37r-2-3,37r,2,
50,Et ſeꝛvir Jhesucriſt En fine loiauté,13,l-37r-2-4,37r,2,
51,Li autre reſpondi J'en ai grant voulenté,13,l-37r-2-5,37r,2,
52,Le tieꝛs diſt auſſi veu ge Maintenir loyauté,13,l-37r-2-6,37r,2,
53,Les .iii. compaingnons Si d'une aliance,14,l-37r-2-7,37r,2,
54,Et firent enveꝛs Dieu Si tres feꝛme acoꝛdance,14,l-37r-2-8,37r,2,
55,De vivre en povreté Et ſouſfrir grant penance,14,l-37r-2-9,37r,2,
56,Par quoi de leur pechiez Euſſent acoꝛdance,14,l-37r-2-10,37r,2,
57,Et diſtrent que jamés il ne retoꝛneront,15,l-37r-2-11,37r,2,
58,Ainz iront en eſſil Sainte vie merront,15,l-37r-2-12,37r,2,
59,A Vaucleꝛ l'abaie Leur chevaus laiſſeront,15,l-37r-2-13,37r,2,
60,Leur robes leur denieꝛs Pour l'amour Dieu donront,15,l-37r-2-14,37r,2,
61,Ainſi comme il le diſtrent le firent bonnement,16,l-37r-2-15,37r,2,
62,A Vaucleꝛ l'abaie S'en vont iſnelement,16,l-37r-2-16,37r,2,
63,Leur robes leur denieꝛs Donneꝛent au couvent,16,l-37r-2-17,37r,2,
64,Chaſcun d'un gros burel Se veſti povrement,16,l-37r-2-18,37r,2,
65,De la ſe departirent Si ſont acheminé,17,l-37r-2-19,37r,2,
66,Quant vint a l'endemain Siſe ſont deſſevré,17,l-37v-1-1,37v,1,
67,Au departir pleurerent Si ſont entr'acolé,17,l-37v-1-2,37v,1,
68,Deleur nons ſaige Bien dire la verité,17,l-37v-1-3,37v,1,
69,Li uns ot non Felix Ainſi l'apeloit on,18,l-37v-1-4,37v,1,
70,Cil ala demourer Tout dꝛoit a Beſancon,18,l-37v-1-5,37v,1,
71,La ſouſfri povreté En grant devoſcion,18,l-37v-1-6,37v,1,
72,Et du ſecont apꝛés Vous dirai je le non,18,l-37v-1-7,37v,1,
73,Il ot non Dieudonné Outre meꝛ ſ'en ala,19,l-37v-1-8,37v,1,
74,En Jeꝛuſalem fu Grant piece i conveꝛſa,19,l-37v-1-9,37v,1,
75,Tout dꝛoit en Antioche Li autres ſ'en ala,19,l-37v-1-10,37v,1,
76,La devint il reclus Sainte vie mena,19,l-37v-1-11,37v,1,
77,Il ot non Bonniface La fiſt ſa demouree,20,l-37v-1-12,37v,1,
78,Moult bon los i queilli De ceus de la contree,20,l-37v-1-13,37v,1,
79,Dieu ſeꝛvi et ſa Mere De cueꝛ et de pensee,20,l-37v-1-14,37v,1,
80,A Felix ſon compains Feꝛai ma retoꝛnee,20,l-37v-1-15,37v,1,
81,A Beſancon ala Moult fu bonne ſa vie,21,l-37v-1-16,37v,1,
82,D'oꝛgueil ne de boban N'ot talent ne d'envie,21,l-37v-1-17,37v,1,
83,Pourement ſe maintint Ainſi comme en folie,21,l-37v-1-18,37v,1,
84,Les enfans li faiſſoient Aſſez grant vilonnie,21,l-37v-1-19,37v,1,
85,La boue li getoient Et ſavates et fiens,22,l-37v-2-1,37v,2,
86,De quant que li faiſſoient Ne diſſoit nule riens,22,l-37v-2-2,37v,2,
87,Plus de .vii. ans entieꝛs Ne mengoit nulle riens,22,l-37v-2-3,37v,2,
88,Quant il vouloit mengier Il le toloit aus chiens,22,l-37v-2-4,37v,2,
89,Toutes les nuis aloit En une viez chapelle,23,l-37v-2-5,37v,2,
90,La ſeꝛvoit Jhesucriſt Et la Vieꝛge pucelle,23,l-37v-2-6,37v,2,
91,Sus les pierres giſſoit En pure ſa cotelle,23,l-37v-2-7,37v,2,
92,La fiſt tel penitance Qui li fu bonne et belle,23,l-37v-2-8,37v,2,
93,Au temps que je vous di Avoit a Beſancon,24,l-37v-2-9,37v,2,
94,.I. r[i]che chevalier Et de moult grant renon,24,l-37v-2-10,37v,2,
95,Entre lui et un pꝛeſtre Oꝛent moult grant tencon,24,l-37v-2-11,37v,2,
96,Et plaidierent enſemble Ne ſai par quel raiſon,24,l-37v-2-12,37v,2,
97,Le chevalieꝛ perdi Par loial jugement,25,l-37v-2-13,37v,2,
98,Le preſtre le fiſt metre En eſcommenjement,25,l-37v-2-14,37v,2,
99,Le chevalieꝛ eſtoit Oꝛguilleus malement,25,l-37v-2-15,37v,2,
100,Aupreſtre ne daigna Obeir nullement,25,l-37v-2-16,37v,2,
101,En eſcommenjement Veſqui et en oꝛdure,26,l-37v-2-17,37v,2,
102,De li faire raſoudꝛe N'avoit talent ne cure,26,l-37v-2-18,37v,2,
103,Ens el mouſtieꝛ entra Courouciez en ardure,26,l-37v-2-19,37v,2,
104,Le pꝛeſtre pour chanter Ot pꝛis ſa veſteure,26,l-38r-1-1,38r,1,
105,Ainſi comme il vouloit La meſſe commancieꝛ,27,l-38r-1-2,38r,1,
106,Le chevalieꝛ atrait .I. bꝛanc foꝛbi d'acieꝛ,27,l-38r-1-3,38r,1,
107,Du pꝛeſtre ſ'apꝛocha Le chief li va trenchieꝛ,27,l-38r-1-4,38r,1,
108,Et par devant l'autel Le fiſt jus trebuchieꝛ,27,l-38r-1-5,38r,1,
109,Le chevalier ſ'en tourne Plus n'i fiſt demouree,28,l-38r-1-6,38r,1,
110,Au pꝛeſtre qui fu moꝛs Fu moult grant l'aſemblee,28,l-38r-1-7,38r,1,
111,Au mouſtieꝛ Saint Loꝛens Ont la foſſe cavee,28,l-38r-1-8,38r,1,
112,Li ami de par li on grant Doulour menee,28,l-38r-1-9,38r,1,
113,Le chevalieꝛ ſ'apenſe qu'il ſe veut amendeꝛ,29,l-38r-1-10,38r,1,
114,Tantoſt au penancieꝛ Ala pour confeſſieꝛ,29,l-38r-1-11,38r,1,
115,Tous ces pechiez li conte Ne li volt riens celeꝛ,29,l-38r-1-12,38r,1,
116,Cil diſt qu'il ne le puet Nullement conſeillieꝛ,29,l-38r-1-13,38r,1,
117,Le chevalieꝛ ſ'en tourne Courouciez et plain d'ire,30,l-38r-1-14,38r,1,
118,A l'arceveſque ala Sa conſcience dire,30,l-38r-1-15,38r,1,
119,L'veſteure li diſt Alez vous ent biauſire,30,l-38r-1-16,38r,1,
120,Car je ne vous pourroie Aidieꝛ de tel martire,30,l-38r-1-17,38r,1,
121,Alez a l'apoſtole qui vous conſeillera,31,l-38r-1-18,38r,1,
122,Car il eſt Dieu en terre Moult bien vous aſoudꝛa,31,l-38r-1-19,38r,1,
123,Le chevalieꝛ a tant D'ilecques ſ'en toꝛna,31,l-38r-2-1,38r,2,
124,A l'apoſtole vint Tout ſon fait li conta,31,l-38r-2-2,38r,2,
125,Quant le chevalier ot tout Son fait raconté,32,l-38r-2-3,38r,2,
126,De l'escommingement Ou il ot tant eſté,32,l-38r-2-4,38r,2,
127,Et du pꝛeſtre qu'il ot Devant l'autel tué,32,l-38r-2-5,38r,2,
128,Le pappe le regarde Puis li a demandé,32,l-38r-2-6,38r,2,
129,Biaus amis pour quel cas Tuas tu le pꝛeudomme,33,l-38r-2-7,38r,2,
130,Le pechié eſt ſi grant Que je n'en ſai la ſomme,33,l-38r-2-8,38r,2,
131,Qu'au ſeꝛviſe de Dieu Tu tuas la perſonne,33,l-38r-2-9,38r,2,
132,Qui couchoit et levoit Celui qui tous bien donne,33,l-38r-2-10,38r,2,
133,Tu demourras hui mes Et je m'aviſſeꝛai,34,l-38r-2-11,38r,2,
134,Et demain au matin Je te conſeilleꝛai,34,l-38r-2-12,38r,2,
135,Et ſelonc le pechié Penance te donrai,34,l-38r-2-13,38r,2,
136,Le chevalieꝛ reſpont Voulentieꝛs le ferai,34,l-38r-2-14,38r,2,
137,Le chevalier ſen part Le pappe ſ'aviſſa,35,l-38r-2-15,38r,2,
138,Il meiſmes ſon coꝛs Le ſeꝛviſce chanta,35,l-38r-2-16,38r,2,
139,U ſecré de la meſſe Au coꝛs Dieu demanda,35,l-38r-2-17,38r,2,
140,Comment au penancieꝛ Penitance donra,35,l-38r-2-18,38r,2,
141,Le Roi de paradis Entendi ſa pꝛieꝛe,36,l-38r-2-19,38r,2,
142,.I. angre li tramiſt Qui giete grant lumieꝛe,36,l-38v-1-1,38v,1,
143,.I. bꝛief li apoꝛta Et li diſt la manieꝛe,36,l-38v-1-2,38v,1,
144,Quant le pappe le voit Si a levé la chieꝛe,36,l-38v-1-3,38v,1,
145,Dedens le bꝛief trouva Ce que Dieus li mandoit,37,l-38v-1-4,38v,1,
146,Comant en Antioche Celui envoieroit,37,l-38v-1-5,38v,1,
147,Parler a Bonniface Qui reclus i eſtoit,37,l-38v-1-6,38v,1,
148,Grant paine et grant travail Souſfrir li convenoit,37,l-38v-1-7,38v,1,
149,Quant ce vint l'andemain Le chevalier revint,38,l-38v-1-8,38v,1,
150,Quant il coiſiſt le pappe Simplement ſe maintint,38,l-38v-1-9,38v,1,
151,La lectre de par Dieu En ſa deſtre main tint,38,l-38v-1-10,38v,1,
152,Quant le pappe le voit De li bien li ſouvint,38,l-38v-1-11,38v,1,
153,Biaus filz ce diſt le pappe Tu iras outremer,39,l-38v-1-12,38v,1,
154,En la ciſt d'Entioche A un home parler,39,l-38v-1-13,38v,1,
155,Il a non Boniface Se tu le veus trouver,39,l-38v-1-14,38v,1,
156,Il te pourra moult bien De ton fait confoꝛteꝛ,39,l-38v-1-15,38v,1,
157,Le chevalier lentant Si fu moult eſmaiez,40,l-38v-1-16,38v,1,
158,A l'apoſtole a dit dolens Et courrouciez,40,l-38v-1-17,38v,1,
159,A cil plus grant povoir La ou vous m'envoiez,40,l-38v-1-18,38v,1,
160,Que vous qui eſtez Dieu En terre touz jugiez,40,l-38v-1-19,38v,1,
161,Le pappe reſpondi Dieu le veult et commande,41,l-38v-2-1,38v,2,
162,Sire dont irai je Puis que Dieu le me mande,41,l-38v-2-2,38v,2,
163,A ce mot ſ'en parti Et le congié demande,41,l-38v-2-3,38v,2,
164,Quant il fu loins de Romme S'entra en une lande,41,l-38v-2-4,38v,2,
165,Maint ſauvage pais trouva Et mainte roche,42,l-38v-2-5,38v,2,
166,Quant il fu outremeꝛ S'ala en Antioche,42,l-38v-2-6,38v,2,
167,Des eſpeꝛons tranchans Souvent le cheval bꝛoche,42,l-38v-2-7,38v,2,
