line_no,text,lg,l_id,folio,col,speaker
1,Hom de gent de vaillance eſtrait,1,l-280r-1-39,279v,1,
2,Les poins de nature Meſtrais.,1,l-280r-1-40,279v,1,
3,Se le main en ton cuer aſſambles,1,l-280r-1-41,279v,1,
4,et les pꝛeudommes ne reſambles,1,l-280r-1-42,279v,1,
5,Dont tu ies eſtrais et venus,1,l-280r-1-43,279v,1,
6,et ſe tu es mauvais tenus,1,l-280r-1-44,279v,1,
7,C'eſt .i. lais nons et deſpiteuz,1,l-280r-1-45,279v,1,
8,Moult deuroies eſtre honteuz,1,l-280r-1-46,279v,1,
9,Se tu te conniſſoies bien.,1,l-280r-1-47,279v,1,
10,Quant de ton cuer oſtes le bien,1,l-280r-1-48,279v,1,
11,et au retenir le mal tens,1,l-280r-1-49,279v,1,
12,Oꝛ ce trai ca et ſi m'entens,1,l-280r-1-50,279v,1,
13,et ſi pꝛen garde a mon chaſtoi,1,l-280r-1-51,279v,1,
14,Tu fais tu premier honte a toi,1,l-280r-1-52,279v,1,
15,Apres a ceulz qui t'apartiennent,1,l-280r-1-53,279v,1,
16,Quant les genz loꝛ parlement tiennent,1,l-280r-1-54,279v,1,
17,De toi en mal c'eſt honte lais,1,l-280r-1-55,279v,1,
18,Puis que le bien a faire lais,1,l-280r-1-56,279v,1,
19,Que tu doiz faire par nature,1,l-280r-1-57,279v,1,
20,Par dꝛoit doit gentiex creature,1,l-280r-1-58,279v,1,
21,As gentiex dont elle iſt retraire,1,l-280r-1-59,279v,1,
22,Dont tu doiz en ton cuer a traire,1,l-280r-1-60,279v,1,
23,Nul vilain vice et ſ'il y eſt,1,l-280r-1-61,279v,1,
24,Ne li doiz laiſſier faire arreſt,1,l-280r-1-62,279v,1,
25,Car li homs eſtrais de noblece,1,l-280r-1-63,279v,2,
26,A le cuer plain de grant foiblece,1,l-280r-1-64,279v,2,
27,Se vilonnie hoꝛs n'en chace,1,l-280r-1-65,279v,2,
28,et cil qui ſa honte pourchace,1,l-280r-1-66,279v,2,
29,Aſſez legierement y vient,1,l-280r-1-67,279v,2,
30,et ceſt choſe qui mal avient,1,l-280r-1-68,279v,2,
31,A celui qui gentiex doit eſtre,1,l-280r-1-69,279v,2,
32,Quant on le tiont de vilain eſtre,1,l-280r-1-70,279v,2,
33,Dont Diex et li mondes le het,1,l-280r-1-71,279v,2,
34,S'en diſt chaſcuns du pris qu'il ſet,1,l-280r-1-72,279v,2,
35,Pour ce qu'il ne fait ce qu'il doit,1,l-280r-1-73,279v,2,
36,L'un ſe fait enſeignier au doit,1,l-280r-1-74,279v,2,
37,Qui diſt ja mules ne ſera,1,l-280r-1-75,279v,2,
38,Li autres diſt qu'il paſſera,1,l-280r-1-76,279v,2,
39,Les mauvais car il queurt apres,1,l-280r-1-77,279v,2,
40,et enſement et loing et pꝛés,1,l-280r-1-78,279v,2,
41,En diſt chaſcuns laide parole,1,l-280r-1-79,279v,2,
42,et aucuns quant on en parole,1,l-280r-1-80,279v,2,
43,Met par contraire au fier ſa main,1,l-280r-1-81,279v,2,
44,et diſt ſ'on en parloit au main,1,l-280r-1-82,279v,2,
45,On n'en ſeroit ja le jour aiſe,1,l-280r-1-83,279v,2,
46,Enſi ſa maniere mauvaiſe,1,l-280r-1-84,279v,2,
47,En fait par tout dire lait conte,1,l-280r-1-85,279v,2,
48,Ja m'amera honour qui honte,1,l-280r-1-86,279v,2,
49,Ne crient a toi le faiz ſauoir,1,l-280r-1-87,279v,2,
50,Hom ſe tu veulz honour avoir,1,l-280r-1-88,279v,2,
51,Crien honte a honour paruendꝛas,1,l-280r-1-89,279v,2,
52,Puis qu'en ceſt chemin te tendꝛas,1,l-280r-1-90,279v,2,
53,Sanz faille ſe tu as eur,1,l-280r-1-91,279v,2,
