line_no,text,lg,l_id,folio,col,speaker
1,Moult eſt bone acoi[n]tance D'eſtoire bone gent,1,l-112r-2-1,112r,2,
2,Bien m'en puis p[er]cevoir Et en maint lieu ſouvent,1,l-112r-2-2,112r,2,
3,Que quant je dis .i. dit A tous generaument,1,l-112r-2-3,112r,2,
4,Car il nous convient vivre Des bons pꝛemierement,1,l-112r-2-4,112r,2,
5,Jadis .I. chevalier fu Moult nobles et biaus,2,l-112r-2-5,112r,2,
6,Riches hons fu de villes Et de nobles chaſtiaus,2,l-112r-2-6,112r,2,
7,Et ot en ſa jonece Aſſez de cens aniaus,2,l-112r-2-7,112r,2,
8,Il ne li eſchapoit Ne tournois ne cembiaus,2,l-112r-2-8,112r,2,
9,Quant il n'ot que deſpendꝛe On n'avoit de li cure,3,l-112r-2-9,112r,2,
10,On le tenoit poꝛ vil Con garcon qui eſcure,3,l-112r-2-10,112r,2,
11,En folement deſpendꝛe Avoit miſe ſa cure,3,l-112r-2-11,112r,2,
12,Sa joie li toꝛna A grant doloꝛ obſcure,3,l-112r-2-12,112r,2,
13,Du leu l'eſtuet partir Qu'il n'i pot plus remaindꝛe,4,l-112r-2-13,112r,2,
14,Sa char li commenca A palir et a taindꝛe,4,l-112v-1-1,112v,1,
15,Loꝛs ſe pꝛiſt en ſon cuer Durement a complaindꝛe,4,l-112v-1-2,112v,1,
16,N'ot vile ne maiſon Ou il peüſt remaindꝛe,4,l-112v-1-3,112v,1,
17,Hé las dolans diſt il com dure deſtinee,5,l-112v-1-4,112v,1,
18,Quant m'en convient fouir En eſtrange contree,5,l-112v-1-5,112v,1,
19,Et ſi ne metrai hoꝛs Ne lance ne eſpee,5,l-112v-1-6,112v,1,
20,Vous me veilliez aidier /Sainte Virge honoꝛee,5,l-112v-1-7,112v,1,
21,Toute joꝛ chevaucha bien li dut ennuier,6,l-112v-1-8,112v,1,
22,Dedens .i. bois entra Grant et lonc et plenier,6,l-112v-1-9,112v,1,
23,El mileu de ce bois Rataint .i. eſcuier,6,l-112v-1-10,112v,1,
24,Triſte et dolant de cuer N'i ot que coꝛroucier,6,l-112v-1-11,112v,1,
25,Le chevalier l'apelle Et ſi l'araiſonna,7,l-112v-1-12,112v,1,
26,Amis /celi te gart Qui le monde foꝛma,7,l-112v-1-13,112v,1,
27,Reſpont li eſcuiers Il ne m'aidera ja,7,l-112v-1-14,112v,1,
28,Bien me ſui perceü Que onques ne m'ama.,7,l-112v-1-15,112v,1,
29,J'ai le mien deſpendu Et gaſté par folie,8,l-112v-1-16,112v,1,
30,Si ne m'en eſt remez Vaill[iss]ant une aillie,8,l-112v-1-17,112v,1,
31,Oꝛ m'en convient fouir Tous ſeulz ſans compaignie,8,l-112v-1-18,112v,1,
32,Et ſi ne ſai meſtier Dont me cheviſſe mie,8,l-112v-1-19,112v,1,
33,Larron et murtrier Me convient devenir,9,l-112v-2-1,112v,2,
34,Je ne me puis mie De fain leſſier moꝛir,9,l-112v-2-2,112v,2,
35,Bien ſai que par ce tour Me convendꝛa venir,9,l-112v-2-3,112v,2,
36,Se je truis compaignon Bien me cuide chevir,9,l-112v-2-4,112v,2,
37,Reſpont le chevalier Compains avez trouvé,10,l-112v-2-5,112v,2,
38,Auſſi ai je le mien Deſpendu et gaſté,10,l-112v-2-6,112v,2,
39,Oꝛ m'en couvent fouir Tous ſeulz par povreté,10,l-112v-2-7,112v,2,
40,Nous ſerons compaignon Quant je t'ai retrouvé,10,l-112v-2-8,112v,2,
41,Sire diſt l'eſcuier Vous ſoiez bien venus.,11,l-112v-2-9,112v,2,
42,Vos compains voudꝛai eſtre Vos amis et vos dꝛus.,11,l-112v-2-10,112v,2,
43,Toute joꝛ chevauchierent Tant que joꝛ ert faillus,11,l-112v-2-11,112v,2,
44,Sous .i. arbꝛe herbergent Ne chevauchierent plus.,11,l-112v-2-12,112v,2,
45,Ne li uns ne li autres Cele nuit ne menja,12,l-112v-2-13,112v,2,
46,Prez ſont de deſperer Chaſcuns ſe dementa.,12,l-112v-2-14,112v,2,
47,L'ennemi les eſcoute Qui pꝛendꝛe les vouldꝛa,12,l-112v-2-15,112v,2,
48,S'il les puet acrochier Moult joians en ſera,12,l-112v-2-16,112v,2,
49,Devant eulz s'apparut Si les a raiſon mis,13,l-112v-2-21,112v,2,
50,Seignoꝛ comment vous eſt Ce dit li ennemis,13,l-112v-2-22,112v,2,
51,Vous avez tout perdu Et avoir et amis,13,l-112v-2-23,112v,2,
52,Mendier vous convient [...],13,l-112v-2-24,112v,2,
53,C'eſt grant meſchief a faire Quant apꝛis ne l'avez,14,l-113r-1-1,113r,1,
54,Se vous me volez croire Je vous donrai aſſez,14,l-113r-1-2,113r,1,
55,Que vous pꝛendꝛez avoir Partout ou vous voudꝛez,14,l-113r-1-3,113r,1,
56,Ne jamais en pꝛiſon Retenus ne ſerez,14,l-113r-1-4,113r,1,
57,De tous les leus. Du monde je vous deliverrai,15,l-113r-1-5,113r,1,
58,Si dit le chevalier Et je vous ſervirai,15,l-113r-1-6,113r,1,
59,Et de cuer et de coꝛps Homage vous ferai,15,l-113r-1-7,113r,1,
60,Et l'ennemi reſpont Et aſſez te donrai.,15,l-113r-1-8,113r,1,
61,Mais que Dieu et /ſa Mere Te convient renoier,16,l-113r-1-9,113r,1,
62,Tous ſains et toutes ſaintes Il ne t'aront meſtier,16,l-113r-1-10,113r,1,
63,Sire dit l'eſquier De gré et volentier,16,l-113r-1-11,113r,1,
64,Je les renoierai Tous qu'il ne m'ont meſtier,16,l-113r-1-12,113r,1,
65,Moult fu fol l'eſcuier Et de mauvais coꝛage,17,l-113r-1-13,113r,1,
66,Que l'ennemi a pris Ce fu par ſon outrage,17,l-113r-1-14,113r,1,
67,Au chevalier a dit Vien ſi me fais homage,17,l-113r-1-15,113r,1,
68,Et je te rendꝛai tout Tantoſt ton heritage,17,l-113r-1-16,113r,1,
69,Reſpont le chevalier volentiers liement,18,l-113r-1-17,113r,1,
70,Renoie Dieu fait il Treſtout premierement,18,l-113r-1-18,113r,1,
71,Tous ſains et toutes ſaintes Toſt et iſnelement,18,l-113r-1-19,113r,1,
72,Fais le ſe tu m'en crois Et tantoſt erranment,18,l-113r-2-1,113r,2,
73,Et je te renderai Treſtout ton tenement,18,l-113r-2-2,113r,2,
74,Je les renoie tous je ſui de ta meſnie,19,l-113r-2-3,113r,2,
75,Reſpont li ennemis Tu ne fais pas folie,19,l-113r-2-4,113r,2,
76,Je te donrai honour Et grande ſeignoꝛie,19,l-113r-2-5,113r,2,
77,Se tu as renoié Auſſi /ſainte Marie,19,l-113r-2-6,113r,2,
78,Reſpont le chevalier Ce ne ferai je ja,20,l-113r-2-7,113r,2,
79,Que je renoie cele /Qui le coꝛs Dieu poꝛta,20,l-113r-2-8,113r,2,
80,/Qui la perte du monde Par ſon coꝛps reſtoꝛa.,20,l-113r-2-9,113r,2,
81,Et la pais et l'amour De /ſon Fil nous donna,20,l-113r-2-10,113r,2,
82,Il te doit bien ſouffire Quant j'ai Dieu renoié,21,l-113r-2-11,113r,2,
83,Tous ſains et toutes ſaintes Je ſui ja en pechié,21,l-113r-2-12,113r,2,
84,Et de cuer et de bouche Je le t'ai otroié,21,l-113r-2-13,113r,2,
85,Leſſe eſter /Nostre Dame Trop m'avras engignié,21,l-113r-2-14,113r,2,
86,Reſpont li ennemis Tu ſeras mendians,22,l-113r-2-15,113r,2,
87,Se tu ne la renoies Seras povres truhans,22,l-113r-2-16,113r,2,
88,Et ſ'as Dieu renoié Qui te ſera grevans,22,l-113r-2-17,113r,2,
89,Sire dit l'eſcuier Faites li ſes couvans,22,l-113r-2-18,113r,2,
90,Reſpont le chevalier Par ma foy non ferai.,23,l-113r-2-19,113r,2,
91,Ja [mais ]joꝛ de ma vie Ne le renierai,23,l-113v-1-1,113v,1,
92,/La Royne des ciex Ja tant ne mefferai,23,l-113v-1-2,113v,1,
93,Se j'ai Dieu renoié A cele me tenrai,23,l-113v-1-3,113v,1,
94,C'eſt cele qui puet tous A /ſon Fil racoꝛder,24,l-113v-1-4,113v,1,
95,Li ennemis voit bien Qu'il ne le puet mener,24,l-113v-1-5,113v,1,
96,A ce qu'il la renoie Ne le puet engignier,24,l-113v-1-6,113v,1,
97,De maltalent ſ'en toꝛne Si le leſſa eſter,24,l-113v-1-7,113v,1,
98,Dolant fu l'ennemi Quant ainſi le p[er]di,25,l-113v-1-8,113v,1,
99,Si emmena celui Qui a li ſe rendi,25,l-113v-1-9,113v,1,
100,Le chevalier demeure Qui cuer ot eſbahi,25,l-113v-1-10,113v,1,
101,Tout dꝛoit a l'adjoꝛner Hoꝛs du bois ſ'en iſſy,25,l-113v-1-11,113v,1,
102,Quant il fu hoꝛs du bois Devant lui eſgarda,26,l-113v-1-12,113v,1,
103,Et vit .i. biau chaſtel Une chapelle y a,26,l-113v-1-13,113v,1,
104,Au plus toſt que il pot Cele part ſ'en toꝛna,26,l-113v-1-14,113v,1,
105,Poꝛ ſaluer /la Virge Ileques ſ'arreſta,26,l-113v-1-15,113v,1,
106,Quant il y fu venu Si iſſi de la celle,27,l-113v-1-16,113v,1,
107,Son palefroy atache Au rain d'une ſaucele,27,l-113v-1-17,113v,1,
108,Toſt et iſnelement Entra en la chapelle,27,l-113v-1-18,113v,1,
109,Et a veü l'ymage De /la Virge pucele,27,l-113v-1-19,113v,1,
110,Devant li ſ'agenoille Et merci li cria,28,l-113v-1-20,113v,1,
111,Et de cuer et de bouche Foꝛment le reclama,28,l-113v-2-1,113v,2,
112,Li ſires du chaſtel Par matin ſe leva,28,l-113v-2-2,113v,2,
113,Et lui et ſa meſniee En la chapelle entra.,28,l-113v-2-3,113v,2,
114,Quant il vit le cheval. Si ſe va merveillant,29,l-113v-2-7,113v,2,
115,[...],29,l-113v-2-8,113v,2,
116,Le chevalier entent Moult tendꝛement ploꝛant,29,l-113v-2-9,113v,2,
117,.I. po ſe treſt arrieres Poꝛ vëoir ſon ſamblant,29,l-113v-2-10,113v,2,
118,Le chevalier eſgarde Qui requeroit merci,30,l-113v-2-11,113v,2,
119,/Douce Dame fait il Aiez merci de mi,30,l-113v-2-12,113v,2,
120,J'ai /vo fil renoié L'ennemi m'a trai,30,l-113v-2-13,113v,2,
121,Tous ſains et toutes ſaintes Ay renoié auſſi,30,l-113v-2-14,113v,2,
122,Ne ſai ou retourner Se je n'ai vostre aieue,31,l-113v-2-15,113v,2,
123,Que j'ai Dieu renoié Si ai m'ame perdue,31,l-113v-2-16,113v,2,
124,A yceſte parole a ſa coꝛpe batue,31,l-113v-2-17,113v,2,
125,L'yaue du cuer li eſt Par mi les yex courue,31,l-113v-2-18,113v,2,
126,L'ymage de ſon lieu Maintenant devala,32,l-113v-2-19,113v,2,
127,Et de ſon cuevrechief Le vis li eſſuia,32,l-113v-2-20,113v,2,
128,Maintes lermes recut Qui du chief li coula,32,l-113v-2-21,113v,2,
129,Le ſire du chaſtel Le vit et eſgarda,32,l-113v-2-22,113v,2,
130,Il a veü l'ymage Devant lui en preſant,33,l-113v-2-23,113v,2,
131,Qui le reconfoꝛta Bel et coꝛtoiſement,33,l-113v-2-24,113v,2,
132,Amis diſt /Nostre Dame Ne ſ'eſmaie noient,33,l-114r-1-1,114r,1,
133,Je te racoꝛderai A /mon fil vraiement,33,l-114r-1-2,114r,1,
134,Et ſi avras par tans honour et richeté,34,l-114r-1-3,114r,1,
135,Puis remonte en ſon leu Quant l'ot reconfoꝛté,34,l-114r-1-4,114r,1,
136,Li ſires du chaſtel A tout ce regardé,34,l-114r-1-5,114r,1,
137,Bien penſe que en li A aucune bonté.,34,l-114r-1-6,114r,1,
138,Un po ſe treſt arriere Et touſi et parla.,35,l-114r-1-7,114r,1,
139,Le chevalier l'entent Sus ſes piez ſe leva,35,l-114r-1-8,114r,1,
140,Li ſires l'araiſonne Et ſi l'en apela.,35,l-114r-1-9,114r,1,
141,Et cil li reſpont bel Qui tres bien apꝛis l'a,35,l-114r-1-10,114r,1,
142,Li ſires l'en apelle Si l'a mis a raiſon,36,l-114r-1-11,114r,1,
143,Amis dont eſtes vous N'i faites reſtoiſon,36,l-114r-1-12,114r,1,
144,Et cil li reſpondi Belement a bas ſon,36,l-114r-1-13,114r,1,
145,Sire .i. chevalier ſui De moult povre renon.,36,l-114r-1-14,114r,1,
146,Je ſui .i. chevalier Du tout deſheritez,37,l-114r-1-15,114r,1,
147,Amis ce dit li ſires Gardez ne me celez,37,l-114r-1-16,114r,1,
148,Feüſtes vous onques A fame mariez,37,l-114r-1-17,114r,1,
149,Nennil ſire diſt il Onques n'i fu donez,37,l-114r-1-18,114r,1,
150,Et ſi avez des ja Voſtre terre perdue.,38,l-114r-1-19,114r,1,
151,Eſt paſſee l'anee Que elle fu p[er]due,38,l-114r-2-1,114r,2,
152,Nennil ſire diſt il Bien ſeroit ſecoꝛue,38,l-114r-2-2,114r,2,
153,Se j'euſſe deniers Dont feüſt ſecoꝛue,38,l-114r-2-3,114r,2,
154,Amis ce diſt li ſires Je vous en bailleré,39,l-114r-2-4,114r,2,
155,Et avoir et deniers A plenté vous donrai,39,l-114r-2-5,114r,2,
156,S'ay une bele fille Qu'a fame vous donrai.,39,l-114r-2-6,114r,2,
157,Et de toute ma terre. Chevetain vous ferai,39,l-114r-2-7,114r,2,
158,Sire pour Dieu merci Fait il ne me moquiez,40,l-114r-2-8,114r,2,
159,Je ſui triſtes de cuer Dolans et coꝛrouciez,40,l-114r-2-9,114r,2,
160,Amis ce dit li ſires Oꝛ ne vous eſmaiez,40,l-114r-2-10,114r,2,
161,Vous eſtes ſe Dieu pleſt A bon poꝛt arrivez,40,l-114r-2-11,114r,2,
162,Soiez certains et fis Envis vous moqueroie,41,l-114r-2-12,114r,2,
163,Laiſſiez eſter le duel Et ſi demenez joie,41,l-114r-2-13,114r,2,
164,En l'onnoꝛ /Nostre Dame Qui ſi bien vous avoie,41,l-114r-2-14,114r,2,
165,Et de cuer et de bouche Le don vous en otroie,41,l-114r-2-15,114r,2,
166,Cil ſi l'en mercia Qui la raiſon agree,42,l-114r-2-16,114r,2,
167,A iceſte parole a ſa Fille mandee,42,l-114r-2-17,114r,2,
168,Si li donna a fame Et il l'a eſpouſee,42,l-114r-2-18,114r,2,
169,Et l'onnoꝛ de ſa terre Li a toute donnee,42,l-114r-2-19,114r,2,
170,Et avoirs et deniers A plenté li bailla,43,l-114v-1-1,114v,1,
171,Dont ſa terre recut Et ſi le rachata.,43,l-114v-1-2,114v,1,
172,Et fu hoir de ſa terre Li ſires treſpaſſa,43,l-114v-1-3,114v,1,
173,/La Royne des ciex Ces biens li pourchaca.,43,l-114v-1-4,114v,1,
174,Pour ce qu'il la ſervi Ot il bon guerredon.,44,l-114v-1-5,114v,1,
175,Cil qui la renoia Fiſt trop grant meſpꝛoiſon.,44,l-114v-1-6,114v,1,
176,Com vous oꝛrez conter A petit d'achoiſon.,44,l-114v-1-7,114v,1,
177,Comment li ennemis Li fiſt la traiſon.,44,l-114v-1-8,114v,1,
178,Lonc temps ala par terre Des maulz ot il aſſez,45,l-114v-1-9,114v,1,
179,Et tant que il fu pꝛis A .i. fait atrapez,45,l-114v-1-10,114v,1,
180,Et fu eſtroit liez Et fu empꝛiſonnez,45,l-114v-1-11,114v,1,
