line_no,text,lg,l_id,folio,col,speaker
1,Tu qui as en pechié Veſcu tout ton aage,1,l-118r-2-5,118r,2,
2,Souviengne toi de Dieu Qui te fiſt a ſ'ymage,1,l-118r-2-6,118r,2,
3,Et li cries merci De cuer et de coꝛage,1,l-118r-2-7,118r,2,
4,Aincois que li mauvais Te trebuche en ſervage,1,l-118r-2-8,118r,2,
5,Tu as par mainte fois oÿ dire et conter,2,l-118r-2-9,118r,2,
6,Que li fruis eſt mauvais Qui ne puet meurer,2,l-118r-2-10,118r,2,
7,Et ſi fait la perſonne Malement a blaſmer,2,l-118r-2-11,118r,2,
8,Qui des maulz qu'il a fais Ne ſe veult amender,2,l-118v-1-1,118v,1,
9,Li maiſtre philoſophe Qui jadis ont eſté,3,l-118v-1-2,118v,1,
10,Qui eſtoient g[ra]ns clers De la divinité,3,l-118v-1-3,118v,1,
11,Dient que en pechié Avroit .iii. joꝛs eſté,3,l-118v-1-4,118v,1,
12,Si leurs pardonroit Diex De bone volenté,3,l-118v-1-5,118v,1,
13,Voire qui leſſeroit Tous temps la male vie,4,l-118v-1-6,118v,1,
14,Et jamais de pechier Ne li preiſt envie,4,l-118v-1-7,118v,1,
15,Et par confeſſe eüſt Sa maiſon netoie,4,l-118v-1-8,118v,1,
16,Et faite la penance Com li avroit chargie,4,l-118v-1-9,118v,1,
17,Nous trouvons que jadis Eſtoit .i. chevaliers,5,l-118v-1-10,118v,1,
18,D'avoir et de lignage Eſtoit ſi foꝛs et fiers,5,l-118v-1-11,118v,1,
19,Lerres devint m[ou]lt foꝛs Robeur et murtrier,5,l-118v-1-12,118v,1,
20,Et les larrons avoit A robes et deſtriers,5,l-118v-1-13,118v,1,
21,Treſtuit furent a lui Et ſon commant faiſoient,6,l-118v-1-14,118v,1,
22,Poꝛ rober poꝛ tolir Par le pais aloient,6,l-118v-1-15,118v,1,
23,Mouſtiers et abbeyes Frans et vilains roboient,6,l-118v-1-16,118v,1,
24,Pelerins et marchans Par les chemins tuoient,6,l-118v-1-17,118v,1,
25,Onques cilz ch[eva]l[ie]rs Ne refraint ſon coꝛage,7,l-118v-1-18,118v,1,
26,De faire a toutes gens Deſtoꝛbier et domage.,7,l-118v-1-19,118v,1,
27,Une moult gentilz dame Ot pꝛis par mariage,7,l-118v-2-1,118v,2,
28,Dieu ſervoit et /ſa mere Tel eſtoit ſon uſage,7,l-118v-2-2,118v,2,
29,A toutes bones gens Moult d'aumoſnes faiſoit,8,l-118v-2-3,118v,2,
30,De triſte cuer marri Treſtous les joꝛs ploꝛoit,8,l-118v-2-4,118v,2,
31,Poꝛ la mauvaiſe vie Que ſes ſues menoit,8,l-118v-2-5,118v,2,
32,Nuit et joꝛ tart et tempꝛe Moult ſouvent le blaſmoit,8,l-118v-2-6,118v,2,
