line_no,text,lg,l_id,folio,col,speaker
1,A toutes bones gens Qui ont entendement,1,l-132v-1-7,132v,1,
2,Qui croient /Jhesucriſt Et le ſaint ſacrement,1,l-132v-1-8,132v,1,
3,Doit on par bon example Mectre et apertement,1,l-132v-1-9,132v,1,
4,Les vertus que il fait A tous generaument,1,l-132v-1-10,132v,1,
5,De li avons vertus C'eſt treſtout verité,2,l-132v-1-11,132v,1,
6,Et ſi nous racheta Quant il fu toꝛmentez,2,l-132v-1-12,132v,1,
7,Des Juis en la crois Poꝛ nostre ſauveté,2,l-132v-2-1,132v,2,
8,Et nous miſt hoꝛs d'enfer De la grant obſcurté,2,l-132v-2-2,132v,2,
9,Tous le devons nous croire Par bone entencion.,3,l-132v-2-3,132v,2,
10,Car il ſouffri pour nous En la crois paſſion.,3,l-132v-2-4,132v,2,
11,Qui ainſi ne le croit C'eſt ſa dampnation,3,l-132v-2-5,132v,2,
12,Jamais ſ'ame n'avra Vers Dieu redemption,3,l-132v-2-6,132v,2,
13,Et qui ne croit ainſin Que ſon coꝛps propꝛement,4,l-132v-2-7,132v,2,
14,Fuſt mué ou ſaint pain Dont on fait ſacrement,4,l-132v-2-8,132v,2,
15,S'ame ſera dampnee Au joꝛ du jugement,4,l-132v-2-9,132v,2,
16,En la maiſon d'enfer Prendꝛa herbergement,4,l-132v-2-10,132v,2,
17,Bone gent je vous veil Mouſtrer une [ examplaire],5,l-132v-2-11,132v,2,
18,Qui eſt bon a oir S'il vous plaiſoit a taire,5,l-132v-2-12,132v,2,
19,Et ſi en poꝛriez L'amoꝛ de Dieu atraire,5,l-132v-2-13,132v,2,
20,Car il fait bon leſſier Le mal poꝛ le bien faire,5,l-132v-2-14,132v,2,
21,En /la Vie des peres Eſcript en parchemin,6,l-132v-2-15,132v,2,
22,Trouvons nous que .ii. homes Qui eſtoient voiſin,6,l-132v-2-16,132v,2,
23,Eſtoient bien enſamble Deſſi a cele fin,6,l-132v-2-17,132v,2,
24,Que li uns ſi meſcrut Par le dëable engin,6,l-132v-2-18,132v,2,
25,Et l'autre fu pꝛeudons Si vous dirai comment,7,l-132v-2-19,132v,2,
26,Car il ſe confeſſoit Par bon entendement,7,l-133r-1-1,133r,1,
27,Et ſi crut bien en Dieu Et ou saint ſacrement,7,l-133r-1-2,133r,1,
28,Et l'autre n'i voult croire Ce fu ſon dampnement,7,l-133r-1-3,133r,1,
