line_no,text,lg,l_id,folio,col,speaker
1,Petit ſai; mais; matere ou pꝛendꝛe,1,l-280r-2-1,280r,2,
2,De quoi je puiſſe Dit repꝛendꝛe,1,l-280r-2-2,280r,2,
3,Qui puiſt eſtre a chaſcun plaiſans,1,l-280r-2-3,280r,2,
4,D'autre part ſe je ſui taiſans,1,l-280r-2-4,280r,2,
5,Il ne m'en vendꝛa nul pouris,1,l-280r-2-5,280r,2,
6,Selonc mon metier j'en ſui fis,1,l-280r-2-6,280r,2,
7,Et ſ'il n'iert nus qui mes meſiſt,1,l-280r-2-7,280r,2,
8,Entente a ce que bien feſiſt,1,l-280r-2-8,280r,2,
9,Ne ſe devroit mie retraire,1,l-280r-2-9,280r,2,
10,Li homs qui ſ'eſt le bien [re]traire,1,l-280r-2-10,280r,2,
11,Que ſon cuer a ce ſ'acoꝛdaſt,1,l-280r-2-11,280r,2,
12,Que bien deſiſt et recoꝛdaſt,1,l-280r-2-12,280r,2,
13,Mais ſi poi voi mais aconter,1,l-280r-2-13,280r,2,
14,A bien dire et a bien conter,1,l-280r-2-14,280r,2,
15,Que poi eſt nus qui foꝛce y face,1,l-280r-2-15,280r,2,
16,Ainz tournent d'autre par la face,1,l-280r-2-16,280r,2,
17,Pluſeurs en qui n'a de bien tant,1,l-280r-2-17,280r,2,
18,Qu'il ſoient ſanz plus eſcoutant,1,l-280r-2-18,280r,2,
19,Ce c'on veut recoꝛder et dire,1,l-280r-2-19,280r,2,
20,Si en ſui plains d'anui et d'ire,1,l-280r-2-20,280r,2,
21,Plus que je ne mouſtre ſouvent,1,l-280r-2-21,280r,2,
22,Li homs qui ſouffle contre vent,1,l-280r-2-22,280r,2,
23,A enſient ſa paine pert,1,l-280v-1-1,280v,1,
24,Et auſſi fait cil en apert,1,l-280v-1-2,280v,1,
25,Qui le bien a celui recoꝛde,1,l-280v-1-3,280v,1,
26,Qui a l'eſcouter ne ſ'acoꝛde,1,l-280v-1-4,280v,1,
27,Ainz li deſplaiſt et li annuie,1,l-280v-1-5,280v,1,
28,Se ſaumons a pourciaus donnoie,1,l-280v-1-6,280v,1,
29,Moult ſeroient mal emploie,1,l-280v-1-7,280v,1,
30,Mes quant bel dit ſont deſploie,1,l-280v-1-8,280v,1,
31,A ceuz qui volentiers les oient,1,l-280v-1-9,280v,1,
32,Moi ſablent bien emploie ſoient,1,l-280v-1-10,280v,1,
33,Car on en puet loꝛ cuers deduire,1,l-280v-1-11,280v,1,
34,Et eulz a bien faire conduire,1,l-280v-1-12,280v,1,
35,Et qui puet donner examplaire,1,l-280v-1-13,280v,1,
36,Qui puiſt et poꝛfiter et plaire,1,l-280v-1-14,280v,1,
37,Plus l'en loe l'en et pꝛiſe on.,1,l-280v-1-15,280v,1,
38,Il ot jadiz en la pꝛiſon,2,l-280v-1-16,280v,1,
39,A .i. tyrant .ii. compaignons,2,l-280v-1-17,280v,1,
40,Deuz ne vous ſai nommer les nons,2,l-280v-1-18,280v,1,
41,Mes deniſes fu li tyrans,2,l-280v-1-19,280v,1,
42,Nommes qui n'eſtoit deſirrans,2,l-280v-1-20,280v,1,
43,Foꝛs de mal penſer et mal faire,2,l-280v-1-21,280v,1,
44,N'avoit foꝛs mal en ſon afaire,2,l-280v-1-22,280v,1,
45,Li uns eſtoit mal herbergiez,2,l-280v-1-23,280v,1,
46,Car il eſtoit a moꝛt jugiez,2,l-280v-1-24,280v,1,
47,Se li eſtoit li jourz nommez,2,l-280v-1-25,280v,1,
48,Que ſes temps ſeroit aſſommez,2,l-280v-1-26,280v,1,
49,L'autre fu reſpitez ſes viures,2,l-280v-1-27,280v,1,
50,Qu'il en devoit aler deliures,2,l-280v-1-28,280v,1,
