line_no,text,lg,l_id,folio,col,speaker
1,Diex qui poꝛ nous ſauver voult en terre deſcendꝛe,1,l-120v-2-1,120v,2,
2,Et en /la Vierge mere Voult char humaine pꝛendꝛe,1,l-120v-2-2,120v,2,
3,Et en la ſainte crois Souffrir ſon coꝛps eſtendꝛe,1,l-120v-2-3,120v,2,
4,Doinſt ſa grace a tous ceulz Qui me vouldꝛont entendꝛe,1,l-120v-2-4,120v,2,
5,Aucune gent n'ont cure D'oir de Dieu parler,2,l-120v-2-5,120v,2,
6,Ne de /ſa douce Mere Que tant devons amer,2,l-120v-2-6,120v,2,
7,Tex y a qui n'en font Que gaber et uller,2,l-120v-2-7,120v,2,
8,A tiex gens n'ai je cure De biaus diz recoꝛder,2,l-120v-2-8,120v,2,
9,Mais en quelconque leu Que je ſai bone gent,3,l-120v-2-9,120v,2,
10,De bien parler de Dieu Ne ſui je mie lent,3,l-120v-2-10,120v,2,
11,Ilec et bien parler Car poꝛ no ſauvement,3,l-120v-2-11,120v,2,
12,Voult il moꝛt recevoir De doloꝛeus tourment,3,l-120v-2-12,120v,2,
13,Et pour l'amoꝛ de ce Que il nous rachata,4,l-121r-1-1,121r,1,
14,De la pꝛiſon d'enfer Quant il reſuſcita,4,l-121r-1-2,121r,1,
15,Devons nous moult amer /Cele qui le poꝛta,4,l-121r-1-3,121r,1,
16,Car qui le ſert et aimme Bon loier en avra.,4,l-121r-1-4,121r,1,
17,Cil qui de bon cuer l'aimme Ne doit pas ſommeillier,5,l-121r-1-5,121r,1,
18,Ains ſe doit poꝛ ſ'amour Nuit et joꝛ traveillier,5,l-121r-1-6,121r,1,
19,Si com la pꝛeudefame Dont vous m'oꝛrez nuncier,5,l-121r-1-7,121r,1,
20,Que l'ennemi cuida Decoivre et engignier,5,l-121r-1-8,121r,1,
21,Le mari cele fame Coꝛdouainer eſtoit,6,l-121r-1-9,121r,1,
22,Aus foires aus marchiez Aler le convenoit,6,l-121r-1-10,121r,1,
23,Si comme le pꝛeudome Hoꝛs de la ville eſtoit,6,l-121r-1-11,121r,1,
24,La boꝛjoise ſa fame Au mouſtier ſ'en aloit,6,l-121r-1-12,121r,1,
25,Cele couſtume avoit Si la tenoit d'uſage,7,l-121r-1-13,121r,1,
26,Et a /la Mere Dieu Metoit tout ſon coꝛage,7,l-121r-1-14,121r,1,
27,Car tous joꝛs vouſiſt eſtre Devant ſon ſaint ymage,7,l-121r-1-15,121r,1,
28,Tous les joꝛs y aloit Par dꝛoit perlerinage,7,l-121r-1-16,121r,1,
29,Li ennemi en out Grant duel et grant envie,8,l-121r-1-17,121r,1,
30,De ce qu'ele ſervoit Si bien /ſainte Marie,8,l-121r-1-18,121r,1,
31,Mais par temps li fera Domage et vilennie,8,l-121r-1-19,121r,1,
32,Se cele ne la garde Qui l'a lonc temps ſervie,8,l-121r-2-1,121r,2,
33,Le jour eſtoit alee La bourgoiſe au mouſtier,9,l-121r-2-2,121r,2,
34,Devant /la Mere Dieu Recoꝛder ſon pſaltier,9,l-121r-2-3,121r,2,
35,Et l'ennemi commence Tel choſe a pourchacier,9,l-121r-2-4,121r,2,
36,Dont la boꝛjoise avra .I. moꝛtel encombꝛier,9,l-121r-2-5,121r,2,
