line_no,text,lg,l_id,folio,col,speaker
1,L'an de grace .M..iiic.,1,l-245r-1-8,245r,1,
2,Et .xxxii. fui je tracens,1,l-245r-1-9,245r,1,
3,A /encerre compaignons queure,1,l-245r-1-10,245r,1,
4,Pour eulz compaignier et enquere,1,l-245r-1-11,245r,1,
5,Des deduis car iete a cel jour,1,l-245r-1-12,245r,1,
6,En cel temps fu et a cel jour,1,l-245r-1-13,245r,1,
7,Que chevaliers fu /iehan de /France,1,l-245r-1-14,245r,1,
8,Loꝛs me ſovint eſtre en ſouffrance,1,l-245r-1-15,245r,1,
9,D'une execuſacion a faire,1,l-245r-1-16,245r,1,
10,Qui trop me fu de mal afaire,1,l-245r-1-17,245r,1,
11,Pour ce aſſez toſt la laiſſai,1,l-245r-1-18,245r,1,
12,Et fis ces vers dont m'eſleſſai,1,l-245r-1-19,245r,1,
13,En les faiſant pour la matiere,1,l-245r-1-20,245r,1,
14,Qui nouvelle eſt dont la maniere,1,l-245r-1-21,245r,1,
15,Mon cuer eſt du recoꝛt plaiſans,1,l-245r-1-22,245r,1,
16,Ou y ot mout de biax plaiſans,1,l-245r-1-23,245r,1,
17,Je me terrai car pleſence,1,l-245r-1-24,245r,1,
18,Ne doit ou en ce point plaidier,1,l-245r-1-25,245r,1,
19,Car des ples d'ui ne des ples d'ier,1,l-245r-1-26,245r,1,
20,Et ſ'aucuns n'i avoit plaiſance,1,l-245r-1-27,245r,1,
21,Pas ne me poꝛroient tant plaire,1,l-245r-2-1,245r,2,
22,Mes aucuns plais me doit deſplaire,1,l-245r-2-2,245r,2,
23,Des vers dont enuoiſt li eſplais,1,l-245r-2-3,245r,2,
24,Si me pleſt du recoꝛt li plais,1,l-245r-2-4,245r,2,
25,Qu'a fait bertaux en eſploitant,1,l-245r-2-5,245r,2,
26,De /chaſteillon me deſploiz tant,1,l-245r-2-6,245r,2,
27,A fait ſera qu'avra argent,1,l-245r-2-7,245r,2,
28,Non contretant ce qu'il art gent,1,l-245r-2-8,245r,2,
29,Gracieuſe dame enterine,2,l-245r-2-9,245r,2,
30,Digne pour eſtre .i. roine,2,l-245r-2-10,245r,2,
31,Entre les dames de /Paris,2,l-245r-2-11,245r,2,
32,Vous n'euſſiez que je determine,2,l-245r-2-12,245r,2,
33,Dame damoiſelle ou meſchine,2,l-245r-2-13,245r,2,
34,Tres bel et propꝛe a mon avis,2,l-245r-2-14,245r,2,
35,Diex ſons detroys vous y devis,2,l-245r-2-15,245r,2,
36,Du bien avez les .ii. foys .vi.,2,l-245r-2-16,245r,2,
37,Qu'en voit bien et quant adeuine,2,l-245r-2-17,245r,2,
38,Ci apꝛés tous les vous deſcris,2,l-245r-2-18,245r,2,
39,Bien ſont ſeur vous dame l'eſcris,2,l-245r-2-19,245r,2,
40,Eſtains priuez ſouz la coꝛtine,2,l-245r-2-20,245r,2,
41,De vos biax ſemblans ſans retraire,3,l-245r-2-21,245r,2,
42,Gente dame voudꝛe retraire,3,l-245r-2-22,245r,2,
43,Ce que de ſi qu'en ſoit retrait,3,l-245r-2-23,245r,2,
44,Car fine amour m'a fait retraire,3,l-245r-2-24,245r,2,
45,A vous ſervir car tant a traire,3,l-245r-2-25,245r,2,
46,I a de biens pour ce atrait,3,l-245r-2-26,245r,2,
47,Les retrairai car nul mal trait,3,l-245r-2-27,245r,2,
48,Ne ſai poꝛ dire du contraire,3,l-245r-2-28,245r,2,
49,Ne croy de nul ſoꝛt ja pourtrait,3,l-245r-2-29,245r,2,
50,Vo gentil facon ni eſtrait,3,l-245r-2-30,245r,2,
51,S'amoꝛs de lui nel fait eſtraire,3,l-245r-2-31,245r,2,
52,N'ai en ce faiſant ne mal trait,3,l-245r-2-32,245r,2,
53,Tant avez parfaite figure,4,l-245r-2-33,245r,2,
54,Que nature qui tout figure,4,l-245r-2-34,245r,2,
55,Tele ne ſavroit figurer,4,l-245r-2-35,245r,2,
56,De biax membꝛes ſanz affaiture,4,l-245r-2-36,245r,2,
57,Et d'autres biax bien de faiture,4,l-245r-2-37,245r,2,
58,Sur vaus ſunt ſanz affaiturer,4,l-245r-2-38,245r,2,
59,Bien ſe ſot nature enfourmer,4,l-245v-1-1,245v,1,
60,De vous quant Si vous vout foꝛmer,4,l-245v-1-2,245v,1,
61,N'i oublia dꝛoiture meſure,4,l-245v-1-3,245v,1,
62,Si bel vous ſot ameſurer,4,l-245v-1-4,245v,1,
63,Qui vous ſoit ſe veut meſurer,4,l-245v-1-5,245v,1,
64,A vous amer ſanz deſmeſure,4,l-245v-1-6,245v,1,
65,Poiſſance douſe biens a mis,5,l-245v-1-7,245v,1,
66,Nature en vous pour fins amis,5,l-245v-1-8,245v,1,
67,Confoꝛter de deſir d'amie,5,l-245v-1-9,245v,1,
68,Tous contraires oÿ les devis,5,l-245v-1-10,245v,1,
69,De tel coꝛps croy pou ſoit devis,5,l-245v-1-11,245v,1,
70,A Dieu pri ja jour ne demie,5,l-245v-1-12,245v,1,
71,Troys d'un .iii. d'el. par la meſtrie,5,l-245v-1-13,245v,1,
72,De nature qui vous meſtrie,5,l-245v-1-14,245v,1,
73,Foꝛme vous a mout eſtris,5,l-245v-1-15,245v,1,
74,Dire le veul que que detrie,5,l-245v-1-16,245v,1,
75,S'amoꝛs par grace le m'otrie,5,l-245v-1-17,245v,1,
76,Coument qu'en face lonc deſtris,5,l-245v-1-18,245v,1,
77,Lonc nez lonc bꝛas Et lonc coꝛſage,6,l-245v-1-19,245v,1,
78,A moult bien meſurez c'eſt ſage,6,l-245v-1-20,245v,1,
79,Et qui l'avoit le doit ſavoir,6,l-245v-1-21,245v,1,
80,Courtes tertes a d'eritage,6,l-245v-1-22,245v,1,
81,Courtes feſces ce diſt le ſage,6,l-245v-1-23,245v,1,
82,Se lonc le coꝛps com poet vëoir,6,l-245v-1-24,245v,1,
83,Cours ralons a au dire voir,6,l-245v-1-25,245v,1,
84,Au marchier et a l'aſſeoir,6,l-245v-1-26,245v,1,
85,Les voit ou il part quele nage,6,l-245v-1-27,245v,1,
86,Quant leuere va main et ſoir,6,l-245v-1-28,245v,1,
87,N'eſt [hons] qui ne devroit voloir,6,l-245v-1-29,245v,1,
88,A li amer de vrai coꝛage,6,l-245v-1-30,245v,1,
89,Blanche plus que noif et cherneure,7,l-245v-1-31,245v,1,
90,Blanc le blanc des iex Sans parſure.,7,l-245v-1-32,245v,1,
91,Le contraire nulz n'i uerroit,7,l-245v-2-1,245v,2,
92,En bouche a blanche entendeure,7,l-245v-2-2,245v,2,
93,Noirs ſourcis noire paupieure,7,l-245v-2-3,245v,2,
94,Auſſi noir poinis avoir doit,7,l-245v-2-4,245v,2,
95,Et quant toutes ces choſes doit,7,l-245v-2-5,245v,2,
96,Nature pas en uain n'ouvroit,7,l-245v-2-6,245v,2,
97,Quant fourmoit tele creature,7,l-245v-2-7,245v,2,
98,N'eſt cuers ſi triſtres ſi la voit,7,l-245v-2-8,245v,2,
99,Qu'en joie toſt mue ne ſoit,7,l-245v-2-9,245v,2,
100,Diex li doint tres bonne auanture,7,l-245v-2-10,245v,2,
101,Gros entr'eul a en ſon devis,8,l-245v-2-11,245v,2,
102,Groſſes quiſſes a mon avis,8,l-245v-2-12,245v,2,
103,Groſſe coume empꝛez Qui bien l'aviſe,8,l-245v-2-13,245v,2,
104,Grelle coꝛps bien a fait bien apris,8,l-245v-2-14,245v,2,
105,Grelletes deuz aſſez petites,8,l-245v-2-15,245v,2,
106,Vermeilles a dꝛoite deuiſe,8,l-245v-2-16,245v,2,
107,Grelles doiz mainz de bon aſſiſe,8,l-245v-2-17,245v,2,
108,Reploiant quant li plaiſt la guiſe,8,l-245v-2-18,245v,2,
109,Auſſi ſont les dois dꝛois traitis,8,l-245v-2-19,245v,2,
110,C'eſt la facons c'aucuns moult pꝛiſe,8,l-245v-2-20,245v,2,
111,Se telle dame eſt d'amours priſe,8,l-245v-2-21,245v,2,
112,Miex en devroit valoir ſes pꝛis,8,l-245v-2-22,245v,2,
113,Gras coꝛſage a ma dame a point,9,l-245v-2-23,245v,2,
114,[G]raſſe coꝛge qui moult m'eſpoint,9,l-245v-2-24,245v,2,
115,Quant plus la uoy Plus m'en deſpointe,9,l-245v-2-25,245v,2,
116,Gras membꝛes tiex ne uoiſt on point,9,l-245v-2-26,245v,2,
117,Traitis iex qui ſouent m'ont point,9,l-245v-2-27,245v,2,
118,Au cuer dedenz einſi l'apointe,9,l-245v-2-28,245v,2,
119,Traitice deſcendue a iointe,9,l-245v-2-29,245v,2,
120,Du col ſus l'eſpaule l'empointe,9,l-245v-2-30,245v,2,
121,De parfaite facon Diex doint,9,l-245v-2-31,245v,2,
