line_no,text,lg,l_id,folio,col,speaker
1,Oꝛ eſcoutez Ma bone gent,1,l-315v-1-5,315v,1,
2,Un miracle Qui moult eſt gent,1,l-315v-1-6,315v,1,
3,Vous vodꝛai dire et recoꝛder,1,l-315v-1-7,315v,1,
4,Pour pecheours amoneſter,1,l-315v-1-8,315v,1,
5,A rendꝛe ce que a Dieu promeſtent,1,l-315v-1-9,315v,1,
6,Trop folement ceus ſe demeſtent,1,l-315v-1-10,315v,1,
7,Et ſi ſe tuent et afollent,1,l-315v-1-11,315v,1,
8,Que ce que pꝛomeſtent ne ſollent,1,l-315v-1-12,315v,1,
9,A Dieu et a /ſa douce Mere,1,l-315v-1-13,315v,1,
10,Mon livre dit et ma matiere,1,l-315v-1-14,315v,1,
11,Que devant une viez ygliſe,1,l-315v-1-15,315v,1,
12,Un ymage oꝛent la gent miſe,1,l-315v-1-16,315v,1,
13,Pour l'igliſe qu'i[l] refeſoient,1,l-315v-1-17,315v,1,
14,Au piez de l'ymage metoient,1,l-315v-1-18,315v,1,
15,Leur ofrandeſ li treſpaſent,1,l-315v-2-1,315v,2,
16,Sovent ſ'aloient amaſent,1,l-315v-2-2,315v,2,
17,La joinne jant en celle place,1,l-315v-2-3,315v,2,
18,A la pelote et a la chace,1,l-315v-2-4,315v,2,
19,Un joꝛ i ot une grant flote,1,l-315v-2-5,315v,2,
20,De clerſſonaus a la pelote,1,l-315v-2-6,315v,2,
21,Devant le poꝛtau de l'igliſe,1,l-315v-2-7,315v,2,
22,Ou cel ymage eſtoit aſiſe,1,l-315v-2-8,315v,2,
23,Un des clerſſonz i ot moult bel,1,l-315v-2-9,315v,2,
24,Qui en ſon doi ot .i. anel,1,l-315v-2-10,315v,2,
25,Que ſ'amie li ot doné,1,l-315v-2-11,315v,2,
26,Amours l'out tant aubriconné,1,l-315v-2-12,315v,2,
27,Poꝛ grant choſe ne voſit mie,1,l-315v-2-13,315v,2,
28,Que le anel qui fu ſ'amie,1,l-315v-2-14,315v,2,
29,Fuſt ne perdus ne deſpeciez,1,l-315v-2-15,315v,2,
30,Vers l'igliſe ſ'eſt adꝛeciez,1,l-315v-2-16,315v,2,
31,Pour l'anel meſtre en aucun lieu,1,l-315v-2-17,315v,2,
32,Tant qui ſe fuſt parti du geu,1,l-315v-2-18,315v,2,
33,Cil qui penſoit en ſon coꝛage,1,l-315v-2-19,315v,2,
34,Regardé a ſi voit l'image,1,l-315v-2-20,315v,2,
35,Qui moult eſtoit freſche et novelle,1,l-315v-2-21,315v,2,
36,Quant il a veue ſi belle,1,l-315v-2-22,315v,2,
37,Devant li ſ'eſt ajenoulliez,1,l-315v-2-23,315v,2,
38,Devotement aux iex moilliez,1,l-315v-2-24,315v,2,
39,L'a enclinee et ſaluee,1,l-315v-2-25,315v,2,
40,En po de tens li fu muee,1,l-315v-2-26,315v,2,
41,La volenté de ſon coꝛaje,1,l-315v-2-27,315v,2,
42,/Dame dit il tout mon aage,1,l-315v-2-28,315v,2,
43,Des oꝛe mes vous ſervirai,1,l-315v-2-29,315v,2,
44,Que onques mes ne remirai,1,l-315v-2-30,315v,2,
45,Dame meſchine ne pucelle,1,l-315v-2-31,315v,2,
46,Qui tant parut plaiſant ne bele,1,l-315v-2-32,315v,2,
47,Plus belle et plus pleſſant eſtanz,1,l-315v-2-33,315v,2,
48,Que celle n'e[ſ]t .c.m. tanz,1,l-315v-2-34,315v,2,
49,Qui cet anel m'avoit doné,1,l-315v-2-35,315v,2,
50,Je li avoie abandoné,1,l-315v-2-36,315v,2,
51,[Tout ]mon couraige et tout mon cuer,1,l-315v-2-37,315v,2,
52,Mes pour vous la veil je leſſier,1,l-315v-2-38,315v,2,
53,Li et ſ'amoꝛ et ſes joiaux,1,l-316r-1-1,316r,1,
54,Ceſt aniau ci qui moult eſt biaux,1,l-316r-1-2,316r,1,
55,Vous veul doner par fin amour,1,l-316r-1-3,316r,1,
56,Par covent que james jour,1,l-316r-1-4,316r,1,
57,N'aré mes amie ne fame,1,l-316r-1-5,316r,1,
58,Se vous non /bele douce dame,1,l-316r-1-6,316r,1,
59,L'anel qu'il tinſt bouta loꝛs droit,1,l-316r-1-7,316r,1,
60,Ou doy de l'ymage tout dꝛoit,1,l-316r-1-8,316r,1,
61,L'image toſt et erranment,1,l-316r-1-9,316r,1,
62,Ploia ſon doi ſi fermement,1,l-316r-1-10,316r,1,
63,Que nus ne l'en peüſt retreire,1,l-316r-1-11,316r,1,
64,C'il ne voſſit l'anel deſfere,1,l-316r-1-12,316r,1,
65,Li clercon qui ot grant paoꝛ,1,l-316r-1-13,316r,1,
66,Si ſ'eſcria de la freoꝛ,1,l-316r-1-14,316r,1,
67,En la grant place ne demeure,1,l-316r-1-15,316r,1,
68,Petit ne grant qui n'i aqueure,1,l-316r-1-16,316r,1,
69,Et il leur conte tout le fet,1,l-316r-1-17,316r,1,
70,Ce que a l'ymage avoit fet,1,l-316r-1-18,316r,1,
71,Chaſcun ſe ſeigne et ſe merveille,1,l-316r-1-19,316r,1,
72,Loꝛs li dit chaſcun et conſeille,1,l-316r-1-20,316r,1,
73,Que un ſeul joꝛ point il n'atenge,1,l-316r-1-21,316r,1,
74,Leſſe le ſiecle et ſi ſe prenge,1,l-316r-1-22,316r,1,
75,A ſervir Dieu toute ſa vie,1,l-316r-1-23,316r,1,
76,Et /Madame ſainte Marie,1,l-316r-1-24,316r,1,
77,Qui bien li moſtre par ſon doit,1,l-316r-1-25,316r,1,
78,Que par amours amer la doit,1,l-316r-1-26,316r,1,
79,Ne autre amie ne doit avoir,1,l-316r-1-27,316r,1,
80,Mes il n'ot pas tant de ſavoir,1,l-316r-1-28,316r,1,
81,Qu'il li teniſt ſa couvenence,1,l-316r-1-29,316r,1,
82,Ainz l'ot toſt mis en ouibliance,1,l-316r-1-30,316r,1,
83,Que pou en niant l'an ſovint,1,l-316r-1-31,316r,1,
84,Un joꝛ paſſa et l'autre vint,1,l-316r-1-32,316r,1,
85,Le clercon crut et amanda,1,l-316r-1-33,316r,1,
86,L'amour ſa vie li banda,1,l-316r-1-34,316r,1,
87,Si foꝛt les iex qu'il n'i vit goute,1,l-316r-1-35,316r,1,
88,/La Mere Dieu oublia toute,1,l-316r-1-36,316r,1,
89,Cuer ot vollage qui ne crut,1,l-316r-1-37,316r,1,
90,Saichiez c'onques ne ſe recrut,1,l-316r-1-38,316r,1,
91,Cel qui l'anel avoit eſté,1,l-316r-2-1,316r,2,
92,Son cuer i ot ſi arreſté,1,l-316r-2-2,316r,2,
93,Que poꝛ li leſſa /Noſtre Dame,1,l-316r-2-3,316r,2,
94,Si l'eſpouſſa et priſt a fame,1,l-316r-2-4,316r,2,
95,Il fiſt es noces feſte fere,1,l-316r-2-5,316r,2,
96,Car il eſtoit de grant afaire,1,l-316r-2-6,316r,2,
97,De haut parage et de grant gent,1,l-316r-2-7,316r,2,
98,Le lit fu fet et bel et gent,1,l-316r-2-8,316r,2,
99,En une chambꝛe bel et gente,1,l-316r-2-9,316r,2,
100,Li clerc qui ot miſe ſ'entente,1,l-316r-2-10,316r,2,
101,A amer la gentil pucelle,1,l-316r-2-11,316r,2,
102,Qui tant eſtoit et gente et belle,1,l-316r-2-12,316r,2,
103,Si deſiroit l'aler geſir,1,l-316r-2-13,316r,2,
104,Pour fere de li ſon pleſir,1,l-316r-2-14,316r,2,
105,Mes auſi toſt c'on vint au lit,1,l-316r-2-15,316r,2,
106,Ne li ſovint de nul délit,1,l-316r-2-16,316r,2,
107,Endoꝛmi ſ'eſ[t] ſanz plus non fere,1,l-316r-2-17,316r,2,
108,/La douce dame debonnaire,1,l-316r-2-18,316r,2,
109,Qui plus eſt douce que miree,1,l-316r-2-19,316r,2,
110,S'eſt tantoſt a li demontree,1,l-316r-2-20,316r,2,
111,Au cler ſembla que /Nostre Dame,1,l-316r-2-21,316r,2,
112,Jeüſt entre lui et ſa fame,1,l-316r-2-22,316r,2,
113,Li doi le mouſtre atot l'anel,1,l-316r-2-23,316r,2,
114,Qui moult li ſoiet bien et bel,1,l-316r-2-24,316r,2,
115,Car li dois eſt polis et dꝛois,1,l-316r-2-25,316r,2,
116,Si n'eſt mie fet cele dꝛois,1,l-316r-2-26,316r,2,
117,Ne loiauté que tu me fez,1,l-316r-2-27,316r,2,
118,Vers moy n'es oꝛe trop meſfez,1,l-316r-2-28,316r,2,
119,Vez ci l'anel a ta meſchine,1,l-316r-2-29,316r,2,
120,Que me donas par amour fine,1,l-316r-2-30,316r,2,
121,Et ſi diſoies que .c. tanz,1,l-316r-2-31,316r,2,
122,J'ere plus bele et plus plaiſanz,1,l-316r-2-32,316r,2,
123,Que pucelle que tu ſeuſes,1,l-316r-2-33,316r,2,
124,Loial amie en moi euſes,1,l-316r-2-34,316r,2,
125,Se tu ne m'euſes degrepie,1,l-316r-2-35,316r,2,
126,/La roſe leſſes pour l'oꝛtie,1,l-316r-2-36,316r,2,
127,Et /l'eſglanter pour le ſeü,1,l-316r-2-37,316r,2,
128,Chetif tu es ſi deceü,1,l-316r-2-38,316r,2,
129,Que /le fruit leſſes pour la fuille,1,l-316v-1-1,316v,1,
130,/La lenpꝛoie pour la ſoꝛoille,1,l-316v-1-2,316v,1,
131,Eſbahi ſ'eſ[t] en ſon coꝛage,1,l-316v-1-3,316v,1,
132,Celui cuidoit trover l'image,1,l-316v-1-4,316v,1,
133,De toutes parz taſte a ſes meins,1,l-316v-1-5,316v,1,
134,Mes n'i trueve ne plus ne meins,1,l-316v-1-6,316v,1,
135,Loꝛs ſe cuit il a decwu,1,l-316v-1-7,316v,1,
136,Quant n'a a ſa fame jeu,1,l-316v-1-8,316v,1,
137,Mes il ne puet venir a chief,1,l-316v-1-9,316v,1,
138,Car /Nostre Dame de rechief,1,l-316v-1-10,316v,1,
139,Li raparut iſnellement,1,l-316v-1-11,316v,1,
140,Coꝛrecié moult durement,1,l-316v-1-12,316v,1,
141,Aſſez li diſt honte et ledure,1,l-316v-1-13,316v,1,
142,Sovent le cleime ſanz parjure,1,l-316v-1-14,316v,1,
143,Foi mentie et renoié,1,l-316v-1-15,316v,1,
144,Bien tant dyable fauz noié,1,l-316v-1-16,316v,1,
145,Et enchanté dit /Nostre Dame,1,l-316v-1-17,316v,1,
146,Quant tu pour ta chetive fame,1,l-316v-1-18,316v,1,
147,M'as renoié et degrepie,1,l-316v-1-19,316v,1,
148,En la puante puantie,1,l-316v-1-20,316v,1,
149,D'enfer ſeras enpuantez,1,l-316v-1-21,316v,1,
150,Par tes dolentes puantez,1,l-316v-1-22,316v,1,
