line_no,text,lg,l_id,folio,col,speaker
1,Puisque Diex m'a pꝛeſté Sens et entendement,1,l-125r-2-1,125r,2,
2,Et bouche de parler Et cuer d'aviſement,1,l-125r-2-2,125r,2,
3,Que ne ſoie repꝛis Ne blaſmez folement,1,l-125r-2-3,125r,2,
4,Dont me doi je pener De parler ſagement,1,l-125r-2-4,125r,2,
5,Voirs eſt que biau parler Ne puet aus bons deſplaire,2,l-125r-2-5,125r,2,
6,Qui bien y veult penſer On y pꝛent examplaire,2,l-125r-2-6,125r,2,
7,Poꝛ ſa vie amender Et lui de pechié traire,2,l-125r-2-7,125r,2,
8,Diex me doinſt dire choſe Qui a tous puiſſe plaire,2,l-125r-2-8,125r,2,
9,Se vous volez a moy .I. petit[et] entendꝛe,3,l-125r-2-9,125r,2,
10,Vous y poꝛrez tel choſe Retenir et apꝛendꝛe,3,l-125r-2-10,125r,2,
11,Que vous vous garderez Tous joꝛs mais de meſpꝛendꝛe,3,l-125r-2-11,125r,2,
12,En toutes les raiſons Sus quoi je doi deſcendꝛe,3,l-125r-2-12,125r,2,
13,Ce ne ſont pas menconge Ains eſt choſe certaine,4,l-125r-2-13,125r,2,
14,Car j'en trai a teſmoing L'Eſcripture divine,4,l-125v-1-1,125v,1,
15,De cui creſtienté Et la loy ſe decline,4,l-125v-1-2,125v,1,
16,Car c'eſt confeſſion Qui tant eſt bone et digne,4,l-125v-1-3,125v,1,
17,Voirs eſt que il n'eſt nul S'il ſe veult amender,5,l-125v-1-4,125v,1,
18,Et repentir de cuer Et Dieu merci crier,5,l-125v-1-5,125v,1,
19,Et en devotion Netement confeſſer,5,l-125v-1-6,125v,1,
20,Que Diex ne li pardoinſt Sans jamais reprover,5,l-125v-1-7,125v,1,
21,Mais que face penance Tele c'on li enjoint,6,l-125v-1-8,125v,1,
22,Puis ſe gart de pechié Qu'il n'i renchiee point,6,l-125v-1-9,125v,1,
23,Ainſi ert racoꝛdé A Dieu et en bon point,6,l-125v-1-10,125v,1,
24,Prions li que ſ'amour Et ſa grace nous doinſt,6,l-125v-1-11,125v,1,
25,Entre vous tous et toutes Je vous pꝛi et requier,7,l-125v-1-12,125v,1,
26,Ens en l'onnour de Dieu Qui tant puet juſticier,7,l-125v-1-13,125v,1,
27,Entendés .i. biau dit Que je vous veil noncier,7,l-125v-1-14,125v,1,
28,Qu'il avint de certain Au temps ca en arrier,7,l-125v-1-15,125v,1,
29,Il fu .i. riches hons Si com trouvons liſant,8,l-125v-1-16,125v,1,
30,Entre li et ſa fame Avoient .i. enfant,8,l-125v-1-17,125v,1,
31,La moꝛt priſt le boꝛjois Ne pot vivre en avant,8,l-125v-1-18,125v,1,
32,Quant la moꝛt fu venue Moult ot le cuer dolant,8,l-125v-1-19,125v,1,
33,Dolans eſt cil qui pert Sa bone compaignie,9,l-125v-2-1,125v,2,
34,Apꝛez que li bourgois Ot perdue la vie,9,l-125v-2-2,125v,2,
35,La dame fu de plait Durement aſſaillie,9,l-125v-2-3,125v,2,
36,Moult y a deſpendu De ſon avoir partie,9,l-125v-2-4,125v,2,
37,Li filz fu a l'eſcole Qui moult y deſpendi,10,l-125v-2-5,125v,2,
38,La dame largement De ſon avoir perdi,10,l-125v-2-6,125v,2,
39,Po but et po menja Povrement ſe veſti,10,l-125v-2-7,125v,2,
40,Tiex le ſoloit vëoir Qui ſ'eſloigna de li.,10,l-125v-2-8,125v,2,
41,La bourioiſe cheï En moult grant povreté,11,l-125v-2-9,125v,2,
42,Ne pot avoir les aiſes Ou elle avoit eſté,11,l-125v-2-10,125v,2,
43,Et ſi fu delivree De tout ſon parenté,11,l-125v-2-11,125v,2,
44,Car il n'eſt nulz ſ'il pert Qui ne chiee en vilté,11,l-125v-2-12,125v,2,
45,Un joꝛ cele boꝛjoise Entra en .i. jardin,12,l-125v-2-13,125v,2,
46,Ploꝛant deſconfoꝛtee Moult faiſoit male fin,12,l-125v-2-14,125v,2,
47,Ses .ii. poins detoꝛdant Et eſrachant ſon crin,12,l-125v-2-15,125v,2,
48,Dëables qui ne doꝛt Vers li pꝛiſt ſon chemin,12,l-125v-2-16,125v,2,
49,En guiſe d'un marchant Devant lui ſ'arreſta,13,l-125v-2-17,125v,2,
50,Par moult ſimple raiſon Tantoſt li demanda.,13,l-125v-2-18,125v,2,
51,Dites fait il m'amie Pour quoy ploꝛez vous la,13,l-126r-1-1,126r,1,
52,Et cele ſans plus faire Tout ſon fait li conta.,13,l-126r-1-2,126r,1,
53,Cele cuidoit qu'il fuſt uns hons de bone vie,14,l-126r-1-3,126r,1,
54,Certes ſire fait elle Je ſui moult eſbahie,14,l-126r-1-4,126r,1,
55,Je ſoloie eſtre riche Oꝛ ſui moult apovrie,14,l-126r-1-5,126r,1,
56,Li ennemis reſpont Oꝛ ne t'eſmaie mie,14,l-126r-1-6,126r,1,
57,Se tu veulz faire ce Que je t'enſeignerai,15,l-126r-1-7,126r,1,
58,Oꝛ et argent et robes A plenté te donrai,15,l-126r-1-8,126r,1,
