line_no,text,lg,l_id,folio,col,speaker
1,Par la [grant] fraude Et barat qu'il furent,1,l-137r-2-11,137r,2,
2,Si qu'ilz /la grant [Bretai]gne pourpꝛirent,1,l-137r-2-12,137r,2,
3,Dont encoꝛ ont entention,1,l-137v-1-1,137v,1,
4,Mais nier lui fait bien mention,1,l-137v-1-2,137v,1,
5,Que de bꝛuch encoꝛe vendꝛa,1,l-137v-1-3,137v,1,
6,Qui /la grant Bretaigne tendꝛa,1,l-137v-1-4,137v,1,
7,Et c'eſt bien dꝛoit avec raiſon,1,l-137v-1-5,137v,1,
8,Car barat en toute ſaiſon,1,l-137v-1-6,137v,1,
9,Tous joꝛs doit cunchier,1,l-137v-1-7,137v,1,
10,Son meſtre,1,l-137v-1-8,137v,1,
11,Car d'eulz veult,1,l-137v-1-9,137v,1,
12,Qu'ons nez ou a neſtre,1,l-137v-1-10,137v,1,
13,Ne tiegne regne ou croce,1,l-137v-1-11,137v,1,
14,Ou mitre,1,l-137v-1-12,137v,1,
15,Puis qu'il ne le tient,1,l-137v-1-13,137v,1,
16,A bon tiltre.,1,l-137v-1-14,137v,1,
17,Et contre ſon ſeignoꝛ rebelle,1,l-137v-1-15,137v,1,
18,Oꝛ ooz choſe non nouvele,1,l-137v-1-16,137v,1,
19,Moult ont englois penſe d'ouvrer,1,l-137v-1-17,137v,1,
20,Comment poiſſent recouvrer,1,l-137v-1-18,137v,1,
21,/Noꝛmendie /anjo et /gaſcoigne,1,l-137v-1-19,137v,1,
22,Maint fil y ont mis en quenoille,1,l-137v-1-20,137v,1,
23,Mais il nel poꝛent deſuuidier,1,l-137v-1-21,137v,1,
24,Car deceu ſont par cuidier,1,l-137v-1-22,137v,1,
25,En la fallace dacadent,1,l-137v-1-23,137v,1,
26,Qui toute en eulz eſt euident,1,l-137v-1-24,137v,1,
27,Moult remaint de ce que fol penſe,1,l-137v-1-25,137v,1,
28,Car d'eux tout fait,1,l-137v-1-26,137v,1,
29,Et tout deſpenſe,1,l-137v-1-27,137v,1,
30,Poꝛ ce n'ont peu gaaignier,1,l-137v-1-28,137v,1,
31,Car .i. penſe .i. autre a nier,1,l-137v-1-29,137v,1,
32,/Richart /henri et /edouart,1,l-137v-1-30,137v,1,
33,Qui mie ne furent coart,1,l-137v-1-31,137v,1,
34,Ne de proece ainſiques lente,1,l-137v-1-32,137v,1,
35,Miſtrent moult a ce leur entente,1,l-137v-1-33,137v,1,
36,N'a fin n'en oirent avenir,1,l-137v-1-34,137v,1,
37,Bien devroit de,1,l-137v-1-35,137v,1,
38,Ce ſouvenir.,1,l-137v-1-36,137v,1,
39,Au roy engles oꝛe en vie,1,l-137v-1-37,137v,1,
40,Sages d'autrui fait ſe chaſtie,1,l-137v-1-38,137v,1,
41,Se ſages dont eſt ſi ſ'aviſe,1,l-137v-2-1,137v,2,
42,Qu'il n'entrepꝛegne,1,l-137v-2-2,137v,2,
43,Fole empꝛiſe,1,l-137v-2-3,137v,2,
44,De ſoy folement deſtrengier,2,l-137v-2-4,137v,2,
45,Car tel ſe cuide reuengier,2,l-137v-2-5,137v,2,
46,Il croit ſon domage et ſa honte,2,l-137v-2-6,137v,2,
47,Gentilz roys et de /valois conte,2,l-137v-2-7,137v,2,
48,Ne croi pas tout ce com te die,2,l-137v-2-8,137v,2,
49,Partout a fraude et tricherie,2,l-137v-2-9,137v,2,
50,De biaus parlers pluiſeurs recoit,2,l-137v-2-10,137v,2,
51,Souvent pꝛent on,2,l-137v-2-11,137v,2,
52,En ſon cuer recoit,2,l-137v-2-12,137v,2,
53,Tel qu'il le traiſt.,2,l-137v-2-13,137v,2,
54,Et ſouſplante,2,l-137v-2-14,137v,2,
55,La ſeraine doucemen chante,2,l-137v-2-15,137v,2,
56,Li englois poꝛtent ſimple face,3,l-137v-2-16,137v,2,
57,Et prometent mais quiers qui face,3,l-137v-2-17,137v,2,
58,Tiens toy dont roys,3,l-137v-2-18,137v,2,
59,En ta ſaiſine,3,l-137v-2-19,137v,2,
60,Ne poꝛ biau p[ar]ler,3,l-137v-2-20,137v,2,
61,Ne t'enclinne.,3,l-137v-2-21,137v,2,
62,A gent q⁄ de cuer eſt doubliere,3,l-137v-2-22,137v,2,
63,Penſe des fais ca en arriere,3,l-137v-2-23,137v,2,
64,Et que le monde pas,3,l-137v-2-24,137v,2,
65,N'amende,3,l-137v-2-25,137v,2,
66,Se li rois englois,3,l-137v-2-26,137v,2,
67,Te demande,3,l-137v-2-27,137v,2,
68,Ce que tiens aquis,3,l-137v-2-28,137v,2,
69,En /gaſcoigne,3,l-137v-2-29,137v,2,
70,Fais ton pꝛofit,3,l-137v-2-30,137v,2,
71,Fai ta vergoigne,3,l-137v-2-31,137v,2,
72,Et ne veules apeticier,3,l-137v-2-32,137v,2,
73,Ton dꝛoit ne a toi alicier,3,l-137v-2-33,137v,2,
74,Qui ne veille ton bien acroiſtre,3,l-137v-2-34,137v,2,
75,Tu pues bien ſavoir,3,l-137v-2-35,137v,2,
76,Et congnoiſtre,3,l-137v-2-36,137v,2,
77,Que englois enc,3,l-137v-2-37,137v,2,
78,Francois n'ama,3,l-137v-2-38,137v,2,
79,Male dꝛagie entr'eulz y a,3,l-138r-1-1,138r,1,
80,Hui ſont en pais,3,l-138r-1-2,138r,1,
81,Demain en guerre,3,l-138r-1-3,138r,1,
82,De tel matire eſt engleterre,3,l-138r-1-4,138r,1,
83,Poꝛ ce eſt il que la gent nee,3,l-138r-1-5,138r,1,
84,Ne puet avoir ferme penſee,3,l-138r-1-6,138r,1,
85,En .i. eſtat point ne ſeioꝛne,3,l-138r-1-7,138r,1,
86,Et tous jours a,3,l-138r-1-8,138r,1,
87,Funge retourne,3,l-138r-1-9,138r,1,
88,Contre francois,3,l-138r-1-10,138r,1,
89,Meiſmement,3,l-138r-1-11,138r,1,
90,Riens n'i fault foy,3,l-138r-1-12,138r,1,
91,Ne ſerement.,3,l-138r-1-13,138r,1,
92,Mais bien tenir ne les vaudꝛont,3,l-138r-1-14,138r,1,
93,Treſtout ainſi le vous feront,3,l-138r-1-15,138r,1,
94,Des pais y aras tu ſouvent,3,l-138r-1-16,138r,1,
95,Qui ne tendꝛont foy ne couvent,3,l-138r-1-17,138r,1,
96,Car mal tailliees et couſues,3,l-138r-1-18,138r,1,
97,Tele pais ne ſont pas tenues,3,l-138r-1-19,138r,1,
98,Des a[n]glois ou il n'a fiance,3,l-138r-1-20,138r,1,
99,Oꝛ ſachiez dont,3,l-138r-1-21,138r,1,
100,Roys ſans doutance,3,l-138r-1-22,138r,1,
101,Que tant comme englois te ſauront,3,l-138r-1-23,138r,1,
102,Prez d'eulz que pais,3,l-138r-1-24,138r,1,
103,A toy n'avront,3,l-138r-1-25,138r,1,
104,Ne ne te donront couvenant,3,l-138r-1-26,138r,1,
105,Poꝛ coy penſes duremant,3,l-138r-1-27,138r,1,
106,Aquerir ne ja ne le leſſe,3,l-138r-1-28,138r,1,
107,Se cauſe et raiſon as expreſſe,3,l-138r-1-29,138r,1,
108,Qu'englois ne facent,3,l-138r-1-30,138r,1,
109,Leur devoir.,3,l-138r-1-31,138r,1,
110,Fai leur tantoſt aperceuoir,3,l-138r-1-32,138r,1,
111,Que /gaſcoingne eſt,3,l-138r-1-33,138r,1,
112,De toy tenue,3,l-138r-1-34,138r,1,
113,Soit ce n'eſt pas deſcouenue,3,l-138r-1-35,138r,1,
114,Et te fais ſeigneur dꝛoit clamer,3,l-138r-1-36,138r,1,
115,De tout ce qui eſt deca mer,3,l-138r-1-37,138r,1,
116,Soit la mer boꝛne,3,l-138r-1-38,138r,1,
117,Et deſſeurance.,3,l-138r-2-1,138r,2,
118,De /l'engleterre et de /la France,3,l-138r-2-2,138r,2,
119,Car nul qui atent que ſoit fait,3,l-138r-2-3,138r,2,
120,Tu n'avras bonne pais de fait,3,l-138r-2-4,138r,2,
121,Ne doit avoir ſucceſſion,3,l-138r-2-5,138r,2,
122,Au lis n'aver li poꝛtion,3,l-138r-2-6,138r,2,
123,Liepart poꝛ ce qu'en auoutire,3,l-138r-2-7,138r,2,
124,Il pꝛent ſa ſuſtance et matire,3,l-138r-2-8,138r,2,
125,Non fait auſſi que le lyon,3,l-138r-2-9,138r,2,
126,Qui ne garde diſcretion,3,l-138r-2-10,138r,2,
127,En ſon ſexe coꝛpoꝛelment,3,l-138r-2-11,138r,2,
128,En parlant eſp[er]itelment,3,l-138r-2-12,138r,2,
129,Tel ne ſont mie poſſeſſeur,3,l-138r-2-13,138r,2,
130,N'eſtre ne doivent ſucceſſeur,3,l-138r-2-14,138r,2,
131,En choſe de la fleur de lis,3,l-138r-2-15,138r,2,
132,Eſtre puet que tu qui ce lis,3,l-138r-2-16,138r,2,
133,Pour roy demander,3,l-138r-2-17,138r,2,
134,Ne poꝛroies.,3,l-138r-2-18,138r,2,
135,Et je te pri que ſus ce m'oies,3,l-138r-2-19,138r,2,
136,Quant le liepart a lyon cure,4,l-138r-2-20,138r,2,
137,En lieux a par deca demeure,4,l-138r-2-21,138r,2,
138,En fait de generation.,4,l-138r-2-22,138r,2,
139,La pꝛent le lyepart nacion,4,l-138r-2-23,138r,2,
140,Dont fault de ceulz,4,l-138r-2-24,138r,2,
141,Que liepart n'eſſe,4,l-138r-2-25,138r,2,
142,Que le lyon ou lyoneſſe,4,l-138r-2-26,138r,2,
143,Se mefface en part ou en parde,4,l-138r-2-27,138r,2,
144,Et par tel meffait les regarde,4,l-138r-2-28,138r,2,
145,Que le liepart ainſi compoſe,4,l-138r-2-29,138r,2,
146,Faire bien ne puet ne ne poſt,4,l-138r-2-30,138r,2,
147,Ne ne poꝛra quant ſa nature,4,l-138r-2-31,138r,2,
148,Vient d'auentreuſe,4,l-138r-2-32,138r,2,
149,Maisfaicture.,4,l-138r-2-33,138r,2,
150,/Engleterre les liepars poꝛte,4,l-138r-2-34,138r,2,
151,Le lyon a /flandꝛes rapoꝛte,4,l-138r-2-35,138r,2,
152,Ces .ii. en leurs ſeigneurs,4,l-138r-2-36,138r,2,
153,Meſpꝛiſtrent.,4,l-138r-2-37,138r,2,
