line_no,text,lg,l_id,folio,col,speaker
1,Seigneurs qui ci eſtes venus,1,l-34r-1-1,34r,1,
2,Petit et grant Ionnes et chanus,1,l-34r-1-2,34r,1,
3,Il vous eſt trop bien avenu,1,l-34r-1-3,34r,1,
4,Sachiez devoir,1,l-34r-1-4,34r,1,
5,Je ne vous weil pas decevoir,1,l-34r-1-5,34r,1,
6,Bien le pourres apeꝛcevoir,1,l-34r-1-6,34r,1,
7,Ains que men uoiſſe,1,l-34r-1-7,34r,1,
8,Aſees vous ne faites noiſe,1,l-34r-1-8,34r,1,
9,Si eſcoutez ſil ne vous poiſe,1,l-34r-1-9,34r,1,
10,Je ſui .i. mires,1,l-34r-1-10,34r,1,
11,S'ai eſté par diveꝛs empires,1,l-34r-1-11,34r,1,
12,Du caire matenu li ſires,1,l-34r-1-12,34r,1,
13,Plus d'un eſté,1,l-34r-1-13,34r,1,
14,Lonc temps ai avec li eſté,1,l-34r-1-14,34r,1,
15,Grant auoi i'ai conqueste,1,l-34r-1-15,34r,1,
16,Meꝛ ai paſſe,1,l-34r-1-16,34r,1,
17,Simen reuing par lamoꝛee,1,l-34r-1-17,34r,1,
18,Ou j'ai fet moult grant de moꝛee,1,l-34r-1-18,34r,1,
19,Et par ſaleꝛne,1,l-34r-1-19,34r,1,
20,Par burienne par biteꝛne,1,l-34r-1-20,34r,1,
21,Enpuille en calabꝛe en luſeꝛne,1,l-34r-1-21,34r,1,
22,Ai heꝛbes pꝛiſſes,1,l-34r-1-22,34r,1,
23,Qui de grant vertu ſont eſpꝛiſes,1,l-34r-1-23,34r,1,
24,Sus quel que mal que ſoient miſes,1,l-34r-1-24,34r,1,
25,Li maus ſenfuit,1,l-34r-2-1,34r,2,
26,Juſqu'a la rivieꝛe qui bꝛint,1,l-34r-2-2,34r,2,
27,Dun flun deſpieꝛres joꝛ et nuit,1,l-34r-2-3,34r,2,
28,Fui pieꝛres querre,1,l-34r-2-4,34r,2,
29,Preſtres iehan ja fet gueꝛre,1,l-34r-2-5,34r,2,
30,Je noſe entreꝛ en la terre,1,l-34r-2-6,34r,2,
31,Je fui au poꝛt,1,l-34r-2-7,34r,2,
32,Moult riches pieꝛres en apoꝛt,1,l-34r-2-8,34r,2,
33,Qui font reſuſciteꝛ le moꝛt,1,l-34r-2-9,34r,2,
34,Ce ſont feꝛrites,1,l-34r-2-10,34r,2,
35,Rubis. iagonces margueꝛites,1,l-34r-2-11,34r,2,
36,Grenas ſtopacez,1,l-34r-2-12,34r,2,
37,Et tella cpms et galagaces,1,l-34r-2-13,34r,2,
38,Demoꝛt ne douteꝛa manaces,1,l-34r-2-14,34r,2,
39,Cil qui les poꝛte,1,l-34r-2-15,34r,2,
40,Fox eſt quiſe deſconfoꝛte,1,l-34r-2-16,34r,2,
41,Na garde que lieures len poꝛte,1,l-34r-2-17,34r,2,
42,S'il ſe tient bien,1,l-34r-2-18,34r,2,
43,Sina garde de bai dechien,1,l-34r-2-19,34r,2,
44,Ne de rechan daſne ancien,1,l-34r-2-20,34r,2,
45,S'il neſt couars,1,l-34r-2-21,34r,2,
46,Il na garde detoutes pars,1,l-34r-2-22,34r,2,
47,Charbon ne los et garolas,1,l-34r-2-23,34r,2,
48,Qui ſont tuit inde,1,l-34r-2-24,34r,2,
49,Heꝛbes a poꝛt des deſeꝛs d'innde,1,l-34r-2-25,34r,2,
50,Et de la terre lincoꝛinde,1,l-34r-2-26,34r,2,
51,Qui ſiet ſus londe,1,l-34r-2-27,34r,2,
52,Eſquatre parties du monde,1,l-34r-2-28,34r,2,
53,Sicomme il tient alaroonde,1,l-34r-2-29,34r,2,
54,Oꝛ me crees,1,l-34r-2-30,34r,2,
55,Vous ne ſavez cui vous uees,1,l-34r-2-31,34r,2,
56,Teſſiez vous et ſi vous ſees,1,l-34r-2-32,34r,2,
57,Veez meꝛbeꝛie,1,l-34r-2-33,34r,2,
58,Je vous di par ſainte Marie,1,l-34r-2-34,34r,2,
59,Que ce neſt mie feꝛpeꝛie,1,l-34r-2-35,34r,2,
60,Mes grant noblece,1,l-34r-2-36,34r,2,
61,,1,l-34r-2-37,34r,2,
62,,1,l-34r-2-38,34r,2,
63,A pou depainne,1,l-34v-1-1,34v,1,
64,De toutes fieures foꝛs quartaine,1,l-34v-1-2,34v,1,
65,Garis en mains d'une ſemainne,1,l-34v-1-3,34v,1,
66,Ce neſt pas faute,1,l-34v-1-4,34v,1,
67,Et ſi garis de goute fautre,1,l-34v-1-5,34v,1,
68,Ja tant nen eꝛt baſſe ne haute,1,l-34v-1-6,34v,1,
69,Toute la bat,1,l-34v-1-7,34v,1,
70,[Se la vainne du cul] vous bat,1,l-34v-1-8,34v,1,
71,Je vous en garrai ſanz debat,1,l-34v-1-9,34v,1,
72,Et de la dent,1,l-34v-1-10,34v,1,
73,Gariſie trop apeꝛtement,1,l-34v-1-11,34v,1,
74,Par .i. petitet doignement,1,l-34v-1-12,34v,1,
75,Que vous diroie,1,l-34v-1-13,34v,1,
76,Oez comment ien confirai,1,l-34v-1-14,34v,1,
77,Ja auconſire ne mentirai,1,l-34v-1-15,34v,1,
78,Ceſt ſans riote,1,l-34v-1-16,34v,1,
79,Prenez ſain de la marmote,1,l-34v-1-17,34v,1,
80,De la meꝛde de la linote,1,l-34v-1-18,34v,1,
81,Au mardi main,1,l-34v-1-19,34v,1,
82,Et de la fuelle du plantain,1,l-34v-1-20,34v,1,
83,Et de leſtront de la [putain],1,l-34v-1-21,34v,1,
84,Qui ſoit bien vielle,1,l-34v-1-22,34v,1,
85,Et de la poudꝛe deleſtrille,1,l-34v-1-23,34v,1,
86,Et du rouil de la faucille,1,l-34v-1-24,34v,1,
87,Et de la laine,1,l-34v-1-25,34v,1,
88,Et de leſcoꝛce de lauaine,1,l-34v-1-26,34v,1,
89,Pilee premieꝛ joꝛ de ſemaine,1,l-34v-1-27,34v,1,
90,Sien feꝛes,1,l-34v-1-28,34v,1,
91,.I. plaſtre et du jus laueꝛez,1,l-34v-1-29,34v,1,
92,Ladent. lemplaſtre meteꝛez,1,l-34v-1-30,34v,1,
93,Deſus la ioe,1,l-34v-1-31,34v,1,
94,Doꝛmez .i. pou je le vous loe,1,l-34v-1-32,34v,1,
95,Sau leveꝛ nia meꝛde ouboe,1,l-34v-1-33,34v,1,
96,Diex vous deſtruie,1,l-34v-1-34,34v,1,
97,Eſcoutez ſi ne vous ennuie,1,l-34v-1-35,34v,1,
98,Ce neſt pas joꝛnee de truie,1,l-34v-1-36,34v,1,
99,Cui poez faire,1,l-34v-1-37,34v,1,
100,Et vous cui lapieꝛre fet bꝛeꝛe,1,l-34v-1-38,34v,1,
101,Je vous en garrai ſans contraire,1,l-34v-2-1,34v,2,
102,Se gi mes cure,1,l-34v-2-2,34v,2,
103,De foir eſchaufe de routure,1,l-34v-2-3,34v,2,
104,Garis je toſt adés meſure,1,l-34v-2-4,34v,2,
105,A que qu'il tourt,1,l-34v-2-5,34v,2,
106,Et ſe vous ſavez homme ſourt,1,l-34v-2-6,34v,2,
107,Faites le venir a ma court,1,l-34v-2-7,34v,2,
108,Ja ieꝛt touz ſains,1,l-34v-2-8,34v,2,
109,Onques anul joꝛ noi mains,1,l-34v-2-9,34v,2,
110,Se Diex me gariſt ces .ii. mains,1,l-34v-2-10,34v,2,
