line_no,text,lg,l_id,folio,col,speaker
1,Clemens eſt .i. non debonnaire,1,l-146v-1-11,146v,1,
2,Qui par dꝛoit a pitié doit traire,1,l-146v-1-12,146v,1,
3,De li ſont li eſtatut venu,1,l-146v-1-13,146v,1,
4,Mais je croi que cil ſont venu,1,l-146v-1-14,146v,1,
5,Cil qui ſont aucun a cheval,1,l-146v-1-15,146v,1,
6,A pié vont amont et aval,1,l-146v-1-16,146v,1,
7,Cil qui les dignitez avoient,1,l-146v-1-17,146v,1,
8,Oꝛendꝛoit li plus,1,l-146v-1-18,146v,1,
9,S'en eſmoient,1,l-146v-1-19,146v,1,
10,Leur eſtat tenir convendꝛa,1,l-146v-2-1,146v,2,
11,Mais ne ſa dont ce leur vendra,1,l-146v-2-2,146v,2,
12,Dont eſtat puiſſent maintenir,1,l-146v-2-3,146v,2,
13,Leur deſpens ne poꝛront foꝛnir,1,l-146v-2-4,146v,2,
14,Ne finer auſſi leurs eſcos,1,l-146v-2-5,146v,2,
15,Si metront cotes et ſurcos,1,l-146v-2-6,146v,2,
16,En gages pour l'eſcot paier,1,l-146v-2-7,146v,2,
17,C'eſt ce qui les fait eſmaier,1,l-146v-2-8,146v,2,
18,Cil qui ont pluiſeurs benefices,1,l-146v-2-9,146v,2,
19,Par ce en ſeront mis,1,l-146v-2-10,146v,2,
20,Hoꝛs des lices.,1,l-146v-2-11,146v,2,
21,Dont perdu ont maint rigoler,1,l-146v-2-12,146v,2,
22,Ne ſi hault ne poꝛront voler,1,l-146v-2-13,146v,2,
23,Si nel doit tel eſtatut plaire,1,l-146v-2-14,146v,2,
24,Et autre part par tel afaire,1,l-146v-2-15,146v,2,
25,Preſtres clers qui ſe looient,2,l-146v-2-16,146v,2,
26,Aus ſeunes quant il y venoient,2,l-146v-2-17,146v,2,
27,Ne ſeront tant loe ne pꝛis,2,l-146v-2-18,146v,2,
28,Si demoꝛront tous entrepꝛis,2,l-146v-2-19,146v,2,
29,Et puis qu'auront perdu leurs chans,2,l-146v-2-20,146v,2,
30,Il deuendꝛont bergiers des champs,2,l-146v-2-21,146v,2,
31,A la charrue ſ'en iront,2,l-146v-2-22,146v,2,
32,Preſtre et clerc mais il mauridont,2,l-146v-2-23,146v,2,
33,Ceulz par cui auront tel office,2,l-146v-2-24,146v,2,
34,Perdu auront le temps crois et calice,2,l-146v-2-25,146v,2,
35,Puis que le temps aiſi ſ'adonne,2,l-146v-2-26,146v,2,
36,Pluiſeurs muceront,2,l-146v-2-27,146v,2,
37,Leur couronne,2,l-146v-2-28,146v,2,
38,Beſoing leur ſera et meſtre,2,l-146v-2-29,146v,2,
39,De commencier autre meſtre,2,l-146v-2-30,146v,2,
