line_no,text,lg,l_id,folio,col,speaker
1,Pour recoꝛdeꝛ un dit Sui ci endꝛoit venus,1,l-1r-1-1,1r,1,
2,Dieu gart touz ceulz et celles dont ſeray entendus,1,l-1r-1-2,1r,1,
3,D'un roy vous weil parleꝛ Par qui fu maintenus,1,l-1r-1-3,1r,1,
4,Le pais d'Engleterre Oꝛ eſt ſ'ame laſſus,1,l-1r-1-4,1r,1,
5,En la joie des cieus Ou tous pourrons aleꝛ,2,l-1r-1-5,1r,1,
6,Se faiſon com le roy Dont je vous weil parleꝛ,2,l-1r-1-6,1r,1,
7,L'eſcripture teſmoingne Que qui veult hault monteꝛ,2,l-1r-1-7,1r,1,
8,Il ne doit pas grans fais Deſus ſon col poꝛteꝛ,2,l-1r-1-8,1r,1,
9,Et c'eſt eſcript c'un riche qui ne veult dire rien,3,l-1r-1-9,1r,1,
10,N'enterroit en la gloire Ou Dieu maint et li ſien,3,l-1r-1-10,1r,1,
11,Nient plus que un chameul Ne paſſeroit pour rien,3,l-1r-1-11,1r,1,
12,Par le cul d'une aguille Mes oꝛ entendez bien,3,l-1r-1-12,1r,1,
13,Pas ne devons entendꝛe que roys dus ne marchis,4,l-1r-2-1,1r,2,
14,Ou autre gent qui ſont De richeſce garnis,4,l-1r-2-2,1r,2,
15,Ne puisſent auſſi bien Entrer en paradis,4,l-1r-2-3,1r,2,
16,Comme les povres gens Qui ſont touz deſſaiſſis,4,l-1r-2-4,1r,2,
17,Pour tant ſans plus qu'il veulent oꝛdeneꝛ par raiſon,5,l-1r-2-5,1r,2,
18,Des biens dont il ſe voient En la poſſeſſion,5,l-1r-2-6,1r,2,
19,Par Saint Loys de France Prouveꝛ le vous poon,5,l-1r-2-7,1r,2,
20,Et par le roy englois De qui parleꝛ voulon,5,l-1r-2-8,1r,2,
21,Bien eſt voir que les riches Sont temptés plus foꝛment,6,l-1r-2-9,1r,2,
22,De la char et du monde Que ceus qui n'ont nient,6,l-1r-2-10,1r,2,
23,Mes quant un chanpion Se combat bien ſouvent,6,l-1r-2-11,1r,2,
24,Et tourjours a victoire Plus grant louieꝛ a tant,6,l-1r-2-12,1r,2,
25,Se les riches donnent achoiſon de pechieꝛ.,7,l-1r-2-13,1r,2,
26,Et les gens qui ſont riches S'en ſevent bien gaitieꝛ,7,l-1r-2-14,1r,2,
27,Tant doivent il avoir De Dieu plus grant louier,7,l-1r-2-15,1r,2,
28,Les povres deſpit ſont Du ciel heritieꝛ,7,l-1r-2-16,1r,2,
29,Le philoſophie diſt C'eſt eſcript en maint lieus,8,l-1r-2-17,1r,2,
30,Que la choſe que l'onme Et la famme ainme miex,8,l-1r-2-18,1r,2,
31,De ſon cueꝛ feꝛmement C'eſt droitement ces Diex,8,l-1r-2-19,1r,2,
32,Oꝛ voions ſ'il eſt gueres De celles ou de cieus,8,l-1v-1-1,1v,1,
33,Qui metent leur cuers plus En amaſſeꝛ avoir,9,l-1v-1-2,1v,1,
34,Qu'a ſervir Jheſucriſt Pour paradis avoir,9,l-1v-1-3,1v,1,
35,Oil dont c'eſt donmage Mes bien fiſt ſon devoir,9,l-1v-1-4,1v,1,
36,Le roy de qui la vie Vous weil ramentevoir,9,l-1v-1-5,1v,1,
37,Il fu roy d'Engleterre Et duc de Noꝛmendie,10,l-1v-1-6,1v,1,
38,Et d'aſſez d'autres lieus Avoit la ſeigneurie,10,l-1v-1-7,1v,1,
39,Mes il metoit ſon cuer Et toute ſ'eſtudie,10,l-1v-1-8,1v,1,
40,A ſeꝛvir Jheſucriſt Et la Vieꝛge Marie,10,l-1v-1-9,1v,1,
41,En pais maintint ſa terre Partout eſtoit amés,11,l-1v-1-10,1v,1,
