line_no,text,lg,l_id,folio,col,speaker
1,Un pꝛeudons pꝛiſt dame iouenne,1,l-412v-1-1,412v,1,
2,Une moult oꝛguilleuſſe dame,1,l-412v-1-2,412v,1,
3,Et ſi tres deſpiteuſſe eſtoit,1,l-412v-1-3,412v,1,
4,Que riens vaincre ne la puoit,1,l-412v-1-4,412v,1,
5,Tant que par aventure avint,1,l-412v-1-5,412v,1,
6,Que cel pꝛeudomme li diſt,1,l-412v-1-6,412v,1,
7,Jouenne alons vëoir vos ueces,2,l-412v-1-7,412v,1,husband
8,L'en i fait ſentieꝛs et adꝛeces,2,l-412v-1-8,412v,1,husband
9,Et en nos bles et en nos pois,2,l-412v-1-9,412v,1,husband
10,L'en nous honniſt tout nos tremois,2,l-412v-1-10,412v,1,husband
11,Et nous devons ſi com moi ſemble,2,l-412v-1-11,412v,1,husband
12,Eſtre moult bonne gent enſemble,2,l-412v-1-12,412v,1,husband
13,Comme jonnes gens que nos ſommes,2,l-412v-1-13,412v,1,husband
14,Mout eſt oꝛ bien chargie de pommes,3,l-412v-1-14,412v,1,Jouenne
15,Vostre pommieꝛ et de moult blanches,3,l-412v-1-15,412v,1,Jouenne
16,Il n'a pas d'ici juſqu'a /planches,3,l-412v-1-16,412v,1,Jouenne
17,Homme qui miex reſemble faux,3,l-412v-1-17,412v,1,Jouenne
18,Mes enging ſe tu ne me faus,3,l-412v-1-18,412v,1,Jouenne
19,Je te metrai trop bien a point.,3,l-412v-1-19,412v,1,Jouenne
20,Boi iouenne ſe Diex me doint,4,l-412v-1-20,412v,1,husband
21,Joie de quanque j'ai ou monde,4,l-412v-1-21,412v,1,husband
22,Ne par Dieu ou tout bien habonde,4,l-412v-1-22,412v,1,husband
23,Onques ne le dis par nul mal,4,l-412v-1-23,412v,1,husband
24,Car vous eſtes dame loial,4,l-412v-1-24,412v,1,husband
25,Et pour ce vous eſpouſai ge,4,l-412v-2-1,412v,2,husband
26,Boi chetif las c'apotai ge,5,l-412v-2-2,412v,2,Jouenne
27,Quant vins en vostre compaignie,5,l-412v-2-3,412v,2,Jouenne
28,G'eſtoie blonde et bien pingnie,5,l-412v-2-4,412v,2,Jouenne
29,Et fille de moult bonne gent,5,l-412v-2-5,412v,2,Jouenne
30,Et ving bien trouſſe d'argent,5,l-412v-2-6,412v,2,Jouenne
31,Ou il n'avoit point de rechange,5,l-412v-2-7,412v,2,Jouenne
32,Et ſ'apoꝛtai et linge et lange,5,l-412v-2-8,412v,2,Jouenne
33,Et couſte en lit et coutepointe,5,l-412v-2-9,412v,2,Jouenne
34,Et huche moult belle et moult cointe,5,l-412v-2-10,412v,2,Jouenne
35,Et .iiii. paire d'oꝛilleꝛs,5,l-412v-2-11,412v,2,Jouenne
36,Et .v. paire de cheurechies,5,l-412v-2-12,412v,2,Jouenne
37,Me cuidiez vous ſouz piez tenir,5,l-412v-2-13,412v,2,Jouenne
38,Nenil ſi puiſſe je venir,5,l-412v-2-14,412v,2,Jouenne
39,A la vraie confeſſion,5,l-412v-2-15,412v,2,Jouenne
40,Je ſui bien en poſſeſſion,5,l-412v-2-16,412v,2,Jouenne
41,D'eſtre touz jours dame de vous,5,l-412v-2-17,412v,2,Jouenne
42,Boi iouanne ſi eſtez vous,6,l-412v-2-18,412v,2,husband
43,Et de moy et de quanque j'ai,6,l-412v-2-19,412v,2,husband
44,Voirement le ſui et ſeꝛai,7,l-412v-2-20,412v,2,Jouenne
45,Que j'ai .i. art plus que dëable,7,l-412v-2-21,412v,2,Jouenne
46,Iouenne ce n'eſt mie fable,8,l-412v-2-22,412v,2,husband
47,Se vous voulez tenir en ceſte,8,l-412v-2-23,412v,2,husband
48,Ja par Dieu par ciſt ne par ceſte,8,l-412v-2-24,412v,2,husband
49,Ne leꝛai que je ne m'i tieingne,9,l-412v-2-25,412v,2,Jouenne
