line_no,text,lg,l_id,folio,col,speaker
1,Royne du mont chiez Ainſi eſt apelee,1,l-138v-2-1,138v,2,
2,/Saint pere i tient ſa clef /Saint Pol i tient ſ'eſpee,1,l-138v-2-2,138v,2,
3,Mais par enchantement Eſt deca tranſlatee,1,l-138v-2-3,138v,2,
4,Ou l'en ret et rooingne Et robe a randonnee,1,l-138v-2-4,138v,2,
5,Le pape de /Romme eſt Souuerain de l'egliſe,2,l-138v-2-5,138v,2,
6,A qui creſtienté Eſt ſubgete et ſouſmiſe,2,l-138v-2-6,138v,2,
7,Vicaires eſt de Dieu Mais en /France ſ'i deuiſe,2,l-138v-2-7,138v,2,
8,Diſmes de /guelphes Qui ont mais n'i fu pꝛiſe,2,l-138v-2-8,138v,2,
9,D'une part il aſſault Et d'autre eſcommenie,3,l-138v-2-9,138v,2,
10,Pour ce que de ſon dꝛoit Il lye et ſi deſlie,3,l-138v-2-10,138v,2,
11,Et pape et emperere Si veult que l'en le die,3,l-138v-2-11,138v,2,
12,De /loys de /bauiere Ne ſ'i acoꝛde mie,3,l-138v-2-12,138v,2,
13,Dv pape croit qu'il ſoit Saint et juſte perſonne,4,l-139r-1-1,139r,1,
14,Car le pooir de lui Par toute terre ſone,4,l-139r-1-2,139r,1,
15,Il fait tout bien et dꝛoit Ou ſ'il pꝛent ou ſ'i donne,4,l-139r-1-3,139r,1,
16,Mais /guilelme geut A ce pas ne ſe donne,4,l-139r-1-4,139r,1,
17,Prouuendes done il Dignitez benefices,5,l-139r-1-5,139r,1,
18,Aus riches et a ceulz Qui moult ont de delices,5,l-139r-1-6,139r,1,
19,Mais des clers ſouffiſans Met on bien hoꝛs des lices,5,l-139r-1-7,139r,1,
20,Quant des fox ſages fait Et des ſages fait nices,5,l-139r-1-8,139r,1,
21,C'eſt tout dꝛoit quanque fet Ce ſeroit ſymonie,6,l-139r-1-12,139r,1,
22,Car tout partout eſt ſien Mais la povre clergié,6,l-139r-1-13,139r,1,
23,Des benefices dit Que dꝛoit n'eſt pas partie,6,l-139r-1-14,139r,1,
