line_no,text,lg,l_id,folio,col,speaker
1,Pour ceulz qui ſe deſroient; Trop outrageuſement,1,l-199r-1-1,199r,1,
2,Quant /li Sires des ciex; Qui ne fait ne ne ment,1,l-199r-1-2,199r,1,
3,Des avoirs terriens; Leur pꝛeſte largement,1,l-199r-1-3,199r,1,
4,Vous dirai un example; A tous generaument;,1,l-199r-1-4,199r,1,
5,Mais il ſont moult de ceulz; Qui n'i veulent entendꝛe.,2,l-199r-1-5,199r,1,
6,Ains veulent en ceſt ſiecle; Si grant oꝛgueil empꝛendꝛe,2,l-199r-1-6,199r,1,
7,Que par leur avoir veulent; Tous leurs amis ſouprendꝛe,2,l-199r-1-7,199r,1,
8,Et ne leur ſamble pas; Jamais puiſſent deſcendꝛe,2,l-199r-1-8,199r,1,
9,Juſqu'a tant que Foꝛtune; De ſa roe l'abat.,3,l-199r-1-9,199r,1,
10,Ou Diex par maladie De ſa verge le bat.,3,l-199r-1-10,199r,1,
11,Loꝛs vaut pou ſon deduit; Son avoir ſon barat.,3,l-199r-1-11,199r,1,
12,Ainz eſt triſte et dolent; Humilieus et mat,3,l-199r-1-12,199r,1,
13,Foꝛtune tu es juſte. Maint oꝛgueilleus aſommes,4,l-199r-2-1,199r,2,
14,Se nous ſommes hui ſain. Demain pas ne le ſommes.,4,l-199r-2-2,199r,2,
15,De ceſt pꝛouerbe ci. Deſcendꝛai ſur .ii. hommes.,4,l-199r-2-3,199r,2,
16,Qui aloient au bois; Buche querer leur ſommes.,4,l-199r-2-4,199r,2,
17,Ces hommes que je di; Eſtoient artiier.,5,l-199r-2-5,199r,2,
18,Et ſ'eſtoient voiſin; Au temps ca en arrier.,5,l-199r-2-6,199r,2,
19,Chaſcun avoit .i. aſne; Qui leur out grant meſtier.,5,l-199r-2-7,199r,2,
20,Leur ſomme ne povoient; Vendꝛe que .vi. denier,5,l-199r-2-8,199r,2,
21,Li uns de ces aniers; Femme et enfans avoit.,6,l-199r-2-9,199r,2,
22,Par quoi plus grant deſpens; Faire li convenoit.,6,l-199r-2-10,199r,2,
23,Il ſe levoit matin; Et moult tart ſe couchoit.,6,l-199r-2-11,199r,2,
24,Du ſoir pour le matin; Riens ne li demouroit.,6,l-199r-2-12,199r,2,
25,Cil qui n'ot nulz enfanz; Si foꝛment ſe haſta,7,l-199r-2-13,199r,2,
26,Qu'il ot avant ſa ſomme; Dont ſon aſne charga.,7,l-199r-2-14,199r,2,
27,Toſt et iſnelement; A la ville ſ'en va,7,l-199r-2-15,199r,2,
28,L'autre remeſt el bois; Qui foꝛt ſe dementa.,7,l-199r-2-16,199r,2,
29,L'autre remaint el bois; Triſte penſis et mas.,8,l-199r-2-17,199r,2,
30,Moult ſouvent ſe complaint; Et claime vilain las.,8,l-199r-2-18,199r,2,
31,Diex que poꝛrei je faire; Sire /ſaint Nicholas.,8,l-199r-2-19,199r,2,
32,Ma femme et mes enfans; Avront povre ſoulas.,8,l-199v-1-1,199v,1,
33,Je meiſme et ma beſte; Si moꝛrons hui de fain.,9,l-199v-1-2,199v,1,
34,Et ſi ne puis tenir. Ma ſarpe de ma main,9,l-199v-1-3,199v,1,
35,Laz; et ſi n'ai denier; De quoi nous aions pain.,9,l-199v-1-4,199v,1,
36,Certes c'eſt grant douleur; Au jour que naiſt vilain.,9,l-199v-1-5,199v,1,
37,Certes vilain ſui je; Gateis comme un ours,10,l-199v-1-6,199v,1,
38,De touz les temps du monde; Fui je nez en decours.,10,l-199v-1-7,199v,1,
39,Ma femme et mes enfans; Aront povre ſecours.,10,l-199v-1-8,199v,1,
40,Quant m'en yrai ſanz buche; Duel avront et courous,10,l-199v-1-9,199v,1,
