line_no,text,lg,l_id,folio,col,speaker
1,/Li ſages ſalemons Nous mouſtre,1,l-394v-1-8,394v,1,
2,Par bon exemple et par vrai mouſtre,1,l-394v-1-9,394v,1,
3,C'om doit touz joꝛs ſon ſanz mouſtreꝛ,1,l-394v-1-10,394v,1,
4,Par biax eſſemples demouſtreꝛ,1,l-394v-1-11,394v,1,
5,Car li ſans qui n'eſt demouſtres,1,l-394v-1-12,394v,1,
6,Par biax diz et par fais mouſtres,1,l-394v-1-13,394v,1,
7,Il n'es a nului prophitans,1,l-394v-1-14,394v,1,
8,Ne ne vaut riens plus que li tans,1,l-394v-1-15,394v,1,
9,Qui eſt peꝛdus ſans recouvreꝛ,1,l-394v-1-16,394v,1,
10,Dont doit touz jours ſages ouvreꝛ,1,l-394v-1-17,394v,1,
11,En fais en maintien et en oeuvre,1,l-394v-1-18,394v,1,
12,Par quoi le bien mouſtre et deſcuevre,1,l-394v-1-19,394v,1,
13,C'on doit noncieꝛ et deſcouurir,1,l-394v-1-20,394v,1,
14,C'eſt pechiez de ſon ſans couvrir,1,l-394v-1-21,394v,1,
15,Pour ce vous ieꝛt ci a ouueꝛs,1,l-394v-2-1,394v,2,
16,Mes petis ſans et aouueꝛs,1,l-394v-2-2,394v,2,
17,Par .i. bel eſſemple aſſez court,1,l-394v-2-3,394v,2,
18,C'on puet bien dire en haute court,1,l-394v-2-4,394v,2,
19,C'eſt de la nois que je compeꝛe,1,l-394v-2-5,394v,2,
20,Au ionne homme filz de bon peꝛe,1,l-394v-2-6,394v,2,
21,Que bien ſe veut d'onneur pareꝛ,1,l-394v-2-7,394v,2,
22,A la noiz ſe doit compareꝛ,1,l-394v-2-8,394v,2,
23,S'eꝛt a dꝛoit ſa vie paree,1,l-394v-2-9,394v,2,
24,S'a la nois groſſe eſt comparee,1,l-394v-2-10,394v,2,
25,Car biaus eſt li comparemens,1,l-394v-2-11,394v,2,
26,Quant d'aneur vient li paremens,1,l-394v-2-12,394v,2,
27,Dont pꝛinces puiſſans eſt pares,1,l-394v-2-13,394v,2,
28,Bien eſt a ſon dꝛoit compares,1,l-394v-2-14,394v,2,
29,Qui a la nois ſe compara,1,l-394v-2-15,394v,2,
30,De tres haute honneur ſe para,1,l-394v-2-16,394v,2,
31,Li pꝛemies en eſt apparans,1,l-394v-2-17,394v,2,
32,Eſgardes par mois et par ans,1,l-394v-2-18,394v,2,
33,A chaſcune ſaiſon nouvelle,1,l-394v-2-19,394v,2,
34,Que li noieꝛs ſe renouvelle,1,l-394v-2-20,394v,2,
35,Qu'il eſt veꝛs et renouuelles,1,l-394v-2-21,394v,2,
36,Conueꝛs de fueille et eſtelles,1,l-394v-2-22,394v,2,
37,De flour dont la nois naiſt et point,1,l-394v-2-23,394v,2,
38,Tant quelle eſt groſſe et en ce point,1,l-394v-2-24,394v,2,
39,Toute veꝛte l'eſtuet cueillir,1,l-394v-2-25,394v,2,
40,Pour confiture recueillir,1,l-394v-2-26,394v,2,
41,Ainſi ſ'en convient entremetre,1,l-394v-2-27,394v,2,
42,Qui la nois veut en confit metre,1,l-394v-2-28,394v,2,
43,Cueillir l'eſtuet ionete et tendꝛe,1,l-394v-2-29,394v,2,
44,Et par ce point poons entendꝛe,1,l-394v-2-30,394v,2,
45,Ce puet on eſpꝛouueꝛ ſouvent,1,l-394v-2-31,394v,2,
46,C'on doit en ſon ionne jouuant,1,l-394v-2-32,394v,2,
47,L'enfant jone aprendꝛe et eſtruire,1,l-394v-2-33,394v,2,
48,Que ou chemin le veut conduire,1,l-394v-2-34,394v,2,
49,De valeur d'armes et d'amours,1,l-394v-2-35,394v,2,
50,Comfir le doit en bonnes mours,1,l-394v-2-36,394v,2,
51,Et apꝛendꝛe d'onneur l'uſſage,1,l-394v-2-37,394v,2,
52,En tant qu'il eſt de jone aage,1,l-394v-2-38,394v,2,
53,On le doit par bien doctrineꝛ,1,l-395r-1-1,395r,1,
54,Faire obeir et alineꝛ,1,l-395r-1-2,395r,1,
55,A l'eſtat qu'il doit maintenir,1,l-395r-1-3,395r,1,
56,Pour miex dꝛoite voie tenir,1,l-395r-1-4,395r,1,
57,A bien faire eſtre couſtumieꝛs,1,l-395r-1-5,395r,1,
58,C'eſt li eſſamplaire premieꝛs,1,l-395r-1-6,395r,1,
59,De la nois veꝛde et la matire,1,l-395r-1-7,395r,1,
60,C'on doit en bonnes meurs confire,1,l-395r-1-8,395r,1,
61,L'anfant tant qu'il eſt jones d'ans,1,l-395r-1-9,395r,1,
62,Pour miex eſtre a honneur tandans,1,l-395r-1-10,395r,1,
63,Ou autrement il en meſchiet,1,l-395r-1-11,395r,1,
64,La nois le pꝛueue celle chiet,1,l-395r-1-12,395r,1,
65,Ou on la queꝛra a pentecouſte,1,l-395r-1-13,395r,1,
66,Il n'i a riens foꝛs que la crouſte,1,l-395r-1-14,395r,1,
67,Aygre et ameꝛe ſans douceur,1,l-395r-1-15,395r,1,
68,Oꝛ la faut de bonne liqueur,1,l-395r-1-16,395r,1,
69,Qui confire la veut a dꝛoit,1,l-395r-1-17,395r,1,
70,Et qui la ſaiſſon doꝛendꝛoit,1,l-395r-1-18,395r,1,
71,Que je di lairoit treſpaſſeꝛ,1,l-395r-1-19,395r,1,
72,Pour noient ſe pourroit laſſeꝛ,1,l-395r-1-20,395r,1,
73,Jamés confite ne ſeꝛoit,1,l-395r-1-21,395r,1,
74,Puis que ſa veꝛdeur paſſeꝛoit,1,l-395r-1-22,395r,1,
75,Et on veꝛroit l'eſcaille dure,1,l-395r-1-23,395r,1,
76,Auſſint eſt il de la nature,1,l-395r-1-24,395r,1,
77,A l'enfant jone damoiſſel,1,l-395r-1-25,395r,1,
78,Si comme ou afaite .i. oiſſel,1,l-395r-1-26,395r,1,
79,Le doit on d'onneur afaitieꝛ,1,l-395r-1-27,395r,1,
80,Lui net tenir et pꝛés gaitieꝛ,1,l-395r-1-28,395r,1,
81,Touz jours l'ueil avoir a ſa face,1,l-395r-1-29,395r,1,
82,Pour regardeꝛ qu'il ne meſface,1,l-395r-1-30,395r,1,
83,Encontre les bonnes veꝛtus,1,l-395r-1-31,395r,1,
84,Et quant d'enfance eſt des veꝛtus,2,l-395r-1-32,395r,1,
85,Si com la nois qui ſe deueſte,2,l-395r-1-33,395r,1,
86,Hoꝛs de c'escoꝛce en vie honneſte,2,l-395r-1-34,395r,1,
87,Doit ſa vie en ſon temps mueꝛ,2,l-395r-1-35,395r,1,
88,Et lui de pechié desnueꝛ,2,l-395r-1-36,395r,1,
