line_no,text,lg,l_id,folio,col,speaker
1,Dites vos pate noſtres Pour toute ſainte egliſe,1,l-148v-1-1,148v,1,
2,Car elle eſt acouchiee Et ſi ne ſcet ou giſt,1,l-148v-1-2,148v,1,
3,En nul plus povre eſtat Ne poꝛroit eſtre miſe,1,l-148v-1-3,148v,1,
4,Tant eſt fait que ſus lui Chace eſt coꝛuee et pꝛiſe,1,l-148v-1-4,148v,1,
5,Et pour ce que chaſcuns La deboute et dechace,1,l-148v-1-5,148v,1,
6,Dites vos patenoſtres Que Diex pardon li face,1,l-148v-1-6,148v,1,
7,Dites vos pate noſtres Sainte egliſe travaille,2,l-148v-1-7,148v,1,
8,L'en la ja mis genir Au fuerre et a la paille,2,l-148v-1-8,148v,1,
9,Chaſcun du ſien apꝛis Nul n'i a qui li baille,2,l-148v-1-9,148v,1,
10,L'en la pert e recope Et retrenche et retaile,2,l-148v-1-10,148v,1,
11,De floꝛins a chaiere Et de floꝛins a mace,2,l-148v-1-11,148v,1,
12,Dites vos pate Que Diex pardon li face,2,l-148v-1-12,148v,1,
13,Dites vos pate noſtres Sainte egliſe vault moꝛte,3,l-148v-1-13,148v,1,
14,Ce qu'on li a oſte Et pꝛins de vie toꝛte,3,l-148v-2-1,148v,2,
15,Couſin n'a ne parent Qui de riens la confoꝛte.,3,l-148v-2-2,148v,2,
16,Car tuit ſont eſmeü Contre lui d'une ſoꝛte,3,l-148v-2-3,148v,2,
17,L'un la boute des piez L'autre crache en ſa face,3,l-148v-2-4,148v,2,
18,Dites vos parenoſtres Que Diex pardon li face,3,l-148v-2-5,148v,2,
19,Dites vos patenoſtres Pour /iehan l'apoſtole,4,l-148v-2-6,148v,2,
20,Qui fait a grant mouſtier De petite chapele,4,l-148v-2-7,148v,2,
21,Et d'un eueſchie .iii. C'eſt bien choſe nouvele,4,l-148v-2-8,148v,2,
22,Onques mais ne joua Papes de tel merele,4,l-148v-2-9,148v,2,
23,Eueſques et abbes ∴ Enſamble ioint et lace,4,l-148v-2-10,148v,2,
24,Dites vos patenoſtres Que Diex pardon li face,4,l-148v-2-11,148v,2,
25,Dites vos patenoſtres Pour cardinaus de /Romme,5,l-148v-2-12,148v,2,
26,Car il ſont vaillant rien Avec ce qu'il ſont home,5,l-148v-2-13,148v,2,
27,De l'autrui cure n'ont Se ce n'eſt de grant ſomme,5,l-148v-2-14,148v,2,
28,Car pas ne ſont enfans Pour apaier de pomme,5,l-148v-2-15,148v,2,
29,Poꝛ ce ne veulent pas Des bꝛas c'on les embꝛace,5,l-148v-2-16,148v,2,
30,Dites vos patenoſtres Que Diex merci li face,5,l-148v-2-17,148v,2,
31,Dites vos patenoſtres Poꝛ pape et cardinaus,6,l-148v-2-18,148v,2,
32,Qui ſont de tous coufouls Mais qu'il aient dons hauls,6,l-148v-2-19,148v,2,
33,Et d'autre part pꝛieres Seront eſpeciaus,6,l-149r-1-1,149r,1,
34,Poꝛ ce meſtre antipape Et ces chardonneriaus,6,l-149r-1-2,149r,1,
35,Qui contre ſainte egliſe Courent a la harache,6,l-149r-1-3,149r,1,
36,Dites vos patenoſtres Que Diex merci li face,6,l-149r-1-4,149r,1,
37,Dites poꝛ nos prelas Qui gouuernent le monde,7,l-149r-1-5,149r,1,
38,Qu'il ſachent traire argent De la ou trop habonde,7,l-149r-1-6,149r,1,
39,Meſmement poꝛ tous ceulz Qui mainent vie monde,7,l-149r-1-7,149r,1,
40,Et prechent la foy Ne ne doutent vergoigne,7,l-149r-1-8,149r,1,
41,Ne moꝛt qui leur chief nus Ne ſoit a decolace,7,l-149r-1-9,149r,1,
42,Dites vos patenoſtres Que Diex pardon loꝛ face,7,l-149r-1-10,149r,1,
43,Pour ceulz ne pꝛie l'en Des prelas qui ſe paiſſent,8,l-149r-1-11,149r,1,
44,Et les leur riches font Noꝛriſſent et encraiſſent,8,l-149r-1-12,149r,1,
45,Et d'amendes leurs gens Contre raiſon expreſſent,8,l-149r-1-13,149r,1,
46,Et leurs povres voiſins Terre en famine leſſent,8,l-149r-1-14,149r,1,
47,Et leſt treſoꝛs amaſſent De pierres d'eſtopace,8,l-149r-1-15,149r,1,
48,Dites vos patenoſtres Que Diex merci li face,8,l-149r-1-16,149r,1,
49,Dites vos patenoſtres Ainſi vous en ſouuiegne,9,l-149r-2-5,149r,1,
50,Poꝛ clergié ſi qu'a mains Pires pas ne deuiengne,9,l-149r-2-6,149r,1,
51,S'il ne veult amender En ceſt eſtat ſe tiengne,9,l-149r-2-7,149r,1,
52,Je li pꝛi qu'il ne face Tant le bien qu'il enſaigne,9,l-149r-2-8,149r,2,
53,Le dire leur ſouffiſt Sans entrer en la trace,9,l-149r-2-9,149r,2,
54,Dites vos patenoſtres Que Diex merci li face,9,l-149r-2-10,149r,2,
55,Pour tous officiaus Pour gens d'auocatie,10,l-149r-2-11,149r,2,
56,Poꝛ tous procurateurs Pour clers de notairrie,10,l-149r-2-12,149r,2,
57,Et pour pꝛeſtres curez Qui ne ſe ſaignent mie,10,l-149r-2-13,149r,2,
58,De leurs parrochianes Par joꝛ et par nuitie,10,l-149r-2-14,149r,2,
59,Viſiter ſi qu'il aient Ouuerte la creuace,10,l-149r-2-15,149r,2,
60,Dites vos pate noſtres Que Diex pardon li face,10,l-149r-2-16,149r,2,
61,Pour clers eſtudians Poꝛ tous ceulz des enqueſtes,11,l-149r-2-17,149r,2,
62,Poꝛ les meſtres auſſi Qui ſieent aus requeſtes,11,l-149r-2-18,149r,2,
63,Poꝛ aduocas et juges Qui debatent leurs teſtes,11,l-149r-2-19,149r,2,
64,Et tous joꝛs leurs mains ont Poꝛ pꝛendꝛe l'argent preſtes,11,l-149r-2-20,149r,2,
65,Se en deffaut les gens chieent Poꝛ eulz en couſtumace,11,l-149r-2-21,149r,2,
66,Dites vos patenoſtres Que Diex merci leur face,11,l-149r-2-22,149r,2,
67,Dites vos patenoſtres Poꝛ la chancelerie,12,l-149v-1-4,149r,2,
68,Que vers nous ſoit courtois Piteus ſans felonnie.,12,l-149v-1-5,149r,2,
69,Poꝛ les phiſiciens Drois eſt c'on ne l'oblie,12,l-149v-1-6,149v,1,
70,[...] Et ceulz de cyrurgie,12,l-149v-1-7,149v,1,
71,Que nulz en ſon meſtier Vers nous ſe foꝛface,12,l-149v-1-8,149v,1,
72,Dites vos patenoſtres Que Diex pardon leur face,12,l-149v-1-9,149v,1,
73,Dites vos patenoſtres Pour ces religieus,13,l-149v-1-10,149v,1,
74,Qui chaſcun anchargie Sont d'abſolutions,13,l-149v-1-11,149v,1,
75,Des oꝛ mais pou vaudꝛont Leurs grans executions,13,l-149v-1-12,149v,1,
76,Poꝛ vivre loꝛ convient Vendꝛe poſſeſſions,13,l-149v-1-13,149v,1,
77,Poꝛ ce que l'en leur toſt Leur pain et leur fouace,13,l-149v-1-14,149v,1,
78,Dites vos patenoſtres Que Diex pardon leur face,13,l-149v-1-15,149v,1,
79,Pour ces religieus Qui ont diſmes et rentes,14,l-149v-1-16,149v,1,
80,Dites vos patenoſtres Doucement endementres,14,l-149v-1-17,149v,1,
81,C'ont leurs coꝛps en mouſtier Qu'il n'aient leur ententes,14,l-149v-1-18,149v,1,
82,A celes qui ne ſont Couſines ne parentes,14,l-149v-1-19,149v,1,
