line_no,text,lg,l_id,folio,col,speaker
1,Oꝛ eſcoutes ſeingnoꝛ Qui dame Diex uous ames,1,l-91v-1-1,91v,1,
2,Qui les poines d'enfeꝛ Et les toꝛmens doutes,1,l-91v-1-2,91v,1,
3,Je vous feꝛai oir S'entendꝛe me voules,1,l-91v-1-3,91v,1,
4,Coument pechieꝛres hons Eſt en enfeꝛ penes,1,l-91v-1-4,91v,1,
5,Des grans paines d'enfeꝛ Vous conteꝛai partie,2,l-91v-1-5,91v,1,
6,Par garant d'eſcriture Si n'en mentirai mie,2,l-91v-1-6,91v,1,
7,Coume pechieꝛes homs Le deſeꝛt en ſa vie,2,l-91v-1-7,91v,1,
8,Que Diex ne veut ameꝛ Ains maint en felonie,2,l-91v-1-8,91v,1,
9,Seingnour . deſous cel air a .i. ciel ce ſavés,3,l-91v-1-9,91v,1,
10,De ſoleil et de lune Et d'eſtoilles liſtes,3,l-91v-2-1,91v,2,
11,Par qui tous li mons eſt Tres bien enlumines,3,l-91v-2-2,91v,2,
12,Deſour cel a .i. autre Qui eſt ciel apeles,3,l-91v-2-3,91v,2,
13,Apꝛés eſt li tieꝛs cies ou eſt la maiſtes,4,l-91v-2-4,91v,2,
14,Ou /li fix Diex parmaint Qui de /virge fu nés,4,l-91v-2-5,91v,2,
15,Qui pour le nos pechies Fu en la crois penes,4,l-91v-2-6,91v,2,
16,Quant diable nos ot Tretous deſeꝛites,4,l-91v-2-7,91v,2,
17,Puis ne fu hons moꝛtex Qui ces .iii. ciex ne iſt,5,l-91v-2-8,91v,2,
18,Foꝛs /l'apoſtre ſaint Pol Qui lamoꝛ Diex conquiſt,5,l-91v-2-9,91v,2,
19,Qui quiſqu'a tieꝛs cel vit La joie /Jheſu criſt,5,l-91v-2-10,91v,2,
20,Par /ſaint Michiel l'arcangle Que il a lui tramiſt,5,l-91v-2-11,91v,2,
21,Icelle grant hauteſce Qui la joie eſt apelee,6,l-91v-2-12,91v,2,
22,La ou /ſainte Marie Eſt roine clamee,6,l-91v-2-13,91v,2,
23,Par cueꝛ de creſtieꝛ Ne puet eſteꝛ pensee,6,l-91v-2-14,91v,2,
24,Par bouche de bon cleꝛc Ne puet eſtre eſcoutee,6,l-91v-2-15,91v,2,
25,Icelle grant hauteſce Vit /ſaint Pol reſplandir,7,l-91v-2-16,91v,2,
26,Ne la puet nus hons dire Pour nul tres grant loiſir,7,l-91v-2-17,91v,2,
27,Foꝛs li fis Damediex Qui poꝛ nos vot moꝛir,7,l-91v-2-18,91v,2,
28,Ne li mons n'eſt pas dignes Qu'il la puiſſe ſouffrir,7,l-91v-2-19,91v,2,
29,Seingnoꝛ oꝛ vous dirai ce que vous ai pꝛemis,8,l-92r-1-1,92r,1,
30,Com grant ſunt li toꝛment El doleꝛeus pais,8,l-92r-1-2,92r,1,
31,La ou li pecheoꝛ Seꝛont en flanbe mis,8,l-92r-1-3,92r,1,
32,Qui ne veulent ameꝛ Ne Diex ne ſes amis,8,l-92r-1-4,92r,1,
33,/Sain Pol fu en enfeꝛ Aincois que il trauſiſt,9,l-92r-1-5,92r,1,
34,Ou/ſaint Michiel l'archangle Le mena et condiſt,9,l-92r-1-6,92r,1,
35,Diex vot qu'il conneüſt Les painnes et veïst,9,l-92r-1-7,92r,1,
36,Tant en poons ſavoir Com /ſaint Pol nous en diſt,9,l-92r-1-8,92r,1,
37,Oꝛ oies dont parleꝛ De l'infeꝛnal dolour,10,l-92r-1-9,92r,1,
38,A garant en a trai /Saint Pol nostre doctoꝛ,10,l-92r-1-10,92r,1,
39,Coument ſunt toꝛmente Li mauais pecheoꝛ,10,l-92r-1-11,92r,1,
40,Qui pour la roine gloire Perdent leur creatoꝛ,10,l-92r-1-12,92r,1,
41,A l'entree d'enfeꝛ A .i. arbꝛe plante,11,l-92r-1-13,92r,1,
42,Dont les blanches deſeure Sont charbons enbꝛaſe,11,l-92r-1-14,92r,1,
43,Et de boutons de feꝛ Eſtre tous boutones,11,l-92r-1-15,92r,1,
44,De boutons plus ardans Que nus feus embꝛaſes,11,l-92r-1-16,92r,1,
45,Ilueques vit /ſaint Pol Pecheoꝛs cruciez,12,l-92r-1-17,92r,1,
46,Par les bꝛanches deſeure Eſt chaſcun clofichiez,12,l-92r-1-18,92r,1,
47,Li uns peut par les jambes Li antres par les pies,12,l-92r-1-19,92r,1,
48,Li autres par les bꝛas Chaſcuns pour ſes pechies,12,l-92r-2-1,92r,2,
49,/Saint Pol a regardé de la ſeneſtre part,13,l-92r-2-2,92r,2,
50,Et vit une foꝛnaiſe de feu Qui touſiours art,13,l-92r-2-3,92r,2,
51,La flambe par .vii. luis Se deuiſe et depart,13,l-92r-2-4,92r,2,
52,Oꝛ pꝛions Damediex Que il tous nos engart,13,l-92r-2-5,92r,2,
53,Seingnoꝛ en la foꝛnoiſe a bien .c. et .vii. tros,14,l-92r-2-6,92r,2,
54,Et .vii. flambes en iſſent De diueꝛſes couloꝛs,14,l-92r-2-7,92r,2,
55,Set diaubles la tiſent Que ce eſt loꝛ laboꝛs,14,l-92r-2-8,92r,2,
56,De cheſcune des .vii. En iſſent .vii. chaloꝛs,14,l-92r-2-9,92r,2,
57,Environ la foꝛnaiſe A .vii. crueus toꝛmens,15,l-92r-2-10,92r,2,
58,As pecheoꝛs reuient Moꝛtex cruciemens,15,l-92r-2-11,92r,2,
59,[.]VII. diaubles le gardent O crueus feꝛemens,15,l-92r-2-12,92r,2,
60,Quant ont l'ame ſaiſie Si la plungent laiens,15,l-92r-2-13,92r,2,
61,Set plaies les apelles Les apele la devine eſcriture,16,l-92r-2-14,92r,2,
62,La pꝛemieꝛe de noif Deſtraingnent froidure,16,l-92r-2-15,92r,2,
63,La ſeconde de glace De deſtraingnent nature,16,l-92r-2-16,92r,2,
64,Et la tieꝛce de feu De merueilleuſe ardure,16,l-92r-2-17,92r,2,
65,Et la quinte ſet plainte C'eſt infeꝛniaus ſeꝛpens,17,l-92r-2-18,92r,2,
66,Et la ſiſte de ffoudꝛe De grans engraignemens,17,l-92r-2-19,92r,2,
67,La ſeſine de puours Et d'enpuiſeuemens,17,l-92v-1-1,92v,1,
68,Dame Diex ſi nous gart De deſheꝛbeꝛgemens,17,l-92v-1-2,92v,1,
69,Quant ces .iii. diaubles Ont une ame ſaiſie,18,l-92v-1-3,92v,1,
70,Par mi ces .vii. toꝛmens Chaſcuns par ſoy le guie,18,l-92v-1-4,92v,1,
71,L'un a l'autre la lance Quant il l'ont garde gueꝛpie,18,l-92v-1-5,92v,1,
72,Quel part que ele court Diauble la ſaiſie,18,l-92v-1-6,92v,1,
73,Quant il l'ont fait paſſeꝛ Par mi ces .vii. toꝛmens,19,l-92v-1-7,92v,1,
74,Loꝛs vient a la chaitive [.]I. grant encombꝛement,19,l-92v-1-8,92v,1,
75,As autres cil la lancent Qui mout en ſunt joians,19,l-92v-1-9,92v,1,
