line_no,text,lg,l_id,folio,col,speaker
1,Tuit cil ſoient benei De Dieu et de /ſa Mere,1,l-53v-1-4,53v,1,
2,Qui ſe trairont en ſa Et oꝛront ma matere,1,l-53v-1-5,53v,1,
3,Et leur doint le pardon Qu'i donna a/ ſaint Pere,1,l-53v-1-6,53v,1,
4,Quant il reſut pour nous En crois la moꝛt ameꝛe,1,l-53v-1-7,53v,1,
5,Je vous weil une eſſemple Amentevoir et dire,2,l-53v-1-8,53v,1,
6,De bon eſſemple dire Ne puet nus eſtre pire,2,l-53v-1-9,53v,1,
7,Se cera d'un enfant Qui ot painne et martire,2,l-53v-1-10,53v,1,
8,Pour deseꝛvir l'amour /Jhesucriſt Noſtre Sire,2,l-53v-1-11,53v,1,
9,Le pere de l'enfant Eſtoit .i. riches hom,3,l-53v-1-12,53v,1,
10,Denieꝛs et heritages Avoit a grant foiſſon,3,l-53v-2-1,53v,2,
11,Voulentieꝛs ot requis /Saint Jaſque le baron,3,l-53v-2-2,53v,2,
12,Une voie i devoit Encoꝛe le pꝛeudom,3,l-53v-2-3,53v,2,
13,Li pꝛeudom envieilli Et fu en maladie,4,l-53v-2-4,53v,2,
14,.I. ſien filz apela ou durement ce fie,4,l-53v-2-5,53v,2,
15,Biau filz dit le pꝛeudom N'eſt pas dꝛois que j'oublie,4,l-53v-2-6,53v,2,
16,Le baron de /saint Jaſques Tant com je ſoie en vie,4,l-53v-2-7,53v,2,
17,Encoꝛ ne me ſui mie Du voiage aquitié,5,l-53v-2-8,53v,2,
18,Ne du voiage faire Ne ſerai aquitié,5,l-53v-2-9,53v,2,
19,S'uns hons ne m'en aquite Qui ſoit de m'amitié,5,l-53v-2-10,53v,2,
20,Mes encoꝛ ies trop jones De quoi j'ai grant pitié,5,l-53v-2-11,53v,2,
21,Le voiage eſt trop grans Ne le pourroies faire,6,l-53v-2-12,53v,2,
22,Li enfez reſpondi Qui fu de bon afaire,6,l-53v-2-13,53v,2,
23,Se je le fas pour vous Ne me doit pas deſplaire,6,l-53v-2-14,53v,2,
24,Car Diex et li bons ſains M'aideront a parfaire,6,l-53v-2-15,53v,2,
25,Quant li peres entant Que li a dit ſon filz,7,l-53v-2-19,53v,2,
26,[...],7,l-53v-2-20,53v,2,
27,Et li a fait ſa feſte Belle fu a devis,7,l-53v-2-21,53v,2,
28,Quant [vint] a l'andemain L'enfant ſ'en eſt partis,7,l-53v-2-22,53v,2,
29,De l'oꝛ et de largent En poꝛta grant foiſon,8,l-53v-2-23,53v,2,
