line_no,text,lg,l_id,folio,col,speaker
1,Tous ceulz qui volentiers Oient de Dieu parler,1,l-109v-2-14,109v,2,
2,Et de /ſa douce Mere Qui tant a le cuer ber,1,l-109v-2-15,109v,2,
3,[...],1,l-110r-1-3,110r,1,
4,[...],1,l-110r-1-4,110r,1,
5,A ceulz qui le reclaimment Set paier loier Dieu,2,l-110r-1-5,110r,1,
6,Qui nen ſe pueent plaindꝛe Au departir du lieu,2,l-110r-1-6,110r,1,
7,[...],2,l-110r-1-7,110r,1,
8,[...],2,l-110r-1-8,110r,1,
9,Poꝛ ce que /Nostre Dame Scet paier largement,3,l-110r-1-9,110r,1,
10,Veil je metre m'entente A mouſtrer plainement,3,l-110r-1-10,110r,1,
11,Les miracles qu'el fait. A tous communement.,3,l-110r-1-11,110r,1,
12,Qui la veulent ſervir De cuer parfaitement,3,l-110r-1-12,110r,1,
13,Un chevalier fu ja Qui ot grant heritage,4,l-110r-1-13,110r,1,
14,Tout l'avoit deſpendu Gaſté et mis en gage,4,l-110r-1-14,110r,1,
15,En folement deſpendꝛe Metoit tout ſon coꝛage,4,l-110r-1-15,110r,1,
16,Mais ſa fame eſpouſee Etoit tout d'autre uſage,4,l-110r-1-16,110r,1,
17,Sage fu et coꝛtoiſe Et de bele maniere,5,l-110r-1-17,110r,1,
18,De ſervir /Nostre Dame N'eſtoit onques laniere,5,l-110r-1-18,110r,1,
19,Povre gens ſaluoit Et faiſoit bele chiere,5,l-110r-1-19,110r,1,
20,De faire des aumoſnes Eſtoit bien couſtumiere,5,l-110r-1-20,110r,1,
21,Le chevalier faiſoit Du tout ceſtui contraire,6,l-110r-1-21,110r,1,
22,Tant haoit ſainte Ygliſe Qu'il ne ſ'i voloit traire,6,l-110r-1-22,110r,1,
23,Ains alaſt au boꝛdel Une folie faire,6,l-110r-1-23,110r,1,
24,Ne feïſt une choſe Qui a Dieu peüſt plaire,6,l-110r-1-24,110r,1,
25,Quant ot tout deſpendu povres fu et chetis,7,l-110r-2-1,110r,2,
26,Il fu de ſes amis A merveilles hays,7,l-110r-2-2,110r,2,
27,De ſon pays ſe part Dolans et eſbahis,7,l-110r-2-3,110r,2,
28,A l'encontre de li Revint li ennemis,7,l-110r-2-4,110r,2,
29,En guiſe d'un bel homme Et moult tres bien veſtu,8,l-110r-2-5,110r,2,
30,Le chevalier apele Biaus amis que quiers tu,8,l-110r-2-6,110r,2,
31,Bien pert a ton ſamblant Que tu es iraſcu,8,l-110r-2-7,110r,2,
32,Je croi que tu es povres Le tien as deſpendu,8,l-110r-2-8,110r,2,
33,Certes vous dites voir Je ne ſai que je face,9,l-110r-2-9,110r,2,
34,Je n'ai ſi bon ami Qui foꝛment ne me chaſſe,9,l-110r-2-10,110r,2,
35,A noier ou a pendꝛe Chaſcuns d'eulz me menace,9,l-110r-2-11,110r,2,
36,Tant ſui povres et las Ne puis lever la face,9,l-110r-2-12,110r,2,
37,Reſpont li ennemis S'afier me voloies,10,l-110r-2-13,110r,2,
38,De ce joꝛ en avant Que tu m'ameneroies,10,l-110r-2-14,110r,2,
39,Ta fame eſpouſee Iſſi en ces .ii. voies,10,l-110r-2-15,110r,2,
40,Plus que n'as deſpendu En petit temps aroies,10,l-110r-2-16,110r,2,
41,Reſpont le chevalier Et je le vous crëant,11,l-110r-2-17,110r,2,
42,Car je l'i amenrai Treſtout certainement,11,l-110r-2-18,110r,2,
43,Oꝛ vas a ton hoſtel Ne t'eſmaie noient,11,l-110r-2-19,110r,2,
44,Aſſez y trouverras Et rouge et blanc argent,11,l-110v-1-1,110v,1,
45,Le chevalier ſ'en toꝛne Que plus n'i demoꝛa.,12,l-110v-1-2,110v,1,
46,De venir a l'oſtel Durement ſe haſta,12,l-110v-1-3,110v,1,
47,Deniers chevaus et robes A grant plenté trouva.,12,l-110v-1-4,110v,1,
48,Quant l'avoir apercoit Foꝛment li agrea.,12,l-110v-1-5,110v,1,
49,Des deſpens qu'il mena Fu grant la renommee,13,l-110v-1-6,110v,1,
50,Chaſcuns ſ'en merveilla Par toute la contree,13,l-110v-1-7,110v,1,
51,L'autrier eſtoit ſi povres C'eſt verité pꝛouee,13,l-110v-1-8,110v,1,
52,Ne li creus de pain .I. boulengier denree,13,l-110v-1-9,110v,1,
53,Une nuit fu alez le chevalier couchier,14,l-110v-1-10,110v,1,
54,Du terme li ſouvint Qu'il veoit apꝛochier,14,l-110v-1-11,110v,1,
55,Loꝛs ſe pꝛiſt en ſon cuer Foꝛment a eſmaier,14,l-110v-1-12,110v,1,
56,Hé las dolant diſt il Com poꝛrai eſploitier,14,l-110v-1-13,110v,1,
57,La dame l'entendi Qui ne ſe doꝛmoit mie,15,l-110v-1-14,110v,1,
58,Son ſeignoꝛ apella Qui menoit malle vie,15,l-110v-1-15,110v,1,
59,Sire poꝛ quoi ploꝛez Toute nuit a nuitie,15,l-110v-1-16,110v,1,
60,Avez vous ſe bien non Ne le me celez mie.,15,l-110v-1-17,110v,1,
61,Demain avra .i. an Bien vous en puet membꝛer,16,l-110v-2-1,110v,2,
62,Si com je m'en cuidoie De ceſt pais aler,16,l-110v-2-2,110v,2,
