line_no,text,lg,l_id,folio,col,speaker
1,Les biaus contes et les repꝛis,1,l-388r-1-1,388r,1,
2,Doit on aus haus hommes de pꝛis,1,l-388r-1-2,388r,1,
3,Souuentez fois dire et reprendꝛe,1,l-388r-1-3,388r,1,
4,Pour le bien c'om y puet aprendꝛe,1,l-388r-1-4,388r,1,
5,Et pour mouteplieꝛ l'empꝛiſſe,1,l-388r-1-5,388r,1,
6,De ceus qui ont la voie empriſſe,1,l-388r-1-6,388r,1,
7,D'onneur la louee pꝛiſſiee,1,l-388r-1-7,388r,1,
8,Dont pꝛoueſce eſt autoꝛiſſiee,1,l-388r-1-8,388r,1,
9,Et tout li bon autoꝛiſſiez,1,l-388r-1-9,388r,1,
10,Qui font les hardemens pꝛiſſiez,1,l-388r-1-10,388r,1,
11,Car a toz jours los et pꝛis a.,1,l-388r-1-11,388r,1,
12,Qui d'onneur l'enpꝛiſſe pꝛiſe a.,1,l-388r-1-12,388r,1,
13,Si com cil qui valeur enpꝛiſt,1,l-388r-1-13,388r,1,
14,Tant que le voiage entrepꝛiſt,1,l-388r-1-14,388r,1,
15,D'avenir a haute pꝛoueſce,1,l-388r-1-15,388r,1,
16,Oꝛ entendez a quelle adꝛeſce,1,l-388r-1-16,388r,1,
17,Il ſe miſt. car premieꝛement,1,l-388r-1-17,388r,1,
18,Deſir d'acointieꝛ hardement,1,l-388r-1-18,388r,1,
19,Li a eꝛrant vigours pꝛeſte,1,l-388r-1-19,388r,1,
20,Loꝛs ſe miſt qu'il n'a areſte,1,l-388r-1-20,388r,1,
21,Ou chemin dꝛoit a travaillieꝛ,1,l-388r-1-21,388r,1,
22,La le convint la nuit veillieꝛ,1,l-388r-1-22,388r,1,
23,Et l'andemain rentreꝛ en paine,1,l-388r-1-23,388r,1,
24,Sans ſe jour toute la ſemainne.,1,l-388r-1-24,388r,1,
25,Que pou ou noient ſe repoſſa,1,l-388r-1-25,388r,1,
26,Car a vigour ſon pꝛopos a.,1,l-388r-2-1,388r,2,
27,Tout mis qui l'enſeigne et eſtruit,1,l-388r-2-2,388r,2,
28,Et peꝛeſce en lui li deſtruit,1,l-388r-2-3,388r,2,
29,Si que del areſteꝛ n'a cure,1,l-388r-2-4,388r,2,
30,Tant que ſa ioneſce li dure,1,l-388r-2-5,388r,2,
31,Et ces nulle heure de jour,1,l-388r-2-6,388r,2,
32,Ne chace repos ne ſejour,1,l-388r-2-7,388r,2,
33,En eſtours tournois et cembiaus,1,l-388r-2-8,388r,2,
34,Eſt a vëoir ſeur touz ſi biaus,1,l-388r-2-9,388r,2,
35,Qu'il ſemble eſtre angles empanes,1,l-388r-2-10,388r,2,
36,Et tant c'eſt nuit et jour penez,1,l-388r-2-11,388r,2,
37,En honneur chacer et conquerre,1,l-388r-2-12,388r,2,
38,Qu'an trauaillant vint en la terre,1,l-388r-2-13,388r,2,
39,Ou de renommee ſ'acointe,1,l-388r-2-14,388r,2,
40,Une dame moult noble et cointe,1,l-388r-2-15,388r,2,
41,En hardement freſche et nouvelle,1,l-388r-2-16,388r,2,
42,Qui de valour li diſt nouvelle,1,l-388r-2-17,388r,2,
43,Et comme avoir et recouvreꝛ,1,l-388r-2-18,388r,2,
44,La pourra par ſon bien ouvreꝛ,1,l-388r-2-19,388r,2,
45,Moult doucement li dit biax filz,2,l-388r-2-20,388r,2,
46,De ce ſoiez ceꝛtainz et filz,2,l-388r-2-21,388r,2,
47,Puis que hardis iez et ſeurs,2,l-388r-2-22,388r,2,
48,En pouretez ſeꝛas meu[r]s,2,l-388r-2-23,388r,2,
49,Et partout plus que le tonnoirre,2,l-388r-2-24,388r,2,
50,Redoubtez ſe bien tiens ton oire,2,l-388r-2-25,388r,2,
51,Ou tu es ſans douteꝛ la paine,2,l-388r-2-26,388r,2,
52,Car c'eſt li biens de la fontaine,2,l-388r-2-27,388r,2,
53,Dont on ne puet a fin venir,2,l-388r-2-28,388r,2,
54,Se la trace eſt griés a tenir,2,l-388r-2-29,388r,2,
55,De ce ne te doit il chaloir,2,l-388r-2-30,388r,2,
56,Hons qui veut lui faire valoir,2,l-388r-2-31,388r,2,
57,Et de renon ſon los acroiſtre,2,l-388r-2-32,388r,2,
58,Doit paine endureꝛ pour connoiſtre,2,l-388r-2-33,388r,2,
59,Com chieꝛe eſt achetee valours,2,l-388r-2-34,388r,2,
60,Au pꝛeus pour eſtre eſgrans honneurs,2,l-388r-2-35,388r,2,
61,Chaſcun ſelonc que ſa perſonne,2,l-388r-2-36,388r,2,
62,En honnour reluiſt et reſonne,2,l-388r-2-37,388r,2,
63,Donneꝛ leur dois de ton avoir,2,l-388r-2-38,388r,2,
64,Et ainſi je te fais ſavoir,2,l-388v-1-1,388v,1,
65,Tant com le dꝛoit chemin tenras,2,l-388v-1-2,388v,1,
66,A valour aſſez toſt venras,2,l-388v-1-3,388v,1,
67,Dont li renons a tous jours dure,2,l-388v-1-4,388v,1,
68,Et cil qui bien la paine endure,2,l-388v-1-5,388v,1,
69,S'entoꝛna d'illecques a tant,2,l-388v-1-6,388v,1,
70,Son coꝛs de grant travail batant,2,l-388v-1-7,388v,1,
71,Ainſi que Dieus les ſiens adꝛece,2,l-388v-1-8,388v,1,
72,L'oſtel courtoiſſie et largece,2,l-388v-1-9,388v,1,
73,Trouva dont la poꝛte eꝛt ouerte,2,l-388v-1-10,388v,1,
74,Laiens ieꝛt donneꝛs et deſeꝛte,2,l-388v-1-11,388v,1,
75,Au commancement bel ſeꝛvir,2,l-388v-1-12,388v,1,
76,Prendꝛe pꝛometre et deseꝛvir,2,l-388v-1-13,388v,1,
77,Grans donc moiens autres menus,2,l-388v-1-14,388v,1,
78,Que tantoſt que la fu venus,2,l-388v-1-15,388v,1,
79,Devant largeſce et coꝛtoiſſie,2,l-388v-1-16,388v,1,
80,Firent joie ſi enuoiſſie,2,l-388v-1-17,388v,1,
81,C'onques mis hons n'eſfia grenoꝛ,2,l-388v-1-18,388v,1,
82,La le pꝛiſt com ſon ſeignour,2,l-388v-1-19,388v,1,
83,Courtoiſſie qui moult l'oneure,2,l-388v-1-20,388v,1,
84,Et au mengier quant il fu heure,2,l-388v-1-21,388v,1,
85,La fiſt de ſur lui a ſa deſtre,2,l-388v-1-22,388v,1,
86,La geſte qui fu de bon eſtre,2,l-388v-1-23,388v,1,
87,Siſt apꝛés par ſon dous otroi,2,l-388v-1-24,388v,1,
88,Et ne firent illuec que troi,2,l-388v-1-25,388v,1,
89,A celle table ſeulement,2,l-388v-1-26,388v,1,
90,Li mes qui vint premieꝛement,3,l-388v-1-27,388v,1,
91,Ce furent d'oꝛ hanas et coupes,3,l-388v-1-28,388v,1,
92,Et iouiaus en guiſſe de ſoupes,3,l-388v-1-29,388v,1,
93,Apꝛés floꝛins et gros tournois,3,l-388v-1-30,388v,1,
94,Qu'il donneꝛent pour les tournois,3,l-388v-1-31,388v,1,
95,Maintenir a touz bacheleꝛs,3,l-388v-1-32,388v,1,
96,Li autres mes n'ieꝛt pas celez,3,l-388v-1-33,388v,1,
97,Dont moult i ot et d'un et d'el,3,l-388v-1-34,388v,1,
98,Drap d'oꝛ furent et de cendel,3,l-388v-1-35,388v,1,
99,Puis ameneꝛent les deſtrieꝛs,3,l-388v-1-36,388v,1,
100,En ſelles a frains et eſtrieꝛs,3,l-388v-1-37,388v,1,
101,Ne d'autre vin ne ſ'abuureꝛent,3,l-388v-1-38,388v,1,
102,Que des bons dont aſſez parleꝛent,3,l-388v-2-1,388v,2,
103,En ramentenant leur bons fais,3,l-388v-2-2,388v,2,
104,De tiex entremes fu touz fais,3,l-388v-2-3,388v,2,
105,De la court large li mengieꝛs,3,l-388v-2-4,388v,2,
106,C'onques veus n'i fu dengieꝛs,3,l-388v-2-5,388v,2,
107,A tant miſt largece a raiſon,4,l-388v-2-6,388v,2,
108,Le bacheleꝛ quant fu ſaiſon,4,l-388v-2-7,388v,2,
109,Et dit frere ſe Dieus t'avoie,4,l-388v-2-8,388v,2,
110,Di moy ou tu tendꝛas ta voie,4,l-388v-2-9,388v,2,
111,Que tu ſoiez li bien trouvez,4,l-388v-2-10,388v,2,
112,Tu ne pues eſtre mal pouuez,4,l-388v-2-11,388v,2,
113,Puis que de courtoiſſie acointez,4,l-388v-2-12,388v,2,
114,Et de moi; et cilz a mains iointez,4,l-388v-2-13,388v,2,
115,De ces biens fais la meꝛcia,4,l-388v-2-14,388v,2,
116,Puis eꝛrant le voir li conta,4,l-388v-2-15,388v,2,
117,De ſon pꝛopos et du voiage,4,l-388v-2-16,388v,2,
118,Qu'antrepꝛis a par bon courage,4,l-388v-2-17,388v,2,
119,Tant que l'acointance a trouvee,4,l-388v-2-18,388v,2,
120,De pꝛoueſce ou mauvez ne bee,4,l-388v-2-19,388v,2,
121,Comment il a valout aquiſſe,4,l-388v-2-20,388v,2,
122,Par travail d'armes ſanz faintiſſe,4,l-388v-2-21,388v,2,
123,Loꝛs courtoiſſie li reſpont,5,l-388v-2-22,388v,2,
124,Frere valour eſt ſur ce pont,5,l-388v-2-23,388v,2,
125,Peꝛilleus ou tu dois paſſeꝛ,5,l-388v-2-24,388v,2,
126,Mais moult t'i convendꝛa laſſeꝛ,5,l-388v-2-25,388v,2,
127,Ainz que paſſe l'aiez d'aſſez,5,l-388v-2-26,388v,2,
128,Car la ſont li pꝛeu amaſſez,5,l-388v-2-27,388v,2,
129,Ou bꝛuit d'armes et fouleis,5,l-388v-2-28,388v,2,
130,De chevaus. qu'ains miex ne veis,5,l-388v-2-29,388v,2,
131,La t'eſtenras ſanz eſmaieꝛ,5,l-388v-2-30,388v,2,
132,Ton coꝛs pꝛouuieꝛ et eſſaieꝛ,5,l-388v-2-31,388v,2,
133,En hiaume en ſuour en chalour,5,l-388v-2-32,388v,2,
134,Endureꝛ pour tendꝛe a valour,5,l-388v-2-33,388v,2,
135,A terre en pꝛeſſe de chevaus,5,l-388v-2-34,388v,2,
136,La veꝛra on ce que tu vaus,5,l-388v-2-35,388v,2,
137,Et con veus a pꝛoeſce entendꝛe,5,l-388v-2-36,388v,2,
138,Par bien aſaillir et deſfendꝛe,5,l-388v-2-37,388v,2,
139,Laſeꝛont pꝛiſſie a leur dꝛoit,5,l-388v-2-38,388v,2,
140,Ti biau coup feꝛu oꝛendꝛoit,5,l-389r-1-1,389r,1,
141,La eſt vigour qui ſe reueille,5,l-389r-1-2,389r,1,
142,En baing de ſanc et de ceꝛuelle,5,l-389r-1-3,389r,1,
143,Par grans coups donneꝛ et ſouſfrir,5,l-389r-1-4,389r,1,
144,La te convient ton coꝛs oſfrir,5,l-389r-1-5,389r,1,
145,Ou plus foꝛt t'as en mi la preſſe,5,l-389r-1-6,389r,1,
146,La aqueꝛras tu la pꝛoeſce,5,l-389r-1-7,389r,1,
147,Que honneur depart a ces amis,5,l-389r-1-8,389r,1,
148,La ſeꝛas tu ou chemin mis,5,l-389r-1-9,389r,1,
149,De pꝛoueſce et en dꝛoite ſanté,5,l-389r-1-10,389r,1,
150,La trouueꝛont li bon leur vente,5,l-389r-1-11,389r,1,
151,Ou vigour eſt veꝛde et floꝛie,5,l-389r-1-12,389r,1,
152,La eſt honneurs qui ſe Marie,5,l-389r-1-13,389r,1,
153,Aus hardis ſeurs bien faiſſans,5,l-389r-1-14,389r,1,
154,La n'eſt pas li heꝛaus taiſſans,5,l-389r-1-15,389r,1,
155,Ainz crie pꝛis a remenoir,5,l-389r-1-16,389r,1,
156,La iras tu dꝛoit au manoir,5,l-389r-1-17,389r,1,
157,De pꝛoueſce et uient par aillours,5,l-389r-1-18,389r,1,
158,Se li chemins eſt peꝛillous,5,l-389r-1-19,389r,1,
159,Ne le redoute pouce pas,5,l-389r-1-20,389r,1,
160,Mais vas ton cours plus que le pas,5,l-389r-1-21,389r,1,
161,Eſlaiſſieꝛ aus meilleurs eslis,5,l-389r-1-22,389r,1,
162,Quant de caillous ieꝛt fais tes lis,5,l-389r-1-23,389r,1,
163,Et ſeꝛas a teꝛre abatus,5,l-389r-1-24,389r,1,
164,Martelez. d'eſpees batus,5,l-389r-1-25,389r,1,
165,Ainſi va d'armes li couuines,5,l-389r-1-26,389r,1,
166,Car en chambꝛes ni en courtines,5,l-389r-1-27,389r,1,
167,Ne giſt pas pꝛouece a trouver,5,l-389r-1-28,389r,1,
168,Et chilz qui ſoi veut eſproueꝛ,6,l-389r-1-29,389r,1,
169,Reſpondi dame voulentieꝛs,6,l-389r-1-30,389r,1,
170,Seꝛa dꝛoit tenu cilz ſentieꝛs,6,l-389r-1-31,389r,1,
171,Par mi ce pont dont vous parles,6,l-389r-1-32,389r,1,
172,A tant eſt celle part ales,6,l-389r-1-33,389r,1,
173,Et ou plus foꝛt tas ſ'enbati,6,l-389r-1-34,389r,1,
174,Ha; Diex ſi bien a combati,6,l-389r-1-35,389r,1,
175,En hardement dont li ſouuint,6,l-389r-1-36,389r,1,
176,Que le champ deſconfit et vint,6,l-389r-1-37,389r,1,
177,Pour le pꝛis d'onneur conqueſteꝛ,6,l-389r-1-38,389r,1,
178,A valeur dꝛoit ſans arreſteꝛ,6,l-389r-2-1,389r,2,
179,Qui ou champ outre demouroit,6,l-389r-2-2,389r,2,
180,Ou plus ſanc et ſuour couroit,6,l-389r-2-3,389r,2,
181,Es deſtreſces et es chalours,6,l-389r-2-4,389r,2,
182,La eſtoit trouvee valours,6,l-389r-2-5,389r,2,
183,Qui les pꝛeus d'armes cher vendus,6,l-389r-2-6,389r,2,
184,Heꝛbeꝛgoit la eſt deſcendus,6,l-389r-2-7,389r,2,
