line_no,text,lg,l_id,folio,col,speaker
1,Leſſieꝛ meſtuet le rimoieꝛ,1,l-25r-2-12,25r,2,
2,Car je me doi moult eſmaieꝛ,1,l-25r-2-13,25r,2,
3,Quant tenu lai ſi longuement,1,l-25r-2-14,25r,2,
4,Bien me doit le cueꝛ leꝛmoieꝛ,1,l-25r-2-15,25r,2,
5,Conques ne me ſoi amoieꝛ,1,l-25r-2-16,25r,2,
6,A Dieu ſeꝛvir parfaitement,1,l-25r-2-17,25r,2,
7,Ainz aimis mon entendement,1,l-25r-2-18,25r,2,
8,En geu et en eſbatement,1,l-25r-2-19,25r,2,
9,Quains na daingnai ſi nos ſaumoieꝛ,1,l-25r-2-20,25r,2,
10,Se poꝛ moi neſt auiugement,1,l-25r-2-21,25r,2,
11,Celle ou Diex pꝛiſt aombꝛement,1,l-25r-2-22,25r,2,
12,Mau marchié pris apaiement,1,l-25r-2-23,25r,2,
13,Cart ſeꝛe mes aurepentir,2,l-25r-2-24,25r,2,
14,Las moi conques ne ſot ſentir,2,l-25v-1-1,25v,1,
15,Mes ſes cueꝛs. quex eſt repentance,2,l-25v-1-2,25v,1,
16,Na bien faire lui a ſentir,2,l-25v-1-3,25v,1,
17,Comment oſeꝛe je tentir,2,l-25v-1-4,25v,1,
18,Quant neis li juſte aront doutance,2,l-25v-1-5,25v,1,
19,Je touz jours engreſſie ma pence,2,l-25v-1-6,25v,1,
20,Dautrui chatel dautrui ſuſtance,2,l-25v-1-7,25v,1,
21,Cia bon cleꝛc aumiens mentir,2,l-25v-1-8,25v,1,
22,Se je di ceſt par ignoꝛance,2,l-25v-1-9,25v,1,
23,Que je ne ſe queſt penitance,2,l-25v-1-10,25v,1,
24,Ce ne puet pas garentir,2,l-25v-1-11,25v,1,
25,Garentir las en quel manieꝛe,3,l-25v-1-12,25v,1,
26,Ne me fiſt Diex bonte entieꝛe,3,l-25v-1-13,25v,1,
27,Que me donna ſans et ſavoir,3,l-25v-1-14,25v,1,
28,Et me fiſt en ſa foꝛme chieꝛe,3,l-25v-1-15,25v,1,
29,Encoꝛ me fiſt bonte plus chieꝛe,3,l-25v-1-16,25v,1,
30,Que poꝛ moi volt moꝛt recevoir,3,l-25v-1-17,25v,1,
31,Sens me donna de decevoir,3,l-25v-1-18,25v,1,
32,Lanemi qui me velt avoir,3,l-25v-1-19,25v,1,
33,Et metre en la chartre premieꝛe,3,l-25v-1-20,25v,1,
34,La dont nus ne ſe puet rauoir,3,l-25v-1-21,25v,1,
35,Pour pꝛieꝛe ne poꝛ avoir,3,l-25v-1-22,25v,1,
36,Ne voi nul qui reuaingne arrieꝛe,3,l-25v-1-23,25v,1,
37,Le fet au coꝛs ſa voulenté,4,l-25v-1-24,25v,1,
38,Je fet rimes et ſai chante,4,l-25v-1-25,25v,1,
39,Sus les uns poꝛ as autre pleꝛe,4,l-25v-1-26,25v,1,
40,Dont aucuns ma enchante,4,l-25v-1-27,25v,1,
41,Et mame miſe en oꝛ fente,4,l-25v-1-28,25v,1,
42,Poꝛ meneꝛ au felon repaire,4,l-25v-1-29,25v,1,
43,Se celle enqui touz biens recleꝛe,4,l-25v-1-30,25v,1,
44,Ne pꝛent en cure mon afaire,4,l-25v-1-31,25v,1,
45,De male tente ma tente,4,l-25v-1-32,25v,1,
46,Mes cueꝛs outant truis de contrere,4,l-25v-1-33,25v,1,
47,Fiſicien napoticaire,4,l-25v-1-34,25v,1,
48,Ne men puent donneꝛ ſente,4,l-25v-1-35,25v,1,
49,Leſai une fiſicienne,5,l-25v-1-36,25v,1,
50,Que a lion ni auianne,5,l-25v-1-37,25v,1,
51,Nen tant con tout li ſiecle dure,5,l-25v-1-38,25v,1,
52,Na tant bonne ceꝛurgienne,5,l-25v-2-1,25v,2,
53,Na plaie tant ſoit encianne,5,l-25v-2-2,25v,2,
54,Que le ne neſtoit et eſcure,5,l-25v-2-3,25v,2,
55,Puis quelle uueille metre cure,5,l-25v-2-4,25v,2,
56,Elle eſpuria deuie oſcure,5,l-25v-2-5,25v,2,
57,La benoite egipcienne,5,l-25v-2-6,25v,2,
58,A Dieu la rendi nete et pure,5,l-25v-2-7,25v,2,
59,Sicom ceſt voirs prenez encure,5,l-25v-2-8,25v,2,
60,Malaſſe dame creſtienne,5,l-25v-2-9,25v,2,
61,¶Puis que mourir voi foible et foꝛt,6,l-25v-2-10,25v,2,
62,Coment penre en moi confoꝛt,6,l-25v-2-11,25v,2,
63,Que de moꝛt me puiſſe deſfandꝛe,6,l-25v-2-12,25v,2,
64,Ne voi nul tant ait grant eſfoꝛt,6,l-25v-2-13,25v,2,
65,Que des piez noſt le contrefoꝛt,6,l-25v-2-14,25v,2,
66,Si fet le coꝛs a terre eſtandꝛe,6,l-25v-2-15,25v,2,
67,Que puis je foꝛs lamoꝛt atendꝛe,6,l-25v-2-16,25v,2,
68,Lamoꝛt ne let ne dur netendꝛe,6,l-25v-2-17,25v,2,
69,Poꝛ avoir que len li apoꝛt,6,l-25v-2-18,25v,2,
