line_no,text,lg,l_id,folio,col,speaker
1,El non de /Jhesucriſt; Qui eſt nostre douz pere,1,l-202r-1-1,202r,1,
2,Veul commencier .i. dit Mais poꝛ la grant miſere,1,l-202r-1-2,202r,1,
3,Que je ſent dedenz moi; Pri a /ſa douce mere,1,l-202r-1-3,202r,1,
4,Que je puiſſe conclurre; Par tel point ma matere,1,l-202r-1-4,202r,1,
5,Qu'a tous ceulz qui l'oꝛront; Puiſt eſtre poꝛfitable,2,l-202r-1-5,202r,1,
6,Bonne gent il n'eſt roy. Prince ne conneſtable,2,l-202r-1-6,202r,1,
7,S'il ſe ſent en pechié; Et ne ſe rent coupable,2,l-202r-1-7,202r,1,
8,Qu'il ne faille qu'il chiee; En la main du dëable.,2,l-202r-1-8,202r,1,
9,Bon ſe feroit garder; De chëoir en teulz rois,3,l-202r-1-9,202r,1,
10,Car qui y chiet n'en yſt En .ii. mois ne en trois,3,l-202r-1-10,202r,1,
11,Et faut qu'il y demeure; Tant que /li roys de roys,3,l-202r-1-11,202r,1,
12,Demourra en la joie; Ou il n'a nus deſtrois,3,l-202r-1-12,202r,1,
13,C'eſt ou ſoulaz des ciex Ou touz poꝛrons venir,4,l-202r-2-1,202r,2,
14,Se du cuer nous meton; A /Jhesucriſt ſervir.,4,l-202r-2-2,202r,2,
15,Si comme fiſt celui; De qui poꝛrons oir,4,l-202r-2-3,202r,2,
16,Il fu né a /Rouem; Mais moult ot aſſouffrir,4,l-202r-2-4,202r,2,
17,Avant que fuſt abſous Des maus qu'avoit bꝛaſcés,5,l-202r-2-5,202r,2,
18,Fu Robert le dëable De toutes genz nommez,5,l-202r-2-6,202r,2,
19,Vous oꝛrez par quel cauſe; S'entendꝛe me voulez,5,l-202r-2-7,202r,2,
20,Il ot en /Noꝛmendie; Au temps que vous oez,5,l-202r-2-8,202r,2,
21,Un duc bon juſticier; Et hardi et appert,6,l-202r-2-9,202r,2,
22,Les croniques teſmoingnent; Qu'il avoit non Aubert.,6,l-202r-2-10,202r,2,
23,A ſervir /Jhesucriſt Avoit le cuer ouvert.,6,l-202r-2-11,202r,2,
24,Bien emploie ſon temps; Qui a tel ſeignour ſert.,6,l-202r-2-12,202r,2,
25,A un Noel tint court; Le franc duc a /Vernon.,7,l-202r-2-13,202r,2,
26,Mais n'avoit point de femme; Si que tuit li baron.,7,l-202r-2-14,202r,2,
27,Li pꝛierent pour Dieu; Et pour ſon digne non.,7,l-202r-2-15,202r,2,
28,Que il ſe mariaſt; Mais il diſt a cler ſon,7,l-202r-2-16,202r,2,
29,Seignour a vostre los. De gré me mariaſſe,8,l-202r-2-17,202r,2,
30,Se partie endꝛoit moi; Seuſſe ne trouvaiſſe,8,l-202r-2-18,202r,2,
31,N'en ſai nule ne ſoit Ou trop haute ou trop baſſe,8,l-202r-2-19,202r,2,
32,Ou que ne m'apartiengne. L'un d'euz diſt ſanz eſpaſſe,8,l-202v-1-1,202v,1,
33,Chier ſire je ſai telle; Dont ja n'arez vergoigne,9,l-202v-1-2,202v,1,
34,Moult eſt plaiſant et belle; Fille au duc de /Bourgoigne,9,l-202v-1-3,202v,1,
35,Se vous la demandez; Vous l'avrez ſanz eſſoigne,9,l-202v-1-4,202v,1,
36,Loꝛs reſpondi le duc; Ci a bonne beſoingne.,9,l-202v-1-5,202v,1,
37,Errant fiſt par meſſages Enquerir la pucelle.,10,l-202v-1-6,202v,1,
38,Et on li envoia. Sanz faire grant querelle,10,l-202v-1-7,202v,1,
39,A /Rouen [l']eſpouſa; En ſa maiſtre chapelle,10,l-202v-1-8,202v,1,
40,Noꝛmans et Bourguenons; Firent joie moult bele.,10,l-202v-1-9,202v,1,
41,Le duc avec la dame; Fu bien .xviii. ans.,11,l-202v-1-10,202v,1,
42,C'onques ne plot a Dieu; Qu'il euſſent enfans,11,l-202v-1-11,202v,1,
43,S'eſtoient il ſouvent Confez et repentant,11,l-202v-1-12,202v,1,
44,Et vers le menu pueple Dous et humilians.,11,l-202v-1-13,202v,1,
45,Toutes foiz que le duc Giſoit o ſa moullier,12,l-202v-1-14,202v,1,
46,De bon cuer requeroit A Dieu le dꝛoiturier.,12,l-202v-1-15,202v,1,
47,Que par ſa digne grace; Li vouſiſt envoier,12,l-202v-1-16,202v,1,
48,Hoir qui eüſt puiſſance De ſa loy eſſaucier,12,l-202v-1-17,202v,1,
49,Et tant qu'a .i. matin. Que le duc ſe leva.,13,l-202v-1-18,202v,1,
50,Il diſt a la duceſſe. Trop malement nous va.,13,l-202v-1-19,202v,1,
51,Que nus enfans n'avons Par Dieu qui me foꝛma.,13,l-202v-2-1,202v,2,
52,Je croi que pechié fu. Quant on nous aſſambla,13,l-202v-2-2,202v,2,
53,S'a .i. autre homme fuſt Le vostre coꝛs donnez,14,l-202v-2-3,202v,2,
54,Des enfanz poꝛtaſſiez. Je croi en vos coſtez.,14,l-202v-2-4,202v,2,
55,Et ſ'autre femme euſſe; Auſſi de l'autre lez,14,l-202v-2-5,202v,2,
56,Des enfans engendꝛaſſe J'en ſui touz treſpenſſez,14,l-202v-2-6,202v,2,
57,Non pas pour tant par foy; Que jamais en ma vie,15,l-202v-2-7,202v,2,
58,Aie a femme qu'a vous Charnelle compaignie,15,l-202v-2-8,202v,2,
59,Se vous ne treſpaſſez; Mais ne le deſir mie,15,l-202v-2-9,202v,2,
60,La duceſſe l'oÿ; Si diſt a voiz ſerie.,15,l-202v-2-10,202v,2,
61,Voir en gré nous faut pꝛendꝛe Ce que Diex nous envoie,16,l-202v-2-11,202v,2,
62,Le duc ala chacier A qui foꝛment anoie,16,l-202v-2-12,202v,2,
63,La dame demoura; Qui n'avoit point de joie,16,l-202v-2-13,202v,2,
64,Ou lit qui fu couvert De fin oꝛ et de ſoie,16,l-202v-2-14,202v,2,
65,En ſoupirant a dit; Diex me het bien le voi,17,l-202v-2-15,202v,2,
66,J'encontre moult de femmes; Qui n'ont ne ce ne quoi,17,l-202v-2-16,202v,2,
67,Sont .iii. enfanz. ou .iiii. A poi que ne renoi.,17,l-202v-2-17,202v,2,
68,Dieu et tout ſon pooir Je ſui en grant anoi,17,l-202v-2-18,202v,2,
69,Puis que il ne me veult Nus enfanz envoier.,18,l-202v-2-19,202v,2,
70,Si m'en envoit le dyable Se il m'en puet aidier.,18,l-203r-1-1,203r,1,
71,Onques mais ne diſt mot; Qui li couſtat tant chier,18,l-203r-1-2,203r,1,
72,Car ſachiez l'anemi; Qui n'a ſon deſirrier,18,l-203r-1-3,203r,1,
73,Foꝛs de bonnes gens Metre en ſa ſubjecion,19,l-203r-1-4,203r,1,
74,Retint bien de la dame La mauvaiſe raiſon,19,l-203r-1-5,203r,1,
75,Si foꝛt tempta le duc Qu'en l'eure de randon,19,l-203r-1-6,203r,1,
76,S'en retourna du bois Et vint en ſa maiſon,19,l-203r-1-7,203r,1,
77,La duceſſe trouva; Moult foꝛment courroucie,20,l-203r-1-8,203r,1,
78,En l'eure l'acola Tendꝛement la baiſie,20,l-203r-1-9,203r,1,
79,Du ſurplus qu'il li fiſt Ne vous parlerai mie,20,l-203r-1-10,203r,1,
80,Mais ſachiez que le duc Diſt douz Diex je vous pꝛie,20,l-203r-1-11,203r,1,
81,Cil vous plaiſt que j'engendꝛe Enfant en ceſte dame,21,l-203r-1-12,203r,1,
82,Veilliez que il vous ſerve Au ſauvement de ſ'ame,21,l-203r-1-13,203r,1,
83,La ducheſſe parla. Et diſt com fole femme,21,l-203r-1-14,203r,1,
84,Mais tout ſoit au dëable Qui ne quiert que diffame,21,l-203r-1-15,203r,1,
85,Puis que Diex n'a puiſſance Que nus enfans nous doint,22,l-203r-1-16,203r,1,
86,Je le doins au dëable S'en ai conceu point,22,l-203r-1-17,203r,1,
87,L'anemi l'oÿ bien. Qui pluſeurs maus conjoint,22,l-203r-1-18,203r,1,
88,Celle foiz fiſt tourner La choſe ſi a point.,22,l-203r-1-19,203r,1,
89,Qu'en ſa femme engendꝛa Li bons dus .i. enfant.,23,l-203r-2-1,203r,2,
90,Qui puis fiſt moult de maus. Com vous oꝛrez avant.,23,l-203r-2-2,203r,2,
91,Il fu de ſa nature Si tres cruel tirant,23,l-203r-2-3,203r,2,
92,Qu'en ne trouvaſt pas pire En ceſt ſiecle vivant,23,l-203r-2-4,203r,2,
93,Mais puis paia l'amende Des folours qu'il empriſt,24,l-203r-2-5,203r,2,
