line_no,text,lg,l_id,folio,col,speaker
1,/Roys des /frans Haez les deſroys,1,l-392v-2-1,392v,2,
2,Regardez com /Li roys des roys,1,l-392v-2-2,392v,2,
3,/Jhesucriſt qui les ſiens avoie,1,l-392v-2-3,392v,2,
4,Com de loins vous a mis a voie,1,l-392v-2-4,392v,2,
5,De lui bien connoiſtre et ameꝛ,1,l-392v-2-5,392v,2,
6,En terre vou a fait clameꝛ,1,l-392v-2-6,392v,2,
7,/Roy des /francois la noble gent,1,l-392v-2-7,392v,2,
8,Ceꝛtes ci a bon bel et gent,1,l-392v-2-8,392v,2,
9,En grant dignete par creü,1,l-392v-2-9,392v,2,
10,Bien vous a de loing pourveü,1,l-392v-2-10,392v,2,
11,Moult li devez bien obeir,1,l-392v-2-11,392v,2,
12,Encoꝛ vous puet il eſchair,1,l-392v-2-12,392v,2,
13,De li plus grant reaume aſſez,1,l-392v-2-13,392v,2,
14,C'eſt paradis qui apaſſez,1,l-392v-2-14,392v,2,
15,Touz les rotaumes de ceſt monde,1,l-392v-2-15,392v,2,
16,Roys vo vie doit eſtre monde,1,l-392v-2-16,392v,2,
17,Et nete de vilains pechiez,1,l-392v-2-17,392v,2,
18,Et vos coꝛs ſi bien entechiez,1,l-392v-2-18,392v,2,
19,C'om pꝛaigne a vous bonne eſſemplaire,1,l-392v-2-19,392v,2,
20,Si pourres miex a tous ceus plaire,1,l-392v-2-20,392v,2,
21,De qui vous eſtez roys clamez,1,l-392v-2-21,392v,2,
22,Bien doit de vous Diex eſtre amez,1,l-392v-2-22,392v,2,
23,Et bien pert que il vous a chieꝛ,1,l-392v-2-23,392v,2,
24,Quant de ſi loins vous volt huchieꝛ,1,l-392v-2-24,392v,2,
25,Pour /les francois metre en vo garde,1,l-392v-2-25,392v,2,
26,Gentilz roys dont oꝛ prenez garde,1,l-393r-1-1,393r,1,
27,A quelle heure a vous les liura,1,l-393r-1-2,393r,1,
28,Ce fu au jour qu'il deliura,1,l-393r-1-3,393r,1,
29,Les ſiens de la paine d'enfeꝛ,1,l-393r-1-4,393r,1,
30,Le cueꝛ avrés plus dur que feꝛ,1,l-393r-1-5,393r,1,
31,Se vous a ce jour ne penſez,1,l-393r-1-6,393r,1,
32,Et la gloſſe n'en diſpenſez,1,l-393r-1-7,393r,1,
33,Si com bons roys qui doit penſeꝛ,1,l-393r-1-8,393r,1,
34,De ſa vie a dꝛoit diſpenſeꝛ,1,l-393r-1-9,393r,1,
35,Roys au jour du bon venredi,2,l-393r-1-10,393r,1,
36,Si voir comme je le vous di,2,l-393r-1-11,393r,1,
37,Vous fiſt Dieus roys de tous /les frans,2,l-393r-1-12,393r,1,
38,Oꝛ ſoiez dont courtois et frans,2,l-393r-1-13,393r,1,
39,Iuſtez piex et miſeꝛicoꝛs,2,l-393r-1-14,393r,1,
40,Si com Diex fiſt qui tout ſon coꝛs,2,l-393r-1-15,393r,1,
41,Volt as /felons Juis liureꝛ,2,l-393r-1-16,393r,1,
42,Pour les ſient d'enfeꝛ delivreꝛ,2,l-393r-1-17,393r,1,
43,A cel jour furent deliurez,3,l-393r-1-18,393r,1,
44,Qu'il vous fiſt roy donques livrez,3,l-393r-1-19,393r,1,
45,Vo cueꝛ a oir et entendꝛe,3,l-393r-1-20,393r,1,
46,A quel fin la gloſſe vent tendꝛe,3,l-393r-1-21,393r,1,
