line_no,text,lg,l_id,folio,col,speaker
1,Maint dit a fait De roys de Conte,1,l-257v-1-4,257v,1,
2,/Guillot de /Paris En ſon conte,1,l-257v-1-5,257v,1,
3,Les rues de /paris bꝛiement,1,l-257v-1-6,257v,1,
4,A mis en rime oiez comment,1,l-257v-1-7,257v,1,
5,/La rue de la chuchete a /paris,1,l-257v-1-8,257v,1,
6,Premiere dont pas n'a meſpris,1,l-257v-1-9,257v,1,
7,Aſes toſt trouva /ſacalie,1,l-257v-1-10,257v,1,
8,Et /la petute bouclerie,1,l-257v-1-11,257v,1,
9,Et /la grant bouclerie aprés,1,l-257v-1-12,257v,1,
10,Et /herondale tout en pres,1,l-257v-1-13,257v,1,
11,En /la Rue pauee alé,1,l-257v-2-1,257v,2,
12,Ou a maint viſage hale,1,l-257v-2-2,257v,2,
13,/La rue a /l'abé /saint Denis,1,l-257v-2-3,257v,2,
14,Siet aſes pres de /saint Denis,1,l-257v-2-4,257v,2,
15,De /la grant rue /saint germain,1,l-257v-2-5,257v,2,
16,Des /prez ſi fait /rue Gauuain,1,l-257v-2-6,257v,2,
17,Et puis /la rue /saint andꝛi,1,l-257v-2-7,257v,2,
18,Dehoꝛs mon chemin ſ'eſtendi,1,l-257v-2-8,257v,2,
19,Juſques en /la rue poupee,1,l-257v-2-9,257v,2,
20,Adont ai ma voie adꝛecee,1,l-257v-2-10,257v,2,
21,Que /la Rue de la barre vins,1,l-257v-2-11,257v,2,
22,Et en /la rue a /poitevins,1,l-257v-2-12,257v,2,
23,En /la rue de la ſerpent,1,l-257v-2-13,257v,2,
24,De ce de riens ne me repent,1,l-257v-2-14,257v,2,
25,En /la rue de la platriere,1,l-257v-2-15,257v,2,
26,La maint une dame loudiere,1,l-257v-2-16,257v,2,
27,Qui maint chapel A fait de fueille,1,l-257v-2-17,257v,2,
28,Par /la rue de haute feulle,1,l-257v-2-18,257v,2,
29,Ving en /la Rue De champ petit,1,l-257v-2-19,257v,2,
30,Et au deſus eſt .i. petit,1,l-257v-2-20,257v,2,
31,/La rue du puon vraiement,1,l-257v-2-21,257v,2,
32,Je deſcendi tout belement,1,l-257v-2-22,257v,2,
33,Droit a /la rue des coꝛdeles,1,l-257v-2-23,257v,2,
34,Dames i a le deſcoꝛd d'elles,1,l-257v-2-24,257v,2,
35,Ne voudꝛoie avoir Nullement,1,l-257v-2-25,257v,2,
36,Je m'en alai tout Simplement,1,l-257v-2-26,257v,2,
37,D'iluecques au /palais De termes,1,l-257v-2-27,257v,2,
38,Ou il a celiers et citernes,1,l-257v-2-28,257v,2,
39,En celle rue a mainte court,1,l-257v-2-29,257v,2,
40,/La rue aus hoirs de Harecourt,1,l-257v-2-30,257v,2,
41,/La rue pierre Sarrazin,1,l-257v-2-31,257v,2,
42,Ou l'en eſſai maint roncin,1,l-257v-2-32,257v,2,
43,Chaſcun an Comment Con le hape,1,l-258r-1-1,258r,1,
44,Contreual /rue de le harpe,1,l-258r-1-2,258r,1,
45,Ving en /la rue /saint ſeuring,1,l-258r-1-3,258r,1,
46,Et tant fiſt c'au carefour ving,1,l-258r-1-4,258r,1,
47,/La grant rue trouvai bꝛiement,1,l-258r-1-5,258r,1,
48,De la entrai pꝛemierement,1,l-258r-1-6,258r,1,
49,Trouvai /la rue as eſcriuains,1,l-258r-1-7,258r,1,
50,De cheminer ne fu pas vains,1,l-258r-1-8,258r,1,
51,En /la petite ruelete,1,l-258r-1-9,258r,1,
52,/saint ſeurin mainte Meſchinnete,1,l-258r-1-10,258r,1,
53,Si iouent ſouvent et menu,1,l-258r-1-11,258r,1,
54,Et font batre le trou velu,1,l-258r-1-12,258r,1,
55,Des feſſeriaus que que nus die,1,l-258r-1-13,258r,1,
56,En /la rue /Erembourc de /bꝛie,1,l-258r-1-14,258r,1,
57,Alai et en /la rue o /fain,1,l-258r-1-15,258r,1,
58,De cheminer ne fu pas vain,1,l-258r-1-16,258r,1,
59,Une femme vi batre lin,1,l-258r-1-17,258r,1,
60,Par /la rue /saint Mathelin,1,l-258r-1-18,258r,1,
61,En /l'en cloiſtre m'en retourne,1,l-258r-1-19,258r,1,
62,/saint beneoit le beſtourne,1,l-258r-1-20,258r,1,
63,En la rue as hoirs de /ſabonnes,1,l-258r-1-21,258r,1,
64,A .ii. poꝛtes belles et bonnes,1,l-258r-1-22,258r,1,
65,/La rue a l'abbee de /cligny,1,l-258r-1-23,258r,1,
66,Et /la rue au ſeigner d'/igny,1,l-258r-1-24,258r,1,
67,Sont pres de /la rue o /coꝛbel,1,l-258r-1-25,258r,1,
68,De ſus ſiet /la rue o /ponel,1,l-258r-1-26,258r,1,
69,Et /la rue a coꝛdiers aprez,1,l-258r-1-27,258r,1,
70,Qui des /iacopins ſiet bien prez,1,l-258r-1-28,258r,1,
71,En contre eſt /rue /saint eſtienne,1,l-258r-1-29,258r,1,
72,Que Diex en ſa grace nous Tiengne.,1,l-258r-1-30,258r,1,
73,Que de ſ'amour aions mantel,1,l-258r-1-31,258r,1,
74,Loꝛs deſcendi en /fres Mantel,1,l-258r-1-32,258r,1,
75,En /la rue de l'/oſeroie,1,l-258r-1-33,258r,1,
76,Ne ſai comment je deſuouroie,1,l-258r-1-34,258r,1,
77,Ce c'onques nul jour ne voue,1,l-258r-2-1,258r,2,
78,Ne a Paſques ne a noue,1,l-258r-2-2,258r,2,
79,En /la rue de /l'oſpital,1,l-258r-2-3,258r,2,
80,Ving une femme i deſpital,1,l-258r-2-4,258r,2,
81,Une autre femme folement,1,l-258r-2-5,258r,2,
82,De ſa parole moult vilment,1,l-258r-2-6,258r,2,
83,/La rue de la chaueterie,1,l-258r-2-7,258r,2,
84,Trouvai n'alai pas /Chiés Marie,1,l-258r-2-8,258r,2,
85,En /rue /saint ſyphoꝛien,1,l-258r-2-9,258r,2,
86,Ou mainguent li logipcien,1,l-258r-2-10,258r,2,
87,En pres eſt /la rue du moine,1,l-258r-2-11,258r,2,
88,Et /la rue au duc de /bougoingne,1,l-258r-2-12,258r,2,
89,Et /la rue des amandiers pꝛez,1,l-258r-2-13,258r,2,
90,Siet en une autre rue en prez,1,l-258r-2-14,258r,2,
91,Qui a non /rue de /ſavoie,1,l-258r-2-15,258r,2,
92,/Guillot de /paris. tint ſa voie,1,l-258r-2-16,258r,2,
93,Droit en /la rue /saint ylaire,1,l-258r-2-17,258r,2,
94,Ou une dame debonnaire,1,l-258r-2-18,258r,2,
