line_no,text,lg,l_id,folio,col,speaker
1,Se chaſcuns cuers penſoit a la ſouffrance,1,l-303r-1-1,303r,1,
2,Que /li Filz Dieu poꝛ pecheours ſouffri,1,l-303r-1-2,303r,1,
3,et regardaſt ſi grant humilian ce.,1,l-303r-1-3,303r,1,
4,dont nous ſommes rache te et nourri.,1,l-303r-1-4,303r,1,
5,/Vierge touſtanz ſervie ſanz nul. ſi.,1,l-303r-1-5,303r,1,
6,ſeries dou moult grant contraire.,1,l-303r-1-6,303r,1,
7,Car en vos beneois flans,1,l-303r-1-7,303r,1,
8,fu pꝛiſe pour nous refaire.,1,l-303r-1-8,303r,1,
9,char humainne et ſans,1,l-303r-1-9,303r,1,
10,Don ſai je bien et tele eſt ma creance,2,l-303r-1-10,303r,1,
11,que Diex et homs /vierge de vous naſqui.,2,l-303r-1-11,303r,1,
12,et tot ce fiſt par rieule d'oꝛdenance,2,l-303r-1-12,303r,1,
13,vraie acomplir que pꝛiſe avoit en li.,2,l-303r-1-13,303r,1,
14,Quant il de vous pour le pechié iſſi.,2,l-303r-1-14,303r,1,
15,d'/Adan et ſe voult eſtraire,2,l-303r-1-15,303r,1,
16,ſanc et ſueur ſouffranz,2,l-303r-1-16,303r,1,
17,de ſe coꝛs pour exemplaire,2,l-303r-1-17,303r,1,
18,mouſtrer d'i eſtre amans.,2,l-303r-1-18,303r,1,
19,Et apꝛés ce /dame de grant poiſſance.,3,l-303r-1-19,303r,1,
20,ſe benoite chars. le vendꝛedi,3,l-303r-1-20,303r,1,
21,a l'eſtake ba tue tenre et blance,3,l-303r-2-1,303r,2,
22,fu cruel ment et tout ce conſenti.,3,l-303r-2-2,303r,2,
23,et puis ſouffri plus aſſez dont je di.,3,l-303r-2-3,303r,2,
24,ke ſ'il ne le vouſiſt faire.,3,l-303r-2-4,303r,2,
25,pour pecheours meudians.,3,l-303r-2-5,303r,2,
26,li mondes fuſt en grief haire,3,l-303r-2-6,303r,2,
27,En ynfier manans.,3,l-303r-2-7,303r,2,
28,Bien nous refiſt par vraie ramembꝛanche.,4,l-303r-2-8,303r,2,
29,et par ſa moꝛt k'apꝛés en croiz ſenti.,4,l-303r-2-9,303r,2,
30,quant conſenti que /Longis de ſa lanche.,4,l-303r-2-10,303r,2,
31,N'avra ſon cuer et ſon coſté ouvri.,4,l-303r-2-11,303r,2,
32,puis ſeu rent treſtout li anemi.,4,l-303r-2-12,303r,2,
33,ke li roys de noble affaire.,4,l-303r-2-13,303r,2,
34,y roit et en moult bꝛief tans.,4,l-303r-2-14,303r,2,
35,tous ſes amis d'infer traire.,4,l-303r-2-15,303r,2,
36,comme tous poiſſanz.,4,l-303r-2-16,303r,2,
37,Dont ſeut deffi ſanz dou tanche.,5,l-303r-2-17,303r,2,
38,le benoite moꝛt les abati.,5,l-303r-2-18,303r,2,
39,Oꝛ li pꝛi jes. fleurs de toute honnourance,5,l-303r-2-19,303r,2,
40,pour tout le mont et pꝛopꝛement pour mi.,5,l-303r-2-20,303r,2,
41,Car vos doulz filz qui onques ne menti.,5,l-303r-2-21,303r,2,
42,diſt et che nous doit bien plaire.,5,l-303r-2-22,303r,2,
43,ke nus pechierres ſi grans,5,l-303r-2-23,303r,2,
44,n'eſt. k'il n'ait cuer debonnaire .,5,l-303r-2-24,303r,2,
45,d'i eſtre pardonnans.,5,l-303r-2-25,303r,2,
46,/Dame ki touz cuers eſclai re.,6,l-303r-2-26,303r,2,
47,touz les meſcreans,6,l-303r-2-27,303r,2,
48,welle a nostre loy atraire,6,l-303r-2-28,303r,2,
49,dieux ſans fin durans.,6,l-303r-2-29,303r,2,
50,Plaiſans deſirs et eſpoi rs de merchi,7,l-303v-1-1,303v,1,
51,et boi ne amours ki me tient compaignie,7,l-303v-1-2,303v,1,
52,me fait chanter et avoir cuer joli.,7,l-303v-1-3,303v,1,
53,et ſ'amours fait que da me ai choiſie.,7,l-303v-1-4,303v,1,
54,D'onnour de ſens ſi garnie,7,l-303v-1-5,303v,1,
55,et de ſi fai tich atour.,7,l-303v-1-6,303v,1,
56,ke tout ai mis ſanz retour,7,l-303v-1-7,303v,1,
57,cuer et coꝛs en ſa baillie.,7,l-303v-1-8,303v,1,
58,Amours ſet tant et puet et vaut de li,8,l-303v-1-9,303v,1,
59,k'e le ſeur touz a tele ſeig nourie,8,l-303v-1-10,303v,1,
60,c'un diuers cuer fait a .i. autre ouni.,8,l-303v-1-11,303v,1,
61,et d'un acoꝛt amer ſanz vilonnie.,8,l-303v-1-12,303v,1,
62,et ſa plus bele maiſtrie.,8,l-303v-1-13,303v,1,
63,Car toute amoꝛs ſanz ſejour,8,l-303v-1-14,303v,1,
64,eſt en chaſcun cuer d'onnour.,8,l-303v-1-15,303v,1,
65,et en touz a une fie.,8,l-303v-1-16,303v,1,
66,Ainz par ſervir amans ne deſervi,9,l-303v-1-17,303v,1,
67,par nul tra uail k'a li fuſt otroije.,9,l-303v-1-18,303v,1,
68,joie d'amours ſ'eſkiet il bien ain,9,l-303v-1-19,303v,1,
69,quant amours voit k'ele y eſt emploie.,9,l-303v-1-20,303v,1,
70,k'ele avoit li fait amie.,9,l-303v-1-21,303v,1,
71,ſanz plus de joie en .i. jour.,9,l-303v-1-22,303v,1,
72,k'il ne poꝛ roit de doulour,9,l-303v-1-23,303v,1,
73,endurer toute ſa vie,9,l-303v-1-24,303v,1,
74,Dont ont cil toꝛt de qui il eſt iehy.,10,l-303v-1-25,303v,1,
75,k'en amer ait angoiſſe ne haſcie.,10,l-303v-1-26,303v,1,
76,car tant ſont douz li mal a cuer d'ami.,10,l-303v-1-27,303v,1,
77,k'a l'endurer li joie mouteplie,10,l-303v-1-28,303v,1,
78,et com plus mercis d'etrie.,10,l-303v-1-29,303v,1,
79,tant avra joie greignour.,10,l-303v-2-1,303v,2,
80,Car plus poꝛte grant ſavoir.,10,l-303v-2-2,303v,2,
81,li dons quant dame l'otrie.,10,l-303v-2-3,303v,2,
82,Dame d'onnour lues ke pꝛemiers vous vi.,11,l-303v-2-4,303v,2,
83,Je piercich bien k'a moi n'a feroit mie.,11,l-303v-2-5,303v,2,
84,D'amer ſi haut k'a vous mais contre mi,11,l-303v-2-6,303v,2,
85,fu li miens cuers et fiſt pour lui partie.,11,l-303v-2-7,303v,2,
86,et diſt ke ſeroit folie,11,l-303v-2-8,303v,2,
87,de reſoignier vo valour.,11,l-303v-2-9,303v,2,
88,Car de ſervir boin ſeignour,11,l-303v-2-10,303v,2,
89,deſierte a double eſt merie.,11,l-303v-2-11,303v,2,
90,A me dame iert envoie.,12,l-303v-2-12,303v,2,
91,Mes chancons par boine a mour.,12,l-303v-2-13,303v,2,
92,Car je ſai bien de meillour,12,l-303v-2-14,303v,2,
93,de li ne puet eſtre oïe.,12,l-303v-2-15,303v,2,
94,Moult m'eſmerveil d'acuns k'ai oït di re.,13,l-303v-2-16,303v,2,
95,ki ont amet oꝛ ne pueent ſouffrir.,13,l-303v-2-17,303v,2,
96,ke nus cuers aint. ainz ne font foꝛs deſpire.,13,l-303v-2-18,303v,2,
97,Les a moureus Mais mes cuers aſſentir,13,l-303v-2-19,303v,2,
98,ne ſe poꝛroit nule ment,13,l-303v-2-20,303v,2,
99,c'onques de bien amer talent.,13,l-303v-2-21,303v,2,
100,cuers ki ſanz fin ne veult amours ſervir.,13,l-303v-2-22,303v,2,
101,Et ſes ſerjans amer en com,13,l-303v-2-23,303v,2,
102,De touz biens ſcet chius le meillour eſlire.,14,l-303v-2-24,303v,2,
103,a ſoi ki ſiert amours ch'eſt ſanz mentir.,14,l-303v-2-25,303v,2,
104,k'amours les ſiens d'onneſte ſi atyre.,14,l-304r-1-1,304r,1,
105,c'on les puet bien de touz autres coiſir.,14,l-304r-1-2,304r,1,
106,au parler courtoiſe ment.,14,l-304r-1-3,304r,1,
107,Et ſ'aucuns maint en ſi fol errement,14,l-304r-1-4,304r,1,
108,qu'il ne veille d'amours parler oir.,14,l-304r-1-5,304r,1,
109,S'en laiſt au mains vrais a mans conuenir,14,l-304r-1-6,304r,1,
110,Douche occoiſon de chanter et de rire,15,l-304r-1-7,304r,1,
111,a vrais amans et de li maintenir,15,l-304r-1-8,304r,1,
112,jo liement et ſ'aucuns eſt en yre.,15,l-304r-1-9,304r,1,
113,faute d'amours le fait en chou languir.,15,l-304r-1-10,304r,1,
114,Sen tans en folour deſpent.,15,l-304r-1-11,304r,1,
115,et chius en bien ki aimme Loiaument,15,l-304r-1-12,304r,1,
116,cuers ſanz amour ne puet joie ſentir.,15,l-304r-1-13,304r,1,
117,la ou amans ſ'a de quoi eſioir.,15,l-304r-1-14,304r,1,
118,Amours en li ſeruant nului n'empire,16,l-304r-1-15,304r,1,
119,tant ſoit k'aucuns ne puis mie avenir.,16,l-304r-1-16,304r,1,
120,a kiedefois a chou ke il deſire.,16,l-304r-1-17,304r,1,
121,ne doit il pas pour chou amours hair.,16,l-304r-1-18,304r,1,
122,ſ'il ſen plaint n'aimme il noient.,16,l-304r-1-19,304r,1,
123,Car ki n'aroit d'aie ſeulement.,16,l-304r-1-20,304r,1,
124,foꝛs ke de bonne et bele .i. ſouvenir.,16,l-304r-1-21,304r,1,
125,ſe doit teus biens a amant abelir.,16,l-304r-1-22,304r,1,
126,Ce me ſemont d'amer ſanz contredire.,17,l-304r-1-23,304r,1,
127,ſi loi aument ke ja n'en quier partir.,17,l-304r-1-24,304r,1,
128,Oꝛ veille amours que je puiſſe ſouffire,17,l-304r-1-25,304r,1,
129,a cheli qui par ſes vairs yex ſaiſir.,17,l-304r-1-26,304r,1,
130,me vint amoureu ſement.,17,l-304r-2-1,304r,2,
131,tres dont ke res gardai pꝛemierement,17,l-304r-2-2,304r,2,
132,Son douch maintien ſa ge pour en aſpꝛir,17,l-304r-2-3,304r,2,
133,cuer d'onnour faire et de viſſes fuir.,17,l-304r-2-4,304r,2,
134,A ce joli pui preſent fach de mon chant,18,l-304r-2-5,304r,2,
135,amours en ſon couvent,18,l-304r-2-6,304r,2,
136,ou non ma dame en qui amour queil lir,18,l-304r-2-7,304r,2,
137,me fait le ſens de ma chancon furnir.,18,l-304r-2-8,304r,2,
138,Pleüſt amours que li mondes fuſt teus.,19,l-304r-2-9,304r,2,
139,k'il fu jadis. quant je pꝛemiers amai.,19,l-304r-2-10,304r,2,
140,dont aroient boin tant li a moureus.,19,l-304r-2-11,304r,2,
141,oꝛ n'en ont point dont moult ſui en eſmai.,19,l-304r-2-12,304r,2,
142,Car il n'oſent hui eſt li jours amer.,19,l-304r-2-13,304r,2,
143,Et ſ'il aimment chaſcuns en veult parler.,19,l-304r-2-14,304r,2,
144,pour chou n'avra jamais ce m'eſt avis.,19,l-304r-2-15,304r,2,
145,ſaiſon a point amie ne amis.,19,l-304r-2-16,304r,2,
146,Oꝛ eſt beſoins que chas cuns ſoit ſi pꝛeuz,20,l-304r-2-17,304r,2,
147,qu'il puiſt tenir d'amour le chemin vrai.,20,l-304r-2-18,304r,2,
148,S'il ot par ler eſtre ne doit honteus.,20,l-304r-2-19,304r,2,
149,Ainz doit juer avec chiaus ſanz delai.,20,l-304r-2-20,304r,2,
150,ki ſe painnent de li a deſtouber.,20,l-304r-2-21,304r,2,
151,ainſſi puet on lui et autrui garder.,20,l-304r-2-22,304r,2,
152,Li ſages vit entre ſes anemis.,20,l-304v-1-1,304v,1,
153,Ou li ſos eſt en tre les ſiens mendis.,20,l-304v-1-2,304v,1,
154,Enſement va li mondes ki n'eſt pꝛeus.,21,l-304v-1-3,304v,1,
155,pour ce me ſui apenſez ke g'irai.,21,l-304v-1-4,304v,1,
