line_no,text,lg,l_id,folio,col,speaker
1,Compains vois tu ce que je uoy,1,l-13v-1-4,13v,1,FirstLiving
2,Par pou que je ne m'en desroy,1,l-13v-1-5,13v,1,FirstLiving
3,De grant paour le cueꝛ me tranble,1,l-13v-1-6,13v,1,FirstLiving
4,Vois tu la ces .iii. moꝛs enſemble,1,l-13v-1-7,13v,1,FirstLiving
5,comme il ſont hideus et diveꝛs,1,l-13v-1-8,13v,1,FirstLiving
6,Et pourri et mangie de veꝛs,1,l-13v-1-9,13v,1,FirstLiving
7,Tel devendꝛont nostre iouuente,1,l-13v-1-10,13v,1,FirstLiving
8,De tel marchié avrons tel ventes,1,l-13v-1-11,13v,1,FirstLiving
9,Qu'il nous vint de no premieꝛ peꝛe,1,l-13v-1-12,13v,1,FirstLiving
10,Quar chaſcun qui naiſt le compeꝛe,1,l-13v-1-13,13v,1,FirstLiving
11,Que tuit en ſuffrent la moꝛt ſure,1,l-13v-1-14,13v,1,FirstLiving
12,Et aprés des veꝛs la moꝛſure,1,l-13v-1-15,13v,1,FirstLiving
13,Qui alame ne met conroi,1,l-13v-1-16,13v,1,FirstLiving
14,Prince ne duc conte ne roy,1,l-13v-2-1,13v,2,FirstLiving
15,Nauront de poꝛt ne que ribaut,1,l-13v-2-2,13v,2,FirstLiving
16,Qui jamés ne feꝛont ris baut,1,l-13v-2-3,13v,2,FirstLiving
17,Puisques tenebꝛes ſeꝛont uns,1,l-13v-2-4,13v,2,FirstLiving
18,Denfeꝛ ou tout bien ſont remis,1,l-13v-2-5,13v,2,FirstLiving
19,Li ſecons vis diſt je envie,2,l-13v-2-6,13v,2,SecondLiving
20,Biaus compains damender ma vie,2,l-13v-2-7,13v,2,SecondLiving
21,Trop ai fait de mes voulentes,2,l-13v-2-8,13v,2,SecondLiving
22,Oꝛ eſt mes cueꝛs entalentes,2,l-13v-2-9,13v,2,SecondLiving
23,De faire tant que mame acoꝛde,2,l-13v-2-10,13v,2,SecondLiving
24,Au dous roy de miſeꝛicoꝛde,2,l-13v-2-11,13v,2,SecondLiving
