line_no,text,lg,l_id,folio,col,speaker
1,Entre Engleterre Et Noꝛmendie,1,l-46v-1-9,46v,1,
2,Cefurent .ii.,1,l-46v-1-10,46v,1,
3,Je croi que ce ſeꝛoit Mes pꝛeus,1,l-46v-1-11,46v,1,
4,Par ſaint thoumas,1,l-46v-1-12,46v,1,
5,Moult eſt folz qui ſe clainme mas,1,l-46v-1-13,46v,1,
6,Au premieꝛ cop,1,l-46v-1-14,46v,1,
7,Oꝛ i feꝛons treſtout a cop,1,l-46v-1-15,46v,1,
8,Sur les chaitis,1,l-46v-1-16,46v,1,
9,Bons eſt touz joꝛs lipains faitis,1,l-46v-1-17,46v,1,
10,D'oſtoꝛement,1,l-46v-1-18,46v,1,
11,Je le vi plus noir qu'errement,1,l-46v-1-19,46v,1,
12,De duel et dire,1,l-46v-2-1,46v,2,
13,Nus ne pourroit conteꝛ ne dire,1,l-46v-2-2,46v,2,
14,Sa biauté,1,l-46v-2-3,46v,2,
15,Qui ainme honnoꝛ et loyauté,1,l-46v-2-4,46v,2,
16,Il eſt garis,1,l-46v-2-5,46v,2,
17,Je fui devant ieꝛ aParis,1,l-46v-2-6,46v,2,
18,Apꝛendꝛe dart,1,l-46v-2-7,46v,2,
19,Tiex ſecuide chaufeꝛ quiſart,1,l-46v-2-8,46v,2,
20,S'avient ſouvent,1,l-46v-2-9,46v,2,
21,Il a ayuri .i. ciyyent,1,l-46v-2-10,46v,2,
22,De buueoꝛs,1,l-46v-2-11,46v,2,
23,Mencongnes de precheoꝛs,1,l-46v-2-12,46v,2,
24,Nous ont honni,1,l-46v-2-13,46v,2,
25,Tout li doi neſont pas onni,1,l-46v-2-14,46v,2,
26,De vostre main,1,l-46v-2-15,46v,2,
27,Ditez iuenrez vous demain,1,l-46v-2-16,46v,2,
28,Se Diex vous gart,1,l-46v-2-17,46v,2,
29,Elle me geta .i. regart,1,l-46v-2-18,46v,2,
30,Qui ma tue,1,l-46v-2-19,46v,2,
31,Vos dꝛapel furent il bue,1,l-46v-2-20,46v,2,
32,Qui ſi ſont blanc,1,l-46v-2-21,46v,2,
33,Auiz me tient une goute u flanc,1,l-46v-2-22,46v,2,
34,Contre le ſoir,1,l-46v-2-23,46v,2,
35,Se Diex te garte dime tu voir,1,l-46v-2-24,46v,2,
36,Eſt il pendus,1,l-46v-2-25,46v,2,
37,Les ſairemens sont deſfandus,1,l-46v-2-26,46v,2,
38,Ce ma len dit,1,l-46v-2-27,46v,2,
39,Dras il en a tant aulendit,1,l-46v-2-28,46v,2,
40,Que ceſt miracle,1,l-46v-2-29,46v,2,
41,La poſtole et le patriache,1,l-46v-2-30,46v,2,
42,Si ſont moꝛt,1,l-46v-2-31,46v,2,
43,Ceꝛtes moult eſt fox qui ſa moꝛt,1,l-46v-2-32,46v,2,
44,A pechié faire,1,l-46v-2-33,46v,2,
45,Il na mes ne prev[o]ſt nemaire,1,l-46v-2-34,46v,2,
46,Enceſte ville,1,l-46v-2-35,46v,2,
47,Combien ail iuſqua saint gille,1,l-46v-2-36,46v,2,
48,De roem,1,l-46v-2-37,46v,2,
49,Bifes on leſfait acaam,1,l-46v-2-38,46v,2,
50,Bonne et belle,1,l-47r-1-1,47r,1,
51,Sonce dames ou damoiſſelles,1,l-47r-1-2,47r,1,
52,Par dela,1,l-47r-1-3,47r,1,
53,Ce fu .i. cleꝛc qui auala,1,l-47r-1-4,47r,1,
