line_no,text,lg,l_id,folio,col,speaker
1,L'autrieꝛ par .i. matin A l'entree de moy,1,l-102r-2-7,102r,2,
2,Entre en .i. jardin Pour joueꝛ i alai,1,l-102r-2-8,102r,2,
3,.I. petit m'acoſtai Deſoz une aube eſpine,1,l-102r-2-9,102r,2,
4,Eſcript en parchemin .I. livre i trovai,1,l-102r-2-10,102r,2,
5,Je lui duc en la fin Moult durement l'amai,2,l-102r-2-11,102r,2,
6,Le non de ce liuret Ne la fui Je ne ſai,2,l-102r-2-12,102r,2,
7,Oꝛ me ſui poꝛpenſe Comment l'apeleꝛai,2,l-102r-2-13,102r,2,
8,C'eſt la vie du monde Einſi le bautiſai,2,l-102r-2-14,102r,2,
9,Sainte yglieſe ſe plaint Ce n'eſt mie merveille,3,l-102r-2-19,102r,2,
10,Chaſcun de gueꝛroieꝛ Contre lui ſ'apareille,3,l-102r-2-20,102r,2,
11,Elle eſt en grant [...],3,l-102r-2-21,102r,2,
12,Peꝛeil. ſe Diex Ne la conſeille,3,l-102r-2-22,102r,2,
13,Puis que Ioſtice cloche Et dꝛoit pant es encline,4,l-102v-1-1,102v,1,
14,Et loyauté chancelle Et veꝛité definne,4,l-102v-1-2,102v,1,
15,Et charité refroide Et foi faut et afine,4,l-102v-1-3,102v,1,
16,Je di que n'a u monde Fondement ne racine,4,l-102v-1-4,102v,1,
17,Fauſe marchandiſe eſt Couuerte en uſure,5,l-102v-1-5,102v,1,
18,Et chaſte ſi eſt miſe Arrieꝛe poꝛ luxure,5,l-102v-1-6,102v,1,
19,Chaſcun aime le coꝛs Et de l'ame n'a cure,5,l-102v-1-7,102v,1,
20,Oꝛ ſachiez que le monde Eſt en grant aventure,5,l-102v-1-8,102v,1,
21,Onques mes ne fu tant De grans pꝛeſcheeurs,6,l-102v-1-9,102v,1,
22,Et ſi ne peꝛt au ſiecle Trop eſt des pecheeurs,6,l-102v-1-10,102v,1,
23,Qui ſont touz auueglez Auſi comme li ours,6,l-102v-1-11,102v,1,
24,Et fuient en enfeꝛ Les galoz et les cours,6,l-102v-1-12,102v,1,
25,Ainz puis que noſtre ſires Foꝛma /le pꝛemieꝛ home,7,l-102v-1-13,102v,1,
26,Ne puis que noſtre peꝛe /Adan menga la pome,7,l-102v-1-14,102v,1,
27,Ne fu Diex mains doutez Deſeus la foi de /Romme,7,l-102v-1-15,102v,1,
28,De /Romme vient le mal Qui les veꝛtuz aſomme,7,l-102v-1-16,102v,1,
29,/Rome qui deüſt eſtre De noſtre foi la fonde,8,l-102v-1-17,102v,1,
30,Simainne avarice Et touz maux i abonde,8,l-102v-1-18,102v,1,
31,Cil sont plus conchie Qui doivent eſtre monde,8,l-102v-1-19,102v,1,
32,Et par mauveſe eſſemble Honiſent tout le monde,8,l-102v-2-1,102v,2,
33,Qui argent poꝛte a /rome Aſſez toſt prouende a,9,l-102v-2-2,102v,2,
34,Ou ne la donne mie Si com Diex comenda,9,l-102v-2-3,102v,2,
35,Ou ſet bien dire a /rome Si ſonne il empetra,9,l-102v-2-4,102v,2,
36,Et ſi ne donne rien Enda la voie enda,9,l-102v-2-5,102v,2,
37,/France qui de franchiſe Eſt dite par dꝛoit non,10,l-102v-2-6,102v,2,
38,A perdu de franchiſe Le los et le renon,10,l-102v-2-7,102v,2,
39,Il ni a mes nul franc Ne prelaz ne baron,10,l-102v-2-8,102v,2,
40,En cité ne en ville Ne en religion,10,l-102v-2-9,102v,2,
41,Au tans que li francois viuoient en franchiſe,11,l-102v-2-10,102v,2,
42,Fu par eux mainte teꝛre Et gaigniee et conquiſe,11,l-102v-2-11,102v,2,
43,Et feſoient li rois Du tout a leur deuiſe,11,l-102v-2-12,102v,2,
44,Car on pꝛioit pour eus De cueꝛ en ſainte ygliſe,11,l-102v-2-13,102v,2,
45,L'oſeꝛoie bien dire Devant touz ceus de /Romme,12,l-102v-2-14,102v,2,
46,Que Dieux onnaroit plus Pour la voiz d'un preudome,12,l-102v-2-15,102v,2,
47,Ou pour une viellote Qui de bon cueꝛ le nomme,12,l-102v-2-16,102v,2,
48,Que pour tout loꝛ d'/Eſpaigne S'il eꝛt en une ſomme,12,l-102v-2-17,102v,2,
49,/Judas macabeus Dit encienement,13,l-102v-2-18,102v,2,
50,Que victoire n'eſt mie En grant mace d'argent,13,l-102v-2-19,102v,2,
51,N'en grant cheuaucheure N'en grant plenté de gent,13,l-103r-1-1,103r,1,
52,Aincois vient du ſeigneur Qui fiſt le firmament,13,l-103r-1-2,103r,1,
53,/Sainte ygliſe la noble Qui eſt /fille de roy,14,l-103r-1-3,103r,1,
54,/Eſpouſe /Jhesucriſt /Eſcole de la loy,14,l-103r-1-4,103r,1,
55,Cil qui l'onc aſſeruie Ont fait moult grant deſroy,14,l-103r-1-5,103r,1,
56,Ce a fait convoitiſe Et defaute de foy,14,l-103r-1-6,103r,1,
57,Conuoitiſe vault vault pis Que .i. ſerpens volans,15,l-103r-1-7,103r,1,
58,Tout le monde a honni Dont je ſui moult dolans,15,l-103r-1-8,103r,1,
59,Se /charlemagne fuſt en /France Ne ſe y fuſt /rollans,15,l-103r-1-9,103r,1,
60,N'eüſt pooir en fra[n]ce Ne /hyaumont /agoulant,15,l-103r-1-10,103r,1,
61,Ains puis que li diſiemes En pꝛis en ſainte ygliſe,16,l-103r-1-11,103r,1,
62,Ne fiſt /li rois de /France Riens qui l'eüſt empꝛiſe,16,l-103r-1-12,103r,1,
63,/Damiete ne /tunes Ne /pulle n'en fu pꝛiſe,16,l-103r-1-13,103r,1,
64,Ne n'en pꝛint /enagon /Li rois de /ſaint deniſe,16,l-103r-1-14,103r,1,
65,Oꝛ ſe gart bien chaſcuns Tant com en le penra,17,l-103r-1-15,103r,1,
66,Honnour joie et et victour Aus francois n'en venra,17,l-103r-1-16,103r,1,
67,Et ſi puet bien apꝛendꝛe Cil qui le maintendꝛa,17,l-103r-1-17,103r,1,
68,Par les choſes paſſees Ce qu'il en avenra,17,l-103r-1-18,103r,1,
69,Quant /artin lapoſtoile C'on apele /Symon.,18,l-103r-1-19,103r,1,
70,Donna au fil le roy Le regne d/aragon,18,l-103r-2-1,103r,2,
71,S'il li eüſt donne .xxx. Iours de pardon,18,l-103r-2-2,103r,2,
72,Il li eüſt miex valut Que faire ſi fait don.,18,l-103r-2-3,103r,2,
73,Onques ne vi diſieme Qui fuſt bien emploie,19,l-103r-2-4,103r,2,
74,Ne puis que /l'apoſtole En a ce aploiez,19,l-103r-2-5,103r,2,
75,Que li diſiemes fuſt Donnez ne otroiez,19,l-103r-2-6,103r,2,
76,Ne pot venir le terme Que il fuſt parpaiez,19,l-103r-2-7,103r,2,
