line_no,text,lg,l_id,folio,col,speaker
1,Ne ſai a quoi gentis homs penſe,1,l-281r-2-42,281r,2,
2,Qui vilain charge ſa deſpenſe,1,l-281r-2-43,281r,2,
3,Vilains de cuer de mal poꝛpens,1,l-281r-2-44,281r,2,
4,Ycis ne puet vëoir deſpens.,1,l-281r-2-45,281r,2,
5,Ainz ſamble c'on l'amaine pendꝛe,1,l-281v-1-1,281v,1,
6,Quant il voit ſon ſeignoꝛ deſpendꝛe,1,l-281v-1-2,281v,1,
7,Pour faire honneur ſon mal penſer,1,l-281v-1-3,281v,1,
8,N'en puet couvrir au deſpenſer,1,l-281v-1-4,281v,1,
9,Car chiere en fait triſte et penſiue,1,l-281v-1-5,281v,1,
10,Si n'eſt nus qui le deſpens ſiue,1,l-281v-1-6,281v,1,
11,Ne l'en hace tant va penſant,1,l-281v-1-7,281v,1,
12,D'oꝛdure eſt deſpers deſpenſant,1,l-281v-1-8,281v,1,
13,Car fuſt il es mains du pendeur,1,l-281v-1-9,281v,1,
14,Qui ne puet vëoir deſpendeur,1,l-281v-1-10,281v,1,
15,Bien het en honneur deſpendus,1,l-281v-1-11,281v,1,
16,Vilains deſpenſiers ſoit pendus,1,l-281v-1-12,281v,1,
17,Car ja honnour ne penſera,1,l-281v-1-13,281v,1,
18,En tout ce qu'il deſpenſera,1,l-281v-1-14,281v,1,
19,Tnat a vilaine la pensee,1,l-281v-1-15,281v,1,
20,En oꝛdure faire a pensee,1,l-281v-1-16,281v,1,
21,Qui par ſon mal apenſement,1,l-281v-1-17,281v,1,
22,Fait ſi vilains deſpenſement,1,l-281v-1-18,281v,1,
23,Qu'il n'entra en ſa deſpenſe ier,1,l-281v-1-19,281v,1,
24,Ne hui nus qui le deſpenſier,1,l-281v-1-20,281v,1,
25,Ne hace et dit ſ'on le pendoit,1,l-281v-1-21,281v,1,
26,Ce ſeroit pꝛex ſ'il deſpendoit,1,l-281v-1-22,281v,1,
27,Le ſien maint mal ſeroit penſanz,1,l-281v-1-23,281v,1,
28,Quant il l'autrui eſt deſpenſanz,1,l-281v-1-24,281v,1,
29,Qui recreaument le deſpent,1,l-281v-1-25,281v,1,
30,A ſon cuer toute oꝛdure apent,1,l-281v-1-26,281v,1,
31,Qui ainſi le va deſpendant,1,l-281v-1-27,281v,1,
32,Il va tout adez le pendant,1,l-281v-1-28,281v,1,
33,Pendus ſoit ſanz deſpendement,1,l-281v-1-29,281v,1,
34,Qui fait vilain deſpendement,1,l-281v-1-30,281v,1,
35,Dont on le ſouhaite pendu,1,l-281v-1-31,281v,1,
36,Vilainement a deſpendu,1,l-281v-1-32,281v,1,
37,Les biens dont il eſt deſpenſins,1,l-281v-1-33,281v,1,
38,Car a uilonie eſt penſins,1,l-281v-1-34,281v,1,
39,Com vilains de mal apenſez,1,l-281v-1-35,281v,1,
40,A autrui deſpenz deſpenſez,1,l-281v-1-36,281v,1,
