line_no,text,lg,l_id,folio,col,speaker
1,Je fui l'autrieꝛ a une feſte,1,l-26r-1-1,26r,1,
2,Au partir. me dolut la teſte,1,l-26r-1-2,26r,1,
3,Pour ce que je bus vins diveꝛs,1,l-26r-1-3,26r,1,
4,En mon chief monteꝛent li vers,1,l-26r-1-4,26r,1,
5,Qui me firent ce diſt diſteꝛ,1,l-26r-1-5,26r,1,
6,Que vous moꝛrez ci recoꝛdeꝛ,1,l-26r-1-6,26r,1,
7,Li Diex damours ſafeſte fiſt,1,l-26r-1-7,26r,1,
8,Mes noiſſe et contens la deſfiſt,1,l-26r-1-8,26r,1,
9,Des vins qui ce plet entameꝛent,1,l-26r-1-9,26r,1,
10,Et puis enſemble ſe mesleꝛent,1,l-26r-1-10,26r,1,
11,De bouche entreus ſe deſmentirent,1,l-26r-1-11,26r,1,
12,Et a bien pou ſe desmentirent,1,l-26r-1-12,26r,1,
13,Pour ce que chaſcun vouloit eſtre,1,l-26r-1-13,26r,1,
14,De plus honnoꝛe et le meſtre,1,l-26r-1-14,26r,1,
15,Biaune clameci et auceꝛre,1,l-26r-1-15,26r,1,
16,Miſtrent leſpee hoꝛs du fueꝛre,1,l-26r-1-16,26r,1,
17,Et cuidieꝛent faire vergoingne,1,l-26r-1-17,26r,1,
18,A saint iejan et a gacoingne,1,l-26r-1-18,26r,1,
19,Et dautre part a la rochelle,1,l-26r-1-19,26r,1,
20,Ains commanca la querelle,1,l-26r-1-20,26r,1,
21,Car chaſcun ſemiſt adeſfance,1,l-26r-1-21,26r,1,
22,Loꝛs fiſt Diex damour deſfance,1,l-26r-1-22,26r,1,
23,Q՚ plus ne sentremenaſcaſſent.,1,l-26r-2-1,26r,2,
24,Aincois leur reſpons. propoſaſſent.,1,l-26r-2-2,26r,2,
25,Sicomme a chaſcun pretendꝛoit,1,l-26r-2-3,26r,2,
26,Et ſur ce dꝛoit il leur rendꝛoit,1,l-26r-2-4,26r,2,
27,Selonc le miex que il ſaroit,1,l-26r-2-5,26r,2,
28,Et par le conſeil qu'il aroit,1,l-26r-2-6,26r,2,
29,Des vins qui venus ieſtoient,1,l-26r-2-7,26r,2,
30,Et de la pes sentremetroient,1,l-26r-2-8,26r,2,
31,A celle joꝛnee aſſenee,1,l-26r-2-9,26r,2,
32,Biaune iuint la lance levee,1,l-26r-2-10,26r,2,
33,Vin d'aucueꝛre et de clameci,1,l-26r-2-11,26r,2,
34,Chaſcun d'eulz a dis vés me ci,1,l-26r-2-12,26r,2,
35,Nous nous preſantons ſans delai,1,l-26r-2-13,26r,2,
36,Tous ceus furent d'une partie,1,l-26r-2-14,26r,2,
37,saint iehan ne ſoublia mie,1,l-26r-2-15,26r,2,
38,Et gaſcoingne qui li eſt pꝛés,1,l-26r-2-16,26r,2,
39,Eſt venue tantoſt apꝛés,1,l-26r-2-17,26r,2,
40,Et avec ce dꝛecier leur voille,1,l-26r-2-18,26r,2,
41,I vindꝛent anio et rochelle,1,l-26r-2-19,26r,2,
42,Ces .iiii. en ſemble bien ſetindꝛent,1,l-26r-2-20,26r,2,
43,Par devant le Dieu d'amours vindꝛent,1,l-26r-2-21,26r,2,
44,Qui ſeoit entre .iiii. vins,1,l-26r-2-22,26r,2,
45,Qui eſtoient meſtres des vins,1,l-26r-2-23,26r,2,
46,Ceſt vin grec et vin de granache,1,l-26r-2-24,26r,2,
47,Chaſcun ot foꝛree ganache,1,l-26r-2-25,26r,2,
48,Vin muſcadet. et vin de chipꝛe,1,l-26r-2-26,26r,2,
49,Veſtus decovuertures dyppꝛe,1,l-26r-2-27,26r,2,
50,Ces .iiii. a court furent venu,1,l-26r-2-28,26r,2,
51,Cil ſont au conſeil retenu,1,l-26r-2-29,26r,2,
52,Le Dieu d'amours cil coſtoient,1,l-26r-2-30,26r,2,
53,Et comme aſeſſour ſe ſeoient,1,l-26r-2-31,26r,2,
54,Adont fu fet commandement,1,l-26r-2-32,26r,2,
55,Par mi la court communement,1,l-26r-2-33,26r,2,
56,Que nan nifieꝛe ne boute,1,l-26r-2-34,26r,2,
57,Et que leur reſons eneſcoute,1,l-26r-2-35,26r,2,
58,Et par dela et par deca,1,l-26r-2-36,26r,2,
59,Adont aucueꝛre ce dꝛeca,1,l-26r-2-37,26r,2,
60,Comme pꝛocureur fonde,1,l-26r-2-38,26r,2,
61,Et des compaignons ot n [...]de,1,l-26v-1-1,26v,1,
62,Si par la contre saint iouan,1,l-26v-1-2,26v,1,
63,Qui pꝛocureur des ou an,1,l-26v-1-3,26v,1,
64,De ces compaignons eſtoit fet,1,l-26v-1-4,26v,1,
65,Aucueꝛre pꝛopoſa son fet,1,l-26v-1-5,26v,1,
66,Sire je ſuis .i. ancueꝛrois,1,l-26v-1-6,26v,1,
67,Que ſus tous vins doi eſtre rois,1,l-26v-1-7,26v,1,
68,Quar plus ſui foꝛs et enteſtans,1,l-26v-1-8,26v,1,
69,Et les antrailles eſchaufans,1,l-26v-1-9,26v,1,
70,Par ma foꝛce fas chiez doloir,1,l-26v-1-10,26v,1,
71,De robin et de marion,1,l-26v-1-11,26v,1,
72,Chanter par mainte region,1,l-26v-1-12,26v,1,
73,Je faiz gent tripeꝛ et ſaillir,1,l-26v-1-13,26v,1,
74,Et gueꝛroieꝛ et aſſaillir,1,l-26v-1-14,26v,1,
