line_no,text,lg,l_id,folio,col,speaker
1,Par un mardi au point du jour,1,l-390r-2-1,390r,2,
2,Me levai qu'ains ne fis ſejour,1,l-390r-2-2,390r,2,
3,L'an .xxx. ou moys de juing,1,l-390r-2-3,390r,2,
4,Si m'en aloie tout enjuing,1,l-390r-2-4,390r,2,
5,Par mi .i. veꝛgieꝛ veꝛdoient,1,l-390r-2-5,390r,2,
6,Et le chant d'un oiſſel ſuiuant,1,l-390r-2-6,390r,2,
7,Qui moult me faiſſoit eſioir,1,l-390r-2-7,390r,2,
8,Car gracieus ieꝛt a l'ouir,1,l-390r-2-8,390r,2,
9,De bꝛanche en bꝛanche voletoit,1,l-390r-2-9,390r,2,
10,Et de chanteꝛ ſ'esioiſſoit,1,l-390r-2-10,390r,2,
11,Si foꝛment qu'a ſon ioli ſon,1,l-390r-2-11,390r,2,
12,M'endoꝛmi deſous .i. buiſſon,1,l-390r-2-12,390r,2,
13,C'onques l'oiſſelet n'eſloinguai,1,l-390r-2-13,390r,2,
14,Mais en cel doꝛmir me ſongay,1,l-390r-2-14,390r,2,
15,Que je eſtoie a /bec oiſſel,1,l-390r-2-15,390r,2,
16,Ou /.karlemagne. et maint damoiſſel,1,l-390r-2-16,390r,2,
17,Ieꝛent alez eſbanoieꝛ,1,l-390r-2-17,390r,2,
18,La trouvai deſous .i. ioiſieꝛ,1,l-390r-2-18,390r,2,
19,Seant aſſez pꝛés de la poꝛte,1,l-390r-2-19,390r,2,
20,Raiſon une dame qui poꝛte,1,l-390r-2-20,390r,2,
21,Toute honneur en li depoꝛtant,1,l-390r-2-21,390r,2,
22,Qui moult ſ'aloit deſconfoꝛtant,1,l-390r-2-22,390r,2,
23,Car meſdis la pute poꝛtee,1,l-390r-2-23,390r,2,
24,De /court roumain. l'ot hoꝛs poꝛtee,1,l-390v-1-1,390v,1,
25,Oꝛ c'eſt chiez le conte en batue,1,l-390v-1-2,390v,1,
26,Triſte dolente et iracue,1,l-390v-1-3,390v,1,
27,Pour lui garantir a ſa court,1,l-390v-1-4,390v,1,
28,Mais elle a moi tantoſt acourt,1,l-390v-1-5,390v,1,
29,Ambedeus les iex leꝛmoiant,1,l-390v-1-6,390v,1,
30,Et ſus le ſiege veꝛdoiant,1,l-390v-1-7,390v,1,
31,Sous une ante de fruit chargie,1,l-390v-1-8,390v,1,
32,S'aſiſt les moy par compaignie,1,l-390v-1-9,390v,1,
33,Comme dame de bon afaire,1,l-390v-1-10,390v,1,
34,Et je enpꝛis grant joie a faire,1,l-390v-1-11,390v,1,
35,Car ſa compaignie oï moult chieꝛe,1,l-390v-1-12,390v,1,
36,Ainſi com je levai la chieꝛe,1,l-390v-1-13,390v,1,
37,Quant l'oï reconnue au parleꝛ,1,l-390v-1-14,390v,1,
38,Choiſſi deſus moi devaleꝛ,1,l-390v-1-15,390v,1,
39,Une tant groſſe et laide yraigne,1,l-390v-1-16,390v,1,
40,Que de la hydeur je me ſaingne,1,l-390v-1-17,390v,1,
41,Qui a une bꝛanche pendoit,1,l-390v-1-18,390v,1,
42,Par .i. fil dont elle aualoit,1,l-390v-1-19,390v,1,
43,Et rampoit de bas contremont,1,l-390v-1-20,390v,1,
44,De quoi je me merueillai moult,1,l-390v-1-21,390v,1,
45,Apres et que ce povoit eſtre,1,l-390v-1-22,390v,1,
46,Et qu'elle ieꝛt venue en ſi bel eſtre,1,l-390v-1-23,390v,1,
47,Ainſi que le bas deſcendoit,1,l-390v-1-24,390v,1,
48,La mouſtrai raiſon de mon doit,1,l-390v-1-25,390v,1,
49,Car moult eſtoit laide et enflee,1,l-390v-1-26,390v,1,
50,A la mouche c'eſt refrotee,1,l-390v-1-27,390v,1,
51,Ou pꝛis ot ſon pꝛemieꝛ venin,1,l-390v-1-28,390v,1,
52,Si eſgardaſmes ſon chemin,1,l-390v-1-29,390v,1,
53,Oꝛ entendez quelle aloit querre,2,l-390v-1-30,390v,1,
54,Un crapout venime en terre,2,l-390v-1-31,390v,1,
55,Qui couchiez ieꝛt a la rouſee,2,l-390v-1-32,390v,1,
56,Deſus l'eꝛbe pence enueꝛſee,2,l-390v-1-33,390v,1,
57,Pour avoir la douceur du vent,2,l-390v-1-34,390v,1,
58,Et li yraigne moult foꝛment,2,l-390v-1-35,390v,1,
59,De ſa pance ou pis le piquoit,2,l-390v-1-36,390v,1,
60,Si foꝛt que tout l'enuenimoit,2,l-390v-1-37,390v,1,
61,Et li crapous tantoſt le cours,2,l-390v-1-38,390v,1,
62,Couroit querre au plantain ſecours,2,l-390v-2-1,390v,2,
63,Dont fait avoit ſa pourueance,2,l-390v-2-2,390v,2,
64,Et y teꝛdoit poitrine et pence,2,l-390v-2-3,390v,2,
65,Tant que tous li venins iſſoit,2,l-390v-2-4,390v,2,
66,De ſon coꝛs auſin gariddoit,2,l-390v-2-5,390v,2,
67,Tantoſt qu'a l'eꝛbe eſtoit frotez,2,l-390v-2-6,390v,2,
68,Eſtoit de touz maus neſtoiez,2,l-390v-2-7,390v,2,
69,Et quant il eſtoit bien gueꝛis,2,l-390v-2-8,390v,2,
70,Du raleꝛ n'eſtoit pas marris,2,l-390v-2-9,390v,2,
71,Veꝛs l'iraigne mais tout courant,2,l-390v-2-10,390v,2,
72,S'en retoꝛnet vers li courant,2,l-390v-2-11,390v,2,
73,Ainſſi les vi .iii. fois ou .iiii.,2,l-390v-2-12,390v,2,
74,Enſemble piquieꝛ et combatre,2,l-390v-2-13,390v,2,
75,Car li crapous tout dis ſ'ailloit,2,l-390v-2-14,390v,2,
76,A l'eꝛre ou il ſe refrotoit,2,l-390v-2-15,390v,2,
77,De quoi il eſtoit pourveus,2,l-390v-2-16,390v,2,
78,Mais il fu percus et veus,2,l-390v-2-17,390v,2,
79,De l'iraigne oꝛrés comment,2,l-390v-2-18,390v,2,
80,Elle tray laidement,2,l-390v-2-19,390v,2,
81,Et comme elle ot pute pensee,2,l-390v-2-20,390v,2,
