line_no,text,lg,l_id,folio,col,speaker
1,Qui ce livre vouldꝛa entendꝛe,1,l-171v-1-1,171v,1,
2,Moult de bien y poꝛra apꝛendꝛe,1,l-171v-1-2,171v,1,
3,Que amaſſer plenté d'avoir,1,l-171v-1-3,171v,1,
4,Et qui tendꝛa ces paraboles,1,l-171v-1-4,171v,1,
5,Ces examples et ces friuoles,1,l-171v-1-5,171v,1,
6,A moquerie ne a truffe,1,l-171v-1-6,171v,1,
7,Bien ait qui li donra buffe,1,l-171v-1-7,171v,1,
8,Un leu qui fu de male part,2,l-171v-1-8,171v,1,
9,Glout et enfrun et de mal art,2,l-171v-1-9,171v,1,
10,S'en oſſa par meſauenture,2,l-171v-1-10,171v,1,
11,De l'os d'une chieure moult dure,2,l-171v-1-11,171v,1,
12,Quant en oſſe fu ſi requiſt,2,l-171v-1-12,171v,1,
13,Les beſtes ſauvages et diſt.,2,l-171v-1-13,171v,1,
14,Que qui l'os oſter li poꝛra,2,l-171v-1-14,171v,1,
15,Quant guerredon li en fera,2,l-171v-1-15,171v,1,
16,Les beſtes parlerent enſamble,2,l-171v-1-16,171v,1,
17,Par foy diſt renart il me ſamble,2,l-171v-1-17,171v,1,
18,Que la grue bien le guerroit,2,l-171v-1-18,171v,1,
19,Se entremetre ſ'en voloit,2,l-171v-1-19,171v,1,
20,Le leu le commence a pꝛier,2,l-171v-1-20,171v,1,
21,Quele ſe haſt de li aidier,2,l-171v-1-21,171v,1,
22,Et quanqu'ele demandera,2,l-171v-1-22,171v,1,
23,Par ſa foy il li paiera,2,l-171v-1-23,171v,1,
24,La grue ſi crut ſa parole,3,l-171v-1-24,171v,1,
25,Sa teſte et ſon col comme fole,3,l-171v-1-25,171v,1,
26,En la gueule au leu a lanciee,3,l-171v-1-26,171v,1,
27,Hoꝛs en treſt l'os ſi ſ'eſt dꝛeciee,3,l-171v-2-1,171v,2,
28,Et dit au leu que il li doit,3,l-171v-2-2,171v,2,
29,Grant loier et que il le poit,3,l-171v-2-3,171v,2,
30,Diſt le leu moult t'en dois pꝛoiſier,3,l-171v-2-4,171v,2,
31,Quant de la gueule a l'adverſier,3,l-171v-2-5,171v,2,
32,Es iſſue ſans mal avoir,3,l-171v-2-6,171v,2,
33,Autre loier n'en pues avoir,3,l-171v-2-7,171v,2,
34,Qui a tel ſert il doit apꝛendꝛe,4,l-171v-2-8,171v,2,
35,Que guerredon n'en doit atendꝛe,4,l-171v-2-9,171v,2,
36,Mais douter ſe doit de domage,4,l-171v-2-10,171v,2,
37,Et garder ſ'en ſe il eſt ſage,4,l-171v-2-11,171v,2,
38,Bataille fu d'oiſiaus volans,5,l-171v-2-12,171v,2,
39,Encontre les beſtes courans,5,l-171v-2-13,171v,2,
40,Grant et moꝛtel et perilleuſe,5,l-171v-2-14,171v,2,
41,Et de chaſcune part douteuſe,5,l-171v-2-15,171v,2,
42,La leur fu plaine de boiſdie,5,l-171v-2-16,171v,2,
43,De barat et de tricherie,5,l-171v-2-17,171v,2,
44,Le chat hua a ſon lait coꝛs,5,l-171v-2-18,171v,2,
45,Qui puis en fu a honte hoꝛs,5,l-171v-2-19,171v,2,
46,Il ſ'a penſa que il faindꝛoit,5,l-171v-2-20,171v,2,
47,A chaſcun quides ſiens ſeroit,5,l-171v-2-21,171v,2,
48,Et quant enſamble chapleront,5,l-171v-2-22,171v,2,
49,De ceulz ſe tendꝛa que vaincront,5,l-171v-2-23,171v,2,
50,Aus oꝛeilles et a la teſte,5,l-171v-2-24,171v,2,
51,Sambloit miex .i. chat qu'autre beſte,5,l-171v-2-25,171v,2,
52,Aus eles a oiſel ſambloit,5,l-171v-2-26,171v,2,
