line_no,text,lg,l_id,folio,col,speaker
1,Dieu et /ſa douce mere Q՚ chaſcun doit amer,1,l-231r-1-1,231r,1,
2,Et /le baron ſaint iaque De qui ie veul parler,1,l-231r-1-2,231r,1,
3,Veille ſauuer touz ceus Qui voudꝛont eſcouter,1,l-231r-1-3,231r,1,
4,.I. merueilleus example Ou bon feroit penſer,1,l-231r-1-4,231r,1,
5,D'une ml՚t noble dame Fame de cheualier,2,l-231r-1-5,231r,1,
6,Que l'ennemi d'enfer Fiſt ſoutilment glacier,2,l-231r-1-6,231r,1,
7,En mi ꝯ ſentement De moꝛtelment pechier,2,l-231r-1-7,231r,1,
8,Mes ne fiſt pas le fet Ou ne li voult laiſſier,2,l-231r-1-8,231r,1,
9,Nō pourqñt fait l'eüſt Mais n'e nout pas laiſir,3,l-231r-1-9,231r,1,
10,Trop laidement vouloit Son dꝛoit ſeigneur trair,3,l-231r-1-10,231r,1,
11,Mais puis ſ'en repenti Si l'en conuint ſouffrir,3,l-231r-1-11,231r,1,
12,Crueuſe penitance Ꝯ vous poꝛrez oir,3,l-231r-1-12,231r,1,
13,Uous ſauez bn̄ c'ō dit En repꝛouuer ſouuent,4,l-231r-1-13,231r,1,
14,Qui eſt bn̄ ne ſe mueue Mes qui a mal ſe ſent,4,l-231r-1-14,231r,1,
15,Tantoſt ſ'en doit geter S'il eſt en aiſement,4,l-231r-1-15,231r,1,
16,Ie le vous di pour tant Belle tres douce gent,4,l-231r-1-16,231r,1,
17,Que qui eſt en pechié Tantoſt ſ'en doit iſſir,5,l-231r-1-17,231r,1,
18,A chëoir n'a pas honte Si grant ꝯme en geſir,5,l-231r-1-18,231r,1,
19,Aucuns ſe laiſſent Si en pechié en durcir,5,l-231r-1-19,231r,1,
20,Que la grace de dieu Ne puent reuenir,5,l-231r-2-1,231r,2,
21,En la guyſe c'ō dit Du /roy antiocus,6,l-231r-2-2,231r,2,
22,Qui cuidoit plus valoir Que dieu qui eſt laſſus,6,l-231r-2-3,231r,2,
23,De treſtous maus eſtoit Garniz et reuetus,6,l-231r-2-4,231r,2,
24,Ne pꝛiſoit tout le monde Valliſſant .ij. feſtus,6,l-231r-2-5,231r,2,
25,Il voult les ſerians dieu En touz lieus tourmenter,7,l-231r-2-6,231r,2,
26,Plus fauſſe creature Ne pouoit on trouuer,7,l-231r-2-7,231r,2,
27,/Iheruſalem cuida Vne foiz grauenter,7,l-231r-2-8,231r,2,
28,Mes /le douz roys des roys Ne le voult en durer,7,l-231r-2-9,231r,2,
29,Dieu laiſſe bn̄ regner A la foyz faus gloutons,8,l-231r-2-10,231r,2,
30,Et leur donne des biens Tempoꝛielz plus qu'aus bons,8,l-231r-2-11,231r,2,
31,Mes en la fin ont il De leur fais guerredons,8,l-231r-2-12,231r,2,
32,Ainſi ꝯme le roy De qui nous vous parlons,8,l-231r-2-13,231r,2,
33,Qui fiſt parmi ſa terre Mander toute ſa gent,9,l-231r-2-14,231r,2,
34,Car le pueple de dieu Cuidoit metre a toꝛment,9,l-231r-2-15,231r,2,
35,On dit que ceuz quiſuefrent Aſſez et longuement,9,l-231r-2-16,231r,2,
36,Que qñt ce vient aufoꝛt Trop euurent cruelment,9,l-231r-2-17,231r,2,
37,Tout en ce point fiſt diex Du roy que ie vous dis,10,l-231r-2-18,231r,2,
38,Qñt vit qu'en ſon malice Eſtoit ſi en durcis,10,l-231r-2-19,231r,2,
39,Vn mal li enuoia Dont il fu ſi acquis,10,l-231v-1-1,231v,1,
40,Qu'il n'out en tout ſon oſt Garſon tant fuſt chetis,10,l-231v-1-2,231v,1,
