line_no,text,lg,l_id,folio,col,speaker
1,N'Eſt pas oiſeus qui fait bone oeure,1,l-184r-2-1,184r,2,
2,Li trouuerres qui Sa bouche oeure,1,l-184r-2-2,184r,2,
3,Pour bone oeure cōter ⁊ dire,1,l-184r-2-3,184r,2,
4,Mais qui biē treuue plaīs eſt d'ire,1,l-184r-2-4,184r,2,
5,Qñt il n'a de matere point,1,l-184r-2-5,184r,2,
6,Ioliuetez ſemont ⁊ point,1,l-184r-2-6,184r,2,
7,Mon cuer de dire aucū biau dit,1,l-184r-2-7,184r,2,
8,Mais n'ai de coy car tout eſt dit,1,l-184r-2-8,184r,2,
9,Foꝛs ce que de nouuel auiēt,1,l-184r-2-9,184r,2,
10,S'il ſcet auēture nouuele,1,l-184r-2-10,184r,2,
11,Qⁱl face tāt q՚ la nouuele,1,l-184r-2-11,184r,2,
12,Qⁱl face tāt q՚ ꝑ tout aille,1,l-184r-2-12,184r,2,
13,Et q՚ sō gros frācois détaille,1,l-184r-2-13,184r,2,
14,Poꝛ faire oeure plꝰ deliaie,1,l-184r-2-14,184r,2,
15,Poꝛ ce ai ma lāge liaie,1,l-184r-2-15,184r,2,
16,Qⁱ q՚ mētiēgne a a penſé,1,l-184r-2-16,184r,2,
17,Poꝛ ce ay de nouuel pēſé,1,l-184r-2-17,184r,2,
18,Car tel matiere ay poꝛpēſee,1,l-184r-2-18,184r,2,
19,Qⁱ onq՚s n'ot en ſa pēſee,1,l-184r-2-19,184r,2,
20,Ne ſarrazins ne creſtiens,1,l-184r-2-20,184r,2,
21,Poꝛ ce q՚ moꝛs eſt /creſtiens,1,l-184r-2-21,184r,2,
22,De /troyes cil qͥ tant ot pꝛis,1,l-184r-2-22,184r,2,
23,De trouuer ay hardem̄t pͥs,1,l-184r-2-23,184r,2,
24,De mot a mot metre ē eſcript,1,l-184r-2-24,184r,2,
25,Le toꝛnoiem̄t /antecriſt.,1,l-184v-1-1,184v,1,
26,Il auint ap՚s cele ēpͥſe,2,l-184v-1-2,184v,1,
27,Q՚ li frācois oꝛent ēpͥſe,2,l-184v-1-3,184v,1,
28,Conter /le ꝯte de /chāpaigne,2,l-184v-1-4,184v,1,
29,/Li rois looys en /bꝛetaigne,2,l-184v-1-5,184v,1,
30,Mena sō oſt sās poīt d'aloīgne,2,l-184v-1-6,184v,1,
31,Q՚ moꝛs eſt /li quens de /boloigne,2,l-184v-1-7,184v,1,
32,Dōt li frācois oꝛēt fait chief,2,l-184v-1-8,184v,1,
33,Loꝛs trouuerēt a gñt meſchief,2,l-184v-1-9,184v,1,
34,Li mēbꝛe et foible et mal bailli,2,l-184v-1-10,184v,1,
35,Qñt le chief es mēbꝛes failli,2,l-184v-1-11,184v,1,
36,Et ſe treſtrent treſtuit arriers,2,l-184v-1-12,184v,1,
37,Foꝛs mauclers qⁱ tāt eſtoit fiers,2,l-184v-1-13,184v,1,
38,Qu'a m՚ci ne daignoit venir,2,l-184v-1-14,184v,1,
39,Biē cuida /bꝛetaigne tenir,2,l-184v-1-15,184v,1,
40,Cōtre /le roy ꝑ sō deſroy,2,l-184v-1-16,184v,1,
41,Cō cil qui auoit cuer de roi,2,l-184v-1-17,184v,1,
42,Et qⁱ eſtoit plain iuſq̃ leur,2,l-184v-1-18,184v,1,
43,De hardem̄t ⁊ de valeur,2,l-184v-1-19,184v,1,
44,De courtoiſie ⁊ de largece,2,l-184v-1-20,184v,1,
45,Loꝛs ne me pot tenir perece,2,l-184v-1-21,184v,1,
46,D'aler en l'oſt /le roy de /frāce,2,l-184v-1-22,184v,1,
47,Tāt fis en cel oſt demoꝛāce,2,l-184v-1-23,184v,1,
48,Q՚ de /bꝛetaigne fui ꝑtis,2,l-184v-1-24,184v,1,
49,/Li rois de /frāce ⁊ fu baſtis,2,l-184v-1-25,184v,1,
50,Li acoꝛt de la gñt deſcoꝛde,2,l-184v-1-26,184v,1,
51,Q՚ cilz roys ſi cō le recoꝛde,2,l-184v-1-27,184v,1,
52,Auoit au /cōte de /bꝛetaigne,2,l-184v-1-28,184v,1,
53,Poꝛ ce q՚ n'ert pas ml՚t loītaigne,2,l-184v-1-29,184v,1,
54,La foꝛeſt de /bꝛoceliande,2,l-184v-1-30,184v,1,
55,Mō cuer q՚ ſouuēt m'ē cōmāde,2,l-184v-1-31,184v,1,
56,Faire autre choſe q՚ mō pꝛeu,2,l-184v-1-32,184v,1,
57,Me fiſt faire ainſi cōme veü,2,l-184v-1-33,184v,1,
58,Q՚ en /bꝛoceliande iroie,2,l-184v-1-34,184v,1,
59,Ie m'ētoꝛnai ⁊ pͥs ma voie,2,l-184v-1-35,184v,1,
60,V՚s la foꝛeſt sās plꝰ atēdꝛe,2,l-184v-1-36,184v,1,
61,Car la veité voloie apꝛēdꝛe,2,l-184v-1-37,184v,1,
62,De la perilleuſe fonteigne,2,l-184v-1-38,184v,1,
63,.I. eſpie ou ot fer d'andāgne,2,l-184v-1-39,184v,1,
64,Dōt la meure n'eſtoit pas trouble,2,l-184v-2-1,184v,2,
65,Et ot haubert a mele double,2,l-184v-2-2,184v,2,
66,Poꝛte qⁱ puis m'oꝛent meſtier,2,l-184v-2-3,184v,2,
67,Sās tenir voie ne sētier,2,l-184v-2-4,184v,2,
68,Cheuauchai .iiij. ioꝛs ētiers,2,l-184v-2-5,184v,2,
69,Sans tenir voie ne sētiers.,2,l-184v-2-6,184v,2,
70,Q՚ ꝑmi vne gaſte lāde,2,l-184v-2-7,184v,2,
71,Me mena en /bꝛoceliāde,2,l-184v-2-8,184v,2,
72,Qⁱ ml՚t eſt eſpeſſe et obſcure,2,l-184v-2-9,184v,2,
73,En la foꝛeſt par auēture,2,l-184v-2-10,184v,2,
74,Ꝑdi laſſens de mō ſentier,2,l-184v-2-11,184v,2,
75,Li ſoleus ſe voloit couch՚,2,l-184v-2-12,184v,2,
