line_no,text,lg,l_id,folio,col,speaker
1,/TRes haute dame Belle et bonne,1,l-265r-2-101,265r,2,
2,Au baptiſier qui miſt non /bone,1,l-265r-2-102,265r,2,
3,Voir diſt ſanz faute ne mēti,1,l-265r-2-103,265r,2,
4,Car bone grace ⁊ merci,1,l-265r-2-104,265r,2,
5,Auez ⁊ uraie honeſte,1,l-265r-2-105,265r,2,
6,Biau maītieng auec loiauté,1,l-265r-2-106,265r,2,
7,Simplece de cuer ⁊ raisō,1,l-265v-1-1,265v,1,
8,Sens ſauoir ⁊ diſcrecion,1,l-265v-1-2,265v,1,
9,De pꝛis d'onneur eſtes bn̄nee,1,l-265v-1-3,265v,1,
10,⁊ ꝑ foꝛtune deſtinee,1,l-265v-1-4,265v,1,
11,Qⁱ voꝰ fait ē toꝰ bn̄s mont՚,1,l-265v-1-5,265v,1,
12,⁊ qͥ adꝛoit voudꝛoit louer,1,l-265v-1-6,265v,1,
13,Les bn̄s q՚ voꝰ dōnanature,1,l-265v-1-7,265v,1,
14,⁊ diex qⁱ voꝰ fiſt creature,1,l-265v-1-8,265v,1,
15,⁊ foꝛtune qui ne empire,1,l-265v-1-9,265v,1,
16,Vos bn̄s ſe homs les voloit dire,1,l-265v-1-10,265v,1,
17,Anq՚s ſambleroit flaterie,1,l-265v-1-11,265v,1,
18,Car bonté biauté courtoiſie,1,l-265v-1-12,265v,1,
19,Vꝰ dōnerēt treſtout ē ſamble,1,l-265v-1-13,265v,1,
20,⁊ ne eſt nus qⁱ ſe deſſamble,1,l-265v-1-14,265v,1,
21,Tant yiſt chaſcūs acoꝛdans,1,l-265v-1-15,265v,1,
22,Mais diex qui eſt le plꝰ poiſſās,1,l-265v-1-16,265v,1,
23,Q՚ n'eſt nature ne foꝛtune,1,l-265v-1-17,265v,1,
24,Vꝰ fiſt de treſtoꝰ bn̄s ꝯ mune,1,l-265v-1-18,265v,1,
25,P˞ quoi eſtes de pꝛis ꝑ faite,1,l-265v-1-19,265v,1,
26,Si gardez font eſtes atraite,1,l-265v-1-20,265v,1,
27,Du roy des roys ꝑ sō haut pͥs,1,l-265v-1-21,265v,1,
28,De /hebaigne qͥ a touz dis,1,l-265v-1-22,265v,1,
29,Honnour aſoi a eſpouſee,1,l-265v-1-23,265v,1,
30,Celui qⁱ a la renōmee,1,l-265v-1-24,265v,1,
31,De largeſce ⁊ de hardem̄t,1,l-265v-1-25,265v,1,
32,Celui qⁱ regne loiaum̄t,1,l-265v-1-26,265v,1,
33,Celui qui fait chlr՚ie,1,l-265v-1-27,265v,1,
34,⁊ des pꝛeuz la bachelerie,1,l-265v-1-28,265v,1,
35,A il faite ꝑmi la terre,1,l-265v-1-29,265v,1,
36,Celui qͥ eſt noꝛriz ē guerre,1,l-265v-1-30,265v,1,
37,⁊ ꝑ armes apͥz ⁊ los,1,l-265v-1-31,265v,1,
38,Celui qⁱ ait du coꝛs repos,1,l-265v-1-32,265v,1,
39,⁊ p˞ hōneur voult ſouffrir pāine,1,l-265v-1-33,265v,1,
40,Celui qⁱ eſt en la fōtaine,1,l-265v-1-34,265v,1,
41,D'amoꝛs q՚ ſert de coꝛpz ⁊ d'ame,1,l-265v-1-35,265v,1,
42,P˞ quoi y eſt raiſons haute dame,1,l-265v-1-36,265v,1,
43,Pꝰ q՚ bons arbꝛes fait bō fruit,1,l-265v-1-37,265v,1,
44,Vꝰ ꝑ bon dꝛoit ꝯme ie cuit,1,l-265v-1-38,265v,1,
45,Bōne du tout deuez bn̄ eſtre,1,l-265v-2-1,265v,2,
46,Pꝰ diex de bō cuer voꝰ fiſt neſtͤ,1,l-265v-2-2,265v,2,
47,A cui de bonté reſamblez,1,l-265v-2-3,265v,2,
48,Dont dame pꝰ q՚ voꝰ auez,1,l-265v-2-4,265v,2,
