line_no,text,lg,l_id,folio,col,speaker
1,EN lonneur de /la dꝛoiturieꝛe,1,l-52r-2-1,52r,2,
2,/Dame de paradis Poꝛtieꝛe,1,l-52r-2-2,52r,2,
3,/La haulte royne des ciex,1,l-52r-2-3,52r,2,
4,/De uirginité clacelieꝛe,1,l-52r-2-4,52r,2,
5,Feꝛay .i. dit ē mamanieꝛe,1,l-52r-2-5,52r,2,
6,En mon ꝯmancemē ſoit diex,1,l-52r-2-6,52r,2,
7,Qⁱ eſt urais ꝑes ⁊ urai fiex,1,l-52r-2-7,52r,2,
8,Qⁱl weille eſtre v՚s moi piex,1,l-52r-2-8,52r,2,
9,Combn̄ qñ pechié le requieꝛe,1,l-52r-2-9,52r,2,
10,Q՚ plesāt puiſt eſtre atoꝰ ciex,1,l-52r-2-10,52r,2,
11,Qⁱ loꝛrōt qu'il en vaillēt miex,1,l-52r-2-11,52r,2,
12,Oꝛ weille il oir ma pͥeꝛe,1,l-52r-2-12,52r,2,
13,Aue. /dame dumilite,2,l-52r-2-13,52r,2,
14,/Fontaine de toute bonté,2,l-52r-2-14,52r,2,
15,De la ſouueꝛaine deyte,2,l-52r-2-15,52r,2,
16,Sans coꝛrompꝛe virginité,2,l-52r-2-16,52r,2,
17,Peus le fil dieu conceuoir,2,l-52r-2-17,52r,2,
18,Gñt pitié le fiſt eſmouuoir,2,l-52r-2-18,52r,2,
19,A ce qu'il enpꝛiſt le vouloir,2,l-52r-2-19,52r,2,
20,De pꝛendꝛe entoi humanite,2,l-52r-2-20,52r,2,
21,Et ille te fiſt a ſauoir,2,l-52r-2-21,52r,2,
22,Ꝑ /langre qui tendit le vouloir,2,l-52r-2-22,52r,2,
23,Autemple qñt te dit aue,2,l-52r-2-23,52r,2,
24,/Maria. qui ton non ſaura,3,l-52v-1-1,52v,1,
25,Et doucement le loeꝛa,3,l-52v-1-2,52v,1,
26,/Meꝛe a/roy ih՚ucriſt pitex,3,l-52v-1-3,52v,1,
27,Sanz faillir trouueꝛ ipoꝛra,3,l-52v-1-4,52v,1,
28,Amours ceꝛtes bn̄ lendēpta,3,l-52v-1-5,52v,1,
29,Qñt en tō coꝛps fu ces oſtiex,3,l-52v-1-6,52v,1,
30,Ꝑ ce deuint il hōs chr̃nieus,3,l-52v-1-7,52v,1,
31,Ml՚t en fumes tous eureus,3,l-52v-1-8,52v,1,
32,Q˜r moꝛt tous nous racheta,3,l-52v-1-9,52v,1,
33,Qñt on ꝑca ces maīs declous,3,l-52v-1-10,52v,1,
34,En crois ou mourut ē goiſſous,3,l-52v-1-11,52v,1,
35,Tout noiant tes iex /maria,3,l-52v-1-12,52v,1,
