line_no,text,lg,l_id,folio,col,speaker
1,GIeffroy qui voit q՚ la matire,1,l-143r-1-1,143r,1,
2,De ceſtui mōde mal ſ'atire,1,l-143r-1-2,143r,1,
3,Faīdꝛe veult matire nouele,1,l-143r-1-3,143r,1,
4,Selonc ce q՚ diex le reuele,1,l-143r-1-4,143r,1,
5,D'un ſaint q՚ l'ē doit aourer,1,l-143r-1-5,143r,1,
6,Deuotem̄t ⁊ honoꝛer,1,l-143r-1-6,143r,1,
7,Car il eſt ꝑ tout renōmez,1,l-143r-1-7,143r,1,
8,Et cilz eſt /.s՚. baccus nōmez,1,l-143r-1-8,143r,1,
9,L'en fait feſte de pluiſeurs ſaīs,1,l-143r-1-9,143r,1,
10,Mais /.s՚. baccys ſoit clers ⁊ ſaīs,1,l-143r-1-10,143r,1,
11,Fait ⁊ fait a de v՚tꝰ maītes,1,l-143r-1-11,143r,1,
12,Et plus q՚ ne fiſt .s՚. ne ſaītes,1,l-143r-1-12,143r,1,
13,Et qui ſes poīnes ꝯteroit,1,l-143r-1-13,143r,1,
14,Plꝰ gñt martyr le trouueroit,1,l-143r-1-14,143r,1,
15,Q՚nul ſaint dōt l'ē volt pꝰ lire,1,l-143r-1-15,143r,1,
16,Et poꝛ ce ail qñt au voir dire,1,l-143r-1-16,143r,1,
17,Plus gñt loier en ꝑadis,1,l-143r-1-17,143r,1,
18,Q՚ ſaīt nul qⁱ la fuſt iadis,1,l-143r-1-18,143r,1,
19,Ne qͥ puiſt iamais auſſīc eſtre,1,l-143r-1-19,143r,1,
20,Et pour miex la choſe ꝯneſtre,1,l-143r-1-20,143r,1,
21,Dire voꝰ veil ſa ſaīte vie,1,l-143r-1-21,143r,1,
22,Si q՚ chaſcūs y eſtudie,1,l-143r-1-22,143r,1,
23,Ciſt /ſains baccus ſelōc l'yſtoire,2,l-143r-1-23,143r,1,
24,D'oultremer uint,2,l-143r-1-24,143r,1,
25,C'eſt choſe voire.,2,l-143r-1-25,143r,1,
26,D'ū pays qͥ ml՚t eſt loe,2,l-143r-1-26,143r,1,
27,Nez d'une fille qu'ot /Noue,2,l-143r-2-1,143r,2,
28,Qⁱ vīgne fu loꝛs apellee,2,l-143r-2-2,143r,2,
29,Dont le nō ⁊ larenōmee,2,l-143r-2-3,143r,2,
30,Eſt alee ꝑ toꝰ pays.,2,l-143r-2-4,143r,2,
31,Si n'ē eſt pas ſon filz hays.,2,l-143r-2-5,143r,2,
32,C'eſt /.s՚. baccus q՚ ie voꝰ nōme,2,l-143r-2-6,143r,2,
33,Mais l'ē doit am՚ chaſcū home,2,l-143r-2-7,143r,2,
34,A .s՚. baccus va l'ē req՚rre,2,l-143r-2-8,143r,2,
35,Oultremer et ꝑ toute t՚re,2,l-143r-2-9,143r,2,
36,Sa ſaītee ſi deſclairie,2,l-143r-2-10,143r,2,
37,Car il fait miracles ⁊ ſignes,2,l-143r-2-11,143r,2,
38,Tel c'onq՚s ſaint ne fiſt ſi dignes,2,l-143r-2-12,143r,2,
39,Les muez fait jangoillier,3,l-143r-2-13,143r,2,
40,Et les non veans ro oillier,3,l-143r-2-14,143r,2,
41,Les coꝛrouciez fait eſioir,3,l-143r-2-15,143r,2,
42,Et les contrais coꝛre ⁊ foir,3,l-143r-2-16,143r,2,
43,Les deſconfoꝛtez il ꝯfoꝛte,3,l-143r-2-17,143r,2,
44,A ceꝰ q՚ ꝯme moꝛt l'ēpoꝛte,3,l-143r-2-18,143r,2,
45,Fait il l'esꝑit reuenir,3,l-143r-2-19,143r,2,
46,Couleur et bō ſanc maītenir,3,l-143r-2-20,143r,2,
47,Et les malades ſeult aidier,3,l-143r-2-21,143r,2,
48,Et les aduocas fait plaidier,3,l-143r-2-22,143r,2,
49,Et ſi fait les couars hardis,3,l-143r-2-23,143r,2,
50,Et les ꝑeceꝰ ⁊ tardis,3,l-143r-2-24,143r,2,
51,Fait il aler iſnelem̄t,3,l-143r-2-25,143r,2,
52,Et aguiſe l'entēdem̄t,3,l-143r-2-26,143r,2,
53,Et a ceulz qͥ li font out˜ge,3,l-143r-2-27,143r,2,
54,Le ſens oſte et ꝑler ē dage,3,l-143r-2-28,143r,2,
55,Ꝯ oiſel les fait puis les bat,3,l-143r-2-29,143r,2,
56,Si qu'aterreius les abat,3,l-143r-2-30,143r,2,
57,Et les fait ꝯ demoniacles,3,l-143r-2-31,143r,2,
58,Ne ſont ce pas doute ꝯmiracles,3,l-143r-2-32,143r,2,
59,Seigniez voꝰ ⁊ recōmādez,3,l-143r-2-33,143r,2,
60,A dieu ⁊ g˜ce demādez,3,l-143r-2-34,143r,2,
61,A /s՚ baccus ſi qͥl la face,3,l-143r-2-35,143r,2,
62,Car il a ſi tres douce face,3,l-143r-2-36,143r,2,
63,Qⁱl oīt les coꝛps ⁊ aſſouage,3,l-143r-2-37,143r,2,
64,De toute doleur ⁊ malage.,3,l-143r-2-38,143r,2,
65,Mais li dyables ēuieus,3,l-143v-1-1,143v,1,
66,Qui tous ioꝛs eſtmalicieus,3,l-143v-1-2,143v,1,
67,Ꝑ fauſſeté de mal eſtude,3,l-143v-1-3,143v,1,
68,/Sains bacus deſraciner cuide,3,l-143v-1-4,143v,1,
69,Et li metre a deſtruction,3,l-143v-1-5,143v,1,
70,Ꝑ fole conſpiration.,3,l-143v-1-6,143v,1,
71,Et aīſi ot en tel man՚e,3,l-143v-1-7,143v,1,
72,Cō /ih՚ucriſt ca en arriere,3,l-143v-1-8,143v,1,
73,Ꝑ les autres ſains creſtiēs,3,l-143v-1-9,143v,1,
74,Voult deſtruire /valeriens,3,l-143v-1-10,143v,1,
75,/Neron et autre ē pereeur,3,l-143v-1-11,143v,1,
76,Et li p՚uoſt ⁊ li maieur,3,l-143v-1-12,143v,1,
77,Et les creſtiēs martrierēt,3,l-143v-1-13,143v,1,
78,Et diu՚ſem̄t les liurerent,3,l-143v-1-14,143v,1,
79,A moꝛt poꝛ la creſtiēte,3,l-143v-1-15,143v,1,
80,Q՚ diex auoit fait ⁊ plāte,3,l-143v-1-16,143v,1,
81,Auſſīc le maluais c'eſt le ꝯte,3,l-143v-1-17,143v,1,
82,Cuide a /.S՚. bacus faire li ōte,3,l-143v-1-18,143v,1,
83,Et a mene nouuiaꝰ tyrans,3,l-143v-1-19,143v,1,
84,La t՚re loꝛ fair fouir ans,3,l-143v-1-20,143v,1,
85,Poꝛ /S՚ bacus deſraciner,3,l-143v-1-21,143v,1,
86,Et metre a moꝛt ⁊ afiner,3,l-143v-1-22,143v,1,
87,Et ˞ppꝛe inſtrum̄s l'ot baillie,3,l-143v-1-23,143v,1,
88,Ꝑ cui l'ē le trēche ⁊ t˜uaille,3,l-143v-1-24,143v,1,
89,Hé las ſi n'eſt il mie rous,3,l-143v-1-25,143v,1,
90,Mais sāc mellez eſt de coꝛroꝰ,3,l-143v-1-26,143v,1,
91,Li cuers li font ou coꝛps ſeuer,3,l-143v-1-27,143v,1,
92,Puis le font en t՚re enterrer,3,l-143v-1-28,143v,1,
93,A feſoers c'eſt dur a oir,3,l-143v-1-29,143v,1,
94,Fouir le font ⁊ deffouir,3,l-143v-1-30,143v,1,
95,Vne fois .ii. ou .iii. ou .iiij.,3,l-143v-1-31,143v,1,
96,Poꝛ li du tout au toꝛ abatre,3,l-143v-1-32,143v,1,
97,En tel guiſe l'en le toꝛmēte,3,l-143v-1-33,143v,1,
98,Qⁱl n'a mēbꝛe q՚ ne ſ'en ſete,3,l-143v-1-34,143v,1,
99,Du pié deſſoꝰ duſqu'a la teſte,3,l-143v-1-35,143v,1,
100,Li demaīnent tele tēpeſte,3,l-143v-1-36,143v,1,
101,Les mauuez tyras deſpiteꝰ,3,l-143v-1-37,143v,1,
102,Tyrans ne furent mie tex,3,l-143v-2-1,143v,2,
103,Nis ceulz qͥ les ſains,3,l-143v-2-2,143v,2,
104,A moꝛt mirent,3,l-143v-2-3,143v,2,
105,Onq՚s tel cruauté ne firent,3,l-143v-2-4,143v,2,
106,Et les tyrās voꝰ nōmerōs,3,l-143v-2-5,143v,2,
107,Q՚ l'ē apele vignerons,3,l-143v-2-6,143v,2,
108,Qⁱ vont ⁊ viēnent nuit ⁊ ioꝛ,3,l-143v-2-7,143v,2,
109,Sans trieue faire ne ſeioꝛ,3,l-143v-2-8,143v,2,
110,Chiez ſa douce mere /bacus,3,l-143v-2-9,143v,2,
111,Ses coꝛs coubes iuſq՚s as cus,3,l-143v-2-10,143v,2,
112,Recourciez deuant ⁊ derriere,3,l-143v-2-11,143v,2,
113,En faiſant rechignie chiere,3,l-143v-2-12,143v,2,
114,L'un cope de ſa ſarpe ⁊ trēche,3,l-143v-2-13,143v,2,
115,Ce qu'il conſuit de bꝛāche ē bꝛache,3,l-143v-2-14,143v,2,
116,L'autre fiers ⁊ a t՚re poꝛte,3,l-143v-2-15,143v,2,
117,Puis la lie d'une cohoꝛte,3,l-143v-2-16,143v,2,
118,Gñs cops de toutes ꝑs li rēdēt,3,l-143v-2-17,143v,2,
119,Et puis la lient ⁊ eſtendent.,3,l-143v-2-18,143v,2,
120,Poꝛ ce qu'il la face bꝛehaigne,3,l-143v-2-19,143v,2,
121,Ia oït ce q՚le ne ſe plaīgne,3,l-143v-2-20,143v,2,
122,Mais doucem̄t ſueffre ⁊ ē dure,3,l-143v-2-21,143v,2,
123,Le grief la paine la laidure,3,l-143v-2-22,143v,2,
124,Q՚ li fait cele gēt maluaiſe,3,l-143v-2-23,143v,2,
125,Qⁱ ne ſcet boire q՚ ceruoiſe,3,l-143v-2-24,143v,2,
126,Ou courre au vin de buffet,3,l-143v-2-25,143v,2,
127,Poꝛ ce tele paine li fet,3,l-143v-2-26,143v,2,
128,Q՚l ne poꝛte le ſauoureus,3,l-143v-2-27,143v,2,
129,Errāt de vin qͥ n'eſt pas p˞ eulz,3,l-143v-2-28,143v,2,
130,Dont poꝛ ce qͥl ne boiuēt mie,3,l-143v-2-29,143v,2,
131,Le vin pur mais le fet de lye,3,l-143v-2-30,143v,2,
132,Il vouldꝛoient qu'aīſi feüſt,3,l-143v-2-31,143v,2,
133,Q՚ iamais vigne fruit n'eüſt,3,l-143v-2-32,143v,2,
134,La doucour mie ne ꝯnoiſſēt,3,l-143v-2-33,143v,2,
135,Du bon vin ⁊ poꝛ ce ne ceſſent,3,l-143v-2-34,143v,2,
136,De faire ſa mere ꝯ traire,3,l-143v-2-35,143v,2,
137,Poꝛ quoi el ne puiſſe tāt faire,3,l-143v-2-36,143v,2,
138,Mais cōbiē q՚l ſoit toꝛmētee.,3,l-143v-2-37,143v,2,
139,En tele guiſe et demenee,3,l-144r-1-1,144r,1,
140,Et entre pierres enchaciee,3,l-144r-1-2,144r,1,
141,Et puis rooigniee ⁊ tailliee,3,l-144r-1-3,144r,1,
142,Et puis fouie et re fouie,3,l-144r-1-4,144r,1,
143,A gñt paine ⁊ a gñt havhie,3,l-144r-1-5,144r,1,
144,Diex cil qͥ toute choſe ē foꝛce,3,l-144r-1-6,144r,1,
145,Tel pooir li dōne ⁊ tel foꝛce,3,l-144r-1-7,144r,1,
146,Q՚ ꝑ les pierres oultre paſſe,3,l-144r-1-8,144r,1,
147,Sans ce q՚ ſe coꝛrōpe ou q̃ſſe,3,l-144r-1-9,144r,1,
148,Et en bꝛief tēps ⁊ po de t՚me,3,l-144r-1-10,144r,1,
149,A toꝰ demouſtre ſon doꝰ g՚me,3,l-144r-1-11,144r,1,
150,Germe qͥ n'eſt pas ſecourion,3,l-144r-1-12,144r,1,
151,Ain cois l'apele bon bourion,3,l-144r-1-13,144r,1,
152,Et ce boꝛion qui ſe boꝛioigne,3,l-144r-1-14,144r,1,
153,Qⁱ de ſoy nōme v՚ dour done,3,l-144r-1-15,144r,1,
154,Et ce ſont du bourion .ii. filles,3,l-144r-1-16,144r,1,
155,Qu'ē nome fueilles ⁊ veilles,3,l-144r-1-17,144r,1,
156,Ces .ii. filles ſont ml՚t iolies,3,l-144r-1-18,144r,1,
157,Et de leete reuerdies,3,l-144r-1-19,144r,1,
158,Et ml՚t de gent en sōt a faire,3,l-144r-1-20,144r,1,
159,Poꝛ aux et poꝛ ſauſſes deffaire,3,l-144r-1-21,144r,1,
160,Mais qu'il ꝯq՚s tel choſe fait,3,l-144r-1-22,144r,1,
161,Il eſt murtriers ⁊ ſe meffait,3,l-144r-1-23,144r,1,
162,Qñt .ii. ſi tres iones filletes,3,l-144r-1-24,144r,1,
163,Cōme fueilles ⁊ uielettes,3,l-144r-1-25,144r,1,
164,Fierent et frapent ſus ⁊ ius,3,l-144r-1-26,144r,1,
165,P˞ traire de loꝛ coꝛps leius,3,l-144r-1-27,144r,1,
166,Ce ſont tryans,3,l-144r-1-28,144r,1,
167,Qui ne ſont pꝛeus,3,l-144r-1-29,144r,1,
168,Qu'ē nōme au ſiuiers ⁊ keux,3,l-144r-1-30,144r,1,
169,Pitie n'ōt ne cōpaſſion,3,l-144r-1-31,144r,1,
170,Tout metent a occiſion,3,l-144r-1-32,144r,1,
171,Poꝛ la bouche et le vētre peſtre,3,l-144r-1-33,144r,1,
172,Mal fait pͥs de cel gent eſtre,3,l-144r-1-34,144r,1,
173,Qⁱ a tel maluaiſtie ſ'a moꝛt,3,l-144r-1-35,144r,1,
174,Ꝯ de m etre telz ſuers a moꝛt,3,l-144r-1-36,144r,1,
175,Cil les a chatent car vēdues,3,l-144r-1-37,144r,1,
176,Sont les vielles ꝑmiles rues,3,l-144r-1-38,144r,1,
177,Qui les bꝛoient ⁊ qͥ les crient,3,l-144r-2-1,144r,2,
178,Et puis ces tyrans les occient,3,l-144r-2-2,144r,2,
179,En ſignes dont cōme t'ai dit,3,l-144r-2-3,144r,2,
180,Cil tyrant ſont de dieu maudit,3,l-144r-2-4,144r,2,
181,Mais riens n'en vault loꝛ maluaiſtie,3,l-144r-2-5,144r,2,
182,Car le /bougoing eſt ſi haitie,3,l-144r-2-6,144r,2,
183,Qⁱl gete les grapes fourmees,3,l-144r-2-7,144r,2,
184,De saulliertes encourtinees,3,l-144r-2-8,144r,2,
185,Et de verdure rauerdies,3,l-144r-2-9,144r,2,
186,Et puis apꝛez ſont toſt floꝛies,3,l-144r-2-10,144r,2,
187,De fleurs ſi tres dous odoꝛans,3,l-144r-2-11,144r,2,
188,Q՚ la n'eſt venin demoꝛant,3,l-144r-2-12,144r,2,
189,Aincois poꝛt l'oudoꝛ gracieuſe,3,l-144r-2-13,144r,2,
