line_no,text,lg,l_id,folio,col,speaker
1,ENcoꝛ neſoit louenge depecheoꝛ pas belle,1,l-87r-2-1,87r,2,
2,Si m'en hardirai ie Deloueꝛ /la pucelle,1,l-87r-2-2,87r,2,
3,/Qui poꝛta /iheſu criſt Bon ſ'apela /ancelle,1,l-87r-2-3,87r,2,
4,Car humilités eſt Eſt /deparadis leſquelle,1,l-87r-2-4,87r,2,
5,/Souurainne humilités Een li ſedefia,2,l-87r-2-5,87r,2,
6,/Abigay la ſage Mout bien ſenefie,2,l-87r-2-6,87r,2,
7,Quant /dauid levolt pꝛendꝛe Tantoſt ſumilia,2,l-87r-2-7,87r,2,
8,Le piex deſes ſeꝛians A laueꝛ ſotria,2,l-87r-2-8,87r,2,
9,Par /rebeque leſage Ppuis bn̄ /marie entēdꝛe,3,l-87r-2-9,87r,2,
10,Quant elle uit /yſaac Ducamel vout deſcendꝛe,3,l-87r-2-10,87r,2,
11,Quant il lot eſpouſee Damour lama ſitendꝛe,3,l-87r-2-11,87r,2,
12,Que la dolour qu'il ot De/ſameꝛe enfu mendꝛe,3,l-87r-2-12,87r,2,
13,Seie te ueil deſpondꝛe Que la lettre diſceꝛne,4,l-87r-2-13,87r,2,
14,/Iudit le ſenefie Qui ociſt /olofeꝛne,4,l-87r-2-14,87r,2,
15,Noſtre anemi cruel Qui enueꝛs dieu nous feꝛne,4,l-87v-1-1,87v,1,
16,Mais celle leſoumiſt Qui ꝑtout nous gouu՚ne,4,l-87v-1-2,87v,1,
17,/Eſteꝛ ꝑ qui d/aamam Fu li oꝛgues cheus,5,l-87v-1-3,87v,1,
18,Ꝑ quoy fu deliures Demoꝛt /mardocheus,5,l-87v-1-4,87v,1,
19,Et au/peuple yſrael Fu ſalus recheus,5,l-87v-1-5,87v,1,
20,/Marie ſenefie Seneſui decheus,5,l-87v-1-6,87v,1,
21,De uoſtre humilité Neſt nombꝛe ne meſure,6,l-87v-1-7,87v,1,
22,Celui regarde diex Ce nous diſt leſcripture,6,l-87v-1-8,87v,1,
23,Plus cune autre veꝛrai Bien eſt ame ſeure,6,l-87v-1-9,87v,1,
24,Qui a uirginité Et humilité pure,6,l-87v-1-10,87v,1,
25,Humilites bꝛieſment Nous eſt eſcus et targe,7,l-87v-1-11,87v,1,
26,Les autres ueꝛtus garde Coꝛgiex neſi eſparge,7,l-87v-1-12,87v,1,
27,Se la poꝛte duciel eſt Poi baſe et poi large,7,l-87v-1-13,87v,1,
28,Qui bas eſt et bas entre Et baſement ſecharge,7,l-87v-1-14,87v,1,
29,Dentreꝛ emparadis A humbles auantage,8,l-87v-1-15,87v,1,
30,Oꝛ ſoions donq՚s humble Selonc ledit le ſage,8,l-87v-1-16,87v,1,
31,Oꝛgiex eſt fis deꝛoy Et ſeſt dehaut parage,8,l-87v-1-17,87v,1,
32,Paſſeꝛ pas ne poꝛroit Par ſi eſtroit paſſage,8,l-87v-1-18,87v,1,
33,Devouir ginite /dame A pou parleꝛ oſe,9,l-87v-1-19,87v,1,
34,Car detoutes poiirtes Vous eſtes /lis et roſe,9,l-87v-2-1,87v,2,
