line_no,text,lg,l_id,folio,col,speaker
1,TOutes bones gens doiuēt Oyr le biē retraire,1,l-115r-2-4,115r,2,
2,De dieu ⁊ de /ſa mere Qⁱ tant eſt debōnaire,1,l-115r-2-5,115r,2,
3,Oſter ſ'ē puet on biē De pechier de mal faire,1,l-115r-2-6,115r,2,
4,Oꝛ voꝰ dirai bon dit Qⁱ ne me fera taire,1,l-115r-2-7,115r,2,
5,Uous ſauez tous ⁊ toutes Qⁱ ſert /ſainte marie,2,l-115r-2-8,115r,2,
6,De bō cuer ⁊ de vrai Sans poīt de vilōnie,2,l-115r-2-9,115r,2,
7,Ou a l'ame ou au coꝛps Qñt la char eſt poꝛrie,2,l-115r-2-10,115r,2,
8,A .C. doubles li rent En ceſte moꝛtel vie.,2,l-115r-2-11,115r,2,
9,UN moult tres bel exāple Iſſy vous en deuis,3,l-115r-2-12,115r,2,
10,Cōme /la dame rent Loier a ſes amis.,3,l-115v-1-1,115v,1,
11,Elle ſcet biē hoꝛs traire Des mains aus ēnemis,3,l-115v-1-2,115v,1,
12,Q՚ toꝰ ioꝛs eſt en paine D'oſter nos bons auis,3,l-115v-1-3,115v,1,
13,Il auint a /Narbōne Qui eſt riche cité,4,l-115v-1-4,115v,1,
14,Vne bourgoiſe yot Plaine de charité,4,l-115v-1-5,115v,1,
15,Mais l'ainemi qⁱ eſt Si plain d'iniquité,4,l-115v-1-6,115v,1,
16,L'agrapa et li fiſt Paine et adu՚ſité,4,l-115v-1-7,115v,1,
17,La bourgoiſe eſtoit riche Si ot .i. bel enfant,5,l-115v-1-8,115v,1,
18,A l'eſcole fu mis Si cō le truis liſant,5,l-115v-1-9,115v,1,
19,Les cōpaignōs ſuiuoit Qñt il fu .i. po grant,5,l-115v-1-10,115v,1,
20,La richeté ſa mere Aloit foꝛm̄t gaſtant,5,l-115v-1-11,115v,1,
21,La m՚e l'amoit moult Car plꝰ d'enfās n'auoit,6,l-115v-1-12,115v,1,
22,Trop debōnairem̄t Sō me ffait li mouſtroit,6,l-115v-1-13,115v,1,
23,Mais il ꝑ ſa foleur Croire ne les voloit,6,l-115v-1-14,115v,1,
24,Quāqu'il pooit tenir Tātoſt aus dez iouoit,6,l-115v-1-15,115v,1,
25,Li vallés ſi mena Ꝑ lonc tēps ceſte vie,7,l-115v-1-16,115v,1,
26,La boꝛioiſe ſa mere En fu ml՚t coꝛroucie,7,l-115v-1-17,115v,1,
27,Elle a mādé gñt part Du miex de ſa lignie,7,l-115v-1-18,115v,1,
28,A sō filz vouldꝛa faire De tous ſes biens ꝑtie,7,l-115v-1-19,115v,1,
29,Qñt furēt aſſamblé La dame leur mouſtra,8,l-115v-2-1,115v,2,
30,Cōm̄t ſon filz le ſien. Vilaīnem̄t gaſta,8,l-115v-2-2,115v,2,
31,Sa ꝑt veil q՚ il ait Et puis ſi en fera,8,l-115v-2-3,115v,2,
32,Toute ſa volēté Qñt deuāt lui l'aura.,8,l-115v-2-4,115v,2,
33,Uous eſt il biē auis Q՚ ie die raiſon.,9,l-115v-2-5,115v,2,
34,Oil font li parent Mais il eſt fol garcon.,9,l-115v-2-6,115v,2,
35,Qñt il ne voꝰ veult croire Foy q՚ doi /.s՚. ſymon,9,l-115v-2-7,115v,2,
36,Il ſ'en repētira (ſi ci) Si cōme nous creon.,9,l-115v-2-8,115v,2,
