line_no,text,lg,l_id,folio,col,speaker
1,POur donner exēple Proueſce ⁊ hardemēt,1,l-247r-1-1,247r,1,
2,Pecheeurs pechereſſes Qⁱ pechent moꝛtelm̄t,1,l-247r-1-2,247r,1,
3,Veul recoꝛder vn dit A touz cōmunement,1,l-247r-1-3,247r,1,
4,Ou chaſcun poꝛra p՚ndꝛe Ml՚t biau chaſtiement,1,l-247r-1-4,247r,1,
5,POur lui hardiement Geter de ſes pechiez,2,l-247r-1-5,247r,1,
6,Qu'il ne ſoit des dëables U puis d'enfer ſachiez,2,l-247r-1-6,247r,1,
7,Regardons ꝯment diex Fu pour nous clofichiez,2,l-247r-1-7,247r,1,
8,⁊ par piez ⁊ par mains. En la croiz atachiez,2,l-247r-1-8,247r,1,
9,DE tres parfaite amour loiaum̄t nous ama,3,l-247r-1-9,247r,1,
10,Qñt pour nous tel tourm̄t ⁊ tel moꝛt endura,3,l-247r-1-10,247r,1,
11,Pour nous bꝛiſa enfer ⁊ hoꝛs nous engeta,3,l-247r-1-11,247r,1,
12,Paradiz ⁊ ſa gloire Tout nous a bandōna,3,l-247r-1-12,247r,1,
13,DOnt qñt il nous crea ⁊ fiſt en ſaſamblance,4,l-247r-2-1,247r,2,
14,⁊ pour nous fu clofis; ⁊ ferus de la lance.,4,l-247r-2-2,247r,2,
15,Nous ne deuons pas metre Tel oeuure enoubliance,4,l-247r-2-3,247r,2,
16,Ainz deuons uers liquerre ⁊ pais et acoꝛdance,4,l-247r-2-4,247r,2,
17,CAr li anemis eſt Soutil de moi ſuſp՚dꝛe.,5,l-247r-2-5,247r,2,
18,⁊ enſez laz nous fait Trebuchier ⁊ deſcendꝛe,5,l-247r-2-6,247r,2,
19,Nous nous poons ml՚t bn̄ Encontre li deffendꝛe,5,l-247r-2-7,247r,2,
20,Par confeſſion uraie Lipoons gñz coups rēdꝛe,5,l-247r-2-8,247r,2,
21,SI toſt cō le dëable Ale pecheur feru.,6,l-247r-2-9,247r,2,
22,DV baſton de pechié; Et il l'a abatu,6,l-247r-2-10,247r,2,
23,Le pecheur doit pꝛendꝛe L'eſpee de vertu,6,l-247r-2-11,247r,2,
24,Iapuis par l'anemi Ne puet eſtre vaincu,6,l-247r-2-12,247r,2,
25,L'Eſpee de vertu C'eſt confeſſion pure,7,l-247r-2-13,247r,2,
26,Qⁱ des mains audëable Gete lacreature,7,l-247r-2-14,247r,2,
27,Celui qui par ꝯfeſſe Seneſtoie ⁊ eſcure,7,l-247r-2-15,247r,2,
28,Fait adieu gñt honnour ⁊ aus mauuais laidure,7,l-247r-2-16,247r,2,
29,QVe ce ſoit verité Ie le vous pꝛouuerai,8,l-247r-2-17,247r,2,
30,Ꝑ .i. ml՚t bel eſſample Qu'oꝛendꝛoit voꝰ dirai,8,l-247r-2-18,247r,2,
31,En ſarmon l'oï dire Ml՚t bn̄ retenu l'ai,8,l-247r-2-19,247r,2,
32,S'entendꝛe le voulez Ie le recoꝛderai,8,l-247v-1-1,247v,1,
33,ET pource quemondit Soit plus ferme ⁊ eſtable,9,l-247v-1-2,247v,1,
34,Ie pꝛi /la mere dieu /La roze delitable,9,l-247v-1-3,247v,1,
