line_no,text,lg,l_id,folio,col,speaker
1,L'Eſcripture teſmoingne Et nous fait aſauoir,1,l-36v-1-7,36v,1,
2,Q՚ chaſcūs ⁊ chaſcune Qui a ſens ⁊ ſauoir,1,l-36v-1-8,36v,1,
3,Doit en ſa plaine vie Faire ſi ſon deuoir,1,l-36v-1-9,36v,1,
4,Par quoi il puiſt aler En paradis ſeoir,1,l-36v-1-10,36v,1,
5,Car nus ne ſet le iour Ne l'eure qu'il mourra,2,l-36v-1-11,36v,1,
6,Ne nus ne ſet quel part L'ame de lui ira,2,l-36v-1-12,36v,1,
7,Au deſtroit de lamoꝛt Qñt ducoꝛps partira,2,l-36v-1-13,36v,1,
8,Dieus nous fiſt ⁊ deſfait ⁊ tous nous deſfeꝛa,2,l-36v-1-14,36v,1,
9,Chaſcun idoit penſeꝛ Qui a entendemēt,3,l-36v-2-1,36v,2,
10,Qu'il nous conuiēt paſſeꝛ Ꝑ lamoꝛt qui tout pꝛent,3,l-36v-2-2,36v,2,
11,Car nus ne puet veꝛs Lui auoir deſfandement,3,l-36v-2-3,36v,2,
12,Pource doit on al'ame Queꝛir ſon ſauuement,3,l-36v-2-4,36v,2,
13,Ainſi com firēt ceuls Dont vous m'oꝛrez retraire,4,l-36v-2-5,36v,2,
14,Ou chaſcun pourra penre .I. moult bel eſſemplaire,4,l-36v-2-6,36v,2,
15,Ie le recoꝛdeꝛai ſ'il ne Vous doit deſplaire,4,l-36v-2-7,36v,2,
16,Q՚ dieus nous doint ſ'amour Et ſa uoulenté faire,4,l-36v-2-8,36v,2,
17,Trois ml՚t nobles chanoines Furent autemps iadis,5,l-36v-2-9,36v,2,
18,Qui eſtoiēt ml՚t riche Et en foꝛcié d'amis,5,l-36v-2-10,36v,2,
19,Et s'eſtoiēt pꝛeudōme Et en fais ⁊ en dis,5,l-36v-2-11,36v,2,
20,De bonté de largeſce Auoient los ⁊ pꝛis,5,l-36v-2-12,36v,2,
21,Et tant que cheuauchoiēt enſemble a .i. matin,6,l-36v-2-13,36v,2,
22,Ꝑmi .i. cemetieꝛe Toꝛneꝛēt leur chemin,6,l-36v-2-14,36v,2,
23,Pour les ames des coꝛps Prieꝛent de cueꝛ fin,6,l-36v-2-15,36v,2,
24,Au roi qui touz iours ieꝛt Et qui ia n'aura fin,6,l-36v-2-16,36v,2,
25,Li ainſné de ces trois Cōmanca apenſer,7,l-36v-2-17,36v,2,
26,Que parmi celle moꝛt Les conuendꝛa paſſeꝛ,7,l-36v-2-18,36v,2,
27,En ſen ce pourpenſa Et pꝛiſt aſoupirieꝛ,7,l-36v-2-19,36v,2,
28,Grant piece cheuaucha C'onques ne pot parleꝛ,7,l-37r-1-1,37r,1,
29,Et li autre doi furent En itelle pensee,8,l-37r-1-2,37r,1,
30,L'un ne parla al'autre De pꝛés d'une luee,8,l-37r-1-3,37r,1,
31,Li ainſnés apꝛemieꝛs Sa raiſon de uiſſee,8,l-37r-1-4,37r,1,
32,Loꝛs cheuauchent ēsēble S'ont leur raiſon contee,8,l-37r-1-5,37r,1,
33,Seigneurs par celle foi( i) Que vous adieu deuez,9,l-37r-1-6,37r,1,
34,Oꝛ me dites pour quoi Eſtez ſi tres penſez,9,l-37r-1-7,37r,1,
35,Voulentieꝛs diſt li uns Mes vous me redirés,9,l-37r-1-8,37r,1,
36,Par quel miracle Eſtez ci abomés,9,l-37r-1-9,37r,1,
37,Cil reſpont biau cōpaīs Ne vous mentirai mie,10,l-37r-1-10,37r,1,
38,Ie penſe qu'il n'eſt nulz Qui ne peꝛde l'ame,10,l-37r-1-11,37r,1,
39,Tous nous conuiēt mourir Cōment que chaſcū die,10,l-37r-1-12,37r,1,
40,Il n'eſt nus que la moꝛt Ne face departie,10,l-37r-1-13,37r,1,
41,LI autre reſpondi conpains Vous dites voir,11,l-37r-1-14,37r,1,
42,Tous nous conuiēt moꝛir Chaſcun lepuet ſauoir,11,l-37r-1-15,37r,1,
43,Il n'eſt ſi gñt richeſce Qⁱ nous i puiſt valoir,11,l-37r-1-16,37r,1,
44,Chaſcū qui ſages eſt S'en puet apeꝛceuoir,11,l-37r-1-17,37r,1,
45,LEs .iij. chanoines furēt enſemble d'un acoꝛt,12,l-37r-1-18,37r,1,
46,Touz furent ducourage Depenſeꝛ alamoꝛt,12,l-37r-1-19,37r,1,
47,Seigneur dist liainſnés En tendez mon recoꝛt,12,l-37r-2-1,37r,2,
48,Toute ma cōſcience Me repꝛent ⁊ remoꝛt,12,l-37r-2-2,37r,2,
49,IE weil laiſſieꝛ richeſce Et penre poureté,13,l-37r-2-3,37r,2,
50,Et ſeꝛuir ih՚ucriſt En fine loiauté,13,l-37r-2-4,37r,2,
51,Li autre reſpondi I'en ai gñt voulenté,13,l-37r-2-5,37r,2,
52,Le tieꝛs diſt auſſi veu ge Maintenir loyauté,13,l-37r-2-6,37r,2,
53,LEs .iij. compaīgnons Si (bn̄) d'une aliance,14,l-37r-2-7,37r,2,
54,Et firent enueꝛs dieu Si tres feꝛme acoꝛdance,14,l-37r-2-8,37r,2,
55,De uiure en poureté Et ſouſfrir gñt penance,14,l-37r-2-9,37r,2,
56,Ꝑ quoi de leur pechiez Euſſent acoꝛdance,14,l-37r-2-10,37r,2,
57,Et diſtrēt que iamés il ne retoꝛneront,15,l-37r-2-11,37r,2,
58,Ainz iront en eſſil Sainte vie merront,15,l-37r-2-12,37r,2,
59,A uaucleꝛ l'abaie Leur cheuaus laiſſerōt,15,l-37r-2-13,37r,2,
60,Leur robes leur denieꝛs Pour l'amour dieu donrōt,15,l-37r-2-14,37r,2,
61,Ainſi cōme il le diſtrent le firēt bonnement,16,l-37r-2-15,37r,2,
62,A uaucleꝛ l'abaie S'en vont iſnelemēt,16,l-37r-2-16,37r,2,
63,Leur robes leur denieꝛs Dōneꝛēt aucouuent,16,l-37r-2-17,37r,2,
64,Chaſcū d'un gros burel Se ueſti pourement,16,l-37r-2-18,37r,2,
65,DE la ſe de partirent Si ſont acheminé,17,l-37r-2-19,37r,2,
66,Quant vint al'endemain Siſe ſont deſſeuré,17,l-37v-1-1,37v,1,
67,Aude partir pleurerent Si ſont entr'acolé,17,l-37v-1-2,37v,1,
68,Deleur nons ſaige Bn̄ dire la uerité,17,l-37v-1-3,37v,1,
69,Li vns ot non felix Ainſi l'a peloit on,18,l-37v-1-4,37v,1,
70,Cil ala demourer Tout dꝛoit abeſancon,18,l-37v-1-5,37v,1,
71,La ſouſfrir poureté En grant de uoſcion,18,l-37v-1-6,37v,1,
72,Et du ſecont apꝛés Vous dirai ie le non,18,l-37v-1-7,37v,1,
73,Il ot non dieu donne Outre meꝛ ſ'enala,19,l-37v-1-8,37v,1,
74,En ieꝛuſalem fu Gñt piece iconueꝛſa,19,l-37v-1-9,37v,1,
75,Tout dꝛoit en antioche Li autres ſ'en ala,19,l-37v-1-10,37v,1,
76,La deuint il reclus Sainte vie mena,19,l-37v-1-11,37v,1,
77,Il ot non bōniface La fiſt ſa demouree,20,l-37v-1-12,37v,1,
78,Moult bon los iqueilli Deceus de la contree,20,l-37v-1-13,37v,1,
