line_no,text,lg,l_id,folio,col,speaker
1,MOult eſt bone acoitāce D'eſtoire bone gent,1,l-112r-2-1,112r,2,
2,Biē m'ē puis pceuoir Et en maint lieu ſouuent,1,l-112r-2-2,112r,2,
3,Q՚ qñt ie dis .j. dit A toꝰ generaument,1,l-112r-2-3,112r,2,
4,Car il nous conuiēt viure Des bons pꝛemierem̄t,1,l-112r-2-4,112r,2,
5,Iadis fu .i. chl՚r Ml՚t nobles et biaus,2,l-112r-2-5,112r,2,
6,Riches hons fu de villes Et de nobles chaſtiaus,2,l-112r-2-6,112r,2,
7,Et ot en ſa ionece Aſſez de cēs aniaus,2,l-112r-2-7,112r,2,
8,Il ne li eſchapoit Ne tournois ne cembiaus,2,l-112r-2-8,112r,2,
9,Qñt il n'ot q՚ deſpēdꝛe On n'auoit de li cure,3,l-112r-2-9,112r,2,
10,On le tenoit poꝛ vil Con garcō qui eſcure,3,l-112r-2-10,112r,2,
11,En folem̄t deſpendꝛe Auoit miſe ſa cure,3,l-112r-2-11,112r,2,
12,Sa ioie li toꝛna A gñt doloꝛ obſcure,3,l-112r-2-12,112r,2,
13,Du leu l'eſtuet ꝑtir Qu'il n'i pot plus remaīdꝛe,4,l-112r-2-13,112r,2,
14,Sa char li cōmenca A palir et a taindꝛe,4,l-112v-1-1,112v,1,
15,Loꝛs ſe pꝛiſt en ſon cuer Durem̄t a cō plaidꝛe,4,l-112v-1-2,112v,1,
16,N'ot vile ne maiſon Ou il peüſt remaīdꝛe,4,l-112v-1-3,112v,1,
17,Le las dolās diſt il ꝯdure deſtinee,5,l-112v-1-4,112v,1,
18,Qñt m'ē conuient fouir En eſtrange ꝯtree,5,l-112v-1-5,112v,1,
19,Et ſi ne metrai hoꝛs Ne lance ne eſpee,5,l-112v-1-6,112v,1,
20,Voꝰ me veilliez aidier /Sainte virge honoꝛee,5,l-112v-1-7,112v,1,
21,Toute ioꝛ cheuaucha biē li dut ēnuier,6,l-112v-1-8,112v,1,
22,Dedens .i. bois entra Grant ⁊ lonc ⁊ plenier,6,l-112v-1-9,112v,1,
23,Elmileu de ce bois Rataint .i. eſcuier,6,l-112v-1-10,112v,1,
24,Triſte ⁊ dolant de cuer N'i ot q՚ coꝛroucier,6,l-112v-1-11,112v,1,
25,Le chl՚r l'apelle Et ſi l'a raisōna,7,l-112v-1-12,112v,1,
26,Amis /celi te gart Qⁱ le mōde foꝛma,7,l-112v-1-13,112v,1,
27,Reſpont li eſcuiers Il ne m'aidera ia,7,l-112v-1-14,112v,1,
28,Biē me ſui ꝑceü Q՚ onq՚s ne m'ama.,7,l-112v-1-15,112v,1,
29,I'ai le mien deſpēdu Et gaſté ꝑ folie,8,l-112v-1-16,112v,1,
30,Si ne m'ē eſt remez Vaillant vne aillie,8,l-112v-1-17,112v,1,
31,Oꝛ m'ē conuient fouir Toꝰ ſeulz sās ꝯpaignie,8,l-112v-1-18,112v,1,
32,Et ſi ne ſai meſtier Dont me cheuiſſe mie,8,l-112v-1-19,112v,1,
33,LArrō et murtrier Me conuient deuenir,9,l-112v-2-1,112v,2,
34,Ie ne me puis mie De fain leſſier moꝛir,9,l-112v-2-2,112v,2,
35,Biē ſai q՚ ꝑ ce tour Me conuendꝛa venir,9,l-112v-2-3,112v,2,
36,Se ie truis ꝯpaignon Biē me cuide cheuir,9,l-112v-2-4,112v,2,
37,Reſpont le chl՚r Cōpains auez trouué,10,l-112v-2-5,112v,2,
38,Auſſi ai ie le miē Deſpēdu et gaſté,10,l-112v-2-6,112v,2,
39,Oꝛ m'ē couuent fouir Tous ſeulz ꝑ poureté,10,l-112v-2-7,112v,2,
40,Noꝰ ſerons compaignō Qñt ie t'ai retrouué,10,l-112v-2-8,112v,2,
41,Sire diſt l'eſcuier Vous ſoiez biē venus.,11,l-112v-2-9,112v,2,
42,Vos cōpains voudꝛai eſtre Vos amis ⁊ vos dꝛus.,11,l-112v-2-10,112v,2,
43,Toute ioꝛ cheuauchierent Tant q՚ ioꝛ ert faillus,11,l-112v-2-11,112v,2,
44,Sous .i. arbꝛe herbergent Necheuauchierēt plus.,11,l-112v-2-12,112v,2,
45,NE li vns ne li autres Cele nuit ne menia,12,l-112v-2-13,112v,2,
46,Prez ſont de deſperer Chaſcūs ſe demēta.,12,l-112v-2-14,112v,2,
47,L'ēnemi les eſcoute Qⁱ pꝛendꝛe les vouldꝛa,12,l-112v-2-15,112v,2,
48,S'il les puet acrochier Ml՚ ioians en ſera,12,l-112v-2-16,112v,2,
49,Deuant eulz s'apꝑut Si les a (a)raiſon mis,13,l-112v-2-17,112v,2,
50,Seignoꝛ ꝯm̄t voꝰ eſt Ce dit li ēnemis,13,l-112v-2-18,112v,2,
51,Voꝰ auez tout ꝑdu Et auoir ⁊ amis,13,l-112v-2-19,112v,2,
52,Mēdier vous conuient,13,l-112v-2-20,112v,2,
53,C'eſt gñt meſchief a faire Qñt apꝛis ne l'auez,14,l-113r-1-1,113r,1,
54,Se voꝰ me volez croire Ie voꝰ donrai aſſez,14,l-113r-1-2,113r,1,
55,Q՚ vous pꝛēdꝛez auoir Ꝑ tout ou voꝰ voudꝛez,14,l-113r-1-3,113r,1,
56,Ne iamais en pꝛiſon Retenus ne ſerez,14,l-113r-1-4,113r,1,
57,De tous les leus. Du mōde ie voꝰ deliuerrai,15,l-113r-1-5,113r,1,
58,Si dit le chl՚r Et ie voꝰ ſeruirai,15,l-113r-1-6,113r,1,
59,Et de cuer ⁊ de coꝛps Homage vous ferai,15,l-113r-1-7,113r,1,
60,Et l'ēnemi reſpont Et aſſez te donrai.,15,l-113r-1-8,113r,1,
61,Mais q՚ dieu et /ſa mere Te conuient renoier,16,l-113r-1-9,113r,1,
62,Toꝰ ſains ⁊ toutes ſaītes Il ne t'aront meſtier,16,l-113r-1-10,113r,1,
63,Sire dit l'e ſquier De gré et volētier,16,l-113r-1-11,113r,1,
64,Ie les renoierai Toꝰ qⁱl ne m'ōt meſtier,16,l-113r-1-12,113r,1,
65,Moult fu fol l'e ſcuier Et de mauuais coꝛage,17,l-113r-1-13,113r,1,
66,Q՚ l'ēnemi a pͥs Ce fu ꝑ ſon outrage,17,l-113r-1-14,113r,1,
67,Au chl՚r a dit Viē ſi me fais homage,17,l-113r-1-15,113r,1,
68,Et ie te rendꝛai tout Tātoſt ton heritage,17,l-113r-1-16,113r,1,
69,Reſpont le chl՚r volent՚s liem̄t,18,l-113r-1-17,113r,1,
70,Renoie dieu fait il Treſtout p՚mierem̄t,18,l-113r-1-18,113r,1,
71,Tous ſaīs ⁊ toutes ſaītes Toſt ⁊ iſnelement,18,l-113r-1-19,113r,1,
72,Fais le ſe tu m'ē crois Et tātoſt errām̄t,18,l-113r-2-1,113r,2,
73,Et ie te renderai Treſtout tō tenem̄t,18,l-113r-2-2,113r,2,
74,Ie les renoie tous je ſui de ta meſnie,19,l-113r-2-3,113r,2,
75,Reſpont li ēnemis Tu ne fais pas folie,19,l-113r-2-4,113r,2,
76,Ie te dōrai honour Et grāde ſeignoꝛie,19,l-113r-2-5,113r,2,
77,Se tu as renoié Auſſi /ſaīte marie,19,l-113r-2-6,113r,2,
78,Reſpont le chl՚r Ce ne ferai ie ia,20,l-113r-2-7,113r,2,
79,Q՚ ie renoie cele /Qⁱ le coꝛs dieu poꝛta,20,l-113r-2-8,113r,2,
80,/Qui la ꝑte du mōde Ꝑ sō coꝛps reſtoꝛa.,20,l-113r-2-9,113r,2,
81,Et la pais ⁊ l'amour De /ſon fil noꝰ dōna,20,l-113r-2-10,113r,2,
82,Il te doit biē ſouffire Qñt i'ai dieu renoié,21,l-113r-2-11,113r,2,
83,Tous ſains et toutes ſaītes Ie ſui ia en pechié,21,l-113r-2-12,113r,2,
84,Et de cuer ⁊ de bouche Ie le t'ai otroié,21,l-113r-2-13,113r,2,
85,Leſſe eſter /nr՚e dame Trop m'auras engignié,21,l-113r-2-14,113r,2,
86,Reſpont li ēnemis Tu ſeras mendians,22,l-113r-2-15,113r,2,
87,Se tu ne la renoies Seras poures truhans,22,l-113r-2-16,113r,2,
88,Et ſ'as dieu renoié Qⁱ te ſera greuans,22,l-113r-2-17,113r,2,
89,Sire dit l'eſcuier Faites li ſes couuans,22,l-113r-2-18,113r,2,
90,Rreſpont le chl՚r Ꝑ ma foy nō ferai.,23,l-113r-2-19,113r,2,
91,Ia ioꝛ de ma vie Ne le renierai,23,l-113v-1-1,113v,1,
92,/La royne des ciex Ia tant ne mefferai,23,l-113v-1-2,113v,1,
93,Se i'ai dieu renoié A cele me tenrai,23,l-113v-1-3,113v,1,
