line_no,text,lg,l_id,folio,col,speaker
1,TV qui as en pechié Veſcu tout tō aage,1,l-118r-2-5,118r,2,
2,Souuiēgne toi de dieu Qⁱ te fiſt a ſ'ymage,1,l-118r-2-6,118r,2,
3,Et li cries merci De cuer ⁊ de coꝛage,1,l-118r-2-7,118r,2,
4,Aincois q՚ li mauuais Te trebuche en ſeruage,1,l-118r-2-8,118r,2,
5,Tu as ꝑ maīte fois oÿ dire ⁊ ꝯter,2,l-118r-2-9,118r,2,
6,Q՚ li fruis eſt mauuais Qⁱ ne puet meurer,2,l-118r-2-10,118r,2,
7,Et ſi fait la ꝑsōne Malem̄t a blaſmer,2,l-118r-2-11,118r,2,
8,Qⁱ des maulz qu'il a fais Ne ſe veult amender,2,l-118v-1-1,118v,1,
9,LI maiſtre philoſophe Qⁱ iadis ont eſté,3,l-118v-1-2,118v,1,
10,Qⁱ eſtoient gns clers De la diuinité,3,l-118v-1-3,118v,1,
11,Dient q՚ en pechié Auroit .iii. ioꝛs eſté,3,l-118v-1-4,118v,1,
12,Sileurs ꝑdōroit diex De bone volēté,3,l-118v-1-5,118v,1,
13,Uoire qui leſſeroit Toꝰ tēps la malevie,4,l-118v-1-6,118v,1,
14,Et iamais de pechier Ne li p՚iſt enuie,4,l-118v-1-7,118v,1,
15,Et ꝑ ꝯfeſſe eüſt Sa maisō netoie,4,l-118v-1-8,118v,1,
16,Et faire la penāce Ꝯ li auroit chargie,4,l-118v-1-9,118v,1,
17,Nous trouuōs q՚ iadis Eſtoit .i. chl՚rs,5,l-118v-1-10,118v,1,
18,D'auoir ⁊ de lignage Eſtoit ſi foꝛs ⁊ fiers,5,l-118v-1-11,118v,1,
19,Lerres deuint mlt foꝛs Robeur et murtrier,5,l-118v-1-12,118v,1,
20,Et les larrōs auoit A robes ⁊ deſtriers,5,l-118v-1-13,118v,1,
21,Preſtuit furēt alui Et sō cōmāt faiſoient,6,l-118v-1-14,118v,1,
22,Poꝛ rober poꝛ to lir Ꝑ le pais aloient,6,l-118v-1-15,118v,1,
23,Mouſtiers ⁊ abbeyes Frans ⁊ vilaīs roboiēt,6,l-118v-1-16,118v,1,
24,Pelerins ⁊ marchans Ꝑ les chemīs tuoient,6,l-118v-1-17,118v,1,
