line_no,text,lg,l_id,folio,col,speaker
1,A Toutes bones gens Qⁱ ontentendem̄t,1,l-132v-1-7,132v,1,
2,Qui croient /ih՚ucriſt Et le ſaint ſacrement,1,l-132v-1-8,132v,1,
3,Doit on ꝑ bon example Mectre et aꝑtem̄t,1,l-132v-1-9,132v,1,
4,Les vertus q՚ il fait A tous generaum̄t,1,l-132v-1-10,132v,1,
5,De li auons ve rtus C'eſt treſtout verité,2,l-132v-1-11,132v,1,
6,Et ſi nous racheta Qñt il fu toꝛmētez,2,l-132v-1-12,132v,1,
7,Des iuis en la crois Poꝛ nr՚e ſauueté,2,l-132v-2-1,132v,2,
8,Et noꝰ miſt hoꝛs d'enfer De la gñt obſcurté,2,l-132v-2-2,132v,2,
9,Tous le deuons nous croire Ꝑ bone entencion.,3,l-132v-2-3,132v,2,
10,Car il ſouffri pour nous En la crois paſſion.,3,l-132v-2-4,132v,2,
11,Qⁱ ainſi ne le croit C'eſt ſa dāpnation,3,l-132v-2-5,132v,2,
12,Iamais ſ'ame n'aura Vers dieu redēption,3,l-132v-2-6,132v,2,
13,Et qui ne croit ainſin Q՚ ſon coꝛps ˞ppꝛem̄t,4,l-132v-2-7,132v,2,
14,Fuſt mué ou ſaint pain Doit on fait ſacrement,4,l-132v-2-8,132v,2,
15,S'ame ſera dāpnee Au ioꝛ du iugem̄t,4,l-132v-2-9,132v,2,
16,En la maiſon d'enfer Prendꝛa herbergem̄t,4,l-132v-2-10,132v,2,
17,Bone gent ie voꝰ veil Mouſtrer une (ſemblāce),5,l-132v-2-11,132v,2,
18,Qⁱ eſt bon a oir S'il vous plaiſoit a taire,5,l-132v-2-12,132v,2,
19,Et ſien poꝛriez (l'am) L'amoꝛ de dieu atraire,5,l-132v-2-13,132v,2,
20,Car il fait bon leſſier Le mal poꝛ le biē faire,5,l-132v-2-14,132v,2,
21,En /la vie des peres Eſcript en ꝑchemin,6,l-132v-2-15,132v,2,
22,Trouuōs noꝰ q՚ .ii. homes Qⁱ eſtoient voiſin,6,l-132v-2-16,132v,2,
23,Eſtoient bien ensāble Deſſi a cele fin,6,l-132v-2-17,132v,2,
24,Q՚ li vns ſi meſcrut Ꝑ le dëable engin,6,l-132v-2-18,132v,2,
25,Et l'autre fu pꝛeudōs Si voꝰ dirai ꝯment,7,l-132v-2-19,132v,2,
26,Car il ſe confeſſoit Ꝑ bon entendem̄t,7,l-133r-1-1,133r,1,
27,Et ſi crut bien en dieu Et ou .s՚. ſacrem̄t,7,l-133r-1-2,133r,1,
28,Et l'autre n'i voult croire Ce fu ſon dāpnem̄t,7,l-133r-1-3,133r,1,
29,Ce fu a vnes paſques C'on ſe doit confeſſer,8,l-133r-1-4,133r,1,
30,Et faire penitance Pour ſa vie amender,8,l-133r-1-5,133r,1,
31,Et ne toier sō cuer En ſon dieu doit entrer,8,l-133r-1-6,133r,1,
32,Qu'en l'arbꝛe de la crois Leſſa ſon coꝛps pener,8,l-133r-1-7,133r,1,
33,EN icele ioꝛnee Q՚ ie vous conte cy,9,l-133r-1-8,133r,1,
34,Reſuſcita de moꝛt Celui qͥ tant ſouffri,9,l-133r-1-9,133r,1,
35,En l'arbꝛe de la crois Au iour du vendꝛedi,9,l-133r-1-10,133r,1,
36,Et le ſanc de ſon coꝛps De .v. plaies iſſy,9,l-133r-1-11,133r,1,
37,Qui nele croit ainſi Ie vous di de certain,10,l-133r-1-12,133r,1,
38,Des oeures au dëable A il le coꝛps tout plain,10,l-133r-1-13,133r,1,
39,Nous le deuons tuit croire Car il eſt ſouuerain,10,l-133r-1-14,133r,1,
40,Et ſont toutes vertus Iſſues de ſa main,10,l-133r-1-15,133r,1,
41,LI vns de ces .ii. homes Dont ie vous ꝑolé,11,l-133r-1-16,133r,1,
42,Il creoit fermement C'eſt fine verité,11,l-133r-1-17,133r,1,
43,Et l'autre ſi fu ſi Du dëable tempté,11,l-133r-1-18,133r,1,
44,Qⁱl ne crut pas qu'en pain Fuſt le ſien coꝛps mué,11,l-133r-1-19,133r,1,
45,Celi qui ce ne crut Siſ'en vint au pꝛeudō,12,l-133r-2-1,133r,2,
46,Si li diſt bien veig niez Venez en en maiſon,12,l-133r-2-2,133r,2,
47,Si vous deſiunerez Auec moi d'un chapon,12,l-133r-2-3,133r,2,
48,Noꝰ auons trop iuné Il en eſt biē ſaiſons,12,l-133r-2-4,133r,2,
49,Celui qⁱ fu pꝛeudons Si fu tous merueillās,13,l-133r-2-5,133r,2,
50,De ce q՚ ſon voiſin Lialoit deuiſans,13,l-133r-2-6,133r,2,
51,Il hauca ſa main deſtre Siſ'en ala ſeignant,13,l-133r-2-7,133r,2,
52,Et puis ſi li a dit Voꝰ eſtes meſcreant,13,l-133r-2-8,133r,2,
