line_no,text,lg,l_id,folio,col,speaker
1,PEtit ſai; mais; matere ou pꝛendꝛe,1,l-280r-2-1,280r,2,
2,De quoi ie puiſſe Dit repꝛendꝛe,1,l-280r-2-2,280r,2,
3,Qⁱ puiſt eſtre a chaſcū plaiſans,1,l-280r-2-3,280r,2,
4,D'autre ꝑt ſeie ſui taiſans,1,l-280r-2-4,280r,2,
5,Il ne m'en vendꝛa nul pouris,1,l-280r-2-5,280r,2,
6,Selonc mō metier i'ē ſui fis,1,l-280r-2-6,280r,2,
7,⁊ ſ'il n'iert nus qͥ mes meſiſt,1,l-280r-2-7,280r,2,
8,Ētente ace q՚ bn̄ feſiſt,1,l-280r-2-8,280r,2,
9,Ne ſe deuroit mie retraire,1,l-280r-2-9,280r,2,
10,Li homs qͥ ſ'eſt le bn̄ (a)traire,1,l-280r-2-10,280r,2,
11,Q՚ ſon cuer ace ſ'acoꝛdaſt,1,l-280r-2-11,280r,2,
12,Q՚ bn̄ deſiſt ⁊ recoꝛdaſt,1,l-280r-2-12,280r,2,
13,Mais ſi poi voi mais aconter,1,l-280r-2-13,280r,2,
14,A bn̄ dire ⁊ abn̄ conter,1,l-280r-2-14,280r,2,
15,Q՚ poieſt nus qⁱ foꝛce y face,1,l-280r-2-15,280r,2,
16,Ainz tournēt d'autre ꝑ la face,1,l-280r-2-16,280r,2,
17,Pluſeurs ē qui n'a de bn̄ tant,1,l-280r-2-17,280r,2,
18,Qⁱl ſoiēt ſanz plus eſcoutant,1,l-280r-2-18,280r,2,
19,Ce ꝯ veut recoꝛder ⁊ dire,1,l-280r-2-19,280r,2,
20,Sienſui plains d'anui ⁊ d'ire,1,l-280r-2-20,280r,2,
21,Plus q՚ ie ne mouſtre ſouuēt,1,l-280r-2-21,280r,2,
22,Lihoms qⁱ ſouffle ꝯtre vent,1,l-280r-2-22,280r,2,
23,A enſient ſa paine pert,1,l-280v-1-1,280v,1,
24,⁊ auſſi fait cil en a ꝑt,1,l-280v-1-2,280v,1,
25,Qⁱ le bn̄ acelui recoꝛde,1,l-280v-1-3,280v,1,
26,Qⁱ al'eſcout՚ ne ſ'acoꝛde,1,l-280v-1-4,280v,1,
27,Ainz li deſplaiſt ⁊ li annuie,1,l-280v-1-5,280v,1,
28,Se ſaumōs apourciaus dōnoie,1,l-280v-1-6,280v,1,
29,Ml՚t ſeroient mal emploie,1,l-280v-1-7,280v,1,
30,Mes qñt bel dit ſont deſploie,1,l-280v-1-8,280v,1,
31,A ceuz qⁱ volentiers les oient,1,l-280v-1-9,280v,1,
32,Moi ſablēt bn̄ emploie ſoiēt,1,l-280v-1-10,280v,1,
33,Car on en puet loꝛ cuers deduire,1,l-280v-1-11,280v,1,
34,⁊ eulz a bn̄ faire ꝯduire,1,l-280v-1-12,280v,1,
35,⁊ qⁱ puet dōner examplaire,1,l-280v-1-13,280v,1,
36,Qⁱ puiſt ⁊ poꝛfit՚ ⁊ plaire,1,l-280v-1-14,280v,1,
37,Plus l'en loe l'en ⁊ pꝛiſe on.,1,l-280v-1-15,280v,1,
38,IL ot iadiz en la pꝛiſon,2,l-280v-1-16,280v,1,
39,A .i. tyrant .ij. ꝯpaignons,2,l-280v-1-17,280v,1,
40,Deuz ne voꝰ ſai nōmer les nōs,2,l-280v-1-18,280v,1,
41,Mes deniſes fu li tyrans,2,l-280v-1-19,280v,1,
42,Nōmes qui n'eſtoit deſirrans,2,l-280v-1-20,280v,1,
43,Foꝛs de mal pēſer ⁊ mal faire,2,l-280v-1-21,280v,1,
44,N'auoit foꝛs mal en sō afaire,2,l-280v-1-22,280v,1,
45,Li vns eſtoit mal herbergiez,2,l-280v-1-23,280v,1,
46,Car il eſtoit amoꝛt jugiez,2,l-280v-1-24,280v,1,
47,Se lieſtoit li iourz nōmez,2,l-280v-1-25,280v,1,
48,Q՚ ſes tēps ſeroit aſſōmez,2,l-280v-1-26,280v,1,
49,L'autre fu reſpitez ſes viures,2,l-280v-1-27,280v,1,
50,Qⁱl en deuoit aler deliures,2,l-280v-1-28,280v,1,
51,Cil qui on ot amoꝛt iugie,2,l-280v-1-29,280v,1,
52,Li pꝛia au pꝛendꝛe congié,2,l-280v-1-30,280v,1,
53,Qu'en sō pais vouſiſt aler,2,l-280v-1-31,280v,1,
54,A ſes pꝛochains amis ꝑler,2,l-280v-1-32,280v,1,
55,Qⁱl vouſiſſent po˞ li pꝛoier,2,l-280v-1-33,280v,1,
56,Q՚ diex vouſiſt ſ'ame otroier,2,l-280v-1-34,280v,1,
57,Ꝑdon des pechiez qⁱl ot fais,2,l-280v-1-35,280v,1,
58,Car de lui iert li coꝛs deffais,2,l-280v-1-36,280v,1,
59,Cil reſpondi qⁱl y alaſt,2,l-280v-1-37,280v,1,
60,Il meiſmes ⁊ y ꝑlaſt,2,l-280v-1-38,280v,1,
61,Qu'en pꝛiſon p˞ lui demouroit,2,l-280v-2-1,280v,2,
62,Li tyrans diſt q՚ il moꝛroit,2,l-280v-2-2,280v,2,
63,Se li autres faiſoit ſeiour,2,l-280v-2-3,280v,2,
64,Qⁱl ne reueniſt a ſon iour,2,l-280v-2-4,280v,2,
65,Ē tel abandon ſ'eſt cil mis,2,l-280v-2-5,280v,2,
66,⁊ li autres aſes amis,2,l-280v-2-6,280v,2,
67,S'en ala ⁊ bn̄ li ſouuint,2,l-280v-2-7,280v,2,
68,De ſon ꝯpaignō qͥl reuint,2,l-280v-2-8,280v,2,
69,A ce iour q՚ moꝛir deuoit,2,l-280v-2-9,280v,2,
70,⁊ li tyranz qñt il le voit,2,l-280v-2-10,280v,2,
71,Ml՚t durem̄t ſe merueilla,2,l-280v-2-11,280v,2,
72,⁊ tenu a gñt m՚ueille a,2,l-280v-2-12,280v,2,
73,Qⁱl ert pour moꝛir reuenuz,2,l-280v-2-13,280v,2,
74,Car il ne cuidoit pas q՚ nus,2,l-280v-2-14,280v,2,
75,Deüſt faire tel loiauté,2,l-280v-2-15,280v,2,
76,Il a moli ſa cruauté,2,l-280v-2-16,280v,2,
77,⁊ fu ſi eſpꝛis de pitié,2,l-280v-2-17,280v,2,
78,Q՚ il a de moꝛt reſpitie,2,l-280v-2-18,280v,2,
79,Celui qui cuidoit en la ſente,2,l-280v-2-19,280v,2,
80,Eſtre de moꝛt tantoſt p՚ ſente,2,l-280v-2-20,280v,2,
81,Mais ml՚t bonnem̄t li quita.,2,l-280v-2-21,280v,2,
82,⁊ as .ij. ꝯpaignons dit a,2,l-280v-2-22,280v,2,
83,Qⁱl loiaum̄t le receuſſent,2,l-280v-2-23,280v,2,
84,Ne nul mal gré ne li ſeuſſent,2,l-280v-2-24,280v,2,
85,Du mal q՚ il loꝛ auoit fait,2,l-280v-2-25,280v,2,
86,Cil li ꝑdonnēt le meſfait,2,l-280v-2-26,280v,2,
87,⁊ de lui ꝑtent en amour,2,l-280v-2-27,280v,2,
88,Si ſ'en vont sāz faire demour,2,l-280v-2-28,280v,2,
89,OR oiez ꝯ furent loial,3,l-280v-2-29,280v,2,
90,Li doi ꝯ paignon ⁊ feal,3,l-280v-2-30,280v,2,
91,⁊ agñt pourfit loꝛ tourna,3,l-280v-2-31,280v,2,
92,Car loꝛ loyautez retourna,3,l-280v-2-32,280v,2,
93,Le tyrant en miſericoꝛde,3,l-280v-2-33,280v,2,
94,Si ꝯ la veritez recoꝛde,3,l-280v-2-34,280v,2,
95,Ci puet on bel exāple p՚ndꝛe,3,l-280v-2-35,280v,2,
96,⁊ a ceſte auenture ap՚ndꝛe,3,l-280v-2-36,280v,2,
97,Q˜dez a loiautéz ſaiſon,3,l-280v-2-37,280v,2,
98,Mes mal ſcet on mes ſa maisō,3,l-280v-2-38,280v,2,
99,Ne ne ſai mais ou elle regne,3,l-281r-1-1,281r,1,
100,Ne en l'empire ne el regne,3,l-281r-1-2,281r,1,
101,Ne ſcet on mais ſa reuenue,3,l-281r-1-3,281r,1,
102,Oꝛ puet elle eſtre deuenue,3,l-281r-1-4,281r,1,
103,Diex le ſache ie ne le ſai,3,l-281r-1-5,281r,1,
104,Souuēt m'ē ſui mis ē l'eſſai,3,l-281r-1-6,281r,1,
105,P˞ trouuer mes ne ſai la voie,3,l-281r-1-7,281r,1,
106,Ov elle maint diex m'i avoie,3,l-281r-1-8,281r,1,
107,Ꝯ cuide entel lieu maīte foiz,3,l-281r-1-9,281r,1,
108,Q՚ loiautéz ymaigne ⁊ foiz,3,l-281r-1-10,281r,1,
109,Ou on n'ē trueue ali firt demie,3,l-281r-1-11,281r,1,
110,C'ai bn̄ pꝛouue n'ē doutez mie,3,l-281r-1-12,281r,1,
111,Auſſi ont fait autre tamaint,3,l-281r-1-13,281r,1,
112,P˞ ce ne ſai en q՚l lieu maīt,3,l-281r-1-14,281r,1,
113,Loiautez bn̄ le voꝰ afin,3,l-281r-1-15,281r,1,
114,Li ꝯpaignon loial ⁊ fin,3,l-281r-1-16,281r,1,
115,Sont perdu bn̄ le m'eſt auis,3,l-281r-1-17,281r,1,
116,Ie ne ſai ſ'il en eſt nul vis,3,l-281r-1-18,281r,1,
117,Selonc ce ꝯ uoit en apert,3,l-281r-1-19,281r,1,
118,Le ſiecle en fauſſeté desꝑt,3,l-281r-1-20,281r,1,
119,Qⁱ en haut cheual eſt mōtee,3,l-281r-1-21,281r,1,
120,⁊ loiautéz ſi deſmontee,3,l-281r-1-22,281r,1,
121,Q՚ nes ſur piez ne puet eſter,3,l-281r-1-23,281r,1,
122,Cui on voit iamais ap՚ſter,3,l-281r-1-24,281r,1,
123,De ſoi loiaum̄t maītenir,3,l-281r-1-25,281r,1,
124,A mō pꝛopos veul reuenir,4,l-281r-1-26,281r,1,
125,Des ꝯpaignons q՚ cil deniſes,4,l-281r-1-27,281r,1,
126,Ē cui les bñches ſ'erent miſes,4,l-281r-1-28,281r,1,
127,De felonie ⁊ de deſpit,4,l-281r-1-29,281r,1,
128,Donna celui de moꝛt reſpit,4,l-281r-1-30,281r,1,
129,Qⁱl vit pour moꝛir reuenir,4,l-281r-1-31,281r,1,
130,Q՚ ꝑ bn̄ faire rapelon,4,l-281r-1-32,281r,1,
131,A gñt doucour le cuer felon,4,l-281r-1-33,281r,1,
132,⁊ Marciſt on ſa felōnie,4,l-281r-1-34,281r,1,
133,Toudis deuroies auoir ēvie,4,l-281r-1-35,281r,1,
134,La volenté de bn̄ afaire,4,l-281r-1-36,281r,1,
135,Pꝰ q՚ li cuers de mal afaire.,4,l-281r-1-37,281r,1,
136,On a bn̄ veü auenir.,4,l-281r-1-38,281r,1,
137,S'en puet chang՚ ⁊ mieudꝛes eſtͤ.,4,l-281r-2-1,281r,2,
138,Dont ſe doit li cuers de bō eſtre,4,l-281r-2-2,281r,2,
139,Tant plꝰ pener qⁱl ſe de tiengne,4,l-281r-2-3,281r,2,
140,Ē tel poīt q՚ le bn̄ maītiēgne,4,l-281r-2-4,281r,2,
141,Car bn̄s fais n'eſt onq՚ ꝑdus,4,l-281r-2-5,281r,2,
142,De ce ne ſoit nus esꝑdus,4,l-281r-2-6,281r,2,
143,Car ſe domage y a li coꝛs,4,l-281r-2-7,281r,2,
144,Diex li piex ⁊ li miſericoꝛs,4,l-281r-2-8,281r,2,
145,En rent a l'ame vrai ꝑ don,4,l-281r-2-9,281r,2,
146,P˞ ce fait toudiz bn̄ pꝛeudon,4,l-281r-2-10,281r,2,
147,A ſon pouoir ⁊ ſ'il meffait,4,l-281r-2-11,281r,2,
148,Ēu՚s dieu ſa mendiſe ē fait,4,l-281r-2-12,281r,2,
149,Oꝛ li pꝛiōs tuit de cuer fin,4,l-281r-2-13,281r,2,
150,Qⁱl noꝰ amaint a bōne fin,4,l-281r-2-14,281r,2,
