line_no,text,lg,l_id,folio,col,speaker
1,Ave tres excellente /Eſtoile pure et mōde,1,l-152r-2-1,152r,2,
2,/Chaſtellaine des ciex /Sauuerreſſe du monde,1,l-152r-2-2,152r,2,
3,/Gardiēne et /dame Du poꝛpis gloꝛieus,1,l-152r-2-3,152r,2,
4,Ou ſont vos eſleus Qui ne ſont enuieus,1,l-152r-2-4,152r,2,
5,Prophetizie des bons FFu de ce ſui ie fis,1,l-152r-2-5,152r,2,
6,Q՚ de /yeſſe n'eſtroit Vne flour de grant pꝛis,1,l-152r-2-6,152r,2,
7,Et deſſus cele flour Si ſe repoſeroit,1,l-152r-2-7,152r,2,
8,Li ſouuerains eſpꝛis Dont tous biens deſcendꝛoit,1,l-152r-2-8,152r,2,
9,Cele flour vint de vous SS'en sōmes empꝛainte,1,l-152r-2-9,152r,2,
10,Poꝛ l'amour de /vo fil Qnt pour nous sō coſté,1,l-152r-2-10,152r,2,
11,Fentre a /lōgis Ce fu pour vous /marie,1,l-152r-2-11,152r,2,
12,Benois ſoieli doulz fruis Dont iſſi tel lignie,1,l-152r-2-12,152r,2,
13,/Maria mere au /fil Dont la ſuſtāce uient,2,l-152r-2-13,152r,2,
14,Au cōmun de ca ius Qñt pour ſes filz nous tient,2,l-152v-1-1,152v,1,
15,Bien mouſtra clerement Que moult vous auoit chiere,2,l-152v-1-2,152v,1,
16,Quant en la ſainte crois Vous diſt a mate chiere,2,l-152v-1-3,152v,1,
17,Du /dous virge iehan /Fame vez cy ton (filz) fiex,2,l-152v-1-4,152v,1,
18,Puis a /iehan rediſt Qⁱ tant eſt dous ⁊ piex,2,l-152v-1-5,152v,1,
19,Vez cy /ta mere /amis Ie le te recōmant,2,l-152v-1-6,152v,1,
20,/Royne ſans ꝑeille S'il ne voꝰ amaſt tant,2,l-152v-1-7,152v,1,
21,Ceſte recōmandiſe Au deſtroit de la moꝛt,2,l-152v-1-8,152v,1,
22,N'eüſt faite et ꝑ ce Sathan n'ot nul remoꝛt,2,l-152v-1-9,152v,1,
23,E noꝰ dont vous doit on Genoulz flechis loer,2,l-152v-1-10,152v,1,
24,Et de vrai cuer ſeruir /Royne ſans amer.,2,l-152v-1-11,152v,1,
25,Gracia de grace Eſtes enluminee,3,l-152v-1-12,152v,1,
26,Et d'anges et d'archāges Nuit et ioꝛ encenſee,3,l-152v-1-13,152v,1,
27,Vous eſtes /la fontaine En cloſe de vertu,3,l-152v-1-14,152v,1,
28,Vous eſtes /li treſoꝛs Dont ſomes repeü,3,l-152v-1-15,152v,1,
29,/Eſmeraude gentilz /Saphirs plain de purte,3,l-152v-1-16,152v,1,
30,/Topace de noblece Et /rubis de biauté,3,l-152v-1-17,152v,1,
31,/Dyamant de doucour Et /bericle d'amour,3,l-152v-1-18,152v,1,
32,/Pecine de grace /Baume de grant doucour,3,l-152v-1-19,152v,1,
33,/Oignem̄t pour ſaner /De concoꝛ de racine,3,l-152v-2-1,152v,2,
34,Voirs eſt que vouseſtes /De tous maulz medecine,3,l-152v-2-2,152v,2,
