line_no,text,lg,l_id,folio,col,speaker
1,L'an de grace .M..iiic.,1,l-245r-1-8,245r,1,
2,⁊ .xxxij. fui ie tracens,1,l-245r-1-9,245r,1,
3,A /encerre compaignōs q՚ure,1,l-245r-1-10,245r,1,
4,P˞ eulz cōpaignier et enq՚re,1,l-245r-1-11,245r,1,
5,Des de duis car iete acel iour,1,l-245r-1-12,245r,1,
6,Encel temps fu et acel iour,1,l-245r-1-13,245r,1,
7,Q՚ chr՚s fu /iehan de/france,1,l-245r-1-14,245r,1,
8,Loꝛs me ſouint eſtre enſouffrāce,1,l-245r-1-15,245r,1,
9,D'une execuſacion afaire,1,l-245r-1-16,245r,1,
10,Qui trop me fu demal a faire,1,l-245r-1-17,245r,1,
11,Pource aſſez toſt la laiſſai,1,l-245r-1-18,245r,1,
12,⁊ fis ces u՚s dont m'eſleſſai,1,l-245r-1-19,245r,1,
13,Enles faiſant pour lamatiere,1,l-245r-1-20,245r,1,
14,Qⁱ nouuelle eſt dont lamaniere,1,l-245r-1-21,245r,1,
15,Mon cuer eſt du recoꝛt plaiſans,1,l-245r-1-22,245r,1,
16,Ou yot mout debiax plaiſans,1,l-245r-1-23,245r,1,
17,Ieme terrai car pleſence,1,l-245r-1-24,245r,1,
18,Ne doit ou ence point plaidier,1,l-245r-1-25,245r,1,
19,Car des ples d'ui ne des ples d'ier,1,l-245r-1-26,245r,1,
20,⁊ ſ'aucuns n'i auoit plaiſance,1,l-245r-1-27,245r,1,
21,Pas ne me poꝛroiēt tāt plaire,1,l-245r-2-1,245r,2,
22,Mes aucuns plais medoit deſplaire,1,l-245r-2-2,245r,2,
23,Des u՚s dont enuoiſt lieſplais,1,l-245r-2-3,245r,2,
24,Si me pleſt du recoꝛt li plais,1,l-245r-2-4,245r,2,
25,Qͣ fait b՚taux en eſploitant,1,l-245r-2-5,245r,2,
26,De /chaſteillon medeſploiz tant,1,l-245r-2-6,245r,2,
27,A fait ſera qu'aura argent,1,l-245r-2-7,245r,2,
28,Non ꝯtretant cequ'il art gent,1,l-245r-2-8,245r,2,
29,Gracieuſe dame enterine,2,l-245r-2-9,245r,2,
30,Digne pour eſtre .i. roine,2,l-245r-2-10,245r,2,
31,Entre les dames de/paris,2,l-245r-2-11,245r,2,
32,Vꝰ n'euſſiez q՚ ie det՚mine,2,l-245r-2-12,245r,2,
33,Dame damoiſelle ou meſchine,2,l-245r-2-13,245r,2,
34,Tres bel et ˞ppꝛe amō auis,2,l-245r-2-14,245r,2,
35,Diex sōs detroys uous ydeuis,2,l-245r-2-15,245r,2,
36,Du bn̄ auez les .ij. foys .vj.,2,l-245r-2-16,245r,2,
37,Qn̄ voit bn̄ et qñt adeuine,2,l-245r-2-17,245r,2,
38,Ci apꝛés tous les uous deſcris,2,l-245r-2-18,245r,2,
39,Bn̄ ſont ſeur vous dame l'eſcris,2,l-245r-2-19,245r,2,
40,Eſtains pͥuez ſouz lacoꝛtine,2,l-245r-2-20,245r,2,
41,Deuos biax ſemblās ſans retͣire,3,l-245r-2-21,245r,2,
42,Gente dame voudꝛe retraire,3,l-245r-2-22,245r,2,
43,Ce que de ſi qn̄ ſoit retrait,3,l-245r-2-23,245r,2,
44,Car fine amour m'afait retͣire,3,l-245r-2-24,245r,2,
45,A uous ſeruir car tant atraire,3,l-245r-2-25,245r,2,
46,I a de bn̄s pource a trait,3,l-245r-2-26,245r,2,
47,Les retrairai car nl՚ mal trait,3,l-245r-2-27,245r,2,
48,Ne ſai poꝛ dire du contraire,3,l-245r-2-28,245r,2,
49,Ne croy denul ſoꝛt ia pourtrait,3,l-245r-2-29,245r,2,
50,Vo gentil facon ni eſtrait,3,l-245r-2-30,245r,2,
51,S'amoꝛs delui nel fait eſtraire,3,l-245r-2-31,245r,2,
52,N'ai ence faiſant ne mal trait,3,l-245r-2-32,245r,2,
53,Tant auez ꝑ faite figure,4,l-245r-2-33,245r,2,
54,Q՚ nature qui tout figure,4,l-245r-2-34,245r,2,
55,Tele ne ſauroit figurer,4,l-245r-2-35,245r,2,
56,Debiax m̄bꝛes ſanz affaiture,4,l-245r-2-36,245r,2,
57,⁊ d'autres biax bn̄ de faiture,4,l-245r-2-37,245r,2,
58,Sur vaus ſunt ſanz affaitur՚,4,l-245r-2-38,245r,2,
59,Bien ſe ſot nature enfourmer,4,l-245v-1-1,245v,1,
60,De uous quant Si uous vout foꝛmer,4,l-245v-1-2,245v,1,
61,N'i oublia dꝛoiture meſure,4,l-245v-1-3,245v,1,
62,Si bel uous ſot ameſurer,4,l-245v-1-4,245v,1,
63,Qⁱ uous ſoit ſeveut meſurer,4,l-245v-1-5,245v,1,
64,A uous am՚ ſanz deſmeſure,4,l-245v-1-6,245v,1,
65,Poiſſance douſe bn̄s amis,5,l-245v-1-7,245v,1,
66,Nature ēuous p˞ fins amis,5,l-245v-1-8,245v,1,
67,Confoꝛter dedeſir d'amie,5,l-245v-1-9,245v,1,
68,Tous contraires oÿ les deuis,5,l-245v-1-10,245v,1,
69,De tel coꝛps croy pou ſoit deuis,5,l-245v-1-11,245v,1,
70,A dieu pͥ ia iour ne demie,5,l-245v-1-12,245v,1,
71,Troys d'un .iij. d'el. ꝑla meſtrie,5,l-245v-1-13,245v,1,
72,De nature qⁱ uous meſtrie,5,l-245v-1-14,245v,1,
73,Foꝛme vous amout eſtris,5,l-245v-1-15,245v,1,
74,Dire le veul q՚ que detrie,5,l-245v-1-16,245v,1,
75,S'amoꝛs ꝑ grace lem'otrie,5,l-245v-1-17,245v,1,
76,Coum̄t qn̄ face lonc deſtris,5,l-245v-1-18,245v,1,
77,Lonc nez lonc bꝛas Et lonc coꝛſage,6,l-245v-1-19,245v,1,
78,A ml՚t bn̄ meſurez c'eſt ſage,6,l-245v-1-20,245v,1,
79,⁊ qui l'auoit ledoit ſauoir,6,l-245v-1-21,245v,1,
80,Courtes tertes ad'eritage,6,l-245v-1-22,245v,1,
81,Courtes feſces cediſt leſage,6,l-245v-1-23,245v,1,
82,Selonc lecoꝛps com poet uëoir,6,l-245v-1-24,245v,1,
83,Cours ralons a audire uoir,6,l-245v-1-25,245v,1,
84,Au marchier et al'aſſeoir,6,l-245v-1-26,245v,1,
85,Les uoit ou il ꝑt q՚le nage,6,l-245v-1-27,245v,1,
86,Qñt leuere va main et ſoir,6,l-245v-1-28,245v,1,
87,N'eſt qui ne deuroit voloir,6,l-245v-1-29,245v,1,
88,A li am՚ de vrai coꝛage,6,l-245v-1-30,245v,1,
89,Blanche plus que noif et cherneure,7,l-245v-1-31,245v,1,
90,Blanc leblanc des iex Sans parſure.,7,l-245v-1-32,245v,1,
91,Le contraire nulz n'i uerroit,7,l-245v-2-1,245v,2,
92,Enbouche ablanche ētendeure,7,l-245v-2-2,245v,2,
93,Noirs ſourcis noire paupieure,7,l-245v-2-3,245v,2,
94,Auſſi noir poinis auoir doit,7,l-245v-2-4,245v,2,
95,⁊ quāt toutes ces choſes doit,7,l-245v-2-5,245v,2,
96,Nature pas enuaī n'ouuroit,7,l-245v-2-6,245v,2,
97,Qñt fourmoit tele creature,7,l-245v-2-7,245v,2,
98,N'eſt cuers ſi triſtres ſi lauoit,7,l-245v-2-8,245v,2,
99,Qu'ē ioie toſt mue ne ſoit,7,l-245v-2-9,245v,2,
100,Diex li doint tͤs bōne auāture,7,l-245v-2-10,245v,2,
101,Gros entr'eu l a en ſon deuis,8,l-245v-2-11,245v,2,
102,Groſſes quiſſes amon auis,8,l-245v-2-12,245v,2,
103,Groſſe coume empꝛez Qui bien l'auiſe,8,l-245v-2-13,245v,2,
104,Grelle coꝛps bn̄ afait bn̄ apͥs,8,l-245v-2-14,245v,2,
105,Grelletes deuz aſſez petites,8,l-245v-2-15,245v,2,
106,V՚meilles adꝛoite deuiſe,8,l-245v-2-16,245v,2,
107,Grelles doiz maīz debon aſſiſe,8,l-245v-2-17,245v,2,
108,Reploiant qñt li plaiſt laguiſe,8,l-245v-2-18,245v,2,
109,Auſſi ſont les dois dꝛois traitis,8,l-245v-2-19,245v,2,
110,C'eſt la facons c'aucūs ml՚t pꝛiſe,8,l-245v-2-20,245v,2,
111,Setelle dame eſt d'amours pͥſe,8,l-245v-2-21,245v,2,
112,Miex ēdeuroit valoir ſes pꝛis,8,l-245v-2-22,245v,2,
113,Gras coꝛſage a madame a poīt,9,l-245v-2-23,245v,2,
114,Raſſe coꝛge qⁱ ml՚t m'eſpoint,9,l-245v-2-24,245v,2,
115,Quant plus lauoy Plus m'en deſpointe,9,l-245v-2-25,245v,2,
116,Gras m̄bꝛes tiex ne uoiſt ō poīt,9,l-245v-2-26,245v,2,
117,Traitis iex qⁱ ſouēt m'ont poīt,9,l-245v-2-27,245v,2,
118,Aucuer de denz einſi l'a pointe,9,l-245v-2-28,245v,2,
119,Traitice deſcendue a iointe,9,l-245v-2-29,245v,2,
120,Ducol ſus l'eſpaule l'ēpointe,9,l-245v-2-30,245v,2,
121,Deꝑfaite facon diex doint,9,l-245v-2-31,245v,2,
122,Q՚ ſoie acelle dame acointe,9,l-245v-2-32,245v,2,
123,Traitices; mains Tant ſage et cointe,9,l-245v-2-33,245v,2,
124,Qͣ nul ne ſeroit meſcoint,9,l-246r-1-1,246r,1,
