line_no,text,lg,l_id,folio,col,speaker
1,OR eſcoutez vne choſete,1,l-391v-2-1,391v,2,
2,Petite qui eſt nouuellete,1,l-391v-2-2,391v,2,
3,Q՚ ie doi pour dꝛoiture dire,1,l-391v-2-3,391v,2,
4,O eſt bn̄ dꝛois q՚ ie m'ē tremete,1,l-391v-2-4,391v,2,
5,De dire choſe ſi tres nette,1,l-391v-2-5,391v,2,
6,Q՚ on ne puiſt ꝑ dꝛoit des dire,1,l-391v-2-6,391v,2,
7,Droit ē eſt iugemēt ⁊ ſire,1,l-391v-2-7,391v,2,
8,Droit dit c'ō nedoit pas mes dire,1,l-391v-2-8,391v,2,
9,Delachoſe qui eſt bn̄ faite,1,l-391v-2-9,391v,2,
10,Car qui eſt ē bōne matire,1,l-391v-2-10,391v,2,
11,Drois dit c'ō nel doit cōtredire,1,l-391v-2-11,391v,2,
12,Ceſeroit vilaine retraite,1,l-391v-2-12,391v,2,
13,Droiz deſfant toute vilaine,2,l-391v-2-13,391v,2,
14,Droiz mouſtre toute coꝛtoiſſie,2,l-391v-2-14,391v,2,
15,Et en ſaīgne tout bn̄ afaire,2,l-391v-2-15,391v,2,
16,Drois dit c'ō ſoit de bōne vie,2,l-391v-2-16,391v,2,
17,Et que ōn' ait en ſoi ē vie,2,l-391v-2-17,391v,2,
18,Par quoi on puiſt l'autrui foꝛtraire,2,l-391v-2-18,391v,2,
19,Droit dit que on ſoit de bonaire,2,l-391v-2-19,391v,2,
20,Droit dit que on ſe doit bn̄ taire,2,l-391v-2-20,391v,2,
21,De choſe qu'a li n'afieꝛt mie,2,l-391v-2-21,391v,2,
22,Droit dit c'ō ſoit de tel afaire,2,l-391v-2-22,391v,2,
23,Q՚ on puiſt atreſtouz ceꝰ plaire,2,l-391v-2-23,391v,2,
24,Les qui on eſt ē compaīgnie,2,l-391v-2-24,391v,2,
25,Droit dit ⁊ iel ferai eſtable,3,l-392r-1-1,392r,1,
26,Q՚ puis c'om eſt aſſis atable,3,l-392r-1-2,392r,1,
27,C'om ne doit mie trop ꝑler,3,l-392r-1-3,392r,1,
28,S'on dit choſe qⁱ n'eſt eſtable,3,l-392r-1-4,392r,1,
29,On li tourne ſon dit afable,3,l-392r-1-5,392r,1,
30,Sili veniſt miex repoſſer,3,l-392r-1-6,392r,1,
31,C'om puet tel choſe reueler,3,l-392r-1-7,392r,1,
32,Q՚ qui la voudꝛoit recoꝛdeꝛ,3,l-392r-1-8,392r,1,
33,Qⁱ ne ſeꝛoit mie hōnoꝛable,3,l-392r-1-9,392r,1,
34,Droit dit c'ō doit .iij. fois pēſeꝛ,3,l-392r-1-10,392r,1,
35,Lachoſe c'om veut recoꝛdeꝛ,3,l-392r-1-11,392r,1,
36,Ainz c'om ſ'en face cōneſtable,3,l-392r-1-12,392r,1,
37,Droit dit c'ūs meſdisās vaut pis,4,l-392r-1-13,392r,1,
38,Qu'auoir .ij. moꝛtiex anemis,4,l-392r-1-14,392r,1,
39,C'om ē het les gēs ſans raiſon,4,l-392r-1-15,392r,1,
40,S'uns meſdiſans dit ſon auis,4,l-392r-1-16,392r,1,
41,Celui qui bn̄ eſt ces amis,4,l-392r-1-17,392r,1,
42,Le banira de ſa maiſon,4,l-392r-1-18,392r,1,
43,Droiz dit c'eſt moꝛtel traiſon,4,l-392r-1-19,392r,1,
44,Q՚ d'aleueꝛ mauués renon,4,l-392r-1-20,392r,1,
45,Tant c'om fait le meſfait apꝛis,4,l-392r-1-21,392r,1,
46,Droit dit i'en fais mencion,4,l-392r-1-22,392r,1,
47,Iugement ꝑ eſlection,4,l-392r-1-23,392r,1,
48,Trairoit la langue atiex chaitiz,4,l-392r-1-24,392r,1,
49,Droit dit c'ō voit aucūne gent,5,l-392r-1-25,392r,1,
