line_no,text,lg,l_id,folio,col,speaker
1,DOus qui volez oir Retenir ⁊ apꝛendꝛe,1,l-128r-1-5,128r,1,
2,.ij. exāples moult biaus Ou il n'a que repꝛendꝛe,1,l-128r-1-6,128r,1,
3,Diex doinſt q՚ le puiſſe Recoꝛder ſans meſpꝛēdꝛe,1,l-128r-1-7,128r,1,
4,Et noꝰ gart du maluais Qⁱl ne noꝰ puiſt ſouſpꝛedꝛe,1,l-128r-1-8,128r,1,
5,LA pꝛemiere exāple vus dirai ſans mentir,2,l-128r-1-9,128r,1,
6,Oꝛ metez tous ⁊ toutes Les cuers a retenir,2,l-128r-1-10,128r,1,
7,Car aincois q՚ de vous Me doie deꝑtir,2,l-128r-1-11,128r,1,
8,Voꝰ dirai ie tel choſe Dont gñs biens puet venir,2,l-128r-1-12,128r,1,
9,Ia diuine eſcripture Nous en fait mencion,3,l-128r-2-1,128r,2,
10,D'un pꝛeudōme iadis Qⁱ en deuotion,3,l-128r-2-2,128r,2,
11,Priſt les dꝛaps ⁊ le pain D'une religion,3,l-128r-2-3,128r,2,
12,En /n՚re dame miſt Toute ſ'entention.,3,l-128r-2-4,128r,2,
13,En /nr՚e dame amer Miſt sō cuer ⁊ ſ'amoꝛ,4,l-128r-2-5,128r,2,
14,Deuant ſon dous ymage Eſtoit et nuit ⁊ ioꝛ.,4,l-128r-2-6,128r,2,
15,De la haire veſtir Souffri paine ⁊ doloꝛ,4,l-128r-2-7,128r,2,
16,De jeuner de veillier Ot tainte la coulour,4,l-128r-2-8,128r,2,
17,En /la mere dieu ot Son cuer ſi afichiés,5,l-128r-2-9,128r,2,
18,Qⁱl amaſt miex auoir Tous les mēbꝛes trēchiez,5,l-128r-2-10,128r,2,
19,Q՚ il la ꝑiuraſt Ne n'en fuſt entechiez,5,l-128r-2-11,128r,2,
20,Mais d'une male tache Fu ſon coꝛps entechiez,5,l-128r-2-12,128r,2,
21,Le cōuers q՚ ie di Dont ie fais rem̄ebꝛāce,6,l-128r-2-13,128r,2,
22,Poꝛ riens ne pooit croire Ne n'auoit esꝑance,6,l-128r-2-14,128r,2,
23,Qu'yaue benoite eüſt Ne vertu ne puiſſance,6,l-128r-2-15,128r,2,
24,Et diſoit q՚ ia ioꝛ Il n'i auroit creance,6,l-128r-2-16,128r,2,
25,Qñt li pꝛeſtres getoit L'yaue ꝑ le mouſtier,7,l-128r-2-17,128r,2,
26,Ia cil ne l'a pꝛochaſt Ains ſ'en traioit arrier,7,l-128r-2-18,128r,2,
27,En ſon pꝛopos diſoit Ia ne me quier moillier,7,l-128r-2-19,128r,2,
28,Car ie n'ai pas fiance Q՚l me peüſt aidier,7,l-128v-1-1,128v,1,
29,Lonc tēps ali ꝯuers Ceſte vie menee,8,l-128v-1-2,128v,1,
30,Diex qui ſcet de chaſcun Le cuer et la pensee,8,l-128v-1-3,128v,1,
31,Volt que la ferme foy Fuſt en ſon coꝛps entee,8,l-128v-1-4,128v,1,
32,Et la maluaiſe fuſt Toute de lui oſtee,8,l-128v-1-5,128v,1,
33,/LI dous roys gloꝛieus Qⁱ tout ſcet et tout voit,9,l-128v-1-6,128v,1,
34,Si voult mouſtrer q՚ foꝛce L'yaue benoite auoit,9,l-128v-1-7,128v,1,
35,Et poꝛquoi eſtablie En ſainte egliſe eſtoit,9,l-128v-1-8,128v,1,
36,Dont chaſcuns creſtiens Arrouſer ſe deuoit,9,l-128v-1-9,128v,1,
37,UN iour fu li cōuers En ſa chambꝛe toꝰ ſeulz,10,l-128v-1-10,128v,1,
38,En ſaluant /la virge D'un ſalut gracieus,10,l-128v-1-11,128v,1,
39,Deuant lui vit venir .I. gñt poꝛc moult hydeꝰ,10,l-128v-1-12,128v,1,
40,De l'autre ꝑt regarde Si en va choiſir .I.,10,l-128v-1-13,128v,1,
41,Deuant li en po d'eure En vis plus de .vc.,11,l-128v-1-14,128v,1,
42,Chaſcun eſtoit plus Noir q՚ pois ne arrem̄s,11,l-128v-1-15,128v,1,
43,Le cōuers aſſaillirent Enuiron de tous ſens,11,l-128v-1-16,128v,1,
44,Poꝛ ce qⁱl le voloient Deuourer a leurs dens,11,l-128v-1-17,128v,1,
45,Onq՚s n'i ot celui Qⁱ le peüſt touchier,12,l-128v-1-18,128v,1,
46,Juſqu'a tant q՚ le meſtre Vint tout au derrenier,12,l-128v-1-19,128v,1,
