line_no,text,lg,l_id,folio,col,speaker
1,Par la fraude Et barat qu'il furent,1,l-137r-2-11,137r,2,
2,Si qu'ilz /la grant gne pourpꝛirent,1,l-137r-2-12,137r,2,
3,Dont encoꝛ ont entention,1,l-137v-1-1,137v,1,
4,Mais ni՚ lui fait biē mention,1,l-137v-1-2,137v,1,
5,Q՚ de bꝛuch encoꝛe vendꝛa,1,l-137v-1-3,137v,1,
6,Qⁱ /la gñt bꝛetaigne tendꝛa,1,l-137v-1-4,137v,1,
7,Et c'eſt bien dꝛoit auec raiſon,1,l-137v-1-5,137v,1,
8,Car barat en toute ſaiſon,1,l-137v-1-6,137v,1,
9,Tous ioꝛs doit cunchier,1,l-137v-1-7,137v,1,
10,Son meſtre,1,l-137v-1-8,137v,1,
11,Car d'eulz veult,1,l-137v-1-9,137v,1,
12,Qu'ons nez ou a neſtre,1,l-137v-1-10,137v,1,
13,Ne tiegne regne ou croce,1,l-137v-1-11,137v,1,
14,Ou mitre,1,l-137v-1-12,137v,1,
15,Puis qu'il ne le tient,1,l-137v-1-13,137v,1,
16,A bon tiltre.,1,l-137v-1-14,137v,1,
17,Et cōtre ſon ſeignoꝛ rebelle,1,l-137v-1-15,137v,1,
18,Oꝛ ooz choſe nō nouuele,1,l-137v-1-16,137v,1,
19,Ml՚t ont englois pēſe d'ouurer,1,l-137v-1-17,137v,1,
20,Cōm̄t poiſſent recouurer,1,l-137v-1-18,137v,1,
21,/Noꝛmēdie /anjo et /gaſcoigne,1,l-137v-1-19,137v,1,
22,Maīt fil y ont mis en q՚noille,1,l-137v-1-20,137v,1,
23,Mais il nel poꝛent deſuuidier,1,l-137v-1-21,137v,1,
24,Car deceu ſont ꝑ cuidier,1,l-137v-1-22,137v,1,
25,En la fallace dacadent,1,l-137v-1-23,137v,1,
26,Qⁱ toute en eulz eſt euident,1,l-137v-1-24,137v,1,
27,Ml՚t remaīt de ce q՚ fol pēſe,1,l-137v-1-25,137v,1,
28,Car d'eux tout fait,1,l-137v-1-26,137v,1,
29,Et tout deſpenſe,1,l-137v-1-27,137v,1,
30,Poꝛ ce n'ōt peu gaagn՚,1,l-137v-1-28,137v,1,
31,Car .i. pēſe .i. autre anier,1,l-137v-1-29,137v,1,
32,/Richart /henri ⁊ /edouart,1,l-137v-1-30,137v,1,
33,Qⁱ mie ne furent coart,1,l-137v-1-31,137v,1,
34,Ne de ˞pece ainſiq՚s lente,1,l-137v-1-32,137v,1,
35,Miſtrent ml՚t a ce leur entēte,1,l-137v-1-33,137v,1,
36,N'a fin n'ē oirent auenir,1,l-137v-1-34,137v,1,
37,Biē deuroit de,1,l-137v-1-35,137v,1,
38,Ce ſouuenir.,1,l-137v-1-36,137v,1,
39,Au roy ēgles oꝛe en uie,1,l-137v-1-37,137v,1,
40,Sages d'autrui fait ſechaſtie,1,l-137v-1-38,137v,1,
41,Se ſages dont eſt ſi ſ'auiſe,1,l-137v-2-1,137v,2,
42,Qⁱl n'entrepꝛegne,1,l-137v-2-2,137v,2,
43,Fole empꝛiſe,1,l-137v-2-3,137v,2,
44,De ſoy folem̄t deſtreng՚,2,l-137v-2-4,137v,2,
45,Car tel ſe cuide reueng՚,2,l-137v-2-5,137v,2,
46,Il croit sō domage ⁊ ſa hōte,2,l-137v-2-6,137v,2,
47,Gentilz roys ⁊ de /valois ꝯte,2,l-137v-2-7,137v,2,
48,Ne croi pas tout ce ꝯ te die,2,l-137v-2-8,137v,2,
49,Ꝑ tout a fraude ⁊ t՚ch՚ie,2,l-137v-2-9,137v,2,
50,De biaus ꝑlers pluiſeurs recoit,2,l-137v-2-10,137v,2,
51,Souuent pꝛent on,2,l-137v-2-11,137v,2,
52,En ſon cuer recoit,2,l-137v-2-12,137v,2,
53,Tel qu'il le traiſt.,2,l-137v-2-13,137v,2,
54,Et ſouſplante,2,l-137v-2-14,137v,2,
55,La ſeraine doucem̄ chāte,2,l-137v-2-15,137v,2,
56,Li ēglois poꝛtēt sīple face,3,l-137v-2-16,137v,2,
57,Et ˞pmetent mais qͥer qͥ face,3,l-137v-2-17,137v,2,
58,Tiens toy dont roys,3,l-137v-2-18,137v,2,
59,En ta ſaiſine,3,l-137v-2-19,137v,2,
60,Ne poꝛ biau pler,3,l-137v-2-20,137v,2,
61,Ne t'enclinne.,3,l-137v-2-21,137v,2,
62,A gēt q⁄ de cuer eſt doubliere,3,l-137v-2-22,137v,2,
63,Penſe des fais ca en arriere,3,l-137v-2-23,137v,2,
64,Et q՚ le mōde pas,3,l-137v-2-24,137v,2,
65,N'a mende,3,l-137v-2-25,137v,2,
66,Se li rois englois,3,l-137v-2-26,137v,2,
67,Te demande,3,l-137v-2-27,137v,2,
68,Ce q՚ tiens aquis,3,l-137v-2-28,137v,2,
69,En /gaſcoigne,3,l-137v-2-29,137v,2,
70,Fais ton pꝛofit,3,l-137v-2-30,137v,2,
71,Fai ta vergoigne,3,l-137v-2-31,137v,2,
72,Et ne veules apeticier,3,l-137v-2-32,137v,2,
73,Tō dꝛoit ne a toi alicier,3,l-137v-2-33,137v,2,
74,Qⁱ ne veille tō biē a croiſtre,3,l-137v-2-34,137v,2,
75,Tu pues bien ſauoir,3,l-137v-2-35,137v,2,
76,Et congnoiſtre,3,l-137v-2-36,137v,2,
77,Que englois enc,3,l-137v-2-37,137v,2,
78,Francois n'ama,3,l-137v-2-38,137v,2,
79,Male dꝛagie en tr'eulz y a,3,l-138r-1-1,138r,1,
80,Hui ſont en pais,3,l-138r-1-2,138r,1,
81,Demain en guerre,3,l-138r-1-3,138r,1,
82,De tel matire eſt englet՚re,3,l-138r-1-4,138r,1,
83,Poꝛ ce eſt il q՚ la gent nee,3,l-138r-1-5,138r,1,
84,Ne puet auoir ferme pēſee,3,l-138r-1-6,138r,1,
85,En .i. eſtat poīt ne ſeioꝛne,3,l-138r-1-7,138r,1,
86,Ettous iours a,3,l-138r-1-8,138r,1,
